symbol,start_date,end_date,company_name,exchange,cusip,figi,perm_id,successor_symbol,delisted,delisting_date,source,source_asof,notes
AAL,2014-12-22,2020-04-19,American Airlines,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
AAPL,2007-02-01,,Apple Inc.,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
ABNB,2021-12-20,,Airbnb,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
ADBE,2007-02-01,,Adobe Inc.,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
ADI,2012-12-24,,Analog Devices,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
ADP,2008-12-22,,Automatic Data Processing,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
ADSK,2007-02-01,,Autodesk,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
AEOS,2007-02-01,2007-03-07,American Eagle Outfitters,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
AEP,2020-12-21,,American Electric Power,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
AKAM,2007-02-01,2009-12-20,Akamai Technologies,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
AKAM,2010-12-20,2017-12-17,Akamai Technologies,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
ALGN,2017-10-23,2023-12-17,Align Technology,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
ALNY,2025-12-22,,Alnylam Pharmaceuticals,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
ALTR,2007-02-01,2015-10-06,Altera,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
ALXN,2011-04-04,2021-07-20,Alexion Pharmaceuticals,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
AMAT,2007-02-01,,Applied Materials,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
AMD,2018-12-24,,Advanced Micro Devices,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
AMGN,2007-02-01,,Amgen,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
AMLN,2007-02-01,2008-12-21,Amylin Pharmaceuticals,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
AMZN,2007-02-01,,Amazon,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
ANSS,2019-12-23,2025-07-16,Ansys,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
APCC,2007-02-01,2007-02-13,American Power Conversion,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
APOL,2007-02-01,2012-12-23,Apollo Group,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Removed component reconstructed backward from Wikipedia change history.
APP,2024-11-18,,AppLovin,NASDAQ,,,,,False,,wikipedia_nasdaq100_component_changes_reconstruction,2026-06-14,Current component; start date inferred from Wikipedia change history when available.
