date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,4000.0,47.104465889058,5991.010488761614,9991.010488761614,10000.0,0
2021-06-15,4000.0,47.104465889058,5952.442701054996,9952.442701054995,10000.0,0
2021-06-16,4000.0,47.104465889058,5975.859088905942,9975.859088905941,10000.0,0
2021-06-17,0.0,78.19528858229172,10045.167748063555,10045.167748063555,10000.0,1
2021-06-18,0.0,78.19528858229172,9943.793431563116,9943.793431563116,10000.0,1
2021-06-21,0.0,78.19528858229172,10084.038690926012,10084.038690926012,10000.0,1
2021-06-22,0.0,78.19528858229172,10212.090396338916,10212.090396338916,10000.0,1
2021-06-23,0.0,78.19528858229172,10190.747053410449,10190.747053410449,10000.0,1
2021-06-24,0.0,78.19528858229172,10168.644857278578,10168.644857278578,10000.0,1
2021-06-25,0.0,78.19528858229172,10145.779035281643,10145.779035281643,10000.0,1
2021-06-28,0.0,78.19528858229172,10273.069501160315,10273.069501160315,10000.0,1
2021-06-29,0.0,78.19528858229172,10391.20838831239,10391.20838831239,10000.0,1
2021-06-30,0.0,78.19528858229172,10439.228523570615,10439.228523570615,10000.0,1
2021-07-01,4000.0,122.9697465121748,16453.868460194222,20453.868460194222,20000.0,1
2021-07-02,4000.0,122.9697465121748,16776.313163706564,20776.313163706564,20000.0,1
2021-07-06,4000.0,122.9697465121748,17023.23212156977,21023.23212156977,20000.0,1
2021-07-07,4000.0,122.9697465121748,17328.88331874538,21328.88331874538,20000.0,1
2021-07-08,4000.0,122.9697465121748,17169.461343450672,21169.461343450672,20000.0,1
2021-07-09,4000.0,122.9697465121748,17393.61055836458,21393.61055836458,20000.0,1
2021-07-12,4000.0,122.9697465121748,17320.49031831586,21320.49031831586,20000.0,1
2021-07-13,4000.0,122.9697465121748,17457.135045183575,21457.135045183575,20000.0,1
2021-07-14,4000.0,122.9697465121748,17877.863979077807,21877.863979077807,20000.0,1
2021-07-15,4000.0,122.9697465121748,17797.551615030352,21797.551615030352,20000.0,1
2021-07-16,4000.0,122.9697465121748,17547.035656983066,21547.035656983066,20000.0,1
2021-07-19,4000.0,122.9697465121748,17074.770360514012,21074.770360514012,20000.0,1
2021-07-20,4000.0,122.9697465121748,17518.269037357542,21518.269037357542,20000.0,1
2021-07-21,4000.0,122.9697465121748,17428.368425558056,21428.368425558056,20000.0,-1
