date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-18,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-21,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-22,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-23,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-24,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-25,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-28,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-29,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-30,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-07-01,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-02,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-06,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-07,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-08,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-09,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-12,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-13,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-14,0.0,137.3603770593922,19970.03496253871,19970.03496253871,20000.0,1
2021-07-15,0.0,137.3603770593922,19880.32398141542,19880.32398141542,20000.0,1
2021-07-16,0.0,137.3603770593922,19600.49119788306,19600.49119788306,20000.0,1
2021-07-19,0.0,137.3603770593922,19072.95868655409,19072.95868655409,20000.0,1
2021-07-20,0.0,137.3603770593922,19568.35814214732,19568.35814214732,20000.0,1
2021-07-21,0.0,137.3603770593922,19467.936841096453,19467.936841096453,20000.0,1
2021-07-22,0.0,137.3603770593922,19655.386303406172,19655.386303406172,20000.0,1
2021-07-23,0.0,137.3603770593922,19891.03639729601,19891.03639729601,20000.0,1
2021-07-26,0.0,137.3603770593922,19948.612226730544,19948.612226730544,20000.0,1
2021-07-27,0.0,137.3603770593922,19651.372553374607,19651.372553374607,20000.0,1
2021-07-28,0.0,137.3603770593922,19411.702421594142,19411.702421594142,20000.0,1
2021-07-29,0.0,137.3603770593922,19500.069896832196,19500.069896832196,20000.0,1
2021-07-30,0.0,137.3603770593922,19529.528516515573,19529.528516515573,20000.0,1
2021-08-02,0.0,207.75378499234802,29469.026090116226,29469.026090116226,30000.0,1
2021-08-03,0.0,207.75378499234802,29841.64576707783,29841.64576707783,30000.0,1
2021-08-04,0.0,207.75378499234802,29758.61526267537,29758.61526267537,30000.0,1
2021-08-05,0.0,207.75378499234802,29780.88501272986,29780.88501272986,30000.0,1
2021-08-06,0.0,207.75378499234802,29638.9102047668,29638.9102047668,30000.0,1
2021-08-09,0.0,207.75378499234802,29628.775487197516,29628.775487197516,30000.0,1
2021-08-10,0.0,207.75378499234802,29529.396925708792,29529.396925708792,30000.0,1
2021-08-11,0.0,207.75378499234802,29582.12471968123,29582.12471968123,30000.0,1
2021-08-12,0.0,207.75378499234802,30196.64935848031,30196.64935848031,30000.0,1
2021-08-13,0.0,207.75378499234802,30239.236094741103,30239.236094741103,30000.0,1
2021-08-16,0.0,207.75378499234802,30648.917073893037,30648.917073893037,30000.0,1
2021-08-17,0.0,207.75378499234802,30460.3073487696,30460.3073487696,30000.0,1
2021-08-18,0.0,207.75378499234802,29683.5352967977,29683.5352967977,30000.0,1
2021-08-19,0.0,207.75378499234802,29752.490685151486,29752.490685151486,30000.0,1
