,date,action,price,shares,cash_after,technical_state,commission
0,2021-07-14,buy,145.38424682617188,137.3603770593922,0.0,1,19.980019980019982
1,2021-08-02,buy,141.84591674804688,70.39340793295584,0.0,1,9.990009990009991
2,2021-09-01,buy,148.88211059570312,67.06660351144654,0.0,1,9.990009990009991
3,2021-09-20,sell,139.53976440429688,274.82038850379456,38290.868881104994,-1,38.32919807918418
4,2021-10-18,buy,143.06390380859375,337.0418093781635,0.0,1,48.24262625485015
5,2021-11-01,buy,145.41661071777344,68.66490308076575,0.0,1,9.990009990009991
6,2021-12-01,buy,161.0852813720703,61.985908310308254,0.0,1,9.990009990009991
7,2022-01-03,buy,177.93972778320312,56.11460467914634,0.0,1,9.990009990009991
8,2022-01-21,sell,158.77806091308594,523.8072254483839,83044.38349018239,-1,83.12751100118356
9,2022-01-31,buy,170.8713836669922,485.27705638921844,0.0,1,82.96142206811427
10,2022-02-01,buy,170.70521545410156,58.49274994151589,0.0,1,9.990009990009991
11,2022-02-22,sell,160.84999084472656,543.7698063307344,87334.21405006664,-1,87.42163568575239
12,2022-03-23,buy,166.6156463623047,583.3088608630269,0.0,1,97.23697707299365
13,2022-04-01,buy,170.62904357910156,58.518862157487405,0.0,1,9.990009990009991
14,2022-04-11,sell,162.24981689453125,641.8277230205143,103980.27796032077,-1,104.08436232264341
15,2022-07-27,buy,153.70448303222656,870.3685092247053,0.0,1,133.84643152879198
16,2022-08-01,buy,158.3315887451172,63.0639631699981,0.0,1,9.990009990009991
17,2022-08-31,sell,154.34011840820312,933.4324723947035,143850.0512310263,-1,143.99404527630261
18,2022-10-28,buy,152.8872528076172,1070.0994332780408,0.0,1,163.68636486616015
19,2022-11-01,sell,147.8904571533203,1070.0994332780408,158020.18727416513,-1,158.17836563980495
20,2023-01-23,buy,138.75502014160156,1353.0212131050669,0.0,1,187.83235491924592
21,2023-02-01,buy,143.00294494628906,69.82385911716477,0.0,1,9.990009990009991
22,2023-03-01,buy,143.10311889648438,69.77498155363166,0.0,1,9.990009990009991
23,2023-04-03,buy,163.64625549316406,61.0158628511146,0.0,1,9.990009990009991
24,2023-05-01,buy,167.01434326171875,59.785389004717985,0.0,1,9.990009990009991
25,2023-06-01,buy,177.60015869140625,56.22189504131627,0.0,1,9.990009990009991
26,2023-07-03,buy,189.79916381835935,52.60833230448353,0.0,1,9.990009990009991
27,2023-08-01,buy,192.90560913085935,51.76115679713556,0.0,1,9.990009990009991
28,2023-08-07,sell,176.37734985351562,1774.0126897746313,312426.4697915414,-1,312.73920900054196
29,2023-08-30,buy,185.30555725097656,1683.4809537064616,0.0,1,312.11435543610537
30,2023-09-01,buy,187.0929412841797,53.36929021872016,0.0,1,9.990009990009991
31,2023-09-07,sell,175.34161376953125,1736.8502439251818,304085.46372993896,-1,304.3898535835225
32,2023-11-06,buy,176.9907684326172,1828.343392949738,0.0,1,323.7617020279111
33,2023-12-01,buy,189.0995330810547,52.802972691579455,0.0,1,9.990009990009991
34,2024-01-02,sell,183.5621795654297,1881.1463656413175,344789.5386219324,-1,345.1346732952276
35,2024-01-18,buy,186.51873779296875,1899.3157401931712,0.0,1,354.43510351841405
36,2024-01-31,sell,182.3360595703125,1899.3157401931712,345794.4504816482,-1,346.14059107272095
37,2024-05-03,buy,181.55886840820312,2121.716425096377,0.0,1,385.40904144020806
38,2024-06-03,buy,192.3636474609375,51.90698769265629,0.0,1,9.990009990009991
39,2024-07-01,buy,214.88853454589844,46.466031807465455,0.0,1,9.990009990009991
40,2024-08-01,buy,216.48472595214844,46.12342712564597,0.0,1,9.990009990009991
41,2024-09-03,buy,221.11248779296875,45.15808935503676,0.0,1,9.990009990009991
42,2024-10-01,buy,224.52688598632812,44.471366702504234,0.0,1,9.990009990009991
43,2024-11-01,sell,221.25144958496097,2355.8423277796855,520451.94033660693,-1,520.9729132498568
44,2024-11-25,buy,231.39161682128903,2289.007687484624,0.0,1,529.9220183182888
45,2024-12-02,buy,238.0689697265625,41.941700729573405,0.0,1,9.990009990009991
46,2025-01-02,buy,242.30194091796875,41.208986785003844,0.0,1,9.990009990009991
47,2025-01-10,sell,235.3463592529297,2372.1583749992014,557441.6980111354,-1,557.9996977088443
48,2025-07-01,buy,206.9987945556641,2978.358478627732,0.0,1,616.8248731379974
49,2025-07-31,sell,206.7497711181641,2978.358478627732,614851.5792509477,-1,615.467046297245
50,2025-08-07,buy,219.16053771972656,2846.8418662115255,0.0,1,624.2273518990487
51,2025-09-02,buy,229.0719451904297,43.589002018421404,0.0,1,9.990009990009991
52,2025-10-01,buy,254.72933959960935,39.19853714913282,0.0,1,9.990009990009991
53,2025-11-03,buy,268.29095458984375,37.21712309136248,0.0,1,9.990009990009991
54,2025-12-01,buy,282.57501220703125,35.33581190807395,0.0,1,9.990009990009991
55,2026-01-02,buy,270.5074157714844,36.91217652126907,0.0,1,9.990009990009991
56,2026-01-06,sell,261.8734436035156,3039.094516899785,794664.7572863171,-1,795.4602175038209
57,2026-02-02,buy,269.5093078613281,2981.192646674495,0.0,1,803.8608963899272
58,2026-02-12,sell,261.4891052246094,2981.192646674495,778380.463359276,-1,779.1596229822583
59,2026-04-15,buy,266.18475341796875,2994.85330432459,0.0,1,797.5828804787973
60,2026-05-01,buy,279.88214111328125,35.67579353778045,0.0,1,9.990009990009991
61,2026-06-01,buy,306.30999755859375,32.597752475771976,0.0,1,9.990009990009991
