date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,4000.0,44.94543937359561,5991.010488761614,9991.010488761614,10000.0,0
2021-06-15,4000.0,44.94543937359561,5974.203955905026,9974.203955905026,10000.0,0
2021-06-16,4000.0,44.94543937359561,5902.672290598252,9902.672290598253,10000.0,0
2021-06-17,4000.0,44.94543937359561,5917.323999075692,9917.323999075692,10000.0,0
2021-06-18,4000.0,44.94543937359561,5654.897319860817,9654.897319860818,10000.0,0
2021-06-21,4000.0,44.94543937359561,5733.323463042694,9733.323463042694,10000.0,0
2021-06-22,4000.0,44.94543937359561,5750.127595553858,9750.127595553859,10000.0,0
2021-06-23,4000.0,44.94543937359561,5838.896484267857,9838.896484267858,10000.0,0
2021-06-24,4000.0,44.94543937359561,5957.828799412056,9957.828799412055,10000.0,0
2021-06-25,4000.0,44.94543937359561,5868.629220147417,9868.629220147417,10000.0,0
2021-06-28,4000.0,44.94543937359561,6075.46904290434,10075.46904290434,10000.0,-1
2021-06-29,4000.0,44.94543937359561,6115.543838503045,10115.543838503045,10000.0,-1
2021-06-30,4000.0,44.94543937359561,6136.228643754311,10136.228643754312,10000.0,-1
2021-07-01,8000.0,90.24275139297696,11935.482394600058,19935.482394600058,20000.0,-1
2021-07-02,8000.0,90.24275139297696,11953.65184504913,19953.651845049128,20000.0,-1
2021-07-06,8000.0,90.24275139297696,11834.252599240948,19834.25259924095,20000.0,-1
2021-07-07,8000.0,90.24275139297696,11668.998039343753,19668.99803934375,20000.0,-1
2021-07-08,8000.0,90.24275139297696,11466.53982562064,19466.53982562064,20000.0,-1
2021-07-09,8000.0,90.24275139297696,11671.592298127083,19671.592298127085,20000.0,-1
2021-07-12,8000.0,90.24275139297696,11835.984859086717,19835.98485908672,20000.0,-1
2021-07-13,8000.0,90.24275139297696,11791.856296863043,19791.856296863043,20000.0,-1
2021-07-14,8000.0,90.24275139297696,11736.487323573376,19736.487323573376,20000.0,-1
2021-07-15,8000.0,90.24275139297696,11524.509942669176,19524.509942669174,20000.0,-1
2021-07-16,8000.0,90.24275139297696,11090.177457229898,19090.177457229896,20000.0,-1
2021-07-19,8000.0,90.24275139297696,11128.245863983593,19128.245863983593,20000.0,-1
2021-07-20,8000.0,90.24275139297696,11418.090252748296,19418.090252748298,20000.0,-1
2021-07-21,8000.0,90.24275139297696,11939.807536234051,19939.807536234053,20000.0,-1
2021-07-22,8000.0,90.24275139297696,11868.860617288428,19868.86061728843,20000.0,-1
2021-07-23,8000.0,90.24275139297696,11977.012567055079,19977.012567055077,20000.0,-1
2021-07-26,8000.0,90.24275139297696,11981.33770868907,19981.33770868907,20000.0,-1
2021-07-27,8000.0,90.24275139297696,11671.592298127083,19671.592298127085,20000.0,-1
2021-07-28,8000.0,90.24275139297696,11871.457630061976,19871.457630061974,20000.0,-1
2021-07-29,8000.0,90.24275139297696,11896.547857923477,19896.547857923477,20000.0,-1
2021-07-30,8000.0,90.24275139297696,12106.7916019868,20106.7916019868,20000.0,-1
2021-08-02,12000.0,134.24503354883828,18277.765712388464,30277.765712388464,30000.0,-1
2021-08-03,12000.0,134.24503354883828,18297.074087727688,30297.074087727688,30000.0,-1
2021-08-04,12000.0,134.24503354883828,18374.295298584682,30374.295298584682,30000.0,-1
2021-08-05,12000.0,134.24503354883828,18311.228646776493,30311.228646776493,30000.0,-1
2021-08-06,12000.0,134.24503354883828,18360.130497452632,30360.130497452632,30000.0,-1
2021-08-09,12000.0,134.24503354883828,18276.47725831586,30276.47725831586,30000.0,-1
2021-08-10,12000.0,134.24503354883828,17769.367135705117,29769.367135705117,30000.0,-1
2021-08-11,12000.0,134.24503354883828,17352.362764677422,29352.362764677422,30000.0,-1
2021-08-12,12000.0,134.24503354883828,16631.594591845766,28631.594591845766,30000.0,-1
2021-08-13,12000.0,134.24503354883828,16719.115241616997,28719.115241616997,30000.0,-1
2021-08-16,12000.0,134.24503354883828,16949.503734823604,28949.503734823604,30000.0,-1
2021-08-17,12000.0,134.24503354883828,16577.53790067088,28577.53790067088,30000.0,-1
2021-08-18,12000.0,134.24503354883828,16393.485616286776,28393.485616286776,30000.0,-1
2021-08-19,12000.0,134.24503354883828,16629.019732117205,28629.019732117205,30000.0,-1
2021-08-20,12000.0,134.24503354883828,16371.603405427319,28371.60340542732,30000.0,-1
2021-08-23,12000.0,134.24503354883828,16923.762306996283,28923.762306996283,30000.0,-1
2021-08-24,12000.0,134.24503354883828,16917.32515767488,28917.32515767488,30000.0,-1
2021-08-25,12000.0,134.24503354883828,17126.21756656048,29126.21756656048,30000.0,-1
2021-08-26,12000.0,134.24503354883828,17083.661710664834,29083.661710664834,30000.0,-1
2021-08-27,12000.0,134.24503354883828,17607.169408555703,29607.169408555703,30000.0,-1
2021-08-30,12000.0,134.24503354883828,17542.69754292588,29542.69754292588,30000.0,-1
2021-08-31,12000.0,134.24503354883828,17424.069637913668,29424.069637913668,30000.0,-1
2021-09-01,16000.0,180.98079641112352,23199.746471634982,39199.74647163498,40000.0,-1
2021-09-02,16000.0,180.98079641112352,23371.837845688206,39371.837845688206,40000.0,-1
2021-09-03,16000.0,180.98079641112352,23611.733502796273,39611.73350279627,40000.0,-1
2021-09-07,16000.0,180.98079641112352,23726.462006014353,39726.46200601435,40000.0,-1
2021-09-08,16000.0,180.98079641112352,23217.127653468047,39217.12765346805,40000.0,-1
2021-09-09,16000.0,180.98079641112352,23467.442630413443,39467.44263041344,40000.0,-1
2021-09-10,16000.0,180.98079641112352,23787.301665525665,39787.301665525665,40000.0,-1
2021-09-13,16000.0,180.98079641112352,24239.273147236832,40239.27314723683,40000.0,-1
2021-09-14,16000.0,180.98079641112352,24360.95246625946,40360.95246625946,40000.0,-1
2021-09-15,16000.0,180.98079641112352,24550.43054524134,40550.43054524134,40000.0,-1
2021-09-16,16000.0,180.98079641112352,25047.580948908162,41047.58094890816,40000.0,-1
2021-09-17,16000.0,180.98079641112352,24475.686492573135,40475.686492573135,40000.0,-1
2021-09-20,16000.0,180.98079641112352,23559.5761495581,39559.576149558095,40000.0,-1
2021-09-21,16000.0,180.98079641112352,23498.739251594583,39498.73925159458,40000.0,-1
2021-09-22,16000.0,180.98079641112352,24006.336590576702,40006.3365905767,40000.0,-1
2021-09-23,16000.0,180.98079641112352,24529.572574732105,40529.572574732105,40000.0,-1
2021-09-24,16000.0,180.98079641112352,24670.37285069978,40670.37285069978,40000.0,-1
2021-09-27,16000.0,180.98079641112352,24812.91842487503,40812.91842487503,40000.0,-1
2021-09-28,16000.0,180.98079641112352,23100.66075591188,39100.66075591188,40000.0,-1
2021-09-29,16000.0,180.98079641112352,22297.555710289726,38297.55571028973,40000.0,-1
2021-09-30,16000.0,180.98079641112352,22377.51632674608,38377.51632674608,40000.0,-1
2021-10-01,20000.0,229.28369952841368,28438.063969805033,48438.063969805036,50000.0,-1
2021-10-04,20000.0,229.28369952841368,27572.561386621193,47572.56138662119,50000.0,-1
2021-10-05,20000.0,229.28369952841368,28204.6186955606,48204.618695560595,50000.0,-1
2021-10-06,20000.0,229.28369952841368,27863.262861803007,47863.26286180301,50000.0,-1
2021-10-07,20000.0,229.28369952841368,28162.773790650175,48162.77379065017,50000.0,-1
2021-10-08,20000.0,229.28369952841368,27797.195457904472,47797.19545790447,50000.0,-1
2021-10-11,20000.0,229.28369952841368,28079.090978012544,48079.090978012544,50000.0,-1
2021-10-12,20000.0,229.28369952841368,27916.12308238673,47916.12308238673,50000.0,-1
2021-10-13,20000.0,229.28369952841368,28235.455281980943,48235.45528198095,50000.0,-1
2021-10-14,20000.0,229.28369952841368,29085.5343240672,49085.5343240672,50000.0,-1
2021-10-15,20000.0,229.28369952841368,28979.819130787168,48979.81913078717,50000.0,-1
2021-10-18,20000.0,229.28369952841368,29352.008052373494,49352.008052373494,50000.0,-1
2021-10-19,20000.0,229.28369952841368,29642.713026146914,49642.713026146914,50000.0,-1
2021-10-20,20000.0,229.28369952841368,29506.162995742343,49506.16299574234,50000.0,-1
2021-10-21,20000.0,229.28369952841368,29365.225731463128,49365.22573146313,50000.0,-1
2021-10-22,20000.0,229.28369952841368,29935.60811826605,49935.60811826605,50000.0,-1
2021-10-25,20000.0,229.28369952841368,29898.17318807571,49898.173188075714,50000.0,-1
2021-10-26,20000.0,229.28369952841368,29070.11078296962,49070.11078296962,50000.0,-1
2021-10-27,20000.0,229.28369952841368,29105.34859763103,49105.34859763103,50000.0,-1
2021-10-28,20000.0,229.28369952841368,29955.434636900503,49955.43463690051,50000.0,-1
2021-10-29,20000.0,229.28369952841368,30094.178284242396,50094.1782842424,50000.0,-1
2021-11-01,24000.0,273.99271266229437,36715.04021993547,60715.04021993547,60000.0,-1
2021-11-02,24000.0,273.99271266229437,37162.44403086142,61162.44403086142,60000.0,-1
2021-11-03,24000.0,273.99271266229437,37567.71795034605,61567.71795034605,60000.0,-1
2021-11-04,24000.0,273.99271266229437,39509.91138082673,63509.91138082673,60000.0,-1
2021-11-05,24000.0,273.99271266229437,40341.54715990018,64341.54715990018,60000.0,-1
2021-11-08,24000.0,273.99271266229437,40254.68692127909,64254.68692127909,60000.0,-1
2021-11-09,24000.0,273.99271266229437,41131.06140912635,65131.06140912635,60000.0,-1
2021-11-10,24000.0,273.99271266229437,39580.98074915171,63580.98074915171,60000.0,-1
2021-11-11,24000.0,273.99271266229437,40502.077222584725,64502.077222584725,60000.0,-1
2021-11-12,24000.0,273.99271266229437,41270.54533967676,65270.54533967676,60000.0,-1
2021-11-15,24000.0,273.99271266229437,41125.789424100294,65125.789424100294,60000.0,-1
2021-11-16,24000.0,273.99271266229437,41544.23285415753,65544.23285415754,60000.0,-1
2021-11-17,24000.0,273.99271266229437,41049.4689747343,65049.4689747343,60000.0,-1
2021-11-18,24000.0,273.99271266229437,41775.81974277604,65775.81974277605,60000.0,-1
2021-11-19,24000.0,273.99271266229437,39483.60998685458,63483.60998685458,60000.0,-1
2021-11-22,24000.0,273.99271266229437,38830.94158526731,62830.94158526731,60000.0,-1
2021-11-23,24000.0,273.99271266229437,39191.48097677516,63191.48097677516,60000.0,-1
2021-11-24,24000.0,273.99271266229437,39278.46245850946,63278.46245850946,60000.0,-1
2021-11-26,24000.0,273.99271266229437,37770.69982584146,61770.69982584146,60000.0,-1
2021-11-29,24000.0,273.99271266229437,39861.01471348938,63861.01471348938,60000.0,-1
2021-11-30,24000.0,273.99271266229437,38798.72018273301,62798.72018273301,60000.0,-1
2021-12-01,28000.0,315.0509539014909,45970.63859414159,73970.63859414158,70000.0,-1
2021-12-02,28000.0,315.0509539014909,44400.604548143914,72400.60454814392,70000.0,-1
2021-12-03,28000.0,315.0509539014909,44200.553730339096,72200.5537303391,70000.0,-1
2021-12-06,28000.0,315.0509539014909,44670.356351370756,72670.35635137075,70000.0,-1
2021-12-07,28000.0,315.0509539014909,47552.806255368254,75552.80625536825,70000.0,-1
2021-12-08,28000.0,315.0509539014909,47674.0462617372,75674.04626173721,70000.0,-1
2021-12-09,28000.0,315.0509539014909,46267.67180244947,74267.67180244948,70000.0,-1
2021-12-10,28000.0,315.0509539014909,46291.924611019305,74291.9246110193,70000.0,-1
2021-12-13,28000.0,315.0509539014909,44585.49315420854,72585.49315420854,70000.0,-1
2021-12-14,28000.0,315.0509539014909,44776.43895329556,72776.43895329555,70000.0,-1
2021-12-15,28000.0,315.0509539014909,46573.81002947514,74573.81002947513,70000.0,-1
2021-12-16,28000.0,315.0509539014909,44464.24834054354,72464.24834054353,70000.0,-1
2021-12-17,28000.0,315.0509539014909,44297.54573543426,72297.54573543425,70000.0,-1
2021-12-20,28000.0,315.0509539014909,43952.016524578794,71952.0165245788,70000.0,-1
2021-12-21,28000.0,315.0509539014909,45894.87080110507,73894.87080110508,70000.0,-1
2021-12-22,28000.0,315.0509539014909,46167.66081543521,74167.6608154352,70000.0,-1
2021-12-23,28000.0,315.0509539014909,47128.480654965075,75128.48065496507,70000.0,-1
2021-12-27,28000.0,315.0509539014909,49319.8577153635,77319.8577153635,70000.0,-1
2021-12-28,28000.0,315.0509539014909,48386.31928091467,76386.31928091467,70000.0,-1
2021-12-29,28000.0,315.0509539014909,48792.468494954606,76792.4684949546,70000.0,-1
2021-12-30,28000.0,315.0509539014909,47883.178061779574,75883.17806177957,70000.0,-1
2021-12-31,28000.0,315.0509539014909,47695.26085920375,75695.26085920376,70000.0,-1
2022-01-03,32000.0,353.98863520235693,54465.226370645745,86465.22637064575,80000.0,-1
2022-01-04,32000.0,353.98863520235693,53930.55423574622,85930.55423574621,80000.0,-1
2022-01-05,32000.0,353.98863520235693,52357.19639265358,84357.19639265358,80000.0,-1
2022-01-06,32000.0,353.98863520235693,53242.62710288226,85242.62710288225,80000.0,-1
2022-01-07,32000.0,353.98863520235693,51359.35095653637,83359.35095653636,80000.0,-1
2022-01-10,32000.0,353.98863520235693,50943.8723521088,82943.8723521088,80000.0,-1
2022-01-11,32000.0,353.98863520235693,51917.85963695513,83917.85963695514,80000.0,-1
2022-01-12,32000.0,353.98863520235693,54335.834925390125,86335.83492539013,80000.0,-1
2022-01-13,32000.0,353.98863520235693,53528.70345917838,85528.70345917839,80000.0,-1
2022-01-14,32000.0,353.98863520235693,56872.971335669594,88872.9713356696,80000.0,-1
2022-01-18,32000.0,353.98863520235693,51887.21727966291,83887.2172796629,80000.0,-1
2022-01-19,32000.0,353.98863520235693,48723.45465541767,80723.45465541768,80000.0,-1
2022-01-20,32000.0,353.98863520235693,47388.45686607939,79388.45686607939,80000.0,-1
2022-01-21,32000.0,353.98863520235693,45995.588070918995,77995.588070919,80000.0,-1
2022-01-24,32000.0,353.98863520235693,47436.13535855576,79436.13535855577,80000.0,-1
2022-01-25,32000.0,353.98863520235693,45290.63020430881,77290.6302043088,80000.0,-1
2022-01-26,32000.0,353.98863520235693,46172.66881152681,78172.66881152682,80000.0,-1
2022-01-27,32000.0,353.98863520235693,44323.45413267339,76323.45413267339,80000.0,-1
2022-01-28,32000.0,353.98863520235693,45106.73825049008,77106.73825049007,80000.0,-1
2022-01-31,32000.0,353.98863520235693,47058.110324631314,79058.11032463131,80000.0,-1
2022-02-01,36000.0,398.9154160127116,53195.5862038981,89195.5862038981,90000.0,-1
2022-02-02,36000.0,398.9154160127116,54020.698818372395,90020.69881837239,90000.0,-1
2022-02-03,36000.0,398.9154160127116,52389.623185047225,88389.62318504722,90000.0,-1
2022-02-04,36000.0,398.9154160127116,52028.89130792379,88028.8913079238,90000.0,-1
2022-02-07,36000.0,398.9154160127116,52243.797736112036,88243.79773611203,90000.0,-1
2022-02-08,36000.0,398.9154160127116,53249.29150656351,89249.29150656352,90000.0,-1
2022-02-09,36000.0,398.9154160127116,55340.894827643344,91340.89482764335,90000.0,-1
2022-02-10,36000.0,398.9154160127116,53640.76256292986,89640.76256292986,90000.0,-1
2022-02-11,36000.0,398.9154160127116,50846.857257158954,86846.85725715896,90000.0,-1
2022-02-14,36000.0,398.9154160127116,50605.07382977326,86605.07382977326,90000.0,-1
2022-02-15,36000.0,398.9154160127116,53667.62434471185,89667.62434471185,90000.0,-1
2022-02-16,36000.0,398.9154160127116,54097.44328805453,90097.44328805452,90000.0,-1
2022-02-17,36000.0,398.9154160127116,52374.29011722288,88374.29011722287,90000.0,-1
2022-02-18,36000.0,398.9154160127116,51176.904737735145,87176.90473773514,90000.0,-1
2022-02-22,36000.0,398.9154160127116,50081.156476150114,86081.15647615012,90000.0,-1
2022-02-23,36000.0,398.9154160127116,49158.42109797325,85158.42109797325,90000.0,-1
2022-02-24,36000.0,398.9154160127116,51296.081448704885,87296.08144870488,90000.0,-1
2022-02-25,36000.0,398.9154160127116,52180.37154844644,88180.37154844645,90000.0,-1
2022-02-28,36000.0,398.9154160127116,51595.96801182589,87595.9680118259,90000.0,-1
2022-03-01,40000.0,446.87541275755257,55822.257437666776,95822.25743766678,100000.0,-1
2022-03-02,40000.0,446.87541275755257,57359.83724988488,97359.83724988488,100000.0,-1
2022-03-03,40000.0,446.87541275755257,56265.880293480266,96265.88029348027,100000.0,-1
2022-03-04,40000.0,446.87541275755257,54155.47201694895,94155.47201694894,100000.0,-1
2022-03-07,40000.0,446.87541275755257,51347.342544474996,91347.34254447499,100000.0,-1
2022-03-08,40000.0,446.87541275755257,53470.668995284104,93470.6689952841,100000.0,-1
2022-03-09,40000.0,446.87541275755257,55395.86222361247,95395.86222361246,100000.0,-1
2022-03-10,40000.0,446.87541275755257,53823.84076543126,93823.84076543126,100000.0,-1
2022-03-11,40000.0,446.87541275755257,53251.0054823404,93251.0054823404,100000.0,-1
2022-03-14,40000.0,446.87541275755257,51739.27565623318,91739.27565623318,100000.0,-1
2022-03-15,40000.0,446.87541275755257,53582.65037141341,93582.65037141342,100000.0,-1
2022-03-16,40000.0,446.87541275755257,56196.96290766574,96196.96290766573,100000.0,-1
2022-03-17,40000.0,446.87541275755257,56847.307236423345,96847.30723642334,100000.0,-1
2022-03-18,40000.0,446.87541275755257,58203.995105475275,98203.99510547527,100000.0,-1
2022-03-21,40000.0,446.87541275755257,57799.14381943929,97799.14381943928,100000.0,-1
2022-03-22,40000.0,446.87541275755257,58350.42153695653,98350.42153695654,100000.0,-1
2022-03-23,40000.0,446.87541275755257,56601.81419370173,96601.81419370172,100000.0,-1
2022-03-24,40000.0,446.87541275755257,59689.89540180457,99689.89540180456,100000.0,-1
2022-03-25,40000.0,446.87541275755257,59030.935547472945,99030.93554747294,100000.0,-1
2022-03-28,40000.0,446.87541275755257,59289.35358325001,99289.35358325002,100000.0,-1
