date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-18,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-21,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-22,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-23,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-24,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-25,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-28,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-29,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-30,10000.0,0.0,0.0,10000.0,10000.0,0
2021-07-01,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-02,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-06,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-07,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-08,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-09,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-12,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-13,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-14,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-15,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-16,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-19,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-20,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-21,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-22,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-23,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-26,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-27,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-28,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-29,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-30,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-08-02,0.0,220.01141077930663,29955.05244380807,29955.05244380807,30000.0,1
2021-08-03,0.0,220.01141077930663,29986.69654106768,29986.69654106768,30000.0,1
2021-08-04,0.0,220.01141077930663,30113.252787459864,30113.252787459864,30000.0,1
2021-08-05,0.0,220.01141077930663,30009.89415533289,30009.89415533289,30000.0,1
2021-08-06,0.0,220.01141077930663,30090.03838765611,30090.03838765611,30000.0,1
2021-08-09,0.0,220.01141077930663,29952.94082305947,29952.94082305947,30000.0,1
2021-08-10,0.0,220.01141077930663,29121.84852454649,29121.84852454649,30000.0,1
2021-08-11,0.0,220.01141077930663,28438.428679911685,28438.428679911685,30000.0,1
2021-08-12,0.0,220.01141077930663,27257.1766189792,27257.1766189792,30000.0,1
2021-08-13,0.0,220.01141077930663,27400.612402929342,27400.612402929342,30000.0,1
2021-08-16,0.0,220.01141077930663,27778.191342557406,27778.191342557406,30000.0,1
2021-08-17,0.0,220.01141077930663,27168.58422510773,27168.58422510773,30000.0,1
2021-08-18,0.0,220.01141077930663,26866.94474039808,26866.94474039808,30000.0,1
2021-08-19,0.0,220.01141077930663,27252.956734589712,27252.956734589712,30000.0,1
2021-08-20,0.0,220.01141077930663,26831.082437302837,26831.082437302837,30000.0,1
2021-08-23,0.0,220.01141077930663,27736.00424853949,27736.00424853949,30000.0,1
2021-08-24,0.0,220.01141077930663,27725.454537565765,27725.454537565765,30000.0,1
2021-08-25,0.0,220.01141077930663,28067.80398890162,28067.80398890162,30000.0,1
2021-08-26,0.0,220.01141077930663,27998.060076259106,27998.060076259106,30000.0,1
2021-08-27,0.0,220.01141077930663,28856.02602197802,28856.02602197802,30000.0,1
2021-08-30,0.0,220.01141077930663,28750.36441396307,28750.36441396307,30000.0,1
2021-08-31,0.0,220.01141077930663,28555.947592352793,28555.947592352793,30000.0,1
2021-09-01,0.0,297.90434888311535,38188.05919709715,38188.05919709715,40000.0,1
2021-09-02,0.0,297.90434888311535,38471.33106766217,38471.33106766217,40000.0,1
2021-09-03,0.0,297.90434888311535,38866.212518887085,38866.212518887085,40000.0,1
2021-09-07,0.0,297.90434888311535,39055.061947816976,39055.061947816976,40000.0,1
2021-09-08,0.0,297.90434888311535,38216.669578748,38216.669578748,40000.0,1
2021-09-09,0.0,297.90434888311535,38628.70180372072,38628.70180372072,40000.0,1
2021-09-10,0.0,297.90434888311535,39155.2073749142,39155.2073749142,40000.0,1
2021-09-13,0.0,297.90434888311535,39899.177302348035,39899.177302348035,40000.0,1
2021-09-14,0.0,297.90434888311535,40099.46815654249,40099.46815654249,40000.0,1
2021-09-15,0.0,297.90434888311535,40411.359500077604,40411.359500077604,40000.0,1
2021-09-16,0.0,297.90434888311535,41229.69641890133,41229.69641890133,40000.0,1
2021-09-17,0.0,297.90434888311535,40288.32667679162,40288.32667679162,40000.0,1
2021-09-20,0.0,297.90434888311535,38780.35864563642,38780.35864563642,40000.0,1
2021-09-21,0.0,297.90434888311535,38680.21776419882,38680.21776419882,40000.0,1
2021-09-22,0.0,297.90434888311535,39515.75091336655,39515.75091336655,40000.0,1
2021-09-23,0.0,297.90434888311535,40377.02613296466,40377.02613296466,40000.0,1
2021-09-24,0.0,297.90434888311535,40608.791134370826,40608.791134370826,40000.0,1
2021-09-27,0.0,297.90434888311535,40843.428992657085,40843.428992657085,40000.0,1
2021-09-28,0.0,297.90434888311535,38024.95865708707,38024.95865708707,40000.0,1
2021-09-29,36647.96740941552,0.0,0.0,36647.96740941552,40000.0,-1
2021-09-30,36647.96740941552,0.0,0.0,36647.96740941552,40000.0,-1
2021-10-01,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-04,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-05,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-06,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-07,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-08,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-11,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-12,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-13,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-14,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-15,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-18,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-19,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-20,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-21,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-22,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-25,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-26,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-27,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-28,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-10-29,46647.96740941552,0.0,0.0,46647.96740941552,50000.0,-1
2021-11-01,56647.96740941552,0.0,0.0,56647.96740941552,60000.0,-1
2021-11-02,56647.96740941552,0.0,0.0,56647.96740941552,60000.0,-1
2021-11-03,0.0,412.5317304424703,56563.094486139074,56563.094486139074,60000.0,1
2021-11-04,0.0,412.5317304424703,59487.31976550889,59487.31976550889,60000.0,1
2021-11-05,0.0,412.5317304424703,60739.4557938926,60739.4557938926,60000.0,1
2021-11-08,0.0,412.5317304424703,60608.67638667103,60608.67638667103,60000.0,1
2021-11-09,0.0,412.5317304424703,61928.17237061299,61928.17237061299,60000.0,1
2021-11-10,0.0,412.5317304424703,59594.323959933194,59594.323959933194,60000.0,1
2021-11-11,0.0,412.5317304424703,60981.15472049477,60981.15472049477,60000.0,1
2021-11-12,0.0,412.5317304424703,62138.18360295479,62138.18360295479,60000.0,1
2021-11-15,0.0,412.5317304424703,61920.23471021126,61920.23471021126,60000.0,1
2021-11-16,0.0,412.5317304424703,62550.25581776734,62550.25581776734,60000.0,1
2021-11-17,0.0,412.5317304424703,61805.3243290585,61805.3243290585,60000.0,1
2021-11-18,0.0,412.5317304424703,62898.940054589846,62898.940054589846,60000.0,1
2021-11-19,0.0,412.5317304424703,59447.71958978541,59447.71958978541,60000.0,1
2021-11-22,0.0,412.5317304424703,58465.042267838624,58465.042267838624,60000.0,1
2021-11-23,0.0,412.5317304424703,59007.88130040344,59007.88130040344,60000.0,1
