date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,4000.0,73.46425830247075,5991.010488761614,9991.010488761614,10000.0,0
2021-06-15,4000.0,73.46425830247075,5911.668955277872,9911.668955277872,10000.0,0
2021-06-16,4000.0,73.46425830247075,5885.221777449957,9885.221777449957,10000.0,0
2021-06-17,4000.0,73.46425830247075,6212.137502700827,10212.137502700827,10000.0,0
2021-06-18,4000.0,73.46425830247075,6218.749577401712,10218.749577401712,10000.0,0
2021-06-21,4000.0,73.46425830247075,6067.4128241669105,10067.41282416691,10000.0,0
2021-06-22,4000.0,73.46425830247075,6140.14284343758,10140.142843437581,10000.0,0
2021-06-23,4000.0,73.46425830247075,6157.774108493586,10157.774108493586,10000.0,0
2021-06-24,4000.0,73.46425830247075,6325.27252774517,10325.27252774517,10000.0,0
2021-06-25,4000.0,73.46425830247075,6290.009997633158,10290.009997633158,10000.0,0
2021-06-28,4000.0,73.46425830247075,6397.2677474962275,10397.267747496227,10000.0,0
2021-06-29,4000.0,73.46425830247075,6576.520156622545,10576.520156622544,10000.0,0
2021-06-30,4000.0,73.46425830247075,6900.49780477059,10900.49780477059,10000.0,0
2021-07-01,8000.0,137.66970943861054,12845.960251609062,20845.96025160906,20000.0,0
2021-07-02,8000.0,137.66970943861054,13037.32106370181,21037.32106370181,20000.0,0
2021-07-06,8000.0,137.66970943861054,13005.657618719382,21005.657618719382,20000.0,0
2021-07-07,8000.0,137.66970943861054,12464.615618612183,20464.61561861218,20000.0,0
2021-07-08,8000.0,137.66970943861054,12354.479430926682,20354.47943092668,20000.0,0
2021-07-09,8000.0,137.66970943861054,12514.176798037004,20514.176798037006,20000.0,0
2021-07-12,8000.0,137.66970943861054,12501.785978012536,20501.785978012536,20000.0,0
2021-07-13,8000.0,137.66970943861054,12426.068268023217,20426.068268023217,20000.0,0
2021-07-14,8000.0,137.66970943861054,12259.48804564288,20259.48804564288,20000.0,0
2021-07-15,8000.0,137.66970943861054,11967.627883511876,19967.627883511876,20000.0,0
2021-07-16,8000.0,137.66970943861054,11824.451259655338,19824.45125965534,20000.0,0
2021-07-19,8000.0,137.66970943861054,11919.443695275668,19919.443695275666,20000.0,0
2021-07-20,8000.0,137.66970943861054,11992.408473224286,19992.408473224285,20000.0,0
2021-07-21,8000.0,137.66970943861054,12309.049225067702,20309.0492250677,20000.0,0
2021-07-22,8000.0,137.66970943861054,12556.854071855283,20556.854071855283,20000.0,0
2021-07-23,8000.0,137.66970943861054,12686.263934835268,20686.263934835268,20000.0,0
2021-07-26,8000.0,137.66970943861054,12640.83267863976,20640.83267863976,20000.0,-1
2021-07-27,8000.0,137.66970943861054,12532.073482142872,20532.07348214287,20000.0,-1
2021-07-28,8000.0,137.66970943861054,13481.994687336592,21481.99468733659,20000.0,-1
2021-07-29,8000.0,137.66970943861054,14173.096166570345,22173.096166570343,20000.0,-1
2021-07-30,8000.0,137.66970943861054,14619.14678139374,22619.14678139374,20000.0,-1
2021-08-02,12000.0,192.82031829654375,20946.070646956723,32946.07064695672,30000.0,-1
2021-08-03,12000.0,192.82031829654375,21703.854556706236,33703.85455670624,30000.0,-1
2021-08-04,12000.0,192.82031829654375,22901.268556795498,34901.2685567955,30000.0,-1
2021-08-05,12000.0,192.82031829654375,21663.362466396233,33663.36246639623,30000.0,-1
2021-08-06,12000.0,192.82031829654375,21231.445365320615,33231.445365320615,30000.0,-1
2021-08-09,12000.0,192.82031829654375,20743.61019540672,32743.61019540672,30000.0,-1
2021-08-10,12000.0,192.82031829654375,20531.508139500984,32531.508139500984,30000.0,-1
2021-08-11,12000.0,192.82031829654375,20762.891933015922,32762.891933015922,30000.0,-1
2021-08-12,12000.0,192.82031829654375,20535.36389858191,32535.36389858191,30000.0,-1
2021-08-13,12000.0,192.82031829654375,21316.28677612382,33316.286776123816,30000.0,-1
2021-08-16,12000.0,192.82031829654375,20724.328457797525,32724.328457797525,30000.0,-1
2021-08-17,12000.0,192.82031829654375,20739.752965223517,32739.752965223517,30000.0,-1
2021-08-18,12000.0,192.82031829654375,19945.33419534721,31945.33419534721,30000.0,-1
2021-08-19,12000.0,192.82031829654375,19995.466418910677,31995.466418910677,30000.0,-1
2021-08-20,12000.0,192.82031829654375,20178.64660395376,32178.64660395376,30000.0,-1
2021-08-23,12000.0,192.82031829654375,20973.06537383006,32973.06537383006,30000.0,-1
2021-08-24,12000.0,192.82031829654375,20757.107558843392,32757.107558843392,30000.0,-1
2021-08-25,12000.0,192.82031829654375,20882.441059956596,32882.441059956596,30000.0,-1
2021-08-26,12000.0,192.82031829654375,20683.834896385244,32683.834896385244,30000.0,-1
2021-08-27,12000.0,192.82031829654375,21480.18375245543,33480.18375245543,30000.0,-1
2021-08-30,12000.0,192.82031829654375,21464.75777392716,33464.75777392716,30000.0,-1
2021-08-31,12000.0,192.82031829654375,21349.065877169687,33349.06587716969,30000.0,-1
2021-09-01,16000.0,247.28900276894376,27199.31688628982,43199.31688628982,40000.0,-1
2021-09-02,16000.0,247.28900276894376,27003.958347702515,43003.958347702515,40000.0,-1
2021-09-03,16000.0,247.28900276894376,27182.006731562615,43182.006731562615,40000.0,-1
2021-09-07,16000.0,247.28900276894376,26991.595029563283,42991.59502956328,40000.0,-1
2021-09-08,16000.0,247.28900276894376,26254.672971179076,42254.672971179076,40000.0,-1
2021-09-09,16000.0,247.28900276894376,26249.728021256455,42249.72802125645,40000.0,-1
2021-09-10,16000.0,247.28900276894376,26014.80233662674,42014.802336626744,40000.0,-1
2021-09-13,16000.0,247.28900276894376,25915.88824485145,41915.88824485145,40000.0,-1
2021-09-14,16000.0,247.28900276894376,26145.867092893186,42145.86709289318,40000.0,-1
2021-09-15,16000.0,247.28900276894376,26113.718315067388,42113.71831506739,40000.0,-1
2021-09-16,16000.0,247.28900276894376,26267.038175983664,42267.03817598366,40000.0,-1
2021-09-17,16000.0,247.28900276894376,25688.380928438342,41688.380928438346,40000.0,-1
2021-09-20,16000.0,247.28900276894376,25112.19898585238,41112.19898585238,40000.0,-1
2021-09-21,16000.0,247.28900276894376,25426.255189236184,41426.25518923618,40000.0,-1
2021-09-22,16000.0,247.28900276894376,25812.025429822814,41812.02542982281,40000.0,-1
2021-09-23,16000.0,247.28900276894376,26249.728021256455,42249.72802125645,40000.0,-1
2021-09-24,16000.0,247.28900276894376,26163.17724762039,42163.17724762039,40000.0,-1
2021-09-27,16000.0,247.28900276894376,26746.779445088334,42746.77944508834,40000.0,-1
2021-09-28,16000.0,247.28900276894376,25104.77873097041,41104.778730970414,40000.0,-1
2021-09-29,16000.0,247.28900276894376,24815.45105053043,40815.451050530435,40000.0,-1
2021-09-30,16000.0,247.28900276894376,25446.038762257387,41446.03876225739,40000.0,-1
2021-10-01,20000.0,305.7664128931068,31325.768067773755,51325.76806777375,50000.0,-1
2021-10-04,20000.0,305.7664128931068,30680.60074994429,50680.60074994429,50000.0,-1
2021-10-05,20000.0,305.7664128931068,31130.077750147175,51130.077750147175,50000.0,-1
2021-10-06,20000.0,305.7664128931068,31689.630845616583,51689.630845616586,50000.0,-1
2021-10-07,20000.0,305.7664128931068,32548.833719346185,52548.833719346185,50000.0,-1
2021-10-08,20000.0,305.7664128931068,32123.818592049774,52123.81859204978,50000.0,-1
2021-10-11,20000.0,305.7664128931068,32007.628194962923,52007.62819496292,50000.0,-1
2021-10-12,20000.0,305.7664128931068,32117.70429022945,52117.70429022945,50000.0,-1
2021-10-13,20000.0,305.7664128931068,33377.46275116158,53377.46275116158,50000.0,-1
2021-10-14,20000.0,305.7664128931068,34242.7799267115,54242.7799267115,50000.0,-1
2021-10-15,20000.0,305.7664128931068,34282.53105338768,54282.53105338768,50000.0,-1
2021-10-18,20000.0,305.7664128931068,35600.38354645693,55600.38354645693,50000.0,-1
2021-10-19,20000.0,305.7664128931068,35569.80737173013,55569.80737173013,50000.0,-1
2021-10-20,20000.0,305.7664128931068,35588.15261000369,55588.15261000369,50000.0,-1
2021-10-21,20000.0,305.7664128931068,36487.10661040946,56487.10661040946,50000.0,-1
2021-10-22,20000.0,305.7664128931068,36636.931499539554,56636.931499539554,50000.0,-1
2021-10-25,20000.0,305.7664128931068,37413.578468225554,57413.578468225554,50000.0,-1
2021-10-26,20000.0,305.7664128931068,37587.86523026213,57587.86523026213,50000.0,-1
2021-10-27,20000.0,305.7664128931068,37389.11659531909,57389.11659531909,50000.0,-1
2021-10-28,20000.0,305.7664128931068,37046.65970587887,57046.65970587887,50000.0,-1
2021-10-29,20000.0,305.7664128931068,36762.296848575774,56762.296848575774,50000.0,-1
2021-11-01,24000.0,353.60646981369865,44282.13940180292,68282.13940180291,60000.0,-1
2021-11-02,24000.0,353.60646981369865,45130.79277111318,69130.79277111318,60000.0,-1
