date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-17,0.0,118.08204552454589,9985.017481269357,9985.017481269357,10000.0,1
2021-06-18,0.0,118.08204552454589,9995.645333831711,9995.645333831711,10000.0,1
2021-06-21,0.0,118.08204552454589,9752.39570744288,9752.39570744288,10000.0,1
2021-06-22,0.0,118.08204552454589,9869.297581156228,9869.297581156228,10000.0,1
2021-06-23,0.0,118.08204552454589,9897.637019831656,9897.637019831656,10000.0,1
2021-06-24,0.0,118.08204552454589,10166.8639394845,10166.8639394845,10000.0,1
2021-06-25,0.0,118.08204552454589,10110.185062133643,10110.185062133643,10000.0,1
2021-06-28,0.0,118.08204552454589,10282.584740492139,10282.584740492139,10000.0,1
2021-06-29,0.0,118.08204552454589,10570.704318963762,10570.704318963762,10000.0,1
2021-06-30,0.0,118.08204552454589,11091.446572156376,11091.446572156376,10000.0,1
2021-07-01,0.0,225.09113075144552,21003.252860878492,21003.252860878492,20000.0,1
2021-07-02,0.0,225.09113075144552,21316.129395238277,21316.129395238277,20000.0,1
2021-07-06,0.0,225.09113075144552,21264.359396858505,21264.359396858505,20000.0,1
2021-07-07,0.0,225.09113075144552,20379.75118431296,20379.75118431296,20000.0,1
2021-07-08,0.0,225.09113075144552,20199.67759278819,20199.67759278819,20000.0,1
2021-07-09,0.0,225.09113075144552,20460.784128768206,20460.784128768206,20000.0,1
2021-07-12,0.0,225.09113075144552,20440.52503399988,20440.52503399988,20000.0,1
2021-07-13,0.0,225.09113075144552,20316.725942472007,20316.725942472007,20000.0,1
2021-07-14,0.0,225.09113075144552,20044.36588033984,20044.36588033984,20000.0,1
2021-07-15,0.0,225.09113075144552,19567.17206491552,19567.17206491552,20000.0,1
2021-07-16,19304.087133771187,0.0,0.0,19304.087133771187,20000.0,-1
2021-07-19,19304.087133771187,0.0,0.0,19304.087133771187,20000.0,-1
2021-07-20,19304.087133771187,0.0,0.0,19304.087133771187,20000.0,-1
2021-07-21,19304.087133771187,0.0,0.0,19304.087133771187,20000.0,-1
2021-07-22,0.0,211.32732093565573,19275.164749065218,19275.164749065218,20000.0,1
2021-07-23,0.0,211.32732093565573,19473.812946680577,19473.812946680577,20000.0,1
2021-07-26,0.0,211.32732093565573,19404.07454381993,19404.07454381993,20000.0,1
2021-07-27,0.0,211.32732093565573,19237.12576680482,19237.12576680482,20000.0,1
2021-07-28,0.0,211.32732093565573,20695.284603720746,20695.284603720746,20000.0,1
2021-07-29,0.0,211.32732093565573,21756.14704540596,21756.14704540596,20000.0,1
2021-07-30,0.0,211.32732093565573,22440.84872609312,22440.84872609312,20000.0,1
2021-08-02,0.0,303.24500236554445,32941.503774081815,32941.503774081815,30000.0,1
2021-08-03,0.0,303.24500236554445,34133.25672592144,34133.25672592144,30000.0,1
2021-08-04,0.0,303.24500236554445,36016.40791298238,36016.40791298238,30000.0,1
2021-08-05,0.0,303.24500236554445,34069.575553053764,34069.575553053764,30000.0,1
2021-08-06,0.0,303.24500236554445,33390.30739555616,33390.30739555616,30000.0,1
2021-08-09,0.0,303.24500236554445,32623.09790974345,32623.09790974345,30000.0,1
2021-08-10,0.0,303.24500236554445,32289.52886985651,32289.52886985651,30000.0,1
2021-08-11,0.0,303.24500236554445,32653.42194726486,32653.42194726486,30000.0,1
2021-08-12,0.0,303.24500236554445,32295.592751930482,32295.592751930482,30000.0,1
2021-08-13,0.0,303.24500236554445,33523.73593694124,33523.73593694124,30000.0,1
2021-08-16,0.0,303.24500236554445,32592.773872222053,32592.773872222053,30000.0,1
2021-08-17,0.0,303.24500236554445,32617.031714093722,32617.031714093722,30000.0,1
2021-08-18,0.0,303.24500236554445,31367.66378503616,31367.66378503616,30000.0,1
2021-08-19,0.0,303.24500236554445,31446.50581987666,31446.50581987666,30000.0,1
2021-08-20,0.0,303.24500236554445,31734.58996026938,31734.58996026938,30000.0,1
2021-08-23,0.0,303.24500236554445,32983.957889326935,32983.957889326935,30000.0,1
2021-08-24,0.0,303.24500236554445,32644.324967366014,32644.324967366014,30000.0,1
2021-08-25,0.0,303.24500236554445,32841.43468161877,32841.43468161877,30000.0,1
2021-08-26,0.0,303.24500236554445,32529.090385778618,32529.090385778618,30000.0,1
2021-08-27,0.0,303.24500236554445,33781.493726236804,33781.493726236804,30000.0,1
2021-08-30,0.0,303.24500236554445,33757.23357078938,33757.23357078938,30000.0,1
2021-08-31,0.0,303.24500236554445,33575.2870320852,33575.2870320852,30000.0,1
2021-09-01,0.0,394.0261431528778,43338.93464365437,43338.93464365437,40000.0,1
2021-09-02,0.0,394.0261431528778,43027.6536298219,43027.6536298219,40000.0,1
2021-09-03,0.0,394.0261431528778,43311.35293388092,43311.35293388092,40000.0,1
2021-09-07,0.0,394.0261431528778,43007.954126372795,43007.954126372795,40000.0,1
2021-09-08,0.0,394.0261431528778,41833.754897057624,41833.754897057624,40000.0,1
2021-09-09,0.0,394.0261431528778,41825.87569691416,41825.87569691416,40000.0,1
2021-09-10,41389.3924593991,0.0,0.0,41389.3924593991,40000.0,-1
2021-09-13,41389.3924593991,0.0,0.0,41389.3924593991,40000.0,-1
2021-09-14,41389.3924593991,0.0,0.0,41389.3924593991,40000.0,-1
2021-09-15,41389.3924593991,0.0,0.0,41389.3924593991,40000.0,-1
2021-09-16,41389.3924593991,0.0,0.0,41389.3924593991,40000.0,-1
2021-09-17,41389.3924593991,0.0,0.0,41389.3924593991,40000.0,-1
2021-09-20,41389.3924593991,0.0,0.0,41389.3924593991,40000.0,-1
2021-09-21,41389.3924593991,0.0,0.0,41389.3924593991,40000.0,-1
2021-09-22,41389.3924593991,0.0,0.0,41389.3924593991,40000.0,-1
2021-09-23,41389.3924593991,0.0,0.0,41389.3924593991,40000.0,-1
2021-09-24,41389.3924593991,0.0,0.0,41389.3924593991,40000.0,-1
2021-09-27,0.0,382.0948532299248,41327.38072462181,41327.38072462181,40000.0,1
2021-09-28,38732.10221004317,0.0,0.0,38732.10221004317,40000.0,-1
2021-09-29,38732.10221004317,0.0,0.0,38732.10221004317,40000.0,-1
2021-09-30,38732.10221004317,0.0,0.0,38732.10221004317,40000.0,-1
2021-10-01,48732.10221004317,0.0,0.0,48732.10221004317,50000.0,-1
2021-10-04,48732.10221004317,0.0,0.0,48732.10221004317,50000.0,-1
2021-10-05,48732.10221004317,0.0,0.0,48732.10221004317,50000.0,-1
2021-10-06,48732.10221004317,0.0,0.0,48732.10221004317,50000.0,-1
2021-10-07,48732.10221004317,0.0,0.0,48732.10221004317,50000.0,-1
2021-10-08,0.0,463.1552482141512,48659.08924662861,48659.08924662861,50000.0,1
2021-10-11,0.0,463.1552482141512,48483.09152440111,48483.09152440111,50000.0,1
2021-10-12,0.0,463.1552482141512,48649.82769644573,48649.82769644573,50000.0,1
2021-10-13,0.0,463.1552482141512,50558.02859118192,50558.02859118192,50000.0,1
2021-10-14,0.0,463.1552482141512,51868.75525809643,51868.75525809643,50000.0,1
2021-10-15,0.0,463.1552482141512,51928.96770186452,51928.96770186452,50000.0,1
2021-10-18,0.0,463.1552482141512,53925.16569091739,53925.16569091739,50000.0,1
2021-10-19,0.0,463.1552482141512,53878.850872814786,53878.850872814786,50000.0,1
2021-10-20,0.0,463.1552482141512,53906.63905695753,53906.63905695753,50000.0,1
2021-10-21,0.0,463.1552482141512,55268.31661745724,55268.31661745724,50000.0,1
2021-10-22,0.0,463.1552482141512,55495.26169967583,55495.26169967583,50000.0,1
2021-10-25,0.0,463.1552482141512,56671.676454171065,56671.676454171065,50000.0,1
2021-10-26,0.0,463.1552482141512,56935.67480430937,56935.67480430937,50000.0,1
2021-10-27,0.0,463.1552482141512,56634.623186251345,56634.623186251345,50000.0,1
2021-10-28,0.0,463.1552482141512,56115.89156975174,56115.89156975174,50000.0,1
2021-10-29,0.0,463.1552482141512,55685.157047568806,55685.157047568806,50000.0,1
2021-11-01,0.0,542.8886764151376,67985.95076990892,67985.95076990892,60000.0,1
2021-11-02,0.0,542.8886764151376,69288.88027977572,69288.88027977572,60000.0,1
2021-11-03,0.0,542.8886764151376,70863.25826976201,70863.25826976201,60000.0,1
2021-11-04,0.0,542.8886764151376,74647.19300708143,74647.19300708143,60000.0,1
2021-11-05,0.0,542.8886764151376,74017.44015432216,74017.44015432216,60000.0,1
2021-11-08,0.0,542.8886764151376,81520.16563861478,81520.16563861478,60000.0,1
2021-11-09,0.0,542.8886764151376,80846.98069768344,80846.98069768344,60000.0,1
2021-11-10,0.0,542.8886764151376,75933.83651936169,75933.83651936169,60000.0,1
2021-11-11,0.0,542.8886764151376,79267.17266119768,79267.17266119768,60000.0,1
2021-11-12,0.0,542.8886764151376,80287.80602368175,80287.80602368175,60000.0,1
