,date,action,price,shares,cash_after,technical_state,commission
0,2021-06-17,buy,84.55999755859375,118.08204552454589,0.0,1,9.990009990009991
1,2021-07-01,buy,93.30999755859376,107.00908522689963,0.0,1,9.990009990009991
2,2021-07-16,sell,85.88999938964844,225.09113075144552,19304.087133771187,-1,19.323410544315504
3,2021-07-22,buy,91.20999908447266,211.32732093565573,0.0,1,19.28480233143975
4,2021-08-02,buy,108.62999725341795,91.9176814298887,0.0,1,9.990009990009991
5,2021-09-01,buy,109.98999786376952,90.78114078733337,0.0,1,9.990009990009991
6,2021-09-10,sell,105.1999969482422,394.0261431528778,41389.3924593991,-1,41.430823282681786
7,2021-09-27,buy,108.16000366210938,382.0948532299248,0.0,1,41.34804441498412
8,2021-09-28,sell,101.5199966430664,382.0948532299248,38732.10221004317,-1,38.770873083126304
9,2021-10-08,buy,105.05999755859376,463.1552482141512,0.0,1,48.683418791251924
10,2021-11-01,buy,125.2300033569336,79.73342820098644,0.0,1,9.990009990009991
11,2021-12-01,buy,149.11000061035156,66.96410328212535,0.0,1,9.990009990009991
12,2021-12-06,sell,139.05999755859375,609.852779697263,84678.95926978232,-1,84.7637229927751
13,2021-12-23,buy,146.13999938964844,578.5691064292993,0.0,1,84.59436490487745
14,2022-01-03,buy,150.24000549316406,66.46044406410564,0.0,1,9.990009990009991
15,2022-01-05,sell,136.14999389648438,645.0295504934049,87689.08211906973,-1,87.77685897804778
16,2022-02-08,buy,128.22999572753906,760.6856626281423,0.0,1,97.5914906284413
17,2022-02-11,sell,113.18000030517578,760.6856626281423,85965.30497030517,-1,86.05135632663179
18,2022-03-21,buy,115.91999816894533,826.6177215835617,0.0,1,95.86943553477042
19,2022-04-01,sell,108.19000244140624,826.6177215835617,89297.6703721475,-1,89.38705742957708
20,2022-05-17,buy,102.47000122070312,1065.0328255362738,0.0,1,109.18848189025726
21,2022-05-24,sell,91.16000366210938,1065.0328255362738,96942.81222593732,-1,97.03985207801533
22,2022-05-26,buy,98.75,980.2285314019208,0.0,1,96.84596625967765
23,2022-06-01,buy,101.22000122070312,98.64668406294251,0.0,1,9.990009990009991
24,2022-06-13,sell,86.98999786376953,1078.8752154648632,93710.62258520586,-1,93.80442701221807
25,2022-07-19,buy,85.87999725341797,1205.8132424607113,0.0,1,103.60701556963623
26,2022-08-01,buy,96.77999877929688,103.17232493502931,0.0,1,9.990009990009991
27,2022-08-23,sell,92.48999786376952,1308.9855673957406,120886.53075767514,-1,121.00753829597112
28,2022-11-07,buy,63.08000183105469,2388.402986002707,0.0,1,150.73579496271242
29,2022-12-01,buy,77.4800033569336,128.8721869986317,0.0,1,9.990009990009991
30,2022-12-08,sell,70.47000122070312,2517.2751730013388,177126.3846336709,-1,177.3036883219929
31,2023-01-11,buy,69.05999755859375,2705.5607990554126,0.0,1,186.93944518848244
32,2023-02-01,buy,84.63999938964844,117.97043423053869,0.0,1,9.990009990009991
33,2023-02-22,sell,76.61000061035156,2823.531233285951,215986.37156649012,-1,216.20257414063076
34,2023-03-03,buy,81.5199966430664,2768.005352723427,0.0,1,225.76061095553462
35,2023-04-03,buy,96.55999755859376,103.40739160862476,0.0,1,9.990009990009991
36,2023-04-13,sell,92.08999633789062,2871.412744332052,264031.87874064053,-1,264.2961749155561
37,2023-05-08,buy,95.04000091552734,2879.0120720667487,0.0,1,273.7581206200206
38,2023-06-01,buy,119.47000122070312,83.57761261610365,0.0,1,9.990009990009991
39,2023-06-22,sell,110.6999969482422,2962.5896846828523,327466.8950290402,-1,327.794689718759
40,2023-07-13,buy,115.91999816894533,2906.843426018418,0.0,1,337.12976526377645
41,2023-07-20,sell,110.25,2906.843426018418,319998.9287266967,-1,320.3192479746714
42,2023-08-01,buy,117.5999984741211,2801.909111300992,0.0,1,329.6692594672295
43,2023-08-02,sell,109.3499984741211,2801.909111300992,305929.32710419997,-1,306.2355626668668
44,2023-08-04,buy,115.81999969482422,2637.463035069337,0.0,1,305.6237034007992
45,2023-08-09,sell,110.47000122070312,2637.463035069337,290923.6495668859,-1,291.2148644313172
46,2023-09-05,buy,110.77999877929688,2712.3379080721456,0.0,1,300.62302654034556
47,2023-09-07,sell,106.58999633789062,2712.3379080721456,288674.570111043,-1,288.9635336446877
48,2023-10-05,buy,102.91000366210938,2897.940625443222,0.0,1,298.37619391712593
49,2023-10-19,sell,102.4000015258789,2897.940625443222,296304.1491551537,-1,296.60074990505876
50,2023-11-02,buy,107.83000183105467,2836.3648631773667,0.0,1,305.9981510041496
51,2023-12-01,buy,121.38999938964844,82.2556844177794,0.0,1,9.990009990009991
52,2024-01-02,buy,138.5800018310547,72.05236938474187,0.0,1,9.990009990009991
53,2024-02-01,buy,170.47999572753906,58.57002423455828,0.0,1,9.990009990009991
54,2024-02-21,sell,164.2899932861328,3049.242941214446,500208.91266645055,-1,500.7096222887393
55,2024-02-22,buy,181.86000061035156,2746.395425326393,0.0,1,499.7092034629876
56,2024-03-01,buy,202.63999938964844,49.274662018082424,0.0,1,9.990009990009991
57,2024-03-19,sell,181.4199981689453,2795.670087344475,506429.9300290505,-1,506.9368668959465
