date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,0.0,122.44043050411791,9985.017481269357,9985.017481269357,10000.0,1
2021-06-15,0.0,122.44043050411791,9852.781592129784,9852.781592129784,10000.0,1
2021-06-16,0.0,122.44043050411791,9808.702962416593,9808.702962416593,10000.0,1
2021-06-17,0.0,122.44043050411791,10353.562504501378,10353.562504501378,10000.0,1
2021-06-18,0.0,122.44043050411791,10364.58262900285,10364.58262900285,10000.0,1
2021-06-21,0.0,122.44043050411791,10112.35470694485,10112.35470694485,10000.0,1
2021-06-22,0.0,122.44043050411791,10233.571405729299,10233.571405729299,10000.0,1
2021-06-23,0.0,122.44043050411791,10262.95684748931,10262.95684748931,10000.0,1
2021-06-24,0.0,122.44043050411791,10542.120879575283,10542.120879575283,10000.0,1
2021-06-25,0.0,122.44043050411791,10483.349996055262,10483.349996055262,10000.0,1
2021-06-28,0.0,122.44043050411791,10662.112912493712,10662.112912493712,10000.0,1
2021-06-29,0.0,122.44043050411791,10960.86692770424,10960.86692770424,10000.0,1
2021-06-30,0.0,122.44043050411791,11500.82967461765,11500.82967461765,10000.0,1
2021-07-01,0.0,229.44951573101753,21409.933752681765,21409.933752681765,20000.0,1
2021-07-02,0.0,229.44951573101753,21728.86843950301,21728.86843950301,20000.0,1
2021-07-06,0.0,229.44951573101753,21676.096031198966,21676.096031198966,20000.0,1
2021-07-07,0.0,229.44951573101753,20774.359364353633,20774.359364353633,20000.0,1
2021-07-08,0.0,229.44951573101753,20590.799051544465,20590.799051544465,20000.0,1
2021-07-09,0.0,229.44951573101753,20856.96133006167,20856.96133006167,20000.0,1
2021-07-12,0.0,229.44951573101753,20836.309963354222,20836.309963354222,20000.0,1
2021-07-13,0.0,229.44951573101753,20710.113780038693,20710.113780038693,20000.0,1
2021-07-14,0.0,229.44951573101753,20432.480076071464,20432.480076071464,20000.0,1
2021-07-15,0.0,229.44951573101753,19946.04647251979,19946.04647251979,20000.0,1
2021-07-16,0.0,229.44951573101753,19707.418766092225,19707.418766092225,20000.0,1
2021-07-19,0.0,229.44951573101753,19865.739492126108,19865.739492126108,20000.0,1
2021-07-20,0.0,229.44951573101753,19987.34745537381,19987.34745537381,20000.0,1
2021-07-21,0.0,229.44951573101753,20515.0820417795,20515.0820417795,20000.0,1
2021-07-22,0.0,229.44951573101753,20928.090119758803,20928.090119758803,20000.0,1
2021-07-23,0.0,229.44951573101753,21143.773224725443,21143.773224725443,20000.0,1
2021-07-26,0.0,229.44951573101753,21068.054464399593,21068.054464399593,20000.0,1
2021-07-27,0.0,229.44951573101753,20886.789136904783,20886.789136904783,20000.0,1
2021-07-28,0.0,229.44951573101753,22469.99114556098,22469.99114556098,20000.0,1
2021-07-29,0.0,229.44951573101753,23621.826944283905,23621.826944283905,20000.0,1
2021-07-30,0.0,229.44951573101753,24365.24463565623,24365.24463565623,20000.0,1
2021-08-02,0.0,321.36719716090624,34910.11774492787,34910.11774492787,30000.0,1
2021-08-03,0.0,321.36719716090624,36173.090927843725,36173.090927843725,30000.0,1
2021-08-04,0.0,321.36719716090624,38168.78092799249,38168.78092799249,30000.0,1
2021-08-05,0.0,321.36719716090624,36105.60411066039,36105.60411066039,30000.0,1
2021-08-06,0.0,321.36719716090624,35385.74227553436,35385.74227553436,30000.0,1
2021-08-09,0.0,321.36719716090624,34572.6836590112,34572.6836590112,30000.0,1
