date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-18,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-21,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-22,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-23,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-24,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-25,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-28,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-29,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-30,10000.0,0.0,0.0,10000.0,10000.0,0
2021-07-01,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-02,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-06,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-07,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-08,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-09,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-12,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-13,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-14,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-15,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-16,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-19,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-20,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-21,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-22,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-23,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-26,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-27,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-28,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-29,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-30,0.0,120.02701535567557,19970.034962538713,19970.034962538713,20000.0,1
2021-08-02,0.0,179.97044694729365,29978.39815249854,29978.39815249854,30000.0,1
2021-08-03,0.0,179.97044694729365,30291.18522949048,30291.18522949048,30000.0,1
2021-08-04,0.0,179.97044694729365,30187.52152707023,30187.52152707023,30000.0,1
2021-08-05,0.0,179.97044694729365,30378.9213716035,30378.9213716035,30000.0,1
2021-08-06,0.0,179.97044694729365,30099.516264110636,30099.516264110636,30000.0,1
2021-08-09,0.0,179.97044694729365,30071.89293150195,30071.89293150195,30000.0,1
2021-08-10,0.0,179.97044694729365,29881.21257331359,29881.21257331359,30000.0,1
2021-08-11,0.0,179.97044694729365,29624.125273168454,29624.125273168454,30000.0,1
2021-08-12,0.0,179.97044694729365,29726.619123745448,29726.619123745448,30000.0,1
2021-08-13,0.0,179.97044694729365,29640.862942146476,29640.862942146476,30000.0,1
2021-08-16,0.0,179.97044694729365,29686.034052403986,29686.034052403986,30000.0,1
2021-08-17,0.0,179.97044694729365,29172.85080543628,29172.85080543628,30000.0,1
2021-08-18,0.0,179.97044694729365,28806.25054365462,28806.25054365462,30000.0,1
2021-08-19,0.0,179.97044694729365,28685.03906358555,28685.03906358555,30000.0,1
2021-08-20,0.0,179.97044694729365,28794.821146068643,28794.821146068643,30000.0,1
2021-08-23,0.0,179.97044694729365,29388.004683876017,29388.004683876017,30000.0,1
2021-08-24,0.0,179.97044694729365,29747.135469099805,29747.135469099805,30000.0,1
2021-08-25,0.0,179.97044694729365,29687.744892071467,29687.744892071467,30000.0,1
2021-08-26,0.0,179.97044694729365,29839.100653087506,29839.100653087506,30000.0,-1
2021-08-27,0.0,179.97044694729365,30141.721552793693,30141.721552793693,30000.0,-1
2021-08-30,0.0,179.97044694729365,30789.075272432157,30789.075272432157,30000.0,-1
2021-08-31,0.0,179.97044694729365,31231.982278740863,31231.982278740863,30000.0,-1
2021-09-01,10000.0,179.97044694729365,31305.858697255513,41305.85869725551,40000.0,-1
2021-09-02,10000.0,179.97044694729365,31162.963766119916,41162.963766119916,40000.0,-1
2021-09-03,10000.0,179.97044694729365,31297.309991180275,41297.30999118027,40000.0,-1
2021-09-07,10000.0,179.97044694729365,31578.423192209535,41578.423192209535,40000.0,-1
2021-09-08,10000.0,179.97044694729365,31724.289437181753,41724.28943718175,40000.0,-1
2021-09-09,10000.0,179.97044694729365,31352.290281682162,41352.29028168216,40000.0,-1
2021-09-10,10000.0,179.97044694729365,31217.224570276892,41217.22457027689,40000.0,-1
2021-09-13,10000.0,179.97044694729365,31109.422448307854,41109.42244830786,40000.0,-1
2021-09-14,10000.0,179.97044694729365,31044.902098408154,41044.90209840816,40000.0,-1
2021-09-15,10000.0,179.97044694729365,31276.974890477686,41276.974890477686,40000.0,-1
2021-09-16,10000.0,179.97044694729365,31389.006054321402,41389.006054321406,40000.0,-1
2021-09-17,10000.0,179.97044694729365,31157.564872401985,41157.564872401985,40000.0,-1
2021-09-20,10000.0,179.97044694729365,30196.6112209697,40196.6112209697,40000.0,-1
2021-09-21,10000.0,179.97044694729365,30087.72986948329,40087.729869483286,40000.0,-1
2021-09-22,10000.0,179.97044694729365,30415.45589959097,40415.45589959097,40000.0,-1
2021-09-23,10000.0,179.97044694729365,30738.952887823973,40738.95288782397,40000.0,-1
2021-09-24,10000.0,179.97044694729365,30824.61844709706,40824.61844709706,40000.0,-1
2021-09-27,10000.0,179.97044694729365,30647.16620235696,40647.16620235696,40000.0,-1
2021-09-28,10000.0,179.97044694729365,29838.74090991505,39838.74090991505,40000.0,-1
2021-09-29,10000.0,179.97044694729365,29705.202047394403,39705.2020473944,40000.0,-1
2021-09-30,10000.0,179.97044694729365,29560.50565426544,39560.505654265435,40000.0,-1
2021-10-01,20000.0,179.97044694729365,29544.48747163233,49544.487471632325,50000.0,-1
2021-10-04,20000.0,179.97044694729365,28703.306327579285,48703.30632757928,50000.0,-1
2021-10-05,20000.0,179.97044694729365,28984.241030087862,48984.24103008786,50000.0,-1
2021-10-06,20000.0,179.97044694729365,29353.268871750828,49353.26887175083,50000.0,-1
2021-10-07,20000.0,179.97044694729365,29716.99118815284,49716.99118815284,50000.0,-1
2021-10-08,20000.0,179.97044694729365,29592.720518052345,49592.720518052345,50000.0,-1
2021-10-11,20000.0,179.97044694729365,29211.903535630943,49211.90353563095,50000.0,-1
2021-10-12,20000.0,179.97044694729365,29221.171728051097,49221.17172805109,50000.0,-1
2021-10-13,20000.0,179.97044694729365,29553.66778785768,49553.66778785768,50000.0,-1
2021-10-14,20000.0,179.97044694729365,29693.863272134313,49693.86327213432,50000.0,-1
2021-10-15,20000.0,179.97044694729365,30676.143377591758,50676.143377591754,50000.0,-1
2021-10-18,20000.0,179.97044694729365,31015.567926131986,51015.56792613199,50000.0,-1
2021-10-19,20000.0,179.97044694729365,30992.261511592777,50992.26151159278,50000.0,-1
2021-10-20,20000.0,179.97044694729365,30730.49480407462,50730.494804074624,50000.0,-1
2021-10-21,20000.0,179.97044694729365,30910.01488552357,50910.014885523575,50000.0,-1
2021-10-22,20000.0,179.97044694729365,30015.020556680807,50015.02055668081,50000.0,-1
2021-10-25,20000.0,179.97044694729365,29878.42250412874,49878.42250412874,50000.0,-1
2021-10-26,20000.0,179.97044694729365,30379.640857948412,50379.64085794841,50000.0,-1
2021-10-27,20000.0,179.97044694729365,30527.396441108798,50527.396441108795,50000.0,-1
2021-10-28,20000.0,179.97044694729365,31014.038331116277,51014.03833111627,50000.0,-1
2021-10-29,20000.0,179.97044694729365,30346.887752468367,50346.88775246836,50000.0,-1
2021-11-01,30000.0,179.97044694729365,29858.08740342615,59858.08740342615,60000.0,-1
2021-11-02,30000.0,179.97044694729365,29809.854357006134,59809.85435700613,60000.0,-1
2021-11-03,30000.0,179.97044694729365,30450.99907425587,60450.99907425587,60000.0,-1
2021-11-04,30000.0,179.97044694729365,31287.863300239438,61287.863300239434,60000.0,-1
2021-11-05,30000.0,179.97044694729365,31665.708968824216,61665.70896882421,60000.0,-1
2021-11-08,30000.0,179.97044694729365,31395.665422208476,61395.665422208476,60000.0,-1
2021-11-09,30000.0,179.97044694729365,32180.784300111176,62180.784300111176,60000.0,-1
2021-11-10,30000.0,179.97044694729365,31333.303531343514,61333.30353134351,60000.0,-1
2021-11-11,30000.0,179.97044694729365,31247.36885122386,61247.36885122386,60000.0,-1
2021-11-12,30000.0,179.97044694729365,31721.142370955535,61721.14237095554,60000.0,-1
2021-11-15,30000.0,179.97044694729365,31905.880101470644,61905.88010147064,60000.0,-1
2021-11-16,30000.0,179.97044694729365,31861.068734385593,61861.0687343856,60000.0,-1
