date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,4000.0,35.40922438194624,5991.0104887616135,9991.010488761614,10000.0,0
2021-06-15,4000.0,35.40922438194624,5989.700256688765,9989.700256688764,10000.0,0
2021-06-16,4000.0,35.40922438194624,6046.567570461717,10046.567570461717,10000.0,0
2021-06-17,4000.0,35.40922438194624,6177.564302954199,10177.564302954199,10000.0,0
2021-06-18,4000.0,35.40922438194624,6173.4212680945675,10173.421268094567,10000.0,0
2021-06-21,4000.0,35.40922438194624,6115.10216315471,10115.10216315471,10000.0,0
2021-06-22,4000.0,35.40922438194624,6206.245688255273,10206.245688255272,10000.0,0
2021-06-23,4000.0,35.40922438194624,6203.377225544034,10203.377225544034,10000.0,0
2021-06-24,4000.0,35.40922438194624,6106.462195700308,10106.462195700307,10000.0,0
2021-06-25,4000.0,35.40922438194624,6022.152949152101,10022.152949152101,10000.0,0
2021-06-28,4000.0,35.40922438194624,6097.273821831909,10097.27382183191,10000.0,0
2021-06-29,4000.0,35.40922438194624,6104.798065892319,10104.798065892319,10000.0,0
2021-06-30,4000.0,35.40922438194624,6090.669711882865,10090.669711882865,10000.0,0
2021-07-01,8000.0,70.31200850117094,12068.950688217134,20068.950688217134,20000.0,0
2021-07-02,8000.0,70.31200850117094,12343.202497132765,20343.202497132763,20000.0,0
2021-07-06,8000.0,70.31200850117094,12922.433286647889,20922.433286647887,20000.0,0
2021-07-07,8000.0,70.31200850117094,12995.697850193543,20995.697850193545,20000.0,0
2021-07-08,8000.0,70.31200850117094,13118.146273079394,21118.146273079394,20000.0,0
2021-07-09,8000.0,70.31200850117094,13075.71295019991,21075.712950199908,20000.0,0
2021-07-12,8000.0,70.31200850117094,13072.93634683686,21072.93634683686,20000.0,-1
2021-07-13,8000.0,70.31200850117094,12928.128113020024,20928.128113020022,20000.0,-1
2021-07-14,8000.0,70.31200850117094,12943.315747180523,20943.315747180524,20000.0,-1
2021-07-15,8000.0,70.31200850117094,12765.848091812419,20765.84809181242,20000.0,-1
2021-07-16,8000.0,70.31200850117094,12563.455378743214,20563.455378743216,20000.0,-1
2021-07-19,8000.0,70.31200850117094,12478.940636347106,20478.940636347106,20000.0,-1
2021-07-20,8000.0,70.31200850117094,12561.908291397958,20561.90829139796,20000.0,-1
2021-07-21,8000.0,70.31200850117094,12604.130257684505,20604.130257684505,20000.0,-1
2021-07-22,8000.0,70.31200850117094,12789.860131947073,20789.860131947073,20000.0,-1
2021-07-23,8000.0,70.31200850117094,12855.285189784137,20855.28518978414,20000.0,-1
2021-07-26,8000.0,70.31200850117094,13007.088575813917,21007.08857581392,20000.0,-1
2021-07-27,8000.0,70.31200850117094,12748.938491501338,20748.938491501336,20000.0,-1
2021-07-28,8000.0,70.31200850117094,12762.754989998013,20762.754989998015,20000.0,-1
2021-07-29,8000.0,70.31200850117094,12655.880436670923,20655.880436670923,20000.0,-1
2021-07-30,0.0,118.32281464344118,19686.490897849155,19686.490897849155,20000.0,1
2021-08-02,0.0,178.26624623505927,29694.52261432145,29694.52261432145,30000.0,1
2021-08-03,0.0,178.26624623505927,30004.34780524582,30004.34780524582,30000.0,1
2021-08-04,0.0,178.26624623505927,29901.665729300887,29901.665729300887,30000.0,1
2021-08-05,0.0,178.26624623505927,30091.25314431082,30091.25314431082,30000.0,1
2021-08-06,0.0,178.26624623505927,29814.493817785155,29814.493817785155,30000.0,1
2021-08-09,0.0,178.26624623505927,29787.132059806663,29787.132059806663,30000.0,1
2021-08-10,0.0,178.26624623505927,29598.25731808337,29598.25731808337,30000.0,1
2021-08-11,0.0,178.26624623505927,29343.60446407895,29343.60446407895,30000.0,1
2021-08-12,0.0,178.26624623505927,29445.127765901325,29445.127765901325,30000.0,1
2021-08-13,0.0,178.26624623505927,29360.183638438124,29360.183638438124,30000.0,1
2021-08-16,0.0,178.26624623505927,29404.927008255025,29404.927008255025,30000.0,1
2021-08-17,0.0,178.26624623505927,28896.603266110604,28896.603266110604,30000.0,1
2021-08-18,0.0,178.26624623505927,28533.474465548443,28533.474465548443,30000.0,1
2021-08-19,0.0,178.26624623505927,28413.4107777651,28413.4107777651,30000.0,1
2021-08-20,0.0,178.26624623505927,28522.15329677357,28522.15329677357,30000.0,1
2021-08-23,0.0,178.26624623505927,29109.719780088028,29109.719780088028,30000.0,1
2021-08-24,0.0,178.26624623505927,29465.449835078907,29465.449835078907,30000.0,1
2021-08-25,0.0,178.26624623505927,29406.621647406093,29406.621647406093,30000.0,1
2021-08-26,0.0,178.26624623505927,29556.544169798235,29556.544169798235,30000.0,-1
2021-08-27,0.0,178.26624623505927,29856.29945038993,29856.29945038993,30000.0,-1
2021-08-30,0.0,178.26624623505927,30497.523159858454,30497.523159858454,30000.0,-1
2021-08-31,0.0,178.26624623505927,30936.23613071074,30936.23613071074,30000.0,-1
2021-09-01,4000.0,212.70723843895223,37000.423477324766,41000.423477324766,40000.0,-1
2021-09-02,4000.0,212.70723843895223,36831.535825466686,40831.535825466686,40000.0,-1
2021-09-03,4000.0,212.70723843895223,36990.31975367272,40990.31975367272,40000.0,-1
