date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,0.0,59.01537396991039,9985.017481269355,9985.017481269355,10000.0,1
2021-06-15,0.0,59.01537396991039,9982.83376114794,9982.83376114794,10000.0,1
2021-06-16,0.0,59.01537396991039,10077.612617436194,10077.612617436194,10000.0,1
2021-06-17,0.0,59.01537396991039,10295.940504923663,10295.940504923663,10000.0,1
2021-06-18,0.0,59.01537396991039,10289.035446824279,10289.035446824279,10000.0,1
2021-06-21,0.0,59.01537396991039,10191.836938591183,10191.836938591183,10000.0,1
2021-06-22,0.0,59.01537396991039,10343.742813758789,10343.742813758789,10000.0,1
2021-06-23,0.0,59.01537396991039,10338.96204257339,10338.96204257339,10000.0,1
2021-06-24,0.0,59.01537396991039,10177.436992833846,10177.436992833846,10000.0,1
2021-06-25,0.0,59.01537396991039,10036.921581920167,10036.921581920167,10000.0,1
2021-06-28,0.0,59.01537396991039,10162.123036386514,10162.123036386514,10000.0,1
2021-06-29,0.0,59.01537396991039,10174.663443153864,10174.663443153864,10000.0,1
2021-06-30,0.0,59.01537396991039,10151.116186471441,10151.116186471441,10000.0,1
2021-07-01,0.0,117.18668083528488,20114.917813695218,20114.917813695218,20000.0,1
2021-07-02,0.0,117.18668083528488,20572.004161887937,20572.004161887937,20000.0,1
2021-07-06,0.0,117.18668083528488,21537.38881107981,21537.38881107981,20000.0,1
2021-07-07,0.0,117.18668083528488,21659.496416989234,21659.496416989234,20000.0,1
2021-07-08,0.0,117.18668083528488,21863.577121798986,21863.577121798986,20000.0,1
2021-07-09,0.0,117.18668083528488,21792.854916999848,21792.854916999848,20000.0,1
2021-07-12,0.0,117.18668083528488,21788.227244728096,21788.227244728096,20000.0,1
2021-07-13,0.0,117.18668083528488,21546.880188366704,21546.880188366704,20000.0,1
2021-07-14,0.0,117.18668083528488,21572.192911967533,21572.192911967533,20000.0,1
2021-07-15,0.0,117.18668083528488,21276.413486354028,21276.413486354028,20000.0,1
2021-07-16,0.0,117.18668083528488,20939.092297905354,20939.092297905354,20000.0,1
2021-07-19,0.0,117.18668083528488,20798.23439391184,20798.23439391184,20000.0,1
2021-07-20,0.0,117.18668083528488,20936.513818996595,20936.513818996595,20000.0,1
2021-07-21,0.0,117.18668083528488,21006.8837628075,21006.8837628075,20000.0,1
2021-07-22,0.0,117.18668083528488,21316.43355324512,21316.43355324512,20000.0,1
