date,cash,shares,position_value,equity,total_contributed,technical_state
2023-09-14,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-15,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-18,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-19,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-20,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-21,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-22,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-25,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-26,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-27,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-28,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-29,10000.0,0.0,0.0,10000.0,10000.0,0
2023-10-02,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-03,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-04,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-05,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-06,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-09,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-10,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-11,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-12,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-13,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-16,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-17,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-18,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-19,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-20,0.0,417.17224583511063,19970.034962538713,19970.034962538713,20000.0,1
2023-10-23,0.0,417.17224583511063,20946.218081448307,20946.218081448307,20000.0,1
2023-10-24,0.0,417.17224583511063,21847.310068796713,21847.310068796713,20000.0,1
2023-10-25,0.0,417.17224583511063,20624.99526118897,20624.99526118897,20000.0,1
2023-10-26,0.0,417.17224583511063,20929.530809682303,20929.530809682303,20000.0,1
2023-10-27,0.0,417.17224583511063,20478.985611701013,20478.985611701013,20000.0,1
2023-10-30,0.0,417.17224583511063,19982.55121205613,19982.55121205613,20000.0,1
2023-10-31,0.0,417.17224583511063,20562.420379145202,20562.420379145202,20000.0,1
2023-11-01,0.0,614.8170872997728,31060.55953182545,31060.55953182545,30000.0,1
2023-11-02,0.0,614.8170872997728,32474.638363546714,32474.638363546714,30000.0,-1
2023-11-03,0.0,614.8170872997728,32886.56703161491,32886.56703161491,30000.0,-1
2023-11-06,0.0,614.8170872997728,32646.786397481508,32646.786397481508,30000.0,-1
2023-11-07,0.0,614.8170872997728,33980.94069649937,33980.94069649937,30000.0,-1
2023-11-08,0.0,614.8170872997728,33446.050487244065,33446.050487244065,30000.0,-1
2023-11-09,0.0,614.8170872997728,31712.26648868599,31712.26648868599,30000.0,-1
2023-11-10,0.0,614.8170872997728,32136.48943460005,32136.48943460005,30000.0,-1
2023-11-13,0.0,614.8170872997728,31779.894398202472,31779.894398202472,30000.0,-1
2023-11-14,0.0,614.8170872997728,32849.67716205414,32849.67716205414,30000.0,-1
2023-11-15,0.0,614.8170872997728,34079.31133665369,34079.31133665369,30000.0,-1
2023-11-16,0.0,614.8170872997728,33341.530362825746,33341.530362825746,30000.0,-1
2023-11-17,0.0,614.8170872997728,33808.79266256457,33808.79266256457,30000.0,-1
2023-11-20,0.0,614.8170872997728,36077.46687037795,36077.46687037795,30000.0,-1
2023-11-21,0.0,614.8170872997728,36065.170247191025,36065.170247191025,30000.0,-1
2023-11-22,0.0,614.8170872997728,37971.1022796839,37971.1022796839,30000.0,-1
2023-11-24,0.0,614.8170872997728,39274.51619340498,39274.51619340498,30000.0,-1
