date,cash,shares,position_value,equity,total_contributed,technical_state
2023-09-14,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-15,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-18,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-19,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-20,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-21,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-22,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-25,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-26,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-27,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-28,10000.0,0.0,0.0,10000.0,10000.0,0
2023-09-29,10000.0,0.0,0.0,10000.0,10000.0,0
2023-10-02,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-03,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-04,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-05,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-06,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-09,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-10,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-11,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-12,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-13,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-16,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-17,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-18,20000.0,0.0,0.0,20000.0,20000.0,0
2023-10-19,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-20,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-23,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-24,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-25,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-26,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-27,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-30,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-10-31,20000.0,0.0,0.0,20000.0,20000.0,-1
2023-11-01,30000.0,0.0,0.0,30000.0,30000.0,-1
2023-11-02,30000.0,0.0,0.0,30000.0,30000.0,-1
2023-11-03,30000.0,0.0,0.0,30000.0,30000.0,-1
2023-11-06,30000.0,0.0,0.0,30000.0,30000.0,-1
2023-11-07,0.0,541.976699759559,29955.05244380807,29955.05244380807,30000.0,1
2023-11-08,0.0,541.976699759559,29483.533293910823,29483.533293910823,30000.0,1
2023-11-09,0.0,541.976699759559,27955.15916598703,27955.15916598703,30000.0,1
2023-11-10,0.0,541.976699759559,28329.12234452939,28329.12234452939,30000.0,1
2023-11-13,0.0,541.976699759559,28014.774866279873,28014.774866279873,30000.0,1
2023-11-14,0.0,541.976699759559,28957.8152335514,28957.8152335514,30000.0,1
2023-11-15,0.0,541.976699759559,30041.76863307052,30041.76863307052,30000.0,1
2023-11-16,0.0,541.976699759559,29391.39617986364,29391.39617986364,30000.0,1
2023-11-17,0.0,541.976699759559,29803.299629468045,29803.299629468045,30000.0,1
2023-11-20,0.0,541.976699759559,31803.192907289085,31803.192907289085,30000.0,1
2023-11-21,0.0,541.976699759559,31792.35312519665,31792.35312519665,30000.0,1
2023-11-22,0.0,541.976699759559,33472.48006746047,33472.48006746047,30000.0,1
2023-11-24,0.0,541.976699759559,34621.4721595342,34621.4721595342,30000.0,1
2023-11-27,0.0,541.976699759559,33060.5786853331,33060.5786853331,30000.0,1
2023-11-28,0.0,541.976699759559,33559.19625672291,33559.19625672291,30000.0,1
2023-11-29,0.0,541.976699759559,33716.36999584768,33716.36999584768,30000.0,1
2023-11-30,0.0,541.976699759559,33331.56703521288,33331.56703521288,30000.0,1
