,date,action,price,shares,cash_after,technical_state,commission
0,2023-11-07,buy,55.27000045776367,541.976699759559,0.0,1,29.970029970029973
1,2023-12-01,buy,63.900001525878906,156.26005074859845,0.0,1,9.990009990009991
2,2024-01-02,buy,68.91999816894531,144.87837705382452,0.0,1,9.990009990009991
3,2024-02-01,buy,70.5199966430664,141.5912926344572,0.0,1,9.990009990009991
4,2024-03-01,buy,141.6199951171875,70.50570417692056,0.0,1,9.990009990009991
5,2024-04-01,buy,126.91000366210938,78.67793864267702,0.0,1,9.990009990009991
6,2024-04-17,sell,107.55999755859376,1133.8900630160367,121778.33157171027,-1,121.90023180351379
7,2024-05-06,buy,106.9800033569336,1229.9578454918383,0.0,1,131.64668488682346
8,2024-06-03,buy,127.12000274658205,78.54796464388708,0.0,1,9.990009990009991
9,2024-07-01,buy,158.8300018310547,62.866066650872945,0.0,1,9.990009990009991
10,2024-07-25,sell,149.13999938964844,1371.3718767865982,204219.71352883437,-1,204.42413766650088
11,2024-08-23,buy,135.6300048828125,1577.0755049858328,0.0,1,214.00570782101337
12,2024-09-03,buy,123.73999786376952,80.69353203207805,0.0,1,9.990009990009991
13,2024-10-01,buy,136.0800018310547,73.37608279625026,0.0,1,9.990009990009991
14,2024-11-01,buy,141.47999572753906,70.57547202997104,0.0,1,9.990009990009991
15,2024-11-04,sell,137.52999877929688,1801.7205918441323,247419.06874607757,-1,247.66673548155913
16,2024-12-12,buy,148.0,1736.7120955686912,0.0,1,257.1619068392384
17,2024-12-23,sell,126.87000274658205,1736.7120955686912,220006.27350065406,-1,220.22650000065474
18,2025-01-06,buy,147.41000366210938,1557.9788376980955,0.0,1,229.77649700365043
19,2025-02-03,buy,155.64999389648438,64.15045212214997,0.0,1,9.990009990009991
20,2025-02-24,sell,140.52999877929688,1622.1292898202455,227616.00435653693,-1,227.84384820474168
21,2025-03-24,buy,124.8499984741211,1900.3604215671571,0.0,1,237.37862573080616
22,2025-03-28,sell,107.8000030517578,1900.3604215671571,204551.67338494232,-1,204.7564298147571
23,2025-04-24,buy,112.01000213623048,1912.5990255572888,0.0,1,214.33733604889346
24,2025-05-01,buy,115.4000015258789,86.52528032272319,0.0,1,9.990009990009991
25,2025-06-02,buy,126.05500030517578,79.21159380505253,0.0,1,9.990009990009991
26,2025-07-01,buy,156.3300018310547,63.871408970238036,0.0,1,9.990009990009991
27,2025-08-01,sell,137.5800018310547,2142.2073086553023,294282.945481567,-1,294.57752300457156
28,2025-09-10,buy,154.13999938964844,2035.8899163905257,0.0,1,313.96897650506196
29,2025-10-01,buy,150.3800048828125,66.39857133300693,0.0,1,9.990009990009991
30,2025-11-03,buy,168.67999267578125,59.195031508339554,0.0,1,9.990009990009991
31,2025-11-07,sell,152.3800048828125,2161.4835192318724,328872.9835942841,-1,329.20218578006416
32,2026-01-22,buy,119.1999969482422,2922.4017861712655,0.0,1,348.52445913514896
33,2026-02-02,buy,106.93000030517578,93.37900919080093,0.0,1,9.990009990009991
34,2026-03-02,buy,124.37000274658205,80.28477334373756,0.0,1,9.990009990009991
35,2026-04-01,buy,155.07000732421875,64.39038504972007,0.0,1,9.990009990009991
36,2026-05-01,buy,211.17999267578125,47.282023996463884,0.0,1,9.990009990009991
37,2026-06-01,buy,408.8500061035156,24.422202108861597,0.0,1,9.990009990009991
