date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-18,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-21,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-22,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-23,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-24,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-25,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-28,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-29,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-30,10000.0,0.0,0.0,10000.0,10000.0,0
2021-07-01,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-02,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-06,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-07,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-08,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-09,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-12,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-13,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-14,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-15,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-16,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-19,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-20,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-21,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-22,0.0,28.63894403719636,19970.034962538713,19970.034962538713,20000.0,1
2021-07-23,0.0,28.63894403719636,20468.524590256467,20468.524590256467,20000.0,1
2021-07-26,0.0,28.63894403719636,20631.31244543469,20631.31244543469,20000.0,1
2021-07-27,0.0,28.63894403719636,20399.026557054873,20399.026557054873,20000.0,1
2021-07-28,0.0,28.63894403719636,20789.174486141677,20789.174486141677,20000.0,1
2021-07-29,0.0,28.63894403719636,20949.22325286127,20949.22325286127,20000.0,1
2021-07-30,0.0,28.63894403719636,20977.40422550334,20977.40422550334,20000.0,1
2021-08-02,0.0,42.21923044747511,31042.037062245236,31042.037062245236,30000.0,1
2021-08-03,0.0,42.21923044747511,31440.524856167845,31440.524856167845,30000.0,1
2021-08-04,0.0,42.21923044747511,32083.82182673849,32083.82182673849,30000.0,1
2021-08-05,0.0,42.21923044747511,32054.388962348166,32054.388962348166,30000.0,1
2021-08-06,0.0,42.21923044747511,31591.770920125615,31591.770920125615,30000.0,1
2021-08-09,0.0,42.21923044747511,31809.561747698837,31809.561747698837,30000.0,1
2021-08-10,0.0,42.21923044747511,31834.17331203013,31834.17331203013,30000.0,1
2021-08-11,0.0,42.21923044747511,31831.341345827626,31831.341345827626,30000.0,1
2021-08-12,0.0,42.21923044747511,31502.63484832333,31502.63484832333,30000.0,1
2021-08-13,0.0,42.21923044747511,31820.86384393557,31820.86384393557,30000.0,1
2021-08-16,0.0,42.21923044747511,31755.929616149566,31755.929616149566,30000.0,1
2021-08-17,0.0,42.21923044747511,31320.73706645951,31320.73706645951,30000.0,1
2021-08-18,0.0,42.21923044747511,31154.97041146344,31154.97041146344,30000.0,1
2021-08-19,0.0,42.21923044747511,31520.38166473518,31520.38166473518,30000.0,1
2021-08-20,0.0,42.21923044747511,31789.397839114154,31789.397839114154,30000.0,1
2021-08-23,0.0,42.21923044747511,32734.800409001273,32734.800409001273,30000.0,1
2021-08-24,0.0,42.21923044747511,32492.400593954088,32492.400593954088,30000.0,1
2021-08-25,0.0,42.21923044747511,32583.54661447152,32583.54661447152,30000.0,1
2021-08-26,0.0,42.21923044747511,32707.364609039465,32707.364609039465,30000.0,1
2021-08-27,0.0,42.21923044747511,33593.885989001974,33593.885989001974,30000.0,1
2021-08-30,0.0,42.21923044747511,33862.902163380946,33862.902163380946,30000.0,1
2021-08-31,0.0,42.21923044747511,33598.72790391962,33598.72790391962,30000.0,1
2021-09-01,0.0,54.63010689732353,43951.978297233916,43951.978297233916,40000.0,1
2021-09-02,0.0,54.63010689732353,44949.317852535336,44949.317852535336,40000.0,1
2021-09-03,0.0,54.63010689732353,44783.86705271568,44783.86705271568,40000.0,1
2021-09-07,0.0,54.63010689732353,44974.885702858126,44974.885702858126,40000.0,1
2021-09-08,0.0,54.63010689732353,44777.605130062286,44777.605130062286,40000.0,1
2021-09-09,0.0,54.63010689732353,44543.27984976955,44543.27984976955,40000.0,1
2021-09-10,0.0,54.63010689732353,44823.53256490138,44823.53256490138,40000.0,1
2021-09-13,0.0,54.63010689732353,45469.10744812352,45469.10744812352,40000.0,1
2021-09-14,0.0,54.63010689732353,46347.45046686783,46347.45046686783,40000.0,1
2021-09-15,0.0,54.63010689732353,46413.217326514,46413.217326514,40000.0,1
2021-09-16,0.0,54.63010689732353,46307.788289039236,46307.788289039236,40000.0,1
2021-09-17,0.0,54.63010689732353,44874.68160297542,44874.68160297542,40000.0,1
2021-09-20,0.0,54.63010689732353,43877.342047674,43877.342047674,40000.0,1
2021-09-21,0.0,54.63010689732353,44607.46622414537,44607.46622414537,40000.0,1
2021-09-22,0.0,54.63010689732353,45129.879958779464,45129.879958779464,40000.0,1
2021-09-23,0.0,54.63010689732353,45914.80762871791,45914.80762871791,40000.0,1
2021-09-24,0.0,54.63010689732353,45342.82200692301,45342.82200692301,40000.0,1
2021-09-27,0.0,54.63010689732353,43593.961705572576,43593.961705572576,40000.0,1
2021-09-28,0.0,54.63010689732353,40716.25813884238,40716.25813884238,40000.0,1
2021-09-29,0.0,54.63010689732353,39163.641425226444,39163.641425226444,40000.0,1
2021-09-30,38828.212664531246,0.0,0.0,38828.212664531246,40000.0,-1
2021-10-01,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-04,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-05,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-06,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-07,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-08,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-11,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-12,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-13,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-14,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-15,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-18,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-19,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-20,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-21,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-22,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-25,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-26,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-27,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-28,48828.212664531246,0.0,0.0,48828.212664531246,50000.0,-1
2021-10-29,0.0,62.78365391123138,48755.05570344823,48755.05570344823,50000.0,1
2021-11-01,0.0,75.72819438548878,58414.38298005307,58414.38298005307,60000.0,1
2021-11-02,0.0,75.72819438548878,58897.006934713085,58897.006934713085,60000.0,1
2021-11-03,0.0,75.72819438548878,60202.592620961,60202.592620961,60000.0,1
2021-11-04,0.0,75.72819438548878,61687.31172405486,61687.31172405486,60000.0,1
2021-11-05,0.0,75.72819438548878,61434.17414947539,61434.17414947539,60000.0,1
2021-11-08,0.0,75.72819438548878,61646.678999638185,61646.678999638185,60000.0,1
2021-11-09,0.0,75.72819438548878,61655.39624662372,61655.39624662372,60000.0,1
2021-11-10,0.0,75.72819438548878,59319.87661099079,59319.87661099079,60000.0,1
2021-11-11,0.0,75.72819438548878,60447.00832647276,60447.00832647276,60000.0,1
2021-11-12,0.0,75.72819438548878,61769.98690795215,61769.98690795215,60000.0,1
2021-11-15,0.0,75.72819438548878,62139.175721827945,62139.175721827945,60000.0,1
2021-11-16,0.0,75.72819438548878,62416.96748273873,62416.96748273873,60000.0,1
2021-11-17,0.0,75.72819438548878,62337.90676710373,62337.90676710373,60000.0,1
2021-11-18,0.0,75.72819438548878,63763.87458364767,63763.87458364767,60000.0,1
2021-11-19,0.0,75.72819438548878,62171.79837783214,62171.79837783214,60000.0,1
2021-11-22,0.0,75.72819438548878,59892.86689429037,59892.86689429037,60000.0,1
