date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,0.0,14.73512735125847,9985.017481269355,9985.017481269355,10000.0,1
2021-06-15,0.0,14.73512735125847,9878.739116143284,9878.739116143284,10000.0,1
2021-06-16,0.0,14.73512735125847,9840.3121272311,9840.3121272311,10000.0,1
2021-06-17,0.0,14.73512735125847,9837.212929913447,9837.212929913447,10000.0,1
2021-06-18,0.0,14.73512735125847,9446.445159009818,9446.445159009818,10000.0,1
2021-06-21,0.0,14.73512735125847,9581.29801548136,9581.29801548136,10000.0,1
2021-06-22,0.0,14.73512735125847,9653.933091791765,9653.933091791765,10000.0,1
2021-06-23,0.0,14.73512735125847,9595.375710087637,9595.375710087637,10000.0,1
2021-06-24,0.0,14.73512735125847,9783.296249938596,9783.296249938596,10000.0,1
2021-06-25,0.0,14.73512735125847,9659.563989762117,9659.563989762117,10000.0,1
2021-06-28,0.0,14.73512735125847,9911.537005806716,9911.537005806716,10000.0,1
2021-06-29,0.0,14.73512735125847,9905.484307621049,9905.484307621049,10000.0,1
2021-06-30,0.0,14.73512735125847,9724.739767595267,9724.739767595267,10000.0,1
2021-07-01,0.0,30.12142874090778,19547.45230332632,19547.45230332632,20000.0,1
2021-07-02,0.0,30.12142874090778,19784.276153710158,19784.276153710158,20000.0,1
2021-07-06,0.0,30.12142874090778,19736.22048806937,19736.22048806937,20000.0,1
2021-07-07,0.0,30.12142874090778,19860.2397348958,19860.2397348958,20000.0,1
2021-07-08,0.0,30.12142874090778,19385.73530892102,19385.73530892102,20000.0,1
2021-07-09,0.0,30.12142874090778,19894.1980424076,19894.1980424076,20000.0,1
2021-07-12,0.0,30.12142874090778,20367.551588597722,20367.551588597722,20000.0,1
2021-07-13,0.0,30.12142874090778,20327.550242983423,20327.550242983423,20000.0,1
2021-07-14,0.0,30.12142874090778,20617.901034150436,20617.901034150436,20000.0,1
2021-07-15,0.0,30.12142874090778,20256.192019402515,20256.192019402515,20000.0,1
2021-07-16,0.0,30.12142874090778,19780.821675890078,19780.821675890078,20000.0,1
2021-07-19,0.0,30.12142874090778,19682.41042350531,19682.41042350531,20000.0,1
2021-07-20,0.0,30.12142874090778,19683.848104003075,19683.848104003075,20000.0,1
2021-07-21,0.0,30.12142874090778,20747.104755406144,20747.104755406144,20000.0,1
2021-07-22,0.0,30.12142874090778,21003.776685910027,21003.776685910027,20000.0,1
2021-07-23,0.0,30.12142874090778,21528.07045106701,21528.07045106701,20000.0,1
2021-07-26,0.0,30.12142874090778,21699.284961394893,21699.284961394893,20000.0,1
