symbol,framework,strategy,params_json,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,excess_profit_vs_plain_dca,excess_final_equity_vs_plain_dca,excess_irr_pct_vs_plain_dca
AVGO,A_100pct_monthly_dca,plain_dca,{},2719944.4565381403,610000.0,2109944.4565381403,345.8925338587115,63.73299238290677,-39.29750121061859,1.90684003801696,0.0,2719944.4565381403,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0
AVGO,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 10}",2305299.164270591,610000.0,1695299.164270591,277.9178957820641,56.07046605023713,-38.87077605841941,1.8622559036931112,0.0,2305299.164270591,26.573491279131755,61.0,19.0,0.0,609.3906093906094,0.0,1.0,-414645.2922675493,-414645.2922675493,-7.662526332669643
AVGO,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 10}",2533920.9006785313,610000.0,1923920.9006785313,315.39686896369363,60.427531701154315,-39.04745234000241,1.895122972515974,0.0,2533920.9006785313,10.65329651115781,61.0,76.0,0.0,609.390609390609,0.6,0.4,-186023.55585960904,-186023.55585960904,-3.305460681752457
AVGO,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 60, ""rsi_window"": 10}",2375212.0376380202,610000.0,1765212.0376380202,289.37902256360985,57.44047014079321,-38.943391253926706,1.865444188416028,0.0,2375212.0376380202,23.953930055189097,61.0,23.0,0.0,609.3906093906093,0.0,1.0,-344732.4189001201,-344732.4189001201,-6.292522242113563
AVGO,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 60, ""rsi_window"": 10}",2533920.9006785313,610000.0,1923920.9006785313,315.39686896369363,60.427531701154315,-39.04745234000241,1.895122972515974,0.0,2533920.9006785313,10.65329651115781,61.0,76.0,0.0,609.390609390609,0.6,0.4,-186023.55585960904,-186023.55585960904,-3.305460681752457
AVGO,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 65, ""rsi_window"": 10}",2374201.573828575,610000.0,1764201.5738285752,289.2133727587828,57.42091520584067,-38.94036851108916,1.865152182811962,0.0,2374201.573828575,23.93604878289982,61.0,24.0,0.0,609.3906093906093,0.0,1.0,-345742.8827095651,-345742.8827095651,-6.312077177066101
AVGO,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 65, ""rsi_window"": 10}",2533920.9006785313,610000.0,1923920.9006785313,315.39686896369363,60.427531701154315,-39.04745234000241,1.895122972515974,0.0,2533920.9006785313,10.65329651115781,61.0,76.0,0.0,609.390609390609,0.6,0.4,-186023.55585960904,-186023.55585960904,-3.305460681752457
AVGO,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 55, ""rsi_window"": 10}",2553240.6336971447,610000.0,1943240.6336971447,318.5640383110073,60.780219392976385,-39.112154909035546,1.8790016591695398,0.0,2553240.6336971447,21.36958523124648,61.0,29.0,0.0,609.3906093906093,0.0,1.0,-166703.82284099562,-166703.82284099562,-2.952772989930388
AVGO,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 55, ""rsi_window"": 10}",2645141.1991241868,610000.0,2035141.1991241868,333.62970477445685,62.427543409082986,-39.153052082236016,1.9014619876104042,0.0,2645141.1991241868,8.603412166046006,61.0,85.0,0.0,609.390609390609,0.6,0.4,-74803.25741395354,-74803.25741395354,-1.3054489738237862
AVGO,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 60, ""rsi_window"": 10}",2572866.812736523,610000.0,1962866.8127365229,321.7814447109054,61.136191554424244,-39.12927065175504,1.8773503734857677,0.0,2572866.812736523,19.558227311667096,61.0,32.0,0.0,609.3906093906093,0.0,1.0,-147077.64380161744,-147077.64380161744,-2.596800828482529
AVGO,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 60, ""rsi_window"": 10}",2645141.1991241868,610000.0,2035141.1991241868,333.62970477445685,62.427543409082986,-39.153052082236016,1.9014619876104042,0.0,2645141.1991241868,8.603412166046006,61.0,85.0,0.0,609.390609390609,0.6,0.4,-74803.25741395354,-74803.25741395354,-1.3054489738237862
AVGO,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 65, ""rsi_window"": 10}",2567294.3207050445,610000.0,1957294.3207050445,320.8679214270565,61.03535452538118,-39.122458005918524,1.8764999187427343,0.0,2567294.3207050445,19.520026857929853,61.0,33.0,0.0,609.3906093906093,0.0,1.0,-152650.13583309576,-152650.13583309576,-2.697637857525592
AVGO,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 65, ""rsi_window"": 10}",2645141.1991241868,610000.0,2035141.1991241868,333.62970477445685,62.427543409082986,-39.153052082236016,1.9014619876104042,0.0,2645141.1991241868,8.603412166046006,61.0,85.0,0.0,609.390609390609,0.6,0.4,-74803.25741395354,-74803.25741395354,-1.3054489738237862
AVGO,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 55, ""rsi_window"": 10}",2531864.8106401986,610000.0,1921864.8106401986,315.05980502298337,60.389862974234745,-39.09016526035175,1.875006303642626,0.0,2531864.8106401986,21.022719998682827,61.0,35.0,0.0,609.3906093906091,0.0,1.0,-188079.64589794166,-188079.64589794166,-3.343129408672027
AVGO,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 55, ""rsi_window"": 10}",2637698.619411543,610000.0,2027698.619411543,332.4096097395972,62.295954420638154,-39.14545870013936,1.8987497577825705,0.0,2637698.619411543,8.033403113117917,61.0,93.0,0.0,609.390609390609,0.6,0.4,-82245.8371265973,-82245.8371265973,-1.4370379622686187
