date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-18,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-21,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-22,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-23,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-24,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-25,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-28,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-29,0.0,229.50021907499217,9985.017481269357,9985.017481269357,10000.0,1
2021-06-30,0.0,229.50021907499217,9978.531095454207,9978.531095454207,10000.0,1
2021-07-01,0.0,462.67035243519297,19812.878650259387,19812.878650259387,20000.0,1
2021-07-02,0.0,462.67035243519297,19750.863695984197,19750.863695984197,20000.0,1
2021-07-06,0.0,462.67035243519297,19966.437892559894,19966.437892559894,20000.0,1
2021-07-07,0.0,462.67035243519297,19808.660426144703,19808.660426144703,20000.0,1
2021-07-08,0.0,462.67035243519297,19849.15890754034,19849.15890754034,20000.0,1
2021-07-09,0.0,462.67035243519297,20257.532420367086,20257.532420367086,20000.0,1
2021-07-12,0.0,462.67035243519297,20492.517507659653,20492.517507659653,20000.0,1
2021-07-13,0.0,462.67035243519297,20419.11158332748,20419.11158332748,20000.0,1
2021-07-14,0.0,462.67035243519297,20317.018205120796,20317.018205120796,20000.0,1
2021-07-15,0.0,462.67035243519297,20137.72250087872,20137.72250087872,20000.0,1
2021-07-16,0.0,462.67035243519297,19746.64723681684,19746.64723681684,20000.0,1
2021-07-19,0.0,462.67035243519297,19645.39750343309,19645.39750343309,20000.0,1
2021-07-20,0.0,462.67035243519297,19768.583767160533,19768.583767160533,20000.0,1
2021-07-21,0.0,462.67035243519297,20208.599255689405,20208.599255689405,20000.0,1
2021-07-22,0.0,462.67035243519297,20095.111377531084,20095.111377531084,20000.0,1
2021-07-23,0.0,462.67035243519297,20382.8295610992,20382.8295610992,20000.0,1
2021-07-26,0.0,462.67035243519297,20344.440191760907,20344.440191760907,20000.0,1
2021-07-27,0.0,462.67035243519297,20054.194603618635,20054.194603618635,20000.0,1
2021-07-28,0.0,462.67035243519297,20150.802525528903,20150.802525528903,20000.0,1
2021-07-29,0.0,462.67035243519297,20423.329807442165,20423.329807442165,20000.0,1
2021-07-30,0.0,462.67035243519297,20477.75195831092,20477.75195831092,20000.0,1
2021-08-02,0.0,688.6050289759457,30432.394696059888,30432.394696059888,30000.0,1
2021-08-03,0.0,688.6050289759457,30564.87834869509,30564.87834869509,30000.0,1
2021-08-04,0.0,688.6050289759457,30628.297657222334,30628.297657222334,30000.0,1
2021-08-05,0.0,688.6050289759457,30620.13350152906,30620.13350152906,30000.0,1
2021-08-06,0.0,688.6050289759457,30479.483066380868,30479.483066380868,30000.0,1
2021-08-09,0.0,688.6050289759457,30432.394696059888,30432.394696059888,30000.0,1
2021-08-10,0.0,688.6050289759457,30280.448936110835,30280.448936110835,30000.0,1
2021-08-11,0.0,688.6050289759457,30361.44166857244,30361.44166857244,30000.0,1
2021-08-12,0.0,688.6050289759457,30406.021426059742,30406.021426059742,30000.0,1
2021-08-13,0.0,688.6050289759457,30525.31844369487,30525.31844369487,30000.0,1
2021-08-16,0.0,688.6050289759457,30649.643194276236,30649.643194276236,30000.0,1
2021-08-17,0.0,688.6050289759457,30056.29190202791,30056.29190202791,30000.0,1
2021-08-18,0.0,688.6050289759457,29445.981861659973,29445.981861659973,30000.0,1
2021-08-19,0.0,688.6050289759457,29732.30521126316,29732.30521126316,30000.0,1
2021-08-20,0.0,688.6050289759457,29835.279171151185,29835.279171151185,30000.0,1
2021-08-23,0.0,688.6050289759457,30292.37995128421,30292.37995128421,30000.0,1
2021-08-24,0.0,688.6050289759457,30228.33283284361,30228.33283284361,30000.0,1
2021-08-25,0.0,688.6050289759457,30352.649702965817,30352.649702965817,30000.0,1
2021-08-26,0.0,688.6050289759457,30498.94780051444,30498.94780051444,30000.0,1
2021-08-27,0.0,688.6050289759457,31139.395343542907,31139.395343542907,30000.0,1
2021-08-30,0.0,688.6050289759457,31324.617655719238,31324.617655719238,30000.0,1
2021-08-31,0.0,688.6050289759457,31219.140336636978,31219.140336636978,30000.0,1
2021-09-01,0.0,910.6546815544983,40949.863281162885,40949.863281162885,40000.0,1
2021-09-02,0.0,910.6546815544983,40845.23025882241,40845.23025882241,40000.0,1
2021-09-03,0.0,910.6546815544983,41325.180403794526,41325.180403794526,40000.0,1
2021-09-07,0.0,910.6546815544983,41234.6686708237,41234.6686708237,40000.0,1
2021-09-08,0.0,910.6546815544983,41051.16486032858,41051.16486032858,40000.0,1
2021-09-09,0.0,910.6546815544983,40977.268656768596,40977.268656768596,40000.0,1
2021-09-10,0.0,910.6546815544983,41364.202407112934,41364.202407112934,40000.0,1
2021-09-13,0.0,910.6546815544983,41431.46351529874,41431.46351529874,40000.0,1
2021-09-14,0.0,910.6546815544983,41673.0990985643,41673.0990985643,40000.0,1
2021-09-15,0.0,910.6546815544983,42326.593463226425,42326.593463226425,40000.0,1
2021-09-16,0.0,910.6546815544983,42128.138107971885,42128.138107971885,40000.0,1
2021-09-17,0.0,910.6546815544983,42016.03278712363,42016.03278712363,40000.0,1
2021-09-20,0.0,910.6546815544983,41087.7065190935,41087.7065190935,40000.0,1
2021-09-21,0.0,910.6546815544983,41068.461268636456,41068.461268636456,40000.0,1
2021-09-22,0.0,910.6546815544983,41871.43981604536,41871.43981604536,40000.0,1
2021-09-23,0.0,910.6546815544983,42181.77469047311,42181.77469047311,40000.0,1
2021-09-24,0.0,910.6546815544983,42233.62222893366,42233.62222893366,40000.0,1
2021-09-27,0.0,910.6546815544983,42227.77222861423,42227.77222861423,40000.0,1
2021-09-28,0.0,910.6546815544983,41070.969404165335,41070.969404165335,40000.0,1
2021-09-29,0.0,910.6546815544983,40942.15823323622,40942.15823323622,40000.0,1
2021-09-30,0.0,910.6546815544983,40561.56777302448,40561.56777302448,40000.0,1
2021-10-01,0.0,1133.716764666642,50749.018192900956,50749.018192900956,50000.0,1
2021-10-04,0.0,1133.716764666642,49561.90329250228,49561.90329250228,50000.0,-1
2021-10-05,0.0,1133.716764666642,50548.045376227456,50548.045376227456,50000.0,-1
2021-10-06,0.0,1133.716764666642,50897.92058321877,50897.92058321877,50000.0,-1
2021-10-07,0.0,1133.716764666642,51433.16910290808,51433.16910290808,50000.0,-1
2021-10-08,0.0,1133.716764666642,51321.73666059242,51321.73666059242,50000.0,-1
2021-10-11,0.0,1133.716764666642,51268.64125989733,51268.64125989733,50000.0,-1
2021-10-12,0.0,1133.716764666642,50533.44922266014,50533.44922266014,50000.0,-1
2021-10-13,0.0,1133.716764666642,50505.3424368723,50505.3424368723,50000.0,-1
2021-10-14,0.0,1133.716764666642,51816.37111268155,51816.37111268155,50000.0,-1
2021-10-15,0.0,1133.716764666642,52404.7193578522,52404.7193578522,50000.0,1
2021-10-18,0.0,1133.716764666642,52416.16706703521,52416.16706703521,50000.0,1
2021-10-19,0.0,1133.716764666642,53148.232283819314,53148.232283819314,50000.0,1
2021-10-20,0.0,1133.716764666642,53044.100080680415,53044.100080680415,50000.0,1
2021-10-21,0.0,1133.716764666642,53539.76383189518,53539.76383189518,50000.0,1
2021-10-22,0.0,1133.716764666642,53670.97784648253,53670.97784648253,50000.0,1
2021-10-25,0.0,1133.716764666642,54364.491918703956,54364.491918703956,50000.0,1
2021-10-26,0.0,1133.716764666642,55593.2545106147,55593.2545106147,50000.0,1
2021-10-27,0.0,1133.716764666642,54472.80619013903,54472.80619013903,50000.0,1
2021-10-28,0.0,1133.716764666642,55145.49641660442,55145.49641660442,50000.0,1
2021-10-29,0.0,1133.716764666642,55364.174908153356,55364.174908153356,50000.0,1
2021-11-01,0.0,1339.586159588088,64972.218071837975,64972.218071837975,60000.0,1
2021-11-02,0.0,1339.586159588088,66082.05343135023,66082.05343135023,60000.0,1
2021-11-03,0.0,1339.586159588088,66734.18595142313,66734.18595142313,60000.0,1
2021-11-04,0.0,1339.586159588088,67503.18681664139,67503.18681664139,60000.0,1
2021-11-05,0.0,1339.586159588088,68770.5261610277,68770.5261610277,60000.0,1
2021-11-08,0.0,1339.586159588088,68774.21055441859,68774.21055441859,60000.0,1
2021-11-09,0.0,1339.586159588088,68632.7267821388,68632.7267821388,60000.0,1
2021-11-10,0.0,1339.586159588088,67521.63944428983,67521.63944428983,60000.0,1
2021-11-11,0.0,1339.586159588088,68337.41319814451,68337.41319814451,60000.0,1
2021-11-12,0.0,1339.586159588088,69299.60198589094,69299.60198589094,60000.0,1
