date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,4000.0,139.1629733404639,5991.010488761614,9991.010488761614,10000.0,0
2021-06-15,4000.0,139.1629733404639,5926.923450845021,9926.92345084502,10000.0,0
2021-06-16,4000.0,139.1629733404639,5864.096685521774,9864.096685521774,10000.0,0
2021-06-17,4000.0,139.1629733404639,5932.338269906578,9932.338269906577,10000.0,0
2021-06-18,4000.0,139.1629733404639,5835.768157131396,9835.768157131395,10000.0,0
2021-06-21,4000.0,139.1629733404639,5895.534487955636,9895.534487955636,10000.0,0
2021-06-22,4000.0,139.1629733404639,5893.502869078324,9893.502869078324,10000.0,0
2021-06-23,4000.0,139.1629733404639,5921.547384900277,9921.547384900277,10000.0,0
2021-06-24,4000.0,139.1629733404639,5964.689690340923,9964.689690340923,10000.0,0
2021-06-25,4000.0,139.1629733404639,5864.9524392793455,9864.952439279346,10000.0,0
2021-06-28,4000.0,139.1629733404639,5999.458137362257,9999.458137362257,10000.0,0
2021-06-29,4000.0,139.1629733404639,6054.655316454847,10054.655316454846,10000.0,0
2021-06-30,4000.0,139.1629733404639,6050.7221405306245,10050.722140530625,10000.0,0
2021-07-01,8000.0,279.0650533565844,11950.3702983792,19950.370298379203,20000.0,0
2021-07-02,8000.0,279.0650533565844,11912.965250848873,19912.965250848873,20000.0,-1
2021-07-06,8000.0,279.0650533565844,12042.991357672145,20042.991357672145,20000.0,-1
2021-07-07,8000.0,279.0650533565844,11947.82602699583,19947.82602699583,20000.0,-1
2021-07-08,8000.0,279.0650533565844,11972.253161373577,19972.253161373577,20000.0,-1
2021-07-09,8000.0,279.0650533565844,12218.568438647315,20218.568438647315,20000.0,-1
2021-07-12,8000.0,279.0650533565844,12360.302452028876,20360.302452028875,20000.0,-1
2021-07-13,8000.0,279.0650533565844,12316.02680721475,20316.026807214752,20000.0,-1
2021-07-14,8000.0,279.0650533565844,12254.44798789632,20254.447987896317,20000.0,-1
2021-07-15,8000.0,279.0650533565844,12146.303679518725,20146.303679518725,20000.0,-1
2021-07-16,8000.0,279.0650533565844,11910.422044014198,19910.422044014198,20000.0,-1
2021-07-19,8000.0,279.0650533565844,11849.352078972439,19849.35207897244,20000.0,-1
2021-07-20,8000.0,279.0650533565844,11923.65331975642,19923.65331975642,20000.0,-1
2021-07-21,8000.0,279.0650533565844,12189.053826051522,20189.053826051524,20000.0,-1
2021-07-22,8000.0,279.0650533565844,12120.6022803519,20120.6022803519,20000.0,-1
2021-07-23,8000.0,279.0650533565844,12294.142879671677,20294.14287967168,20000.0,-1
2021-07-26,8000.0,279.0650533565844,12270.987880985616,20270.987880985616,20000.0,-1
2021-07-27,8000.0,279.0650533565844,12095.922847933209,20095.92284793321,20000.0,-1
2021-07-28,8000.0,279.0650533565844,12154.193049904565,20154.193049904563,20000.0,-1
2021-07-29,8000.0,279.0650533565844,12318.571078598121,20318.57107859812,20000.0,-1
2021-07-30,8000.0,279.0650533565844,12351.396437638383,20351.39643763838,20000.0,-1
2021-08-02,12000.0,414.625859281036,18324.086043342337,30324.086043342337,30000.0,-1
2021-08-03,12000.0,414.625859281036,18403.857677302447,30403.857677302447,30000.0,-1
2021-08-04,12000.0,414.625859281036,18442.04398757704,30442.04398757704,30000.0,-1
2021-08-05,12000.0,414.625859281036,18437.12815059185,30437.12815059185,30000.0,-1
2021-08-06,12000.0,414.625859281036,18352.439097974417,30352.439097974417,30000.0,-1
2021-08-09,12000.0,414.625859281036,18324.086043342337,30324.086043342337,30000.0,-1
2021-08-10,12000.0,414.625859281036,18232.59580055878,30232.59580055878,30000.0,-1
2021-08-11,12000.0,414.625859281036,18281.363497394155,30281.363497394155,30000.0,-1
2021-08-12,12000.0,414.625859281036,18308.206055140505,30308.206055140505,30000.0,-1
2021-08-13,12000.0,414.625859281036,18380.037694999697,30380.037694999697,30000.0,-1
2021-08-16,12000.0,414.625859281036,18454.89665531888,30454.89665531888,30000.0,-1
2021-08-17,0.0,689.1400917523104,30079.646368399208,30079.646368399208,30000.0,1
2021-08-18,0.0,689.1400917523104,29468.862102356317,29468.862102356317,30000.0,1
2021-08-19,0.0,689.1400917523104,29755.407932133086,29755.407932133086,30000.0,1
2021-08-20,0.0,689.1400917523104,29858.4619052806,29858.4619052806,30000.0,1
2021-08-23,0.0,689.1400917523104,30315.917863784685,30315.917863784685,30000.0,-1
2021-08-24,0.0,689.1400917523104,30251.820979182692,30251.820979182692,30000.0,-1
2021-08-25,0.0,689.1400917523104,30376.234446522285,30376.234446522285,30000.0,-1
2021-08-26,0.0,689.1400917523104,30522.646221234096,30522.646221234096,30000.0,-1
2021-08-27,0.0,689.1400917523104,31163.591407506614,31163.591407506614,30000.0,-1
2021-08-30,0.0,689.1400917523104,31348.957641903125,31348.957641903125,30000.0,-1
2021-08-31,0.0,689.1400917523104,31243.39836439068,31243.39836439068,30000.0,-1
2021-09-01,4000.0,822.3698832994419,36979.916723398164,40979.916723398164,40000.0,-1
2021-09-02,4000.0,822.3698832994419,36885.4275079861,40885.4275079861,40000.0,-1
2021-09-03,4000.0,822.3698832994419,37318.84815876068,41318.84815876068,40000.0,-1
2021-09-07,4000.0,822.3698832994419,37237.11122291868,41237.11122291868,40000.0,-1
2021-09-08,4000.0,822.3698832994419,37071.39746744302,41071.39746744302,40000.0,-1
2021-09-09,4000.0,822.3698832994419,37004.66524333129,41004.66524333129,40000.0,-1
2021-09-10,4000.0,822.3698832994419,37354.087114827205,41354.087114827205,40000.0,-1
2021-09-13,4000.0,822.3698832994419,37414.827492941695,41414.827492941695,40000.0,-1
2021-09-14,4000.0,822.3698832994419,37633.03734837437,41633.03734837437,40000.0,-1
2021-09-15,4000.0,822.3698832994419,38223.17771144444,42223.17771144444,40000.0,-1
2021-09-16,4000.0,822.3698832994419,38043.96191137604,42043.96191137604,40000.0,-1
2021-09-17,4000.0,822.3698832994419,37942.72481075975,41942.72481075975,40000.0,-1
2021-09-20,4000.0,822.3698832994419,37104.396539717905,41104.396539717905,40000.0,-1
2021-09-21,4000.0,822.3698832994419,37087.01704923375,41087.01704923375,40000.0,-1
2021-09-22,4000.0,822.3698832994419,37812.14962440197,41812.14962440197,40000.0,-1
2021-09-23,4000.0,822.3698832994419,38092.39861409723,42092.39861409723,40000.0,-1
2021-09-24,4000.0,822.3698832994419,38139.21971436366,42139.21971436366,40000.0,-1
2021-09-27,4000.0,822.3698832994419,38133.936851191225,42133.936851191225,40000.0,-1
2021-09-28,4000.0,822.3698832994419,37089.28202976255,41089.28202976255,40000.0,-1
2021-09-29,4000.0,822.3698832994419,36972.958653020214,40972.958653020214,40000.0,-1
2021-09-30,0.0,912.0400160280756,40623.27210428909,40623.27210428909,40000.0,1
2021-10-01,4000.0,1045.8772658953617,46817.02348299671,50817.02348299671,50000.0,1
2021-10-04,0.0,1137.239227095242,49715.8923201666,49715.8923201666,50000.0,1
2021-10-05,0.0,1137.239227095242,50705.09835120864,50705.09835120864,50000.0,1
2021-10-06,0.0,1137.239227095242,51056.060621838544,51056.060621838544,50000.0,1
2021-10-07,0.0,1137.239227095242,51592.972160775105,51592.972160775105,50000.0,-1
2021-10-08,0.0,1137.239227095242,51481.193497424676,51481.193497424676,50000.0,-1
2021-10-11,0.0,1137.239227095242,51427.93312911166,51427.93312911166,50000.0,-1
2021-10-12,0.0,1137.239227095242,50690.456847335015,50690.456847335015,50000.0,-1
2021-10-13,0.0,1137.239227095242,50662.26273365364,50662.26273365364,50000.0,-1
2021-10-14,0.0,1137.239227095242,51977.36478069394,51977.36478069394,50000.0,-1
2021-10-15,0.0,1137.239227095242,52567.5410261669,52567.5410261669,50000.0,-1
2021-10-18,0.0,1137.239227095242,52579.024303427184,52579.024303427184,50000.0,-1
2021-10-19,0.0,1137.239227095242,53313.36404970734,53313.36404970734,50000.0,-1
2021-10-20,0.0,1137.239227095242,53208.90830740541,53208.90830740541,50000.0,-1
2021-10-21,0.0,1137.239227095242,53706.11208783672,53706.11208783672,50000.0,-1
2021-10-22,0.0,1137.239227095242,53837.733784881355,53837.733784881355,50000.0,-1
2021-10-25,0.0,1137.239227095242,54533.40260804168,54533.40260804168,50000.0,-1
2021-10-26,0.0,1137.239227095242,55765.98297013857,55765.98297013857,50000.0,-1
2021-10-27,0.0,1137.239227095242,54642.05341234237,54642.05341234237,50000.0,-1
2021-10-28,0.0,1137.239227095242,55316.83368997632,55316.83368997632,50000.0,-1
2021-10-29,0.0,1137.239227095242,55536.191616455064,55536.191616455064,50000.0,-1
2021-11-01,4000.0,1260.7608640481099,61149.0565269506,65149.0565269506,60000.0,-1
2021-11-02,4000.0,1260.7608640481099,62193.585821908426,66193.58582190843,60000.0,-1
2021-11-03,4000.0,1260.7608640481099,62807.34489488497,66807.34489488497,60000.0,-1
