date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,0.0,231.93828890077316,9985.017481269357,9985.017481269357,10000.0,1
2021-06-15,0.0,231.93828890077316,9878.205751408366,9878.205751408366,10000.0,1
2021-06-16,0.0,231.93828890077316,9773.494475869622,9773.494475869622,10000.0,1
2021-06-17,0.0,231.93828890077316,9887.230449844295,9887.230449844295,10000.0,1
2021-06-18,0.0,231.93828890077316,9726.280261885659,9726.280261885659,10000.0,1
2021-06-21,0.0,231.93828890077316,9825.890813259392,9825.890813259392,10000.0,1
2021-06-22,0.0,231.93828890077316,9822.504781797206,9822.504781797206,10000.0,1
2021-06-23,0.0,231.93828890077316,9869.245641500462,9869.245641500462,10000.0,1
2021-06-24,0.0,231.93828890077316,9941.149483901538,9941.149483901538,10000.0,1
2021-06-25,0.0,231.93828890077316,9774.920732132241,9774.920732132241,10000.0,1
2021-06-28,0.0,231.93828890077316,9999.09689560376,9999.09689560376,10000.0,1
2021-06-29,0.0,231.93828890077316,10091.09219409141,10091.09219409141,10000.0,1
2021-06-30,0.0,231.93828890077316,10084.536900884374,10084.536900884374,10000.0,1
2021-07-01,0.0,465.10842226097395,19917.283830632,19917.283830632,20000.0,1
2021-07-02,0.0,465.10842226097395,19854.942084748123,19854.942084748123,20000.0,1
2021-07-06,0.0,465.10842226097395,20071.65226278691,20071.65226278691,20000.0,1
2021-07-07,0.0,465.10842226097395,19913.043378326383,19913.043378326383,20000.0,1
2021-07-08,0.0,465.10842226097395,19953.755268955963,19953.755268955963,20000.0,1
2021-07-09,0.0,465.10842226097395,20364.28073107886,20364.28073107886,20000.0,1
2021-07-12,0.0,465.10842226097395,20600.504086714795,20600.504086714795,20000.0,1
2021-07-13,0.0,465.10842226097395,20526.71134535792,20526.71134535792,20000.0,1
2021-07-14,0.0,465.10842226097395,20424.0799798272,20424.0799798272,20000.0,1
2021-07-15,0.0,465.10842226097395,20243.83946586454,20243.83946586454,20000.0,1
2021-07-16,0.0,465.10842226097395,19850.703406690332,19850.703406690332,20000.0,1
2021-07-19,0.0,465.10842226097395,19748.92013162073,19748.92013162073,20000.0,1
2021-07-20,0.0,465.10842226097395,19872.755532927367,19872.755532927367,20000.0,1
2021-07-21,0.0,465.10842226097395,20315.08971008587,20315.08971008587,20000.0,1
2021-07-22,0.0,465.10842226097395,20201.003800586503,20201.003800586503,20000.0,1
2021-07-23,0.0,465.10842226097395,20490.23813278613,20490.23813278613,20000.0,1
2021-07-26,0.0,465.10842226097395,20451.646468309358,20451.646468309358,20000.0,1
2021-07-27,0.0,465.10842226097395,20159.871413222016,20159.871413222016,20000.0,1
2021-07-28,0.0,465.10842226097395,20256.988416507607,20256.988416507607,20000.0,1
2021-07-29,0.0,465.10842226097395,20530.951797663536,20530.951797663536,20000.0,1
2021-07-30,0.0,465.10842226097395,20585.660729397303,20585.660729397303,20000.0,1
2021-08-02,0.0,691.0430988017267,30540.143405570565,30540.143405570565,30000.0,1
2021-08-03,0.0,691.0430988017267,30673.096128837416,30673.096128837416,30000.0,1
2021-08-04,0.0,691.0430988017267,30736.739979295064,30736.739979295064,30000.0,1
2021-08-05,0.0,691.0430988017267,30728.546917653082,30728.546917653082,30000.0,1
2021-08-06,0.0,691.0430988017267,30587.39849662403,30587.39849662403,30000.0,1
2021-08-09,0.0,691.0430988017267,30540.143405570565,30540.143405570565,30000.0,1
2021-08-10,0.0,691.0430988017267,30387.659667597974,30387.659667597974,30000.0,1
2021-08-11,0.0,691.0430988017267,30468.939162323597,30468.939162323597,30000.0,1
