date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-18,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-21,0.0,27.247546229418383,9985.017481269357,9985.017481269357,10000.0,1
2021-06-22,0.0,27.247546229418383,10123.897811962259,10123.897811962259,10000.0,1
2021-06-23,0.0,27.247546229418383,10118.478736682195,10118.478736682195,10000.0,1
2021-06-24,0.0,27.247546229418383,10121.057308485706,10121.057308485706,10000.0,1
2021-06-25,0.0,27.247546229418383,10184.044807854976,10184.044807854976,10000.0,1
2021-06-28,0.0,27.247546229418383,10236.449436104194,10236.449436104194,10000.0,1
2021-06-29,0.0,27.247546229418383,10294.533408248277,10294.533408248277,10000.0,1
2021-06-30,0.0,27.247546229418383,10213.989003023053,10213.989003023053,10000.0,1
2021-07-01,0.0,53.96123989068316,20169.57783717921,20169.57783717921,20000.0,1
2021-07-02,0.0,53.96123989068316,20395.0366187171,20395.0366187171,20000.0,1
2021-07-06,0.0,53.96123989068316,20390.9476978599,20390.9476978599,20000.0,1
2021-07-07,0.0,53.96123989068316,20688.480502417056,20688.480502417056,20000.0,1
2021-07-08,0.0,53.96123989068316,20814.75454644836,20814.75454644836,20000.0,1
2021-07-09,0.0,53.96123989068316,21081.617974427023,21081.617974427023,20000.0,1
2021-07-12,0.0,53.96123989068316,20852.075212331005,20852.075212331005,20000.0,1
2021-07-13,0.0,53.96123989068316,20810.155128021397,20810.155128021397,20000.0,1
2021-07-14,0.0,53.96123989068316,20957.898065010915,20957.898065010915,20000.0,1
2021-07-15,0.0,53.96123989068316,21053.49943893101,21053.49943893101,20000.0,1
2021-07-16,0.0,53.96123989068316,20979.371898268193,20979.371898268193,20000.0,1
2021-07-19,0.0,53.96123989068316,21172.618283153806,21172.618283153806,20000.0,1
2021-07-20,0.0,53.96123989068316,21279.462130973247,21279.462130973247,20000.0,1
2021-07-21,0.0,53.96123989068316,21216.580357742478,21216.580357742478,20000.0,1
2021-07-22,0.0,53.96123989068316,21345.920680725085,21345.920680725085,20000.0,1
2021-07-23,0.0,53.96123989068316,21647.03849563509,21647.03849563509,20000.0,1
2021-07-26,0.0,53.96123989068316,21636.812076576214,21636.812076576214,20000.0,1
2021-07-27,0.0,53.96123989068316,21693.556351605304,21693.556351605304,20000.0,1
2021-07-28,0.0,53.96123989068316,21585.17936431021,21585.17936431021,20000.0,1
2021-07-29,0.0,53.96123989068316,21782.376341679275,21782.376341679275,20000.0,1
2021-07-30,0.0,53.96123989068316,22009.784894580396,22009.784894580396,20000.0,1
2021-08-02,0.0,78.48710192271389,31953.824241894683,31953.824241894683,30000.0,1
2021-08-03,0.0,78.48710192271389,32411.98982508501,32411.98982508501,30000.0,1
2021-08-04,0.0,78.48710192271389,32409.75746488628,32409.75746488628,30000.0,1
2021-08-05,0.0,78.48710192271389,33016.90913897915,33016.90913897915,30000.0,1
2021-08-06,0.0,78.48710192271389,32751.701394039315,32751.701394039315,30000.0,1
2021-08-09,0.0,78.48710192271389,32814.28412716421,32814.28412716421,30000.0,1
2021-08-10,0.0,78.48710192271389,33004.99523379838,33004.99523379838,30000.0,1
2021-08-11,0.0,78.48710192271389,33099.60706625527,33099.60706625527,30000.0,1
2021-08-12,0.0,78.48710192271389,33178.57800590345,33178.57800590345,30000.0,1
2021-08-13,0.0,78.48710192271389,33361.83992775431,33361.83992775431,30000.0,1
2021-08-16,0.0,78.48710192271389,33737.309978904785,33737.309978904785,30000.0,1
2021-08-17,0.0,78.48710192271389,33698.57182279529,33698.57182279529,30000.0,1
2021-08-18,0.0,78.48710192271389,33241.905657506686,33241.905657506686,30000.0,1
2021-08-19,0.0,78.48710192271389,33841.61293728877,33841.61293728877,30000.0,1
2021-08-20,0.0,78.48710192271389,34193.990515610974,34193.990515610974,30000.0,1
2021-08-23,0.0,78.48710192271389,33891.527265809505,33891.527265809505,30000.0,1
2021-08-24,0.0,78.48710192271389,33657.598911250796,33657.598911250796,30000.0,-1
2021-08-25,0.0,78.48710192271389,33615.88826693677,33615.88826693677,30000.0,-1
2021-08-26,0.0,78.48710192271389,33472.844757207014,33472.844757207014,30000.0,-1
2021-08-27,0.0,78.48710192271389,33549.58333665647,33549.58333665647,30000.0,-1
2021-08-30,0.0,78.48710192271389,33966.02150887891,33966.02150887891,30000.0,-1
2021-08-31,0.0,78.48710192271389,33933.24988630486,33933.24988630486,30000.0,-1
2021-09-01,10000.0,78.48710192271389,34009.974094336736,44009.974094336736,40000.0,-1
2021-09-02,10000.0,78.48710192271389,34341.501140974455,44341.501140974455,40000.0,-1
2021-09-03,10000.0,78.48710192271389,34459.21023673214,44459.21023673214,40000.0,-1
2021-09-07,10000.0,78.48710192271389,34239.437728497986,44239.437728497986,40000.0,-1
2021-09-08,10000.0,78.48710192271389,34693.87632406039,44693.87632406039,40000.0,-1
2021-09-09,10000.0,78.48710192271389,34711.75915801287,44711.75915801287,40000.0,-1
2021-09-10,10000.0,78.48710192271389,34653.64114528543,44653.64114528543,40000.0,-1
2021-09-13,10000.0,78.48710192271389,34243.907239367974,44243.907239367974,40000.0,-1
2021-09-14,10000.0,78.48710192271389,34150.78045339522,44150.78045339522,40000.0,-1
2021-09-15,10000.0,78.48710192271389,34323.61830702197,44323.61830702197,40000.0,-1
2021-09-16,10000.0,78.48710192271389,34515.82643632159,44515.82643632159,40000.0,-1
2021-09-17,10000.0,78.48710192271389,34232.73106695674,44232.73106695674,40000.0,-1
2021-09-20,10000.0,78.48710192271389,33609.18400063178,43609.18400063178,40000.0,-1
2021-09-21,10000.0,78.48710192271389,33681.44348826619,43681.44348826619,40000.0,-1
2021-09-22,10000.0,78.48710192271389,33697.831694789485,43697.831694789485,40000.0,-1
2021-09-23,10000.0,78.48710192271389,33731.35542155067,43731.35542155067,40000.0,-1
2021-09-24,10000.0,78.48710192271389,34846.59898353592,44846.59898353592,40000.0,-1
2021-09-27,10000.0,78.48710192271389,34310.95469289034,44310.95469289034,40000.0,-1
2021-09-28,10000.0,78.48710192271389,33326.8239688002,43326.8239688002,40000.0,-1
2021-09-29,10000.0,78.48710192271389,33657.598911250796,43657.598911250796,40000.0,-1
2021-09-30,10000.0,78.48710192271389,33475.82922159287,43475.82922159287,40000.0,-1
2021-10-01,20000.0,78.48710192271389,33399.837955858005,53399.837955858005,50000.0,-1
2021-10-04,20000.0,78.48710192271389,32789.69463167048,52789.69463167048,50000.0,-1
2021-10-05,20000.0,78.48710192271389,33244.138017705416,53244.138017705416,50000.0,-1
2021-10-06,20000.0,78.48710192271389,33475.084303114534,53475.084303114534,50000.0,-1
2021-10-07,20000.0,78.48710192271389,33738.059687855646,53738.059687855646,50000.0,-1
2021-10-08,20000.0,78.48710192271389,33662.070817357046,53662.070817357046,50000.0,-1
2021-10-11,20000.0,78.48710192271389,33501.90136833447,53501.90136833447,50000.0,-1
2021-10-12,20000.0,78.48710192271389,33291.07027707656,53291.07027707656,50000.0,-1
2021-10-13,20000.0,78.48710192271389,33174.10849503346,53174.10849503346,50000.0,-1
2021-10-14,20000.0,78.48710192271389,33573.42072796308,53573.42072796308,50000.0,-1
2021-10-15,20000.0,78.48710192271389,33702.298810423206,53702.298810423206,50000.0,-1
2021-10-18,0.0,124.0315647760411,54384.540509625906,54384.540509625906,50000.0,1
2021-10-19,0.0,124.0315647760411,54988.48278103112,54988.48278103112,50000.0,1
2021-10-20,0.0,124.0315647760411,55305.17055259339,55305.17055259339,50000.0,1
2021-10-21,0.0,124.0315647760411,56183.433490319825,56183.433490319825,50000.0,1
2021-10-22,0.0,124.0315647760411,56743.80876616314,56743.80876616314,50000.0,1
2021-10-25,0.0,124.0315647760411,57698.59593927402,57698.59593927402,50000.0,1
2021-10-26,0.0,124.0315647760411,57160.57193265686,57160.57193265686,50000.0,1
2021-10-27,0.0,124.0315647760411,57582.03246157388,57582.03246157388,50000.0,1
2021-10-28,0.0,124.0315647760411,57842.63198463604,57842.63198463604,50000.0,1
2021-10-29,0.0,124.0315647760411,57961.73907841069,57961.73907841069,50000.0,1
2021-11-01,0.0,145.384039548425,67985.6640442483,67985.6640442483,60000.0,1
2021-11-02,0.0,145.384039548425,68693.35084930726,68693.35084930726,60000.0,1
2021-11-03,0.0,145.384039548425,69431.43395731256,69431.43395731256,60000.0,1
2021-11-04,0.0,145.384039548425,71268.35384323535,71268.35384323535,60000.0,1
2021-11-05,0.0,145.384039548425,70922.80941671832,70922.80941671832,60000.0,1
2021-11-08,0.0,145.384039548425,69636.00449245352,69636.00449245352,60000.0,1
2021-11-09,0.0,145.384039548425,70313.2683739534,70313.2683739534,60000.0,1
