date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,4000.0,16.478036833383154,5991.010488761614,9991.010488761614,10000.0,0
2021-06-15,4000.0,16.478036833383154,5993.353359049905,9993.353359049905,10000.0,0
2021-06-16,4000.0,16.478036833383154,5923.101948415735,9923.101948415735,10000.0,0
2021-06-17,4000.0,16.478036833383154,6006.467197079109,10006.46719707911,10000.0,0
2021-06-18,4000.0,16.478036833383154,5946.049907792402,9946.049907792403,10000.0,0
2021-06-21,4000.0,16.478036833383154,6038.469829649803,10038.469829649803,10000.0,0
2021-06-22,4000.0,16.478036833383154,6122.458133966148,10122.458133966149,10000.0,0
2021-06-23,4000.0,16.478036833383154,6119.180931633288,10119.180931633287,10000.0,0
2021-06-24,4000.0,16.478036833383154,6120.740330809934,10120.740330809935,10000.0,0
2021-06-25,4000.0,16.478036833383154,6158.832213503169,10158.83221350317,10000.0,0
2021-06-28,4000.0,16.478036833383154,6190.524072552042,10190.524072552042,10000.0,0
2021-06-29,4000.0,16.478036833383154,6225.650532173791,10225.650532173791,10000.0,0
2021-06-30,4000.0,16.478036833383154,6176.941057021448,10176.941057021448,10000.0,0
2021-07-01,8000.0,32.50625303014202,12150.154481526157,20150.15448152616,20000.0,0
2021-07-02,8000.0,32.50625303014202,12285.97086038226,20285.97086038226,20000.0,-1
2021-07-06,8000.0,32.50625303014202,12283.507694297243,20283.507694297245,20000.0,-1
2021-07-07,8000.0,32.50625303014202,12462.741467451751,20462.74146745175,20000.0,-1
2021-07-08,8000.0,32.50625303014202,12538.80895653718,20538.808956537177,20000.0,-1
2021-07-09,8000.0,32.50625303014202,12699.567496035887,20699.56749603589,20000.0,-1
2021-07-12,8000.0,32.50625303014202,12561.290927131116,20561.290927131115,20000.0,-1
2021-07-13,8000.0,32.50625303014202,12536.03826669608,20536.03826669608,20000.0,-1
2021-07-14,8000.0,32.50625303014202,12625.038617742994,20625.038617742994,20000.0,-1
2021-07-15,8000.0,32.50625303014202,12682.628889148384,20682.628889148385,20000.0,-1
2021-07-16,8000.0,32.50625303014202,12637.974455740828,20637.974455740827,20000.0,-1
2021-07-19,8000.0,32.50625303014202,12754.386085588061,20754.386085588063,20000.0,-1
2021-07-20,8000.0,32.50625303014202,12818.748823712103,20818.748823712103,20000.0,-1
2021-07-21,8000.0,32.50625303014202,12780.868841047431,20780.86884104743,20000.0,-1
2021-07-22,8000.0,32.50625303014202,12858.783456693593,20858.783456693593,20000.0,-1
2021-07-23,8000.0,32.50625303014202,13040.176840225502,21040.176840225504,20000.0,-1
2021-07-26,8000.0,32.50625303014202,13034.016444982668,21034.01644498267,20000.0,-1
2021-07-27,8000.0,32.50625303014202,13068.199198489523,21068.19919848952,20000.0,-1
2021-07-28,8000.0,32.50625303014202,13002.912897085112,21002.912897085112,20000.0,-1
2021-07-29,8000.0,32.50625303014202,13121.704363999586,21121.704363999586,20000.0,-1
2021-07-30,8000.0,32.50625303014202,13258.695285201504,21258.695285201502,20000.0,-1
2021-08-02,12000.0,47.22177024936046,19225.02054445866,31225.02054445866,30000.0,-1
2021-08-03,12000.0,47.22177024936046,19500.675898976428,31500.675898976428,30000.0,-1
2021-08-04,12000.0,47.22177024936046,19499.332799309912,31499.332799309912,30000.0,-1
2021-08-05,12000.0,47.22177024936046,19864.625645627006,31864.625645627006,30000.0,-1
2021-08-06,12000.0,47.22177024936046,19705.06338771319,31705.06338771319,30000.0,-1
2021-08-09,12000.0,47.22177024936046,19742.716293385656,31742.716293385656,30000.0,-1
2021-08-10,12000.0,47.22177024936046,19857.457643758713,31857.457643758713,30000.0,-1
2021-08-11,12000.0,47.22177024936046,19914.380859238747,31914.380859238747,30000.0,-1
2021-08-12,12000.0,47.22177024936046,19961.89373048879,31961.89373048879,30000.0,-1
2021-08-13,12000.0,47.22177024936046,20072.153278326583,32072.153278326583,30000.0,-1
2021-08-16,12000.0,47.22177024936046,20298.054860326676,32298.054860326676,30000.0,-1
2021-08-17,12000.0,47.22177024936046,20274.74804604924,32274.74804604924,30000.0,-1
2021-08-18,12000.0,47.22177024936046,19999.99481641478,31999.99481641478,30000.0,-1
2021-08-19,12000.0,47.22177024936046,20360.80874238474,32360.80874238474,30000.0,-1
2021-08-20,12000.0,47.22177024936046,20572.816736525514,32572.816736525514,30000.0,-1
2021-08-23,12000.0,47.22177024936046,20390.83970155913,32390.83970155913,30000.0,-1
2021-08-24,12000.0,47.22177024936046,20250.09669101123,32250.09669101123,30000.0,-1
2021-08-25,12000.0,47.22177024936046,20225.001479001883,32225.001479001883,30000.0,-1
2021-08-26,12000.0,47.22177024936046,20138.93934157232,32138.93934157232,30000.0,-1
2021-08-27,12000.0,47.22177024936046,20185.10911315585,32185.10911315585,30000.0,-1
2021-08-30,12000.0,47.22177024936046,20435.659168005826,32435.659168005826,30000.0,-1
2021-08-31,12000.0,47.22177024936046,20415.94211903879,32415.94211903879,30000.0,-1
2021-09-01,16000.0,61.04762761541416,26453.11373281956,42453.11373281956,40000.0,-1
2021-09-02,16000.0,61.04762761541416,26710.9769892245,42710.976989224495,40000.0,-1
2021-09-03,16000.0,61.04762761541416,26802.531663415913,42802.53166341591,40000.0,-1
2021-09-07,16000.0,61.04762761541416,26631.59159920007,42631.59159920007,40000.0,-1
2021-09-08,16000.0,61.04762761541416,26985.056021714783,42985.05602171479,40000.0,-1
