,date,action,price,shares,cash_after,technical_state,commission
0,2021-10-19,buy,443.3426513671875,112.61061224853275,0.0,1,49.95004995004996
1,2021-11-01,buy,467.6281127929687,21.3524747723839,0.0,1,9.990009990009991
2,2021-12-01,buy,503.7268371582031,19.822286097759385,0.0,1,9.990009990009991
3,2021-12-02,sell,499.6102294921875,153.78537311867603,76717.53485440166,-1,76.79432918358525
4,2021-12-10,buy,531.2784423828125,144.18539611835635,0.0,1,76.64089396044123
5,2022-01-03,buy,538.7796020507812,18.53265684755498,0.0,1,9.990009990009991
6,2022-01-07,sell,509.75433349609375,162.71805296591134,82821.85476158041,-1,82.90475952110151
7,2022-02-02,buy,496.2922058105469,186.7504328270733,0.0,1,92.72912563594448
8,2022-02-23,sell,471.564697265625,186.7504328270733,87932.85798579844,-1,88.0208788646631
9,2022-03-03,buy,507.5466613769531,192.66431510473728,0.0,1,97.83502296283562
10,2022-04-01,buy,548.0324096679688,18.21975727187172,0.0,1,9.990009990009991
11,2022-04-25,sell,541.0245971679688,210.884072376609,113922.38714797076,-1,114.0364235715423
12,2022-05-27,buy,448.9661560058594,275.60366977348923,0.0,1,123.79858855941137
13,2022-06-01,buy,435.8336181640625,22.910158980693083,0.0,1,9.990009990009991
14,2022-07-01,buy,463.2717895507813,21.553260324682157,0.0,1,9.990009990009991
15,2022-08-01,buy,522.3955688476562,19.11390156561845,0.0,1,9.990009990009991
16,2022-08-26,sell,508.0747985839844,339.1809906444829,172070.90569961086,-1,172.24314884845933
17,2022-10-24,buy,474.7808532714844,403.94033117363676,0.0,1,191.87902667293795
18,2022-11-01,buy,478.4995422363281,20.86735012243296,0.0,1,9.990009990009991
19,2022-12-01,sell,482.2321166992187,424.80768129606975,204548.72590843227,-1,204.75347938782008
20,2023-01-06,buy,462.1431884765625,485.15763285044426,0.0,1,224.3244015069254
21,2023-02-01,buy,495.6790466308594,20.144118556428246,0.0,1,9.990009990009991
22,2023-02-22,sell,476.86865234375,505.3017514068725,240601.24185378398,-1,240.8420839377217
23,2023-03-31,buy,476.3700256347656,525.2760765968789,0.0,1,250.3508909628212
24,2023-04-03,buy,476.5234375,20.95388536113579,0.0,1,9.990009990009991
25,2023-05-01,buy,473.2254028320313,21.099918604355825,0.0,1,9.990009990009991
26,2023-05-23,sell,465.8347473144531,567.3298805623705,263885.68073936296,-1,264.1498305699329
27,2023-05-26,buy,487.3457336425781,540.66404060729,0.0,1,263.62205868068236
28,2023-06-01,buy,492.4760437011719,20.27513339781485,0.0,1,9.990009990009991
29,2023-07-03,buy,519.7994995117188,19.209363400020447,0.0,1,9.990009990009991
30,2023-08-01,buy,533.6630859375,18.710339433967807,0.0,1,9.990009990009991
31,2023-08-17,sell,525.6312866210938,598.8588768390931,314306.9508839705,-1,314.6215724564269
32,2023-09-11,buy,537.8574829101562,602.0573621757195,0.0,1,323.98296791605446
33,2023-10-02,buy,549.9182739257812,18.157275280175483,0.0,1,9.990009990009991
34,2023-10-20,sell,532.2265625,620.214637455895,329599.72749592894,-1,329.929657153082
35,2023-11-06,buy,549.4906616210938,617.1004263616388,0.0,1,339.26046702890005
36,2023-12-01,buy,574.977783203125,17.36591877627714,0.0,1,9.990009990009991
37,2024-01-02,buy,641.7051391601562,15.560133263600532,0.0,1,9.990009990009991
38,2024-02-01,buy,695.81640625,14.350074806488305,0.0,1,9.990009990009991
39,2024-03-01,buy,740.2235717773438,13.489191457784067,0.0,1,9.990009990009991
40,2024-03-08,sell,716.6371459960938,677.8657446657888,485055.33985875535,-1,485.54088073949487
41,2024-05-02,buy,724.59375,695.9743162976645,0.0,1,504.5507890696857
42,2024-06-03,buy,806.6550903320312,12.378298483382004,0.0,1,9.990009990009991
43,2024-07-01,buy,836.6107177734375,11.935081955253409,0.0,1,9.990009990009991
44,2024-07-11,sell,837.5209350585938,720.2876967362998,602351.4428718765,-1,602.9543972691457
45,2024-08-09,buy,846.9755859375,721.9027281628623,0.0,1,611.7397031687079
46,2024-09-03,buy,870.3956298828125,11.471814814389301,0.0,1,9.990009990009991
47,2024-10-01,buy,869.2167358398438,11.487373711945109,0.0,1,9.990009990009991
48,2024-11-01,buy,870.3023071289062,11.473044940222604,0.0,1,9.990009990009991
49,2024-12-02,buy,967.2120361328124,10.323504162740038,0.0,1,9.990009990009991
50,2024-12-19,sell,947.17333984375,766.6584657921594,725069.5849537291,-1,725.7953803340631
51,2025-01-27,buy,957.5398559570312,766.5145852729662,0.0,1,734.3352497040252
52,2025-02-03,buy,997.7957153320312,10.0070759253027,0.0,1,9.990009990009991
53,2025-02-27,sell,1014.6688232421876,776.5216611982689,786730.8456659912,-1,787.5183640300213
54,2025-04-02,buy,958.4290161132812,840.4609482004715,0.0,1,805.924920745246
55,2025-05-01,buy,992.1549682617188,10.063969642528088,0.0,1,9.990009990009991
56,2025-06-02,buy,1050.9339599609375,9.50108937543563,0.0,1,9.990009990009991
57,2025-06-11,sell,991.2003784179688,860.0260072184352,851179.8428775533,-1,852.0318747523056
58,2025-08-06,buy,964.47265625,901.9173228076534,0.0,1,870.3095333442092
