date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,0.0,27.463394722305257,9985.017481269357,9985.017481269357,10000.0,1
2021-06-15,0.0,27.463394722305257,9988.922265083174,9988.922265083174,10000.0,1
2021-06-16,0.0,27.463394722305257,9871.836580692892,9871.836580692892,10000.0,1
2021-06-17,0.0,27.463394722305257,10010.778661798515,10010.778661798515,10000.0,1
2021-06-18,0.0,27.463394722305257,9910.083179654004,9910.083179654004,10000.0,1
2021-06-21,0.0,27.463394722305257,10064.116382749671,10064.116382749671,10000.0,1
2021-06-22,0.0,27.463394722305257,10204.09688994358,10204.09688994358,10000.0,1
2021-06-23,0.0,27.463394722305257,10198.634886055479,10198.634886055479,10000.0,1
2021-06-24,0.0,27.463394722305257,10201.233884683223,10201.233884683223,10000.0,1
2021-06-25,0.0,27.463394722305257,10264.720355838617,10264.720355838617,10000.0,1
2021-06-28,0.0,27.463394722305257,10317.54012092007,10317.54012092007,10000.0,1
2021-06-29,0.0,27.463394722305257,10376.084220289653,10376.084220289653,10000.0,1
2021-06-30,0.0,27.463394722305257,10294.901761702413,10294.901761702413,10000.0,1
2021-07-01,0.0,54.17708838357003,20250.25746921026,20250.25746921026,20000.0,1
2021-07-02,0.0,54.17708838357003,20476.6181006371,20476.6181006371,20000.0,1
2021-07-06,0.0,54.17708838357003,20472.512823828736,20472.512823828736,20000.0,1
2021-07-07,0.0,54.17708838357003,20771.23577908625,20771.23577908625,20000.0,1
2021-07-08,0.0,54.17708838357003,20898.014927561966,20898.014927561966,20000.0,1
2021-07-09,0.0,54.17708838357003,21165.945826726474,21165.945826726474,20000.0,1
2021-07-12,0.0,54.17708838357003,20935.48487855186,20935.48487855186,20000.0,1
2021-07-13,0.0,54.17708838357003,20893.39711116013,20893.39711116013,20000.0,1
2021-07-14,0.0,54.17708838357003,21041.731029571656,21041.731029571656,20000.0,1
2021-07-15,0.0,54.17708838357003,21137.714815247306,21137.714815247306,20000.0,1
2021-07-16,0.0,54.17708838357003,21063.290759568048,21063.290759568048,20000.0,1
2021-07-19,0.0,54.17708838357003,21257.310142646766,21257.310142646766,20000.0,1
2021-07-20,0.0,54.17708838357003,21364.581372853507,21364.581372853507,20000.0,1
2021-07-21,0.0,54.17708838357003,21301.448068412385,21301.448068412385,20000.0,1
2021-07-22,0.0,54.17708838357003,21431.30576115599,21431.30576115599,20000.0,1
2021-07-23,0.0,54.17708838357003,21733.6280670425,21733.6280670425,20000.0,1
2021-07-26,0.0,54.17708838357003,21723.360741637778,21723.360741637778,20000.0,1
2021-07-27,0.0,54.17708838357003,21780.33199748254,21780.33199748254,20000.0,1
2021-07-28,0.0,54.17708838357003,21671.521495141853,21671.521495141853,20000.0,1
2021-07-29,0.0,54.17708838357003,21869.50727333264,21869.50727333264,20000.0,1
2021-07-30,0.0,54.17708838357003,22097.825475335838,22097.825475335838,20000.0,1
2021-08-02,0.0,78.70295041560075,32041.700907431095,32041.700907431095,30000.0,1
2021-08-03,0.0,78.70295041560075,32501.12649829404,32501.12649829404,30000.0,1
2021-08-04,0.0,78.70295041560075,32498.88799884985,32498.88799884985,30000.0,1
2021-08-05,0.0,78.70295041560075,33107.70940937834,33107.70940937834,30000.0,1
2021-08-06,0.0,78.70295041560075,32841.77231285531,32841.77231285531,30000.0,1
2021-08-09,0.0,78.70295041560075,32904.527155642754,32904.527155642754,30000.0,1
2021-08-10,0.0,78.70295041560075,33095.76273959785,33095.76273959785,30000.0,1
2021-08-11,0.0,78.70295041560075,33190.6347653979,33190.6347653979,30000.0,1
2021-08-12,0.0,78.70295041560075,33269.82288414798,33269.82288414798,30000.0,1
2021-08-13,0.0,78.70295041560075,33453.58879721096,33453.58879721096,30000.0,1
2021-08-16,0.0,78.70295041560075,33830.09143387779,33830.09143387779,30000.0,1
2021-08-17,0.0,78.70295041560075,33791.246743415395,33791.246743415395,30000.0,1
2021-08-18,0.0,78.70295041560075,33333.324694024624,33333.324694024624,30000.0,1
2021-08-19,0.0,78.70295041560075,33934.681237307894,33934.681237307894,30000.0,1
2021-08-20,0.0,78.70295041560075,34288.02789420918,34288.02789420918,30000.0,1
2021-08-23,0.0,78.70295041560075,33984.73283593188,33984.73283593188,30000.0,1
2021-08-24,0.0,78.70295041560075,33750.16115168538,33750.16115168538,30000.0,1
2021-08-25,0.0,78.70295041560075,33708.33579833646,33708.33579833646,30000.0,1
2021-08-26,0.0,78.70295041560075,33564.89890262053,33564.89890262053,30000.0,1
2021-08-27,0.0,78.70295041560075,33641.84852192641,33641.84852192641,30000.0,1
2021-08-30,0.0,78.70295041560075,34059.43194667637,34059.43194667637,30000.0,1
