date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-18,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-21,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-22,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-23,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-24,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-25,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-28,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-29,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-30,10000.0,0.0,0.0,10000.0,10000.0,0
2021-07-01,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-02,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-06,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-07,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-08,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-09,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-12,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-13,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-14,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-15,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-16,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-19,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-20,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-21,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-22,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-23,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-26,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-27,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-28,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-29,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-30,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-08-02,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-03,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-04,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-05,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-06,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-09,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-10,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-11,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-12,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-13,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-16,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-17,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-18,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-19,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-20,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-23,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-24,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-25,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-26,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-27,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-30,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-31,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-09-01,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-02,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-03,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-07,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-08,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-09,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-10,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-13,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-14,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-15,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-16,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-17,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-20,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-21,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-22,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-23,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-24,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-27,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-28,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-29,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-30,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-10-01,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-04,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-05,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-06,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-07,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-08,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-11,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-12,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-13,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-14,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-15,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-18,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-19,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-20,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-21,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-22,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-25,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-26,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-27,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-28,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-10-29,50000.0,0.0,0.0,50000.0,50000.0,-1
2021-11-01,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-02,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-03,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-04,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-05,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-08,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-09,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-10,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-11,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-12,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-15,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-16,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-17,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-18,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-19,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-22,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-23,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-24,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-26,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-29,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-11-30,60000.0,0.0,0.0,60000.0,60000.0,-1
2021-12-01,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-02,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-03,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-06,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-07,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-08,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-09,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-10,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-13,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-14,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-15,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-16,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-17,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-20,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-21,70000.0,0.0,0.0,70000.0,70000.0,-1
2021-12-22,70000.0,0.0,0.0,70000.0,70000.0,-1
