date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-18,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-21,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-22,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-23,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-24,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-25,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-28,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-29,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-30,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-07-01,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-02,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-06,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-07,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-08,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-09,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-12,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-13,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-14,0.0,423.0134417616078,19970.034962538713,19970.034962538713,20000.0,1
2021-07-15,0.0,423.0134417616078,19807.586982870514,19807.586982870514,20000.0,1
2021-07-16,0.0,423.0134417616078,19826.0505746393,19826.0505746393,20000.0,1
2021-07-19,19560.381456670846,0.0,0.0,19560.381456670846,20000.0,-1
2021-07-20,19560.381456670846,0.0,0.0,19560.381456670846,20000.0,-1
2021-07-21,19560.381456670846,0.0,0.0,19560.381456670846,20000.0,-1
2021-07-22,0.0,410.30168947099344,19531.075078515536,19531.075078515536,20000.0,1
2021-07-23,0.0,410.30168947099344,19778.164833809253,19778.164833809253,20000.0,1
2021-07-26,0.0,410.30168947099344,19864.113383743337,19864.113383743337,20000.0,1
2021-07-27,0.0,410.30168947099344,19796.072020810436,19796.072020810436,20000.0,1
2021-07-28,0.0,410.30168947099344,19613.43467820106,19613.43467820106,20000.0,1
2021-07-29,0.0,410.30168947099344,19720.869974324487,19720.869974324487,20000.0,1
2021-07-30,0.0,410.30168947099344,19828.30214009444,19828.30214009444,20000.0,1
2021-08-02,0.0,616.6208852004053,29841.965485929446,29841.965485929446,30000.0,1
2021-08-03,0.0,616.6208852004053,30272.50914500395,30272.50914500395,30000.0,1
2021-08-04,0.0,616.6208852004053,29971.130700651604,29971.130700651604,30000.0,1
2021-08-05,0.0,616.6208852004053,30008.806240500904,30008.806240500904,30000.0,1
2021-08-06,0.0,616.6208852004053,29917.314213406044,29917.314213406044,30000.0,1
2021-08-09,0.0,616.6208852004053,29852.73395826697,29852.73395826697,30000.0,1
2021-08-10,0.0,616.6208852004053,29928.07562907755,29928.07562907755,30000.0,1
2021-08-11,0.0,616.6208852004053,30062.62507996847,30062.62507996847,30000.0,1
2021-08-12,0.0,616.6208852004053,30347.853168036538,30347.853168036538,30000.0,1
2021-08-13,0.0,616.6208852004053,30390.9129440546,30390.9129440546,30000.0,1
2021-08-16,0.0,616.6208852004053,30288.65009240021,30288.65009240021,30000.0,1
2021-08-17,0.0,616.6208852004053,30143.348634725804,30143.348634725804,30000.0,1
2021-08-18,0.0,616.6208852004053,29680.518376414773,29680.518376414773,30000.0,1
2021-08-19,0.0,616.6208852004053,30821.454250907096,30821.454250907096,30000.0,1
