,date,action,price,shares,cash_after,technical_state,commission
0,2021-07-14,buy,47.208984375,423.0134417616078,0.0,1,19.980019980019982
1,2021-07-19,sell,46.31000900268555,423.0134417616078,19560.381456670846,-1,19.57996141808894
2,2021-07-22,buy,47.60174179077149,410.30168947099344,0.0,1,19.540840616054794
3,2021-08-02,buy,48.39596939086914,206.31919572941186,0.0,1,9.990009990009991
4,2021-09-01,buy,51.52927780151367,193.77367406022614,0.0,1,9.990009990009991
5,2021-09-21,sell,48.23014068603515,810.3945592606315,39026.834981652995,-1,39.06590088253554
6,2021-11-02,buy,50.62965393066406,1164.108251585034,0.0,1,58.967867114538464
7,2021-11-18,sell,47.12371826171875,1164.108251585034,54774.85103847903,-1,54.82968071919823
8,2021-12-15,buy,52.65941619873047,1228.228618268321,0.0,1,64.71014089758145
9,2022-01-03,buy,55.49755096435547,179.9181640948887,0.0,1,9.990009990009991
10,2022-01-21,sell,50.09716796875,1408.1467823632097,70438.38490396645,-1,70.50889379776422
11,2022-08-18,buy,44.330413818359375,3163.245292618016,0.0,1,140.2980868171493
12,2022-08-26,sell,41.20564270019531,3163.245292618016,130148.10513951935,-1,130.27838352304238
13,2022-11-17,buy,42.222782135009766,3787.2483729213027,0.0,1,159.98811702249688
14,2022-12-01,buy,45.28593826293945,220.4882545061625,0.0,1,9.990009990009991
15,2023-01-03,buy,43.446231842041016,229.8247064917444,0.0,1,9.990009990009991
16,2023-02-01,buy,44.368865966796875,225.04558689288055,0.0,1,9.990009990009991
17,2023-03-01,buy,44.15876007080078,226.11634623028684,0.0,1,9.990009990009991
18,2023-04-03,buy,47.785369873046875,208.9555340430955,0.0,1,9.990009990009991
19,2023-04-19,sell,44.21434783935547,4897.678801085472,216222.9608792926,-1,216.43940027957217
20,2023-05-18,buy,44.361610412597656,5091.880565279914,0.0,1,225.99696391537725
21,2023-06-01,buy,45.77897262573242,218.1136209172323,0.0,1,9.990009990009991
22,2023-07-03,buy,47.693336486816406,209.35875358666627,0.0,1,9.990009990009991
23,2023-08-01,buy,48.833961486816406,204.468717614994,0.0,1,9.990009990009991
24,2023-09-01,buy,53.63761138916016,186.15701226559966,0.0,1,9.990009990009991
25,2023-10-02,buy,50.43827438354492,197.9650890778073,0.0,1,9.990009990009991
26,2023-10-23,sell,48.75699615478515,6107.943758742213,297358.4317755953,-1,297.6560878634587
27,2024-01-19,buy,48.26097106933594,6772.925599081233,0.0,1,327.03140037522013
28,2024-01-31,sell,47.23493957519531,6772.925599081233,319439.01328213146,-1,319.7587720541856
29,2024-05-14,buy,46.453575134277344,7726.003479168222,0.0,1,359.07993334878273
30,2024-05-16,sell,45.87468719482422,7726.003479168222,353896.5280976528,-1,354.2507788765293
31,2024-07-17,buy,46.43998718261719,8039.113694325924,0.0,1,373.52300509256025
32,2024-07-19,sell,45.29142761230469,8039.113694325924,363556.96360118745,-1,363.9208844856731
33,2024-09-16,buy,48.84238052368164,7841.188217194961,0.0,1,383.17378981137614
34,2024-10-01,buy,50.47908020019531,197.80505987172725,0.0,1,9.990009990009991
35,2024-11-01,buy,53.526729583740234,186.54264063804294,0.0,1,9.990009990009991
36,2024-12-02,buy,57.316993713378906,174.2069294701801,0.0,1,9.990009990009991
37,2025-01-02,buy,56.99872970581055,175.17964931508757,0.0,1,9.990009990009991
38,2025-02-03,buy,59.27091217041016,168.46404274260823,0.0,1,9.990009990009991
39,2025-03-03,buy,61.640193939208984,161.98874213661327,0.0,1,9.990009990009991
40,2025-04-01,buy,60.00888442993164,166.39231967273435,0.0,1,9.990009990009991
41,2025-04-03,sell,56.02055358886719,9071.767601041953,507443.38897808146,-1,507.9513403183999
42,2025-05-12,buy,60.28245162963867,8570.788255687225,0.0,1,516.926462515566
43,2025-06-02,buy,62.41340637207031,159.98193435789787,0.0,1,9.990009990009991
44,2025-07-01,buy,67.54528045654297,147.82701935323934,0.0,1,9.990009990009991
45,2025-08-01,buy,65.99453735351562,151.3006664139822,0.0,1,9.990009990009991
46,2025-09-02,buy,66.67308044433594,149.76085422670178,0.0,1,9.990009990009991
47,2025-10-01,buy,67.60728454589844,147.69144402613227,0.0,1,9.990009990009991
48,2025-11-03,buy,73.65462493896484,135.56538356611836,0.0,1,9.990009990009991
49,2025-12-01,buy,75.2276382446289,132.73070528679352,0.0,1,9.990009990009991
50,2026-01-02,buy,75.63018798828125,132.02423194844516,0.0,1,9.990009990009991
51,2026-02-02,buy,80.20539093017578,124.49309660446627,0.0,1,9.990009990009991
52,2026-03-02,buy,78.9919662475586,126.40548090645818,0.0,1,9.990009990009991
53,2026-04-01,buy,77.51000213623047,128.82230945781464,0.0,1,9.990009990009991
54,2026-05-01,buy,91.8499984741211,108.71004515130888,0.0,1,9.990009990009991
55,2026-06-01,buy,121.33000183105467,82.29635976741302,0.0,1,9.990009990009991
