date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,0.0,212.66680738303128,9985.017481269355,9985.017481269355,10000.0,1
2021-06-15,0.0,212.66680738303128,9914.974148281975,9914.974148281975,10000.0,1
2021-06-16,0.0,212.66680738303128,9855.989904643373,9855.989904643373,10000.0,1
2021-06-17,0.0,212.66680738303128,9793.316864110046,9793.316864110046,10000.0,1
2021-06-18,0.0,212.66680738303128,9597.930695093964,9597.930695093964,10000.0,1
2021-06-21,0.0,212.66680738303128,9802.534394419668,9802.534394419668,10000.0,1
2021-06-22,0.0,212.66680738303128,9817.279846884703,9817.279846884703,10000.0,1
2021-06-23,0.0,212.66680738303128,9725.117523940284,9725.117523940284,10000.0,1
2021-06-24,0.0,212.66680738303128,9728.803887056541,9728.803887056541,10000.0,1
2021-06-25,0.0,212.66680738303128,9780.41459320314,9780.41459320314,10000.0,1
2021-06-28,0.0,212.66680738303128,9761.981966362358,9761.981966362358,10000.0,1
2021-06-29,0.0,212.66680738303128,9752.7668698312,9752.7668698312,10000.0,1
2021-06-30,0.0,212.66680738303128,9769.353070075898,9769.353070075898,10000.0,1
2021-07-01,0.0,428.2386752527115,19835.476218719363,19835.476218719363,20000.0,1
2021-07-02,0.0,428.2386752527115,20011.14712548044,20011.14712548044,20000.0,1
2021-07-06,0.0,428.2386752527115,19801.83710891405,19801.83710891405,20000.0,1
2021-07-07,0.0,428.2386752527115,19906.490483596343,19906.490483596343,20000.0,1
2021-07-08,0.0,428.2386752527115,19906.490483596343,19906.490483596343,20000.0,1
2021-07-09,0.0,428.2386752527115,20085.89743562377,20085.89743562377,20000.0,1
2021-07-12,0.0,428.2386752527115,19895.27744699457,19895.27744699457,20000.0,1
2021-07-13,0.0,428.2386752527115,19928.918190400786,19928.918190400786,20000.0,1
2021-07-14,0.0,428.2386752527115,20216.712928775956,20216.712928775956,20000.0,1
2021-07-15,0.0,428.2386752527115,20052.25832581846,20052.25832581846,20000.0,1
2021-07-16,0.0,428.2386752527115,20070.94998735655,20070.94998735655,20000.0,1
2021-07-19,0.0,428.2386752527115,19831.736906251204,19831.736906251204,20000.0,1
2021-07-20,0.0,428.2386752527115,20026.096207348564,20026.096207348564,20000.0,1
2021-07-21,0.0,428.2386752527115,20138.223306164462,20138.223306164462,20000.0,1
2021-07-22,0.0,428.2386752527115,20384.906844201618,20384.906844201618,20000.0,1
2021-07-23,0.0,428.2386752527115,20642.798518037827,20642.798518037827,20000.0,1
2021-07-26,0.0,428.2386752527115,20732.504444452898,20732.504444452898,20000.0,1
2021-07-27,0.0,428.2386752527115,20661.488545975015,20661.488545975015,20000.0,1
2021-07-28,0.0,428.2386752527115,20470.86692374491,20470.86692374491,20000.0,1
2021-07-29,0.0,428.2386752527115,20582.998923363524,20582.998923363524,20000.0,1
2021-07-30,0.0,428.2386752527115,20695.12765578033,20695.12765578033,20000.0,1
2021-08-02,0.0,634.5578709821234,30710.043300785932,30710.043300785932,30000.0,1
2021-08-03,0.0,634.5578709821234,31153.111114777308,31153.111114777308,30000.0,1
2021-08-04,0.0,634.5578709821234,30842.965823564904,30842.965823564904,30000.0,1
2021-08-05,0.0,634.5578709821234,30881.737313354944,30881.737313354944,30000.0,1
2021-08-06,0.0,634.5578709821234,30787.58385971984,30787.58385971984,30000.0,1
2021-08-09,0.0,634.5578709821234,30721.12501897653,30721.12501897653,30000.0,1
2021-08-10,0.0,634.5578709821234,30798.658315971912,30798.658315971912,30000.0,1
2021-08-11,0.0,634.5578709821234,30937.12169784619,30937.12169784619,30000.0,1
2021-08-12,0.0,634.5578709821234,31230.646832418865,31230.646832418865,30000.0,1
2021-08-13,0.0,634.5578709821234,31274.959181304206,31274.959181304206,30000.0,1
2021-08-16,0.0,634.5578709821234,31169.72158883233,31169.72158883233,30000.0,1
2021-08-17,0.0,634.5578709821234,31020.19343329069,31020.19343329069,30000.0,1
2021-08-18,0.0,634.5578709821234,30543.899829896924,30543.899829896924,30000.0,1
2021-08-19,0.0,634.5578709821234,31718.024574649404,31718.024574649404,30000.0,1
2021-08-20,0.0,634.5578709821234,32244.164124085284,32244.164124085284,30000.0,1
2021-08-23,0.0,634.5578709821234,32421.389313164895,32421.389313164895,30000.0,1
2021-08-24,0.0,634.5578709821234,32853.38509155037,32853.38509155037,30000.0,1
2021-08-25,0.0,634.5578709821234,32869.99314495922,32869.99314495922,30000.0,1
2021-08-26,0.0,634.5578709821234,32786.918988868536,32786.918988868536,30000.0,1
2021-08-27,0.0,634.5578709821234,32687.229517430485,32687.229517430485,30000.0,1
2021-08-30,0.0,634.5578709821234,32748.14991972467,32748.14991972467,30000.0,1
2021-08-31,0.0,634.5578709821234,32687.229517430485,32687.229517430485,30000.0,1
2021-09-01,0.0,828.3315450423495,42683.32629624426,42683.32629624426,40000.0,1
2021-09-02,0.0,828.3315450423495,43037.57213510822,43037.57213510822,40000.0,1
2021-09-03,0.0,828.3315450423495,42958.04227115111,42958.04227115111,40000.0,1
