symbol,framework,strategy,params_json,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,excess_profit_vs_plain_dca,excess_final_equity_vs_plain_dca,excess_irr_pct_vs_plain_dca
GOOGL,A_100pct_monthly_dca,plain_dca,{},1505968.8390647685,610000.0,895968.8390647685,146.8801375516014,37.16386265720447,-27.31825532424238,1.8205291795801193,0.0,1505968.8390647685,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0
GOOGL,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 10}",1374098.586210599,610000.0,764098.5862105989,125.26206331321295,33.232480016882526,-26.321323116133154,1.8552650121592071,0.0,1374098.586210599,47.294069735514185,61.0,16.0,0.0,609.3906093906094,0.0,1.0,-131870.25285416958,-131870.25285416958,-3.9313826403219423
GOOGL,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 10}",1444864.452418521,610000.0,834864.452418521,136.8630249866428,35.38131744955225,-26.818487690067695,1.8556713110078722,0.0,1444864.452418521,19.78839866845106,61.0,73.0,0.0,609.390609390609,0.6,0.4,-61104.38664624747,-61104.38664624747,-1.7825452076522197
GOOGL,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 60, ""rsi_window"": 10}",1384890.0850746308,610000.0,774890.0850746308,127.0311614876444,33.56635370122242,-26.321323116133154,1.8573454674640253,0.0,1384890.0850746308,47.09638483874659,61.0,17.0,0.0,609.3906093906093,0.0,1.0,-121078.75399013772,-121078.75399013772,-3.5975089559820503
GOOGL,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 60, ""rsi_window"": 10}",1444864.452418521,610000.0,834864.452418521,136.8630249866428,35.38131744955225,-26.818487690067695,1.8556713110078722,0.0,1444864.452418521,19.78839866845106,61.0,73.0,0.0,609.390609390609,0.6,0.4,-61104.38664624747,-61104.38664624747,-1.7825452076522197
GOOGL,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 65, ""rsi_window"": 10}",1384890.0850746308,610000.0,774890.0850746308,127.0311614876444,33.56635370122242,-26.321323116133154,1.8573454674640253,0.0,1384890.0850746308,47.09638483874659,61.0,17.0,0.0,609.3906093906093,0.0,1.0,-121078.75399013772,-121078.75399013772,-3.5975089559820503
GOOGL,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 65, ""rsi_window"": 10}",1444864.452418521,610000.0,834864.452418521,136.8630249866428,35.38131744955225,-26.818487690067695,1.8556713110078722,0.0,1444864.452418521,19.78839866845106,61.0,73.0,0.0,609.390609390609,0.6,0.4,-61104.38664624747,-61104.38664624747,-1.7825452076522197
GOOGL,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 55, ""rsi_window"": 10}",1467695.6853389028,610000.0,857695.6853389028,140.60585005555782,36.05493258130057,-27.05573019439804,1.8709864554927753,0.0,1467695.6853389028,41.65322265894623,61.0,23.0,0.0,609.3906093906093,0.0,1.0,-38273.15372586576,-38273.15372586576,-1.1089300759038991
GOOGL,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 55, ""rsi_window"": 10}",1484639.540471853,610000.0,874639.540471853,143.38353122489394,36.54894579486699,-27.049604567715967,1.8610230577392999,0.0,1484639.540471853,17.632208267184897,61.0,80.0,0.0,609.390609390609,0.6,0.4,-21329.298592915526,-21329.298592915526,-0.6149168623374806
GOOGL,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 60, ""rsi_window"": 10}",1475113.2599284714,610000.0,865113.2599284714,141.82184588991336,36.27180898345059,-27.05573019439804,1.8722929719148347,0.0,1475113.2599284714,41.51246237097146,61.0,25.0,0.0,609.3906093906091,0.0,1.0,-30855.579136297107,-30855.579136297107,-0.8920536737538782
