,date,action,price,shares,cash_after,technical_state,commission
0,2021-07-23,buy,131.8459014892578,151.46496581970564,0.0,1,19.980019980019982
1,2021-08-02,buy,133.6692352294922,74.69944347423262,0.0,1,9.990009990009991
2,2021-09-01,buy,143.93917846679688,69.36969897721521,0.0,1,9.990009990009991
3,2021-09-10,sell,139.63780212402344,295.53410827115346,41205.852365536215,-1,41.24709946500121
4,2021-10-14,buy,139.91038513183594,365.44201528099074,0.0,1,51.15469766786835
5,2021-10-22,sell,136.35739135742188,365.44201528099074,49755.998731630774,-1,49.805804536166946
6,2021-10-27,buy,144.93235778808594,342.7906126110021,0.0,1,49.706292439191586
7,2021-11-01,buy,142.23574829101562,70.20047773672144,0.0,1,9.990009990009991
8,2021-11-26,sell,140.9333038330078,412.9910903477235,58116.92162017586,-1,58.17509671689275
9,2021-12-27,buy,146.6064910888672,463.92806218616255,0.0,1,68.04887274742843
10,2022-01-03,buy,143.71713256835938,69.4768765757274,0.0,1,9.990009990009991
11,2022-01-05,sell,136.56405639648438,533.40493876189,72734.71264800424,-1,72.80752016817242
12,2022-02-01,buy,136.4342041015625,605.4988611823172,0.0,1,82.65206058741683
13,2022-02-11,sell,133.10226440429688,605.4988611823172,80472.41990994783,-1,80.55297288283066
14,2022-03-22,buy,138.638671875,651.599356915414,0.0,1,90.38203787207576
15,2022-04-01,buy,138.91868591308594,71.87670553921343,0.0,1,9.990009990009991
16,2022-04-07,sell,134.69415283203125,723.4760624546274,97301.87205758756,-1,97.39927132891648
17,2022-06-02,buy,116.5886688232422,1004.6098432227232,0.0,1,117.18468737021736
18,2022-06-13,sell,105.45738983154295,1004.6098432227232,105784.66953931187,-1,105.89056009941129
19,2022-06-24,buy,116.93807983398438,903.2658789163406,0.0,1,105.67899054876312
20,2022-06-30,sell,108.00530242919922,903.2658789163406,97411.21694844853,-1,97.50872567412266
21,2022-07-07,buy,117.73898315429688,910.915696892982,0.0,1,107.30391303541313
22,2022-07-18,sell,108.07170867919922,910.915696892982,98296.59872429713,-1,98.39499371801514
23,2022-07-28,buy,113.21609497070312,866.9202526949958,0.0,1,98.19840032397317
24,2022-08-01,buy,113.8504638671875,87.70291435015494,0.0,1,9.990009990009991
25,2022-08-22,sell,113.23592376708984,954.6231670451508,107935.54376438593,-1,108.04358735173767
26,2022-10-25,buy,103.56169128417967,1233.505000857628,0.0,1,127.80773602835758
27,2022-10-26,sell,94.09564208984376,1233.505000857628,115893.40194283922,-1,116.00941135419342
28,2022-11-10,buy,93.11432647705078,1350.0047379771734,0.0,1,125.7676343085307
29,2022-12-01,buy,100.10237884521484,99.74805390697932,0.0,1,9.990009990009991
30,2022-12-07,sell,94.10555267333984,1449.7527918841527,136225.21125328954,-1,136.36157282611566
31,2023-01-13,buy,91.31033325195312,1599.0099242521055,0.0,1,146.0791321211684
32,2023-02-01,buy,99.54727935791016,100.30427296128745,0.0,1,9.990009990009991
33,2023-02-08,sell,98.4966049194336,1699.314197213393,167125.69778657623,-1,167.2929907773536
34,2023-03-06,buy,94.29387664794922,1875.6288866817542,0.0,1,176.9487490375387
35,2023-04-03,buy,103.4427490234375,96.52699271368944,0.0,1,9.990009990009991
36,2023-05-01,buy,106.25779724121094,93.9697390733861,0.0,1,9.990009990009991
37,2023-06-01,buy,122.6325912475586,81.4222172074354,0.0,1,9.990009990009991
38,2023-06-21,sell,119.4904556274414,2147.547835676265,256226.68046836727,-1,256.4831636319993
39,2023-07-13,buy,123.44538116455078,2153.4042289630224,0.0,1,265.9607197486187
40,2023-07-20,sell,118.15231323242188,2153.4042289630224,254048.17365484175,-1,254.30247613097274
41,2023-07-26,buy,128.13380432128906,1979.7082186583348,0.0,1,253.79437927556623
42,2023-08-01,buy,130.39376831054688,76.57587943534968,0.0,1,9.990009990009991
43,2023-09-01,buy,134.4676513671875,74.25590749706421,0.0,1,9.990009990009991
44,2023-09-21,sell,129.29351806640625,2130.5400055907485,275051.952917499,-1,275.3272801976967
45,2023-10-04,buy,134.05137634277344,2123.252151975861,0.0,1,284.76718573176726
46,2023-10-25,sell,124.50597381591795,2123.252151975861,263961.1726520287,-1,264.22539805007875
47,2023-11-07,buy,129.81886291503906,2107.172283514632,0.0,1,273.68748516686185
48,2023-11-30,sell,131.36514282226562,2107.172283514632,276393.91289755073,-1,276.67058348103177
49,2023-12-07,buy,135.7264862060547,2106.9198111190844,0.0,1,286.1078050924583
50,2024-01-02,buy,136.95555114746094,72.9069935290058,0.0,1,9.990009990009991
51,2024-01-05,sell,134.5370330810547,2179.8268046480903,292827.67641523347,-1,293.12079721244595
52,2024-01-10,buy,141.02944946289062,2073.247452316661,0.0,1,292.53514127395954
53,2024-01-31,sell,138.86862182617188,2073.247452316661,287477.29683773324,-1,287.7650618996329
54,2024-02-09,buy,147.69039916992188,2011.1774535784753,0.0,1,297.18011672101227
55,2024-02-16,sell,139.28492736816406,2011.1774535784753,279706.6555512006,-1,279.986642193394
56,2024-03-12,buy,137.28268432617188,2107.1310153332593,0.0,1,289.4172383128878
57,2024-04-01,buy,154.12335205078125,64.78588317998332,0.0,1,9.990009990009991
58,2024-05-01,buy,162.4197998046875,61.47660256493669,0.0,1,9.990009990009991
59,2024-06-03,buy,171.64797973632812,58.17148268571259,0.0,1,9.990009990009991
60,2024-07-01,buy,181.58984375,54.986651648954656,0.0,1,9.990009990009991
61,2024-07-16,sell,182.51268005371097,2346.5516354128467,427633.2288595356,-1,428.0612901496853
62,2024-09-16,buy,157.05870056152344,2845.831271607049,0.0,1,447.18604281671895
63,2024-10-01,buy,165.93212890625,60.175311117178474,0.0,1,9.990009990009991
64,2024-11-01,buy,170.2049102783203,58.6646852017476,0.0,1,9.990009990009991
65,2024-11-15,sell,171.39730834960938,2964.671267925975,507374.7245190776,-1,507.88260712620377
66,2024-12-09,buy,174.45875549316406,2961.1558640817716,0.0,1,516.8578666524252
67,2025-01-02,buy,188.4457244873047,52.986171527293166,0.0,1,9.990009990009991
68,2025-02-03,buy,200.1844024658203,49.87909826278403,0.0,1,9.990009990009991
69,2025-02-05,sell,190.3358459472656,3064.0211338718486,582318.5565305519,-1,582.9014579885404
70,2025-04-09,buy,158.0671844482422,3804.8133375968205,0.0,1,601.7168396908611
71,2025-05-01,buy,160.64666748046875,62.15514854974084,0.0,1,9.990009990009991
72,2025-05-07,sell,150.76686096191406,3866.968486146561,582136.4755501696,-1,582.7191947449146
73,2025-05-14,buy,164.7001953125,3529.2264674150156,0.0,1,581.5549206295401
74,2025-06-02,buy,168.34536743164062,59.31269528592127,0.0,1,9.990009990009991
75,2025-06-20,sell,166.1659698486328,3588.5391627009367,595398.948821082,-1,595.9949437648469
76,2025-06-27,buy,178.02215576171875,3339.510684425893,0.0,1,594.8041446764057
77,2025-07-01,buy,175.3397979736328,56.946669248306534,0.0,1,9.990009990009991
78,2025-08-01,buy,188.5919952392578,52.94507578967937,0.0,1,9.990009990009991
79,2025-09-02,buy,210.7487945556641,47.37876438307248,0.0,1,9.990009990009991
80,2025-10-01,buy,244.4217529296875,40.851590996247104,0.0,1,9.990009990009991
81,2025-10-09,sell,241.0583343505859,3537.6327848431984,851497.1292462719,-1,852.349478724997
82,2025-10-16,buy,250.9689483642578,3387.75524868301,0.0,1,850.6464827635085
83,2025-11-03,buy,283.16595458984375,35.26206918389011,0.0,1,9.990009990009991
84,2025-12-01,buy,314.2751159667969,31.77158156652871,0.0,1,9.990009990009991
85,2025-12-17,sell,296.3342590332031,3454.788899433429,1022237.1620529502,-1,1023.2604224754257
86,2026-01-07,buy,321.5614318847656,3205.268134148672,0.0,1,1031.2059560968535
87,2026-02-02,buy,343.24322509765625,29.090209947854078,0.0,1,9.990009990009991
88,2026-02-06,sell,322.4402770996094,3234.358344096526,1041323.591052553,-1,1042.3659570095626
89,2026-04-01,buy,297.2124938964844,3565.5750776191258,0.0,1,1060.2633277248285
90,2026-05-01,buy,385.4597778320313,25.90417484653988,0.0,1,9.990009990009991
91,2026-05-29,sell,380.1129455566406,3591.4792524656655,1363120.6885078244,-1,1364.485173681506
