date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-18,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-21,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-22,0.0,79.3156932819237,9985.017481269357,9985.017481269357,10000.0,1
2021-06-23,0.0,79.3156932819237,9942.720054442729,9942.720054442729,10000.0,1
2021-06-24,0.0,79.3156932819237,10007.22940935168,10007.22940935168,10000.0,1
2021-06-25,0.0,79.3156932819237,9984.665900323029,9984.665900323029,10000.0,1
2021-06-28,0.0,79.3156932819237,9970.866499462427,9970.866499462427,10000.0,1
2021-06-29,0.0,79.3156932819237,9907.889335527823,9907.889335527823,10000.0,1
2021-06-30,9837.883784327058,0.0,0.0,9837.883784327058,10000.0,-1
2021-07-01,19837.88378432706,0.0,0.0,19837.88378432706,20000.0,-1
2021-07-02,0.0,155.24365561213742,19808.16163778956,19808.16163778956,20000.0,1
2021-07-06,0.0,155.24365561213742,19970.053415341936,19970.053415341936,20000.0,1
2021-07-07,0.0,155.24365561213742,20017.21682450999,20017.21682450999,20000.0,1
2021-07-08,0.0,155.24365561213742,19878.647364635366,19878.647364635366,20000.0,1
2021-07-09,0.0,155.24365561213742,19939.817666742183,19939.817666742183,20000.0,1
2021-07-12,0.0,155.24365561213742,20092.086071630307,20092.086071630307,20000.0,1
2021-07-13,0.0,155.24365561213742,20158.332776843457,20158.332776843457,20000.0,1
2021-07-14,0.0,155.24365561213742,20325.766432635344,20325.766432635344,20000.0,1
2021-07-15,0.0,155.24365561213742,20200.194744036722,20200.194744036722,20000.0,1
2021-07-16,0.0,155.24365561213742,20289.293554134063,20289.293554134063,20000.0,1
2021-07-19,0.0,155.24365561213742,19890.49151560675,19890.49151560675,20000.0,1
2021-07-20,0.0,155.24365561213742,20174.800884354074,20174.800884354074,20000.0,1
2021-07-21,0.0,155.24365561213742,20405.477568672766,20405.477568672766,20000.0,1
2021-07-22,0.0,155.24365561213742,20517.509023880903,20517.509023880903,20000.0,1
2021-07-23,0.0,155.24365561213742,21208.075139776924,21208.075139776924,20000.0,1
2021-07-26,0.0,155.24365561213742,21489.45900323431,21489.45900323431,20000.0,1
2021-07-27,0.0,155.24365561213742,21051.185147179764,21051.185147179764,20000.0,1
2021-07-28,0.0,155.24365561213742,20987.326222802443,20987.326222802443,20000.0,1
2021-07-29,0.0,155.24365561213742,21011.791501048934,21011.791501048934,20000.0,1
2021-07-30,0.0,155.24365561213742,20808.73537679551,20808.73537679551,20000.0,1
2021-08-02,0.0,229.31593891147853,30912.016705514146,30912.016705514146,30000.0,1
2021-08-03,0.0,229.31593891147853,30978.04791100729,30978.04791100729,30000.0,1
2021-08-04,0.0,229.31593891147853,30920.886882289364,30920.886882289364,30000.0,1
2021-08-05,0.0,229.31593891147853,31128.07811597414,31128.07811597414,30000.0,1
2021-08-06,0.0,229.31593891147853,31149.894901849275,31149.894901849275,30000.0,1
2021-08-09,0.0,229.31593891147853,31369.47988943457,31369.47988943457,30000.0,1
2021-08-10,0.0,229.31593891147853,31390.96076328982,31390.96076328982,30000.0,1
2021-08-11,0.0,229.31593891147853,31298.448493562028,31298.448493562028,30000.0,1
2021-08-12,0.0,229.31593891147853,31457.565818483607,31457.565818483607,30000.0,1
2021-08-13,0.0,229.31593891147853,31461.31683603904,31461.31683603904,30000.0,1
2021-08-16,0.0,229.31593891147853,31577.24847190353,31577.24847190353,30000.0,1
2021-08-17,0.0,229.31593891147853,31210.023153409562,31210.023153409562,30000.0,1
2021-08-18,0.0,229.31593891147853,31043.981142161294,31043.981142161294,30000.0,1
2021-08-19,0.0,229.31593891147853,31122.049195033822,31122.049195033822,30000.0,1
2021-08-20,0.0,229.31593891147853,31468.36049120611,31468.36049120611,30000.0,1
2021-08-23,0.0,229.31593891147853,32073.582974875586,32073.582974875586,30000.0,1
2021-08-24,0.0,229.31593891147853,32368.856638525853,32368.856638525853,30000.0,1
2021-08-25,0.0,229.31593891147853,32494.225302699124,32494.225302699124,30000.0,1
2021-08-26,0.0,229.31593891147853,32306.23354040118,32306.23354040118,30000.0,1
2021-08-27,0.0,229.31593891147853,32858.03901474109,32858.03901474109,30000.0,1
2021-08-30,0.0,229.31593891147853,33066.934302110094,33066.934302110094,30000.0,1
2021-08-31,0.0,229.31593891147853,33065.2337475094,33065.2337475094,30000.0,1
2021-09-01,0.0,298.38419091353467,43136.62610597648,43136.62610597648,40000.0,1
2021-09-02,0.0,298.38419091353467,42656.57795605644,42656.57795605644,40000.0,1
2021-09-03,0.0,298.38419091353467,42821.02253929947,42821.02253929947,40000.0,1
2021-09-07,0.0,298.38419091353467,43041.09089665735,43041.09089665735,40000.0,1
2021-09-08,0.0,298.38419091353467,42853.12561135348,42853.12561135348,40000.0,1
2021-09-09,0.0,298.38419091353467,42861.99937215808,42861.99937215808,40000.0,1
2021-09-10,0.0,298.38419091353467,41976.88612346783,41976.88612346783,40000.0,1
2021-09-13,0.0,298.38419091353467,42433.55926673275,42433.55926673275,40000.0,1
2021-09-14,0.0,298.38419091353467,42416.116794879264,42416.116794879264,40000.0,1
2021-09-15,0.0,298.38419091353467,42948.510572285464,42948.510572285464,40000.0,1
2021-09-16,0.0,298.38419091353467,42702.28078363808,42702.28078363808,40000.0,1
2021-09-17,0.0,298.38419091353467,41841.562409442995,41841.562409442995,40000.0,1
2021-09-20,0.0,298.38419091353467,41117.943412029956,41117.943412029956,40000.0,1
2021-09-21,0.0,298.38419091353467,41304.13758755805,41304.13758755805,40000.0,1
2021-09-22,41623.778942645,0.0,0.0,41623.778942645,40000.0,-1
2021-09-23,41623.778942645,0.0,0.0,41623.778942645,40000.0,-1
2021-09-24,41623.778942645,0.0,0.0,41623.778942645,40000.0,-1
2021-09-27,41623.778942645,0.0,0.0,41623.778942645,40000.0,-1
2021-09-28,41623.778942645,0.0,0.0,41623.778942645,40000.0,-1
2021-09-29,41623.778942645,0.0,0.0,41623.778942645,40000.0,-1
2021-09-30,41623.778942645,0.0,0.0,41623.778942645,40000.0,-1
2021-10-01,51623.778942645,0.0,0.0,51623.778942645,50000.0,-1
2021-10-04,51623.778942645,0.0,0.0,51623.778942645,50000.0,-1
2021-10-05,51623.778942645,0.0,0.0,51623.778942645,50000.0,-1
2021-10-06,51623.778942645,0.0,0.0,51623.778942645,50000.0,-1
2021-10-07,51623.778942645,0.0,0.0,51623.778942645,50000.0,-1
2021-10-08,51623.778942645,0.0,0.0,51623.778942645,50000.0,-1
2021-10-11,51623.778942645,0.0,0.0,51623.778942645,50000.0,-1
2021-10-12,51623.778942645,0.0,0.0,51623.778942645,50000.0,-1
2021-10-13,51623.778942645,0.0,0.0,51623.778942645,50000.0,-1
2021-10-14,51623.778942645,0.0,0.0,51623.778942645,50000.0,-1
2021-10-15,51623.778942645,0.0,0.0,51623.778942645,50000.0,-1
2021-10-18,0.0,363.7431162739622,51546.43351914953,51546.43351914953,50000.0,1
2021-10-19,0.0,363.7431162739622,51857.05491048059,51857.05491048059,50000.0,1
2021-10-20,0.0,363.7431162739622,51349.737164510356,51349.737164510356,50000.0,1
2021-10-21,0.0,363.7431162739622,51481.52300058227,51481.52300058227,50000.0,1
2021-10-22,0.0,363.7431162739622,49983.19730243564,49983.19730243564,50000.0,1
2021-10-25,0.0,363.7431162739622,50036.557689396366,50036.557689396366,50000.0,1
2021-10-26,0.0,363.7431162739622,50360.71066210981,50360.71066210981,50000.0,1
2021-10-27,0.0,363.7431162739622,52796.50076624913,52796.50076624913,50000.0,1
2021-10-28,0.0,363.7431162739622,52688.87529677177,52688.87529677177,50000.0,1
2021-10-29,0.0,363.7431162739622,53461.01907804925,53461.01907804925,50000.0,1
2021-11-01,0.0,433.80483192399356,61824.76107003885,61824.76107003885,60000.0,1
2021-11-02,0.0,433.80483192399356,62723.05797755138,62723.05797755138,60000.0,1
2021-11-03,0.0,433.80483192399356,63121.68103637851,63121.68103637851,60000.0,1
2021-11-04,0.0,433.80483192399356,63935.69393319634,63935.69393319634,60000.0,1
2021-11-05,0.0,433.80483192399356,64175.658117261715,64175.658117261715,60000.0,1
2021-11-08,0.0,433.80483192399356,64223.16509478122,64223.16509478122,60000.0,1
2021-11-09,0.0,433.80483192399356,64178.86849542766,64178.86849542766,60000.0,1
2021-11-10,0.0,433.80483192399356,63051.17186478344,63051.17186478344,60000.0,1
2021-11-11,0.0,433.80483192399356,63103.623486612145,63103.623486612145,60000.0,1
2021-11-12,0.0,433.80483192399356,64349.58118181865,64349.58118181865,60000.0,1
2021-11-15,0.0,433.80483192399356,64238.859541444006,64238.859541444006,60000.0,1
