date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,0.0,79.72214558336458,9985.017481269355,9985.017481269355,10000.0,1
2021-06-15,0.0,79.72214558336458,9959.808101935907,9959.808101935907,10000.0,1
2021-06-16,0.0,79.72214558336458,9933.216820176576,9933.216820176576,10000.0,1
2021-06-17,0.0,79.72214558336458,9986.519813572144,9986.519813572144,10000.0,1
2021-06-18,0.0,79.72214558336458,9923.021640395476,9923.021640395476,10000.0,1
2021-06-21,0.0,79.72214558336458,9993.157446130976,9993.157446130976,10000.0,1
2021-06-22,0.0,79.72214558336458,10036.185581392541,10036.185581392541,10000.0,1
2021-06-23,0.0,79.72214558336458,9993.671401918773,9993.671401918773,10000.0,1
2021-06-24,0.0,79.72214558336458,10058.51133422902,10058.51133422902,10000.0,1
2021-06-25,0.0,79.72214558336458,10035.83219877395,10035.83219877395,10000.0,1
2021-06-28,0.0,79.72214558336458,10021.962083052187,10021.962083052187,10000.0,1
2021-06-29,0.0,79.72214558336458,9958.66219341022,9958.66219341022,10000.0,1
2021-06-30,0.0,79.72214558336458,9903.147669547878,9903.147669547878,10000.0,1
2021-07-01,0.0,159.43388562528756,19971.3384030751,19971.3384030751,20000.0,1
2021-07-02,0.0,159.43388562528756,20342.809917442064,20342.809917442064,20000.0,1
2021-07-06,0.0,159.43388562528756,20509.071366544023,20509.071366544023,20000.0,1
2021-07-07,0.0,159.43388562528756,20557.50777802473,20557.50777802473,20000.0,1
2021-07-08,0.0,159.43388562528756,20415.198146563816,20415.198146563816,20000.0,1
2021-07-09,0.0,159.43388562528756,20478.019515406922,20478.019515406922,20000.0,1
2021-07-12,0.0,159.43388562528756,20634.397844386316,20634.397844386316,20000.0,1
2021-07-13,0.0,159.43388562528756,20702.43263511808,20702.43263511808,20000.0,1
2021-07-14,0.0,159.43388562528756,20874.385545026624,20874.385545026624,20000.0,1
2021-07-15,0.0,159.43388562528756,20745.42451174726,20745.42451174726,20000.0,1
2021-07-16,0.0,159.43388562528756,20836.92821566608,20836.92821566608,20000.0,1
2021-07-19,0.0,159.43388562528756,20427.36198671467,20427.36198671467,20000.0,1
2021-07-20,0.0,159.43388562528756,20719.345238463826,20719.345238463826,20000.0,1
2021-07-21,0.0,159.43388562528756,20956.24818924188,20956.24818924188,20000.0,1
2021-07-22,0.0,159.43388562528756,21071.303520460788,21071.303520460788,20000.0,1
2021-07-23,0.0,159.43388562528756,21780.5089221523,21780.5089221523,20000.0,1
2021-07-26,0.0,159.43388562528756,22069.487705384196,22069.487705384196,20000.0,1
2021-07-27,0.0,159.43388562528756,21619.384262746047,21619.384262746047,20000.0,1
2021-07-28,0.0,159.43388562528756,21553.801702188695,21553.801702188695,20000.0,1
2021-07-29,0.0,159.43388562528756,21578.9273304043,21578.9273304043,20000.0,1
2021-07-30,0.0,159.43388562528756,21370.390454858043,21370.390454858043,20000.0,1
2021-08-02,0.0,233.50616892462867,31476.863880033685,31476.863880033685,30000.0,1
2021-08-03,0.0,233.50616892462867,31544.101656427985,31544.101656427985,30000.0,1
2021-08-04,0.0,233.50616892462867,31485.896139222896,31485.896139222896,30000.0,1
2021-08-05,0.0,233.50616892462867,31696.873323984462,31696.873323984462,30000.0,1
2021-08-06,0.0,233.50616892462867,31719.088762266398,31719.088762266398,30000.0,1
2021-08-09,0.0,233.50616892462867,31942.68616874322,31942.68616874322,30000.0,1
2021-08-10,0.0,233.50616892462867,31964.559556973025,31964.559556973025,30000.0,1
2021-08-11,0.0,233.50616892462867,31870.35683480203,31870.35683480203,30000.0,1
2021-08-12,0.0,233.50616892462867,32032.38166887305,32032.38166887305,30000.0,1
2021-08-13,0.0,233.50616892462867,32036.20122778857,32036.20122778857,30000.0,1
2021-08-16,0.0,233.50616892462867,32154.251252031896,32154.251252031896,30000.0,1
2021-08-17,0.0,233.50616892462867,31780.315721598687,31780.315721598687,30000.0,1
2021-08-18,0.0,233.50616892462867,31611.23966822374,31611.23966822374,30000.0,1
2021-08-19,0.0,233.50616892462867,31690.7342381529,31690.7342381529,30000.0,1
2021-08-20,0.0,233.50616892462867,32043.37358981929,32043.37358981929,30000.0,1
2021-08-23,0.0,233.50616892462867,32659.655145212007,32659.655145212007,30000.0,1
2021-08-24,0.0,233.50616892462867,32960.32426708203,32960.32426708203,30000.0,1
2021-08-25,0.0,233.50616892462867,33087.98375997754,33087.98375997754,30000.0,1
2021-08-26,0.0,233.50616892462867,32896.55687350836,32896.55687350836,30000.0,1
2021-08-27,0.0,233.50616892462867,33458.445344568754,33458.445344568754,30000.0,1
2021-08-30,0.0,233.50616892462867,33671.15772074063,33671.15772074063,30000.0,1
2021-08-31,0.0,233.50616892462867,33669.42609235169,33669.42609235169,30000.0,1
2021-09-01,0.0,302.5744209266848,43742.39675629782,43742.39675629782,40000.0,1
2021-09-02,0.0,302.5744209266848,43255.607256712465,43255.607256712465,40000.0,1
2021-09-03,0.0,302.5744209266848,43422.36114671231,43422.36114671231,40000.0,1
2021-09-07,0.0,302.5744209266848,43645.51993936812,43645.51993936812,40000.0,1
2021-09-08,0.0,302.5744209266848,43454.9150444472,43454.9150444472,40000.0,1
2021-09-09,0.0,302.5744209266848,43463.913420093966,43463.913420093966,40000.0,1
2021-09-10,0.0,302.5744209266848,42566.37046429241,42566.37046429241,40000.0,1
2021-09-13,0.0,302.5744209266848,43029.45670037317,43029.45670037317,40000.0,1
2021-09-14,0.0,302.5744209266848,43011.76928267038,43011.76928267038,40000.0,1
