date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,4000.0,112.50616729060607,5991.010488761614,9991.010488761614,10000.0,0
2021-06-15,4000.0,112.50616729060607,5970.420294509851,9970.420294509851,10000.0,0
2021-06-16,4000.0,112.50616729060607,5891.144012377059,9891.144012377059,10000.0,0
2021-06-17,4000.0,112.50616729060607,5887.024342654226,9887.024342654226,10000.0,0
2021-06-18,4000.0,112.50616729060607,5731.561423386521,9731.56142338652,10000.0,0
2021-06-21,4000.0,112.50616729060607,5752.152905169191,9752.15290516919,10000.0,0
2021-06-22,4000.0,112.50616729060607,5752.152905169191,9752.15290516919,10000.0,0
2021-06-23,4000.0,112.50616729060607,5689.3501518041085,9689.350151804108,10000.0,0
2021-06-24,4000.0,112.50616729060607,5772.743528597924,9772.743528597923,10000.0,0
2021-06-25,4000.0,112.50616729060607,5756.271716538087,9756.271716538087,10000.0,0
2021-06-28,4000.0,112.50616729060607,5917.912209093682,9917.912209093682,10000.0,0
2021-06-29,4000.0,112.50616729060607,5842.753879975848,9842.753879975848,10000.0,0
2021-06-30,4000.0,112.50616729060607,5779.951126610765,9779.951126610766,10000.0,0
2021-07-01,8000.0,229.39124814864377,11757.577302425583,19757.577302425583,20000.0,0
2021-07-02,8000.0,229.39124814864377,11915.01601772865,19915.016017728653,20000.0,0
2021-07-06,8000.0,229.39124814864377,11774.368793593507,19774.36879359351,20000.0,0
2021-07-07,8000.0,229.39124814864377,11747.080979711567,19747.080979711565,20000.0,0
2021-07-08,8000.0,229.39124814864377,11627.426401004454,19627.426401004454,20000.0,0
2021-07-09,8000.0,229.39124814864377,11753.378773339977,19753.378773339977,20000.0,0
2021-07-12,8000.0,229.39124814864377,11908.719099158408,19908.719099158407,20000.0,0
2021-07-13,8000.0,229.39124814864377,11938.106177583153,19938.106177583155,20000.0,0
2021-07-14,8000.0,229.39124814864377,11864.634543759543,19864.634543759545,20000.0,0
2021-07-15,8000.0,229.39124814864377,11715.592886627686,19715.592886627688,20000.0,0
2021-07-16,8000.0,229.39124814864377,11539.25991538122,19539.25991538122,20000.0,0
2021-07-19,8000.0,229.39124814864377,11469.985935585051,19469.98593558505,20000.0,0
2021-07-20,8000.0,229.39124814864377,11595.940058036907,19595.940058036907,20000.0,0
2021-07-21,8000.0,229.39124814864377,11803.758497192752,19803.75849719275,20000.0,0
2021-07-22,8000.0,229.39124814864377,11747.080979711567,19747.080979711565,20000.0,0
2021-07-23,8000.0,229.39124814864377,11125.718801379668,19125.71880137967,20000.0,0
2021-07-26,8000.0,229.39124814864377,11400.71458096338,19400.71458096338,20000.0,0
2021-07-27,0.0,393.53151530313284,19151.517798049277,19151.517798049277,20000.0,1
2021-07-28,0.0,393.53151530313284,19111.905538778406,19111.905538778406,20000.0,1
2021-07-29,0.0,393.53151530313284,19338.783939349378,19338.783939349378,20000.0,1
2021-07-30,0.0,393.53151530313284,19345.989716607128,19345.989716607128,20000.0,1
2021-08-02,4000.0,515.4900469251818,25322.593154464033,29322.593154464033,30000.0,1
2021-08-03,4000.0,515.4900469251818,25501.853685613707,29501.853685613707,30000.0,1
2021-08-04,4000.0,515.4900469251818,25426.375877725182,29426.375877725182,30000.0,1
2021-08-05,4000.0,515.4900469251818,25586.854955024366,29586.854955024366,30000.0,1
2021-08-06,4000.0,515.4900469251818,25601.101801757355,29601.101801757355,30000.0,1
2021-08-09,4000.0,515.4900469251818,25662.82240609253,29662.82240609253,30000.0,1
2021-08-10,4000.0,515.4900469251818,25610.597733140876,29610.597733140876,30000.0,1
2021-08-11,4000.0,515.4900469251818,25705.557046976086,29705.557046976086,30000.0,1
2021-08-12,4000.0,515.4900469251818,25420.67910547046,29420.67910547046,30000.0,1
2021-08-13,4000.0,515.4900469251818,25396.93829379242,29396.93829379242,30000.0,1
2021-08-16,4000.0,515.4900469251818,25387.4423624089,29387.4423624089,30000.0,1
2021-08-17,4000.0,515.4900469251818,25017.099072013112,29017.099072013112,30000.0,1
2021-08-18,4000.0,515.4900469251818,24779.70078742509,28779.70078742509,30000.0,1
2021-08-19,4000.0,515.4900469251818,24898.400912938338,28898.400912938338,30000.0,1
2021-08-20,4000.0,515.4900469251818,24694.233472096457,28694.233472096457,30000.0,1
2021-08-23,4000.0,515.4900469251818,25273.489219368177,29273.489219368177,30000.0,1
2021-08-24,4000.0,515.4900469251818,25548.875162367225,29548.875162367225,30000.0,-1
2021-08-25,4000.0,515.4900469251818,25548.875162367225,29548.875162367225,30000.0,-1
2021-08-26,4000.0,515.4900469251818,25226.011528889045,29226.011528889045,30000.0,-1
2021-08-27,4000.0,515.4900469251818,25586.854955024366,29586.854955024366,30000.0,-1
2021-08-30,4000.0,515.4900469251818,25610.597733140876,29610.597733140876,30000.0,-1
2021-08-31,4000.0,515.4900469251818,25667.573321442003,29667.573321442003,30000.0,-1
2021-09-01,8000.0,636.6837551893439,31473.40823212878,39473.40823212878,40000.0,-1
2021-09-02,8000.0,636.6837551893439,31508.596045869253,39508.59604586926,40000.0,-1
2021-09-03,8000.0,636.6837551893439,31379.58296759204,39379.58296759204,40000.0,-1
2021-09-07,8000.0,636.6837551893439,31461.684627978775,39461.68462797877,40000.0,-1
2021-09-08,8000.0,636.6837551893439,31414.768352576728,39414.76835257673,40000.0,-1
2021-09-09,8000.0,636.6837551893439,31315.07278531976,39315.07278531976,40000.0,-1
2021-09-10,8000.0,636.6837551893439,31573.103799385754,39573.10379938575,40000.0,-1
2021-09-13,8000.0,636.6837551893439,32247.49398805942,40247.49398805942,40000.0,-1
2021-09-14,8000.0,636.6837551893439,31971.871495878968,39971.871495878964,40000.0,-1
2021-09-15,8000.0,636.6837551893439,32323.727774481704,40323.727774481704,40000.0,-1
2021-09-16,8000.0,636.6837551893439,32153.6662947669,40153.666294766896,40000.0,-1
2021-09-17,8000.0,636.6837551893439,31819.403923034402,39819.403923034406,40000.0,-1
2021-09-20,8000.0,636.6837551893439,31068.779947938452,39068.779947938456,40000.0,-1
2021-09-21,8000.0,636.6837551893439,31004.272194421952,39004.27219442195,40000.0,-1
2021-09-22,8000.0,636.6837551893439,31373.717522383366,39373.71752238336,40000.0,-1
2021-09-23,8000.0,636.6837551893439,31684.520542036953,39684.52054203695,40000.0,-1
2021-09-24,8000.0,636.6837551893439,31795.944570955493,39795.94457095549,40000.0,-1
2021-09-27,8000.0,636.6837551893439,32053.968298754146,40053.968298754146,40000.0,-1
2021-09-28,8000.0,636.6837551893439,31666.933921434054,39666.93392143406,40000.0,-1
2021-09-29,8000.0,636.6837551893439,31367.856934686253,39367.85693468625,40000.0,-1
2021-09-30,8000.0,636.6837551893439,31244.706872861927,39244.70687286193,40000.0,-1
2021-10-01,12000.0,757.4499199053001,37575.84274980893,49575.84274980893,50000.0,-1
2021-10-04,12000.0,757.4499199053001,37303.75843085491,49303.75843085491,50000.0,-1
2021-10-05,12000.0,757.4499199053001,37638.63032747443,49638.63032747443,50000.0,-1
2021-10-06,12000.0,757.4499199053001,37659.555667440065,49659.555667440065,50000.0,-1
2021-10-07,12000.0,757.4499199053001,37799.089717741226,49799.089717741226,50000.0,-1
2021-10-08,12000.0,757.4499199053001,37540.96429375738,49540.96429375738,50000.0,-1
2021-10-11,12000.0,757.4499199053001,37282.83020144713,49282.83020144713,50000.0,-1
2021-10-12,0.0,1006.8064986073207,48378.8181944681,48378.8181944681,50000.0,1
2021-10-13,0.0,1006.8064986073207,48462.287301654345,48462.287301654345,50000.0,1
2021-10-14,0.0,1006.8064986073207,49983.101117339735,49983.101117339735,50000.0,-1
2021-10-15,0.0,1006.8064986073207,50502.40470731202,50502.40470731202,50000.0,-1
2021-10-18,0.0,1006.8064986073207,50511.69142802137,50511.69142802137,50000.0,-1
2021-10-19,0.0,1006.8064986073207,51197.902507070175,51197.902507070175,50000.0,-1
2021-10-20,0.0,1006.8064986073207,51346.27496134797,51346.27496134797,50000.0,-1
2021-10-21,0.0,1006.8064986073207,51930.50494238378,51930.50494238378,50000.0,-1
2021-10-22,0.0,1006.8064986073207,45865.76167046896,45865.76167046896,50000.0,1
2021-10-25,0.0,1006.8064986073207,45819.38951751415,45819.38951751415,50000.0,1
2021-10-26,0.0,1006.8064986073207,44771.50713884623,44771.50713884623,50000.0,1
2021-10-27,0.0,1006.8064986073207,44409.85120187511,44409.85120187511,50000.0,1
2021-10-28,0.0,1006.8064986073207,44586.049252322984,44586.049252322984,50000.0,1
2021-10-29,0.0,1006.8064986073207,45439.183183096306,45439.183183096306,50000.0,1
2021-11-01,4000.0,1138.0772337112494,51940.233585092836,55940.233585092836,60000.0,1
2021-11-02,4000.0,1138.0772337112494,52265.18453901912,56265.18453901912,60000.0,1
2021-11-03,4000.0,1138.0772337112494,52820.74304642851,56820.74304642851,60000.0,1
2021-11-04,4000.0,1138.0772337112494,53103.62563947429,57103.62563947429,60000.0,1
2021-11-05,4000.0,1138.0772337112494,53747.49731479198,57747.49731479198,60000.0,1
2021-11-08,4000.0,1138.0772337112494,54412.48565753205,58412.48565753205,60000.0,1
2021-11-09,4000.0,1138.0772337112494,54043.05251314325,58043.05251314325,60000.0,1
2021-11-10,4000.0,1138.0772337112494,53578.611731034194,57578.611731034194,60000.0,1
2021-11-11,4000.0,1138.0772337112494,53335.84820123887,57335.84820123887,60000.0,1
2021-11-12,4000.0,1138.0772337112494,53103.62563947429,57103.62563947429,60000.0,1
2021-11-15,4000.0,1138.0772337112494,53114.17963176537,57114.17963176537,60000.0,1
2021-11-16,4000.0,1138.0772337112494,53420.28882240771,57420.28882240771,60000.0,1
2021-11-17,4000.0,1138.0772337112494,53019.193701145676,57019.193701145676,60000.0,1
2021-11-18,4000.0,1138.0772337112494,52438.65032099455,56438.65032099455,60000.0,1
2021-11-19,4000.0,1138.0772337112494,52269.76039581665,56269.76039581665,60000.0,1
2021-11-22,4000.0,1138.0772337112494,52596.97757104115,56596.97757104115,60000.0,1
2021-11-23,4000.0,1138.0772337112494,51826.43628112998,55826.43628112998,60000.0,1
2021-11-24,4000.0,1138.0772337112494,52523.09094216339,56523.09094216339,60000.0,1
2021-11-26,4000.0,1138.0772337112494,51488.66945503451,55488.66945503451,60000.0,1
2021-11-29,4000.0,1138.0772337112494,52776.421488510125,56776.421488510125,60000.0,1
2021-11-30,4000.0,1138.0772337112494,51931.997911141305,55931.997911141305,60000.0,1
2021-12-01,8000.0,1270.9896939913826,57289.68203403607,65289.68203403607,70000.0,1
2021-12-02,8000.0,1270.9896939913826,58350.60817714753,66350.60817714753,70000.0,1
2021-12-03,8000.0,1270.9896939913826,58055.900544855445,66055.90054485545,70000.0,1
2021-12-06,8000.0,1270.9896939913826,60107.0286235197,68107.0286235197,70000.0,-1
2021-12-07,8000.0,1270.9896939913826,61969.52326012756,69969.52326012755,70000.0,-1
2021-12-08,8000.0,1270.9896939913826,61002.9089896034,69002.9089896034,70000.0,-1
2021-12-09,8000.0,1270.9896939913826,59505.8267990826,67505.8267990826,70000.0,-1
2021-12-10,8000.0,1270.9896939913826,59635.49835122875,67635.49835122874,70000.0,-1
2021-12-13,8000.0,1270.9896939913826,58940.013744849835,66940.01374484983,70000.0,-1
2021-12-14,8000.0,1270.9896939913826,58586.3781617339,66586.3781617339,70000.0,-1
2021-12-15,8000.0,1270.9896939913826,59729.80537537512,67729.80537537512,70000.0,-1
2021-12-16,8000.0,1270.9896939913826,59918.42427210877,67918.42427210876,70000.0,-1
2021-12-17,8000.0,1270.9896939913826,59670.87257611034,67670.87257611034,70000.0,-1
2021-12-20,8000.0,1270.9896939913826,58468.493169440706,66468.49316944071,70000.0,-1
2021-12-21,8000.0,1270.9896939913826,59847.68551922741,67847.68551922741,70000.0,-1
2021-12-22,8000.0,1270.9896939913826,60083.44095849105,68083.44095849106,70000.0,-1
2021-12-23,8000.0,1270.9896939913826,60484.24217478245,68484.24217478244,70000.0,-1
2021-12-27,8000.0,1270.9896939913826,61226.882717455,69226.88271745501,70000.0,-1
2021-12-28,8000.0,1270.9896939913826,61014.700397897264,69014.70039789726,70000.0,-1
2021-12-29,8000.0,1270.9896939913826,61097.220862190676,69097.22086219068,70000.0,-1
2021-12-30,8000.0,1270.9896939913826,60991.12242975044,68991.12242975044,70000.0,-1
2021-12-31,8000.0,1270.9896939913826,60708.21590263406,68708.21590263405,70000.0,-1
2022-01-03,12000.0,1392.3868948245263,68714.96569985559,80714.96569985559,80000.0,-1
2022-01-04,12000.0,1392.3868948245263,68624.56869453403,80624.56869453403,80000.0,-1
2022-01-05,12000.0,1392.3868948245263,69567.28639178412,81567.28639178412,80000.0,-1
2022-01-06,12000.0,1392.3868948245263,69748.08040242727,81748.08040242727,80000.0,-1
2022-01-07,12000.0,1392.3868948245263,69011.99201953289,81011.99201953289,80000.0,-1
2022-01-10,12000.0,1392.3868948245263,71297.7471447503,83297.7471447503,80000.0,-1
2022-01-11,12000.0,1392.3868948245263,72201.72782103499,84201.72782103499,80000.0,-1
2022-01-12,12000.0,1392.3868948245263,71982.19147789196,83982.19147789196,80000.0,-1
2022-01-13,12000.0,1392.3868948245263,70949.0714637858,82949.0714637858,80000.0,-1
2022-01-14,12000.0,1392.3868948245263,71930.53680507028,83930.53680507028,80000.0,-1
2022-01-18,12000.0,1392.3868948245263,70716.62278032098,82716.62278032098,80000.0,-1
2022-01-19,12000.0,1392.3868948245263,69244.43539146322,81244.43539146322,80000.0,-1
2022-01-20,12000.0,1392.3868948245263,67204.0519131014,79204.0519131014,80000.0,-1
2022-01-21,12000.0,1392.3868948245263,67204.0519131014,79204.0519131014,80000.0,-1
2022-01-24,12000.0,1392.3868948245263,67074.90195221097,79074.90195221097,80000.0,-1
2022-01-25,12000.0,1392.3868948245263,65860.99323899616,77860.99323899616,80000.0,-1
2022-01-26,12000.0,1392.3868948245263,66752.0509518901,78752.0509518901,80000.0,-1
2022-01-27,0.0,1661.2545255351629,74033.40640655356,74033.40640655356,80000.0,1
2022-01-28,0.0,1661.2545255351629,73540.36088731344,73540.36088731344,80000.0,1
2022-01-31,0.0,1661.2545255351629,75219.7904539681,75219.7904539681,80000.0,1
2022-02-01,4000.0,1793.2166125214962,81411.10662603019,85411.10662603019,90000.0,1
2022-02-02,4000.0,1793.2166125214962,82342.4582305354,86342.4582305354,90000.0,1
2022-02-03,4000.0,1793.2166125214962,80296.7832275807,84296.7832275807,90000.0,1
2022-02-04,4000.0,1793.2166125214962,80455.99085178658,84455.99085178658,90000.0,1
2022-02-07,4000.0,1793.2166125214962,80740.88042492839,84740.88042492839,90000.0,1
2022-02-08,4000.0,1793.2166125214962,81796.64847134544,85796.64847134544,90000.0,1
2022-02-09,4000.0,1793.2166125214962,83640.05440838351,87640.05440838351,90000.0,1
2022-02-10,4000.0,1793.2166125214962,81880.44555807406,85880.44555807406,90000.0,1
2022-02-11,4000.0,1793.2166125214962,79819.19455785562,83819.19455785562,90000.0,1
2022-02-14,4000.0,1793.2166125214962,79735.39063054849,83735.39063054849,90000.0,1
2022-02-15,4000.0,1793.2166125214962,81176.59791360318,85176.59791360318,90000.0,1
2022-02-16,4000.0,1793.2166125214962,80824.677511657,84824.677511657,90000.0,1
2022-02-17,4000.0,1793.2166125214962,79718.63121320277,83718.63121320277,90000.0,1
2022-02-18,4000.0,1793.2166125214962,75478.8132913458,79478.8132913458,90000.0,1
2022-02-22,4000.0,1793.2166125214962,74892.2884088735,78892.2884088735,90000.0,1
2022-02-23,4000.0,1793.2166125214962,74825.2575800691,78825.2575800691,90000.0,1
2022-02-24,4000.0,1793.2166125214962,78294.1901880723,82294.1901880723,90000.0,1
2022-02-25,4000.0,1793.2166125214962,79953.2493748859,83953.2493748859,90000.0,1
2022-02-28,4000.0,1793.2166125214962,79936.48995754017,83936.48995754017,90000.0,1
2022-03-01,8000.0,1930.139095632807,84452.77432855564,92452.77432855564,100000.0,1
2022-03-02,8000.0,1930.139095632807,88150.5239462243,96150.5239462243,100000.0,-1
2022-03-03,8000.0,1930.139095632807,86454.9667276776,94454.9667276776,100000.0,-1
2022-03-04,8000.0,1930.139095632807,86707.51407180984,94707.51407180984,100000.0,-1
2022-03-07,8000.0,1930.139095632807,86004.03350481941,94004.03350481941,100000.0,-1
2022-03-08,8000.0,1930.139095632807,85679.3592282347,93679.3592282347,100000.0,-1
2022-03-09,8000.0,1930.139095632807,85913.85275056484,93913.85275056484,100000.0,-1
2022-03-10,8000.0,1930.139095632807,84164.17824398981,92164.17824398981,100000.0,-1
2022-03-11,8000.0,1930.139095632807,82667.03635575436,90667.03635575436,100000.0,-1
2022-03-14,0.0,2122.6529122110273,88075.65840961991,88075.65840961991,100000.0,1
2022-03-15,0.0,2122.6529122110273,88888.9652326191,88888.9652326191,100000.0,1
2022-03-16,0.0,2122.6529122110273,92499.27439860723,92499.27439860723,100000.0,1
2022-03-17,0.0,2122.6529122110273,93510.96453897844,93510.96453897844,100000.0,1
2022-03-18,0.0,2122.6529122110273,94125.89614188387,94125.89614188387,100000.0,-1
2022-03-21,0.0,2122.6529122110273,94006.86615146066,94006.86615146066,100000.0,-1
2022-03-22,0.0,2122.6529122110273,95990.55357417217,95990.55357417217,100000.0,-1
2022-03-23,0.0,2122.6529122110273,95752.52598243878,95752.52598243878,100000.0,-1
2022-03-24,0.0,2122.6529122110273,102397.8731804275,102397.8731804275,100000.0,-1
2022-03-25,0.0,2122.6529122110273,102814.44575779571,102814.44575779571,100000.0,-1
2022-03-28,0.0,2122.6529122110273,102179.65962859655,102179.65962859655,100000.0,-1
2022-03-29,0.0,2122.6529122110273,103647.59900981035,103647.59900981035,100000.0,-1
2022-03-30,0.0,2122.6529122110273,102020.96916925545,102020.96916925545,100000.0,-1
2022-03-31,0.0,2122.6529122110273,98311.4926364161,98311.4926364161,100000.0,-1
2022-04-01,4000.0,2255.9040004923118,101426.14745523996,105426.14745523996,110000.0,-1
2022-04-04,4000.0,2255.9040004923118,103724.09837248949,107724.09837248949,110000.0,-1
2022-04-05,4000.0,2255.9040004923118,101468.3148502687,105468.3148502687,110000.0,-1
2022-04-06,4000.0,2255.9040004923118,100224.4713584201,104224.4713584201,110000.0,-1
2022-04-07,4000.0,2255.9040004923118,100266.63014785801,104266.63014785801,110000.0,-1
2022-04-08,4000.0,2255.9040004923118,99128.20514358125,103128.20514358125,110000.0,-1
2022-04-11,4000.0,2255.9040004923118,98179.4989945705,102179.4989945705,110000.0,-1
2022-04-12,4000.0,2255.9040004923118,98031.9475343332,102031.9475343332,110000.0,-1
2022-04-13,4000.0,2255.9040004923118,99107.09562929442,103107.09562929442,110000.0,-1
2022-04-14,4000.0,2255.9040004923118,96282.09530213982,100282.09530213982,110000.0,-1
2022-04-18,4000.0,2255.9040004923118,98327.06766598942,102327.06766598942,110000.0,-1
2022-04-19,4000.0,2255.9040004923118,101046.65811116301,105046.65811116301,110000.0,-1
2022-04-20,4000.0,2255.9040004923118,101426.14745523996,105426.14745523996,110000.0,-1
2022-04-21,4000.0,2255.9040004923118,100140.14517395345,104140.14517395345,110000.0,-1
2022-04-22,4000.0,2255.9040004923118,98116.2565076182,102116.2565076182,110000.0,-1
2022-04-25,4000.0,2255.9040004923118,99212.52272245707,103212.52272245707,110000.0,-1
2022-04-26,4000.0,2255.9040004923118,95965.85705060596,99965.85705060596,110000.0,-1
2022-04-27,4000.0,2255.9040004923118,95333.41496990154,99333.41496990154,110000.0,-1
2022-04-28,4000.0,2255.9040004923118,98748.70719391346,102748.70719391346,110000.0,-1
2022-04-29,0.0,2353.9495755530024,95891.02882970135,95891.02882970135,110000.0,1
2022-05-02,4000.0,2496.5365414834523,104895.81924970294,108895.81924970294,120000.0,1
2022-05-03,4000.0,2496.5365414834523,105129.11719150869,109129.11719150869,120000.0,1
2022-05-04,4000.0,2496.5365414834523,108582.11148673709,112582.11148673709,120000.0,1
2022-05-05,4000.0,2496.5365414834523,104878.438805412,108878.438805412,120000.0,1
2022-05-06,4000.0,2496.5365414834523,104172.96419075949,108172.96419075949,120000.0,1
2022-05-09,4000.0,2496.5365414834523,101280.60112540488,105280.60112540488,120000.0,1
2022-05-10,4000.0,2496.5365414834523,103491.02222150036,107491.02222150036,120000.0,1
2022-05-11,4000.0,2496.5365414834523,100716.22714780155,104716.22714780155,120000.0,1
2022-05-12,4000.0,2496.5365414834523,100739.75026966383,104739.75026966383,120000.0,1
2022-05-13,4000.0,2496.5365414834523,102526.89802520513,106526.89802520513,120000.0,1
2022-05-16,4000.0,2496.5365414834523,101304.10520020493,105304.10520020493,120000.0,1
2022-05-17,4000.0,2496.5365414834523,104408.1287446644,108408.1287446644,120000.0,1
2022-05-18,4000.0,2496.5365414834523,99587.46966906375,103587.46966906375,120000.0,1
2022-05-19,4000.0,2496.5365414834523,98787.96923167995,102787.96923167995,120000.0,1
2022-05-20,4000.0,2496.5365414834523,97941.4130270405,101941.4130270405,120000.0,1
2022-05-23,4000.0,2496.5365414834523,98764.43658628657,102764.43658628657,120000.0,1
