,date,action,price,shares,cash_after,technical_state,commission
0,2023-06-27,buy,33.418827056884766,7469.604980654384,0.0,1,249.7502497502498
1,2023-07-03,buy,32.94841766357422,303.04998507737713,0.0,1,9.990009990009991
2,2023-08-01,buy,35.08486557006836,284.59614477724506,0.0,1,9.990009990009991
3,2023-08-17,sell,32.044063568115234,8057.251110509006,257799.91526279695,-1,258.057973236033
4,2023-08-23,buy,33.4210319519043,7702.145954898064,0.0,1,257.5423728899071
5,2023-08-24,sell,32.05389404296875,7702.145954898064,246513.56812815543,-1,246.76032845661206
6,2023-08-28,buy,33.06695556640625,7443.812848711033,0.0,1,246.2673008273281
7,2023-09-01,buy,36.00777053833008,277.30174159603575,0.0,1,9.990009990009991
8,2023-09-22,sell,33.617740631103516,7721.114590307069,259177.20782166603,-1,259.4366444661322
9,2023-10-16,buy,35.95859146118164,7474.539509035284,0.0,1,268.9082995221439
10,2023-10-20,sell,34.3455696105957,7474.539509035284,256332.36939785563,-1,256.58895835621183
11,2023-10-27,buy,34.95536804199219,7322.14630490531,0.0,1,256.0762931047509
12,2023-11-01,buy,36.67658233642578,272.24503607449316,0.0,1,9.990009990009991
13,2023-12-01,buy,43.16194152832031,231.33846920944876,0.0,1,9.990009990009991
14,2024-01-02,buy,47.16828155517578,211.6892359029285,0.0,1,9.990009990009991
15,2024-01-30,sell,42.3527717590332,8037.419046092181,339896.5341327495,-1,340.2367709036531
16,2024-02-12,buy,43.57545852661133,8017.639120922764,0.0,1,349.5469871456039
17,2024-02-13,sell,42.71444320678711,8017.639120922764,341955.45863134065,-1,342.2977563877284
18,2024-02-14,buy,43.73380661010742,7807.303998688052,0.0,1,341.6138447865541
19,2024-02-22,sell,42.53630065917969,7807.303998688052,331595.8555273872,-1,331.92778331069786
20,2024-03-06,buy,44.05050277709961,7743.0230620280345,0.0,1,341.25460092646074
21,2024-03-13,sell,42.78371810913086,7743.0230620280345,330778.56866196723,-1,331.10967834030754
22,2024-03-27,buy,43.318145751953125,7624.587186698962,0.0,1,330.44812054142585
23,2024-04-01,buy,44.060401916503906,226.62111662511236,0.0,1,9.990009990009991
24,2024-04-03,sell,39.91365814208984,7851.208303324074,312900.54524010455,-1,313.2137589991037
25,2025-09-04,buy,24.61000061035156,19592.72761622279,0.0,1,482.4181271129916
26,2025-10-01,buy,35.939998626708984,277.82464838073037,0.0,1,9.990009990009991
27,2025-11-03,buy,39.5,252.78525269036348,0.0,1,9.990009990009991
28,2025-12-01,buy,40.0099983215332,249.56305673963163,0.0,1,9.990009990009991
29,2026-01-02,buy,39.380001068115234,253.55554114887812,0.0,1,9.990009990009991
30,2026-02-02,buy,48.810001373291016,204.56908830847092,0.0,1,9.990009990009991
31,2026-03-02,buy,45.5,219.45093365427158,0.0,1,9.990009990009991
32,2026-03-27,sell,43.130001068115234,21050.47613714514,906545.6516455142,-1,907.4531047502644
33,2026-03-31,buy,44.130001068115234,20511.837661815356,0.0,1,905.6400116338805
34,2026-04-01,buy,48.029998779296875,207.89127076916262,0.0,1,9.990009990009991
35,2026-05-01,buy,99.62000274658205,100.23105004995537,0.0,1,9.990009990009991
36,2026-06-01,buy,109.33000183105467,91.32916229800298,0.0,1,9.990009990009991
