date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,0.0,187.51027881767678,9985.017481269357,9985.017481269357,10000.0,1
2021-06-15,0.0,187.51027881767678,9950.700490849753,9950.700490849753,10000.0,1
2021-06-16,0.0,187.51027881767678,9818.573353961763,9818.573353961763,10000.0,1
2021-06-17,0.0,187.51027881767678,9811.707237757042,9811.707237757042,10000.0,1
2021-06-18,0.0,187.51027881767678,9552.602372310868,9552.602372310868,10000.0,1
2021-06-21,0.0,187.51027881767678,9586.921508615318,9586.921508615318,10000.0,1
2021-06-22,0.0,187.51027881767678,9586.921508615318,9586.921508615318,10000.0,1
2021-06-23,0.0,187.51027881767678,9482.250253006847,9482.250253006847,10000.0,1
2021-06-24,0.0,187.51027881767678,9621.239214329871,9621.239214329871,10000.0,1
2021-06-25,0.0,187.51027881767678,9593.786194230144,9593.786194230144,10000.0,1
2021-06-28,0.0,187.51027881767678,9863.187015156136,9863.187015156136,10000.0,1
2021-06-29,0.0,187.51027881767678,9737.923133293078,9737.923133293078,10000.0,1
2021-06-30,0.0,187.51027881767678,9633.251877684606,9633.251877684606,10000.0,1
2021-07-01,0.0,382.31874691440623,19595.962170709303,19595.962170709303,20000.0,1
2021-07-02,0.0,382.31874691440623,19858.360029547748,19858.360029547748,20000.0,1
2021-07-06,0.0,382.31874691440623,19623.947989322507,19623.947989322507,20000.0,1
2021-07-07,0.0,382.31874691440623,19578.468299519274,19578.468299519274,20000.0,1
2021-07-08,0.0,382.31874691440623,19379.044001674087,19379.044001674087,20000.0,1
2021-07-09,0.0,382.31874691440623,19588.964622233292,19588.964622233292,20000.0,1
2021-07-12,0.0,382.31874691440623,19847.86516526401,19847.86516526401,20000.0,1
2021-07-13,0.0,382.31874691440623,19896.84362930525,19896.84362930525,20000.0,1
2021-07-14,0.0,382.31874691440623,19774.3909062659,19774.3909062659,20000.0,1
2021-07-15,0.0,382.31874691440623,19525.988144379473,19525.988144379473,20000.0,1
2021-07-16,0.0,382.31874691440623,19232.0998589687,19232.0998589687,20000.0,1
2021-07-19,0.0,382.31874691440623,19116.643225975084,19116.643225975084,20000.0,1
2021-07-20,0.0,382.31874691440623,19326.566763394843,19326.566763394843,20000.0,1
2021-07-21,0.0,382.31874691440623,19672.930828654582,19672.930828654582,20000.0,1
2021-07-22,0.0,382.31874691440623,19578.468299519274,19578.468299519274,20000.0,1
2021-07-23,0.0,382.31874691440623,18542.86466896611,18542.86466896611,20000.0,1
2021-07-26,0.0,382.31874691440623,19001.190968272298,19001.190968272298,20000.0,1
2021-07-27,0.0,382.31874691440623,18605.83968838965,18605.83968838965,20000.0,1
2021-07-28,0.0,382.31874691440623,18567.35608863215,18567.35608863215,20000.0,1
2021-07-29,0.0,382.31874691440623,18787.770115044812,18787.770115044812,20000.0,1
2021-07-30,0.0,382.31874691440623,18794.77058038138,18794.77058038138,20000.0,1
2021-08-02,0.0,585.5829662844877,28765.791506268437,28765.791506268437,30000.0,1
2021-08-03,0.0,585.5829662844877,28969.426696112547,28969.426696112547,30000.0,1
2021-08-04,0.0,585.5829662844877,28883.6859162553,28883.6859162553,30000.0,1
2021-08-05,0.0,585.5829662844877,29065.985874657974,29065.985874657974,30000.0,1
2021-08-06,0.0,585.5829662844877,29082.16991316632,29082.16991316632,30000.0,1
2021-08-09,0.0,585.5829662844877,29152.28287612855,29152.28287612855,30000.0,1
2021-08-10,0.0,585.5829662844877,29092.95703835014,29092.95703835014,30000.0,1
2021-08-11,0.0,585.5829662844877,29200.828290188358,29200.828290188358,30000.0,1
2021-08-12,0.0,585.5829662844877,28877.214534673705,28877.214534673705,30000.0,1
2021-08-13,0.0,585.5829662844877,28850.24560480328,28850.24560480328,30000.0,1
2021-08-16,0.0,585.5829662844877,28839.458479619458,28839.458479619458,30000.0,1
2021-08-17,0.0,585.5829662844877,28418.758363628665,28418.758363628665,30000.0,1
2021-08-18,0.0,585.5829662844877,28149.080234033117,28149.080234033117,30000.0,1
2021-08-19,0.0,585.5829662844877,28283.920415741763,28283.920415741763,30000.0,1
2021-08-20,0.0,585.5829662844877,28051.991639735243,28051.991639735243,30000.0,1
2021-08-23,0.0,585.5829662844877,28710.010743591854,28710.010743591854,30000.0,1
2021-08-24,0.0,585.5829662844877,29022.84184156617,29022.84184156617,30000.0,1
2021-08-25,0.0,585.5829662844877,29022.84184156617,29022.84184156617,30000.0,1
2021-08-26,0.0,585.5829662844877,28656.077351494485,28656.077351494485,30000.0,1
2021-08-27,0.0,585.5829662844877,29065.985874657974,29065.985874657974,30000.0,1
2021-08-30,0.0,585.5829662844877,29092.95703835014,29092.95703835014,30000.0,1
2021-08-31,0.0,585.5829662844877,29157.679789453072,29157.679789453072,30000.0,1
2021-09-01,0.0,787.5724800580911,38932.34274508355,38932.34274508355,40000.0,1
2021-09-02,0.0,787.5724800580911,38975.869776375825,38975.869776375825,40000.0,1
2021-09-03,0.0,787.5724800580911,38816.281677589635,38816.281677589635,40000.0,1
2021-09-07,0.0,787.5724800580911,38917.84074480416,38917.84074480416,40000.0,1
2021-09-08,0.0,787.5724800580911,38859.80570453132,38859.80570453132,40000.0,1
2021-09-09,0.0,787.5724800580911,38736.483121670666,38736.483121670666,40000.0,1
2021-09-10,0.0,787.5724800580911,39055.66532794421,39055.66532794421,40000.0,1
2021-09-13,0.0,787.5724800580911,39889.88035085242,39889.88035085242,40000.0,1
2021-09-14,0.0,787.5724800580911,39548.93763328333,39548.93763328333,40000.0,1
2021-09-15,0.0,787.5724800580911,39984.18090705078,39984.18090705078,40000.0,1
2021-09-16,0.0,787.5724800580911,39773.81627900792,39773.81627900792,40000.0,1
