date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,4000.0,97.18398915244482,5991.010488761614,9991.010488761614,10000.0,0
2021-06-15,4000.0,97.18398915244482,5940.603783084237,9940.603783084236,10000.0,0
2021-06-16,4000.0,97.18398915244482,5896.845333622797,9896.845333622798,10000.0,0
2021-06-17,4000.0,97.18398915244482,5906.445692902779,9906.44569290278,10000.0,0
2021-06-18,4000.0,97.18398915244482,5656.074135888001,9656.074135888,10000.0,0
2021-06-21,4000.0,97.18398915244482,5711.096769639023,9711.096769639022,10000.0,0
2021-06-22,4000.0,97.18398915244482,5740.3627397610635,9740.362739761063,10000.0,0
2021-06-23,4000.0,97.18398915244482,5762.796202100818,9762.796202100817,10000.0,0
2021-06-24,4000.0,97.18398915244482,5862.500767510005,9862.500767510006,10000.0,0
2021-06-25,4000.0,97.18398915244482,5820.217813489341,9820.21781348934,10000.0,0
2021-06-28,4000.0,97.18398915244482,5972.7325109433805,9972.73251094338,10000.0,0
2021-06-29,4000.0,97.18398915244482,6017.3221314546245,10017.322131454624,10000.0,0
2021-06-30,4000.0,97.18398915244482,6007.260216440028,10007.260216440027,10000.0,0
2021-07-01,8000.0,196.80421326015346,11835.50947043916,19835.50947043916,20000.0,0
2021-07-02,8000.0,196.80421326015346,11805.037339808605,19805.037339808605,20000.0,0
2021-07-06,8000.0,196.80421326015346,11626.682020044602,19626.6820200446,20000.0,0
2021-07-07,8000.0,196.80421326015346,11471.32287740604,19471.32287740604,20000.0,0
2021-07-08,8000.0,196.80421326015346,11329.984713644917,19329.984713644917,20000.0,0
2021-07-09,8000.0,196.80421326015346,11457.488084155164,19457.488084155164,20000.0,0
2021-07-12,8000.0,196.80421326015346,11692.489630051057,19692.48963005106,20000.0,0
2021-07-13,8000.0,196.80421326015346,11678.470903419104,19678.470903419104,20000.0,0
2021-07-14,8000.0,196.80421326015346,11551.526840537026,19551.526840537026,20000.0,0
2021-07-15,8000.0,196.80421326015346,11418.040755276603,19418.040755276605,20000.0,0
2021-07-16,0.0,339.6956464536007,18989.89683200038,18989.89683200038,20000.0,1
2021-07-19,0.0,339.6956464536007,19087.994212935402,19087.994212935402,20000.0,1
2021-07-20,0.0,339.6956464536007,19590.428726025362,19590.428726025362,20000.0,1
2021-07-21,0.0,339.6956464536007,20563.674169151487,20563.674169151487,20000.0,-1
2021-07-22,0.0,339.6956464536007,20521.076150559154,20521.076150559154,20000.0,-1
2021-07-23,0.0,339.6956464536007,20661.12881540389,20661.12881540389,20000.0,-1
2021-07-26,0.0,339.6956464536007,20664.999477696205,20664.999477696205,20000.0,-1
2021-07-27,0.0,339.6956464536007,20090.602005201665,20090.602005201665,20000.0,-1
2021-07-28,0.0,339.6956464536007,20491.06588339218,20491.06588339218,20000.0,-1
2021-07-29,0.0,339.6956464536007,19995.085929685556,19995.085929685556,20000.0,-1
2021-07-30,0.0,339.6956464536007,20568.836779989317,20568.836779989317,20000.0,-1
2021-08-02,4000.0,437.960785599376,26701.51065781038,30701.51065781038,30000.0,-1
2021-08-03,4000.0,437.960785599376,26856.271481832395,30856.271481832395,30000.0,-1
2021-08-04,4000.0,437.960785599376,27033.49971554046,31033.49971554046,30000.0,-1
2021-08-05,4000.0,437.960785599376,26862.093828854693,30862.093828854693,30000.0,-1
2021-08-06,4000.0,437.960785599376,26957.785814621202,30957.785814621202,30000.0,-1
2021-08-09,4000.0,437.960785599376,26647.42213992029,30647.42213992029,30000.0,-1
2021-08-10,0.0,506.0852504910075,29670.809634710484,29670.809634710484,30000.0,1
2021-08-11,0.0,506.0852504910075,29254.95306140529,29254.95306140529,30000.0,1
2021-08-12,0.0,506.0852504910075,28052.583590092563,28052.583590092563,30000.0,1
2021-08-13,0.0,506.0852504910075,27903.544202054287,27903.544202054287,30000.0,1
2021-08-16,0.0,506.0852504910075,28310.269216999106,28310.269216999106,30000.0,1
2021-08-17,0.0,506.0852504910075,27835.27952898391,27835.27952898391,30000.0,1
2021-08-18,0.0,506.0852504910075,27379.524030386136,27379.524030386136,30000.0,1
2021-08-19,0.0,506.0852504910075,27746.34239779029,27746.34239779029,30000.0,1
2021-08-20,0.0,506.0852504910075,27209.335335405383,27209.335335405383,30000.0,1
2021-08-23,0.0,506.0852504910075,28090.557745049984,28090.557745049984,30000.0,1
2021-08-24,0.0,506.0852504910075,28152.09634003843,28152.09634003843,30000.0,1
2021-08-25,0.0,506.0852504910075,28305.4563258802,28305.4563258802,30000.0,1
2021-08-26,0.0,506.0852504910075,28141.0400113429,28141.0400113429,30000.0,1
2021-08-27,0.0,506.0852504910075,29306.394817022752,29306.394817022752,30000.0,-1
2021-08-30,0.0,506.0852504910075,29229.475434411233,29229.475434411233,30000.0,-1
