date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-18,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-21,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-22,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-23,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-24,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-25,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-28,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-29,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-30,10000.0,0.0,0.0,10000.0,10000.0,0
2021-07-01,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-02,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-06,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-07,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-08,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-09,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-12,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-13,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-14,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-15,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-16,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-19,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-20,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-21,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-22,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-23,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-26,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-27,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-28,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-29,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-30,20000.0,0.0,0.0,20000.0,20000.0,0
2021-08-02,30000.0,0.0,0.0,30000.0,30000.0,0
2021-08-03,0.0,488.49440287477967,29955.052443808072,29955.052443808072,30000.0,1
2021-08-04,0.0,488.49440287477967,30152.729959796838,30152.729959796838,30000.0,1
2021-08-05,0.0,488.49440287477967,29961.546595854346,29961.546595854346,30000.0,1
2021-08-06,0.0,488.49440287477967,30068.27989477959,30068.27989477959,30000.0,1
2021-08-09,0.0,488.49440287477967,29722.105253277023,29722.105253277023,30000.0,1
2021-08-10,0.0,488.49440287477967,28639.49190626866,28639.49190626866,30000.0,1
2021-08-11,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-12,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-13,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-16,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-17,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-18,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-19,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-20,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-23,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-24,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-25,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-26,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-27,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-30,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-08-31,28195.746936344585,0.0,0.0,28195.746936344585,30000.0,-1
2021-09-01,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-02,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-03,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-07,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-08,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-09,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-10,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-13,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-14,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-15,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-16,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-17,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-20,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-21,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-22,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-23,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-24,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-27,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-28,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-29,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-09-30,38195.746936344585,0.0,0.0,38195.746936344585,40000.0,-1
2021-10-01,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-04,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-05,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-06,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-07,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-08,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-11,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-12,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-13,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-14,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-15,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-18,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-19,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-20,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-21,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-22,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-25,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-26,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-27,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-28,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-10-29,48195.746936344585,0.0,0.0,48195.746936344585,50000.0,-1
2021-11-01,58195.746936344585,0.0,0.0,58195.746936344585,60000.0,-1
2021-11-02,58195.746936344585,0.0,0.0,58195.746936344585,60000.0,-1
2021-11-03,58195.746936344585,0.0,0.0,58195.746936344585,60000.0,-1
2021-11-04,58195.746936344585,0.0,0.0,58195.746936344585,60000.0,-1
2021-11-05,0.0,999.0714910031445,58108.55504949284,58108.55504949284,60000.0,1
2021-11-08,0.0,999.0714910031445,57946.81724151252,57946.81724151252,60000.0,1
2021-11-09,0.0,999.0714910031445,59168.40303382418,59168.40303382418,60000.0,1
2021-11-10,0.0,999.0714910031445,57633.80324680893,57633.80324680893,60000.0,1
2021-11-11,0.0,999.0714910031445,58387.30675818524,58387.30675818524,60000.0,1
2021-11-12,0.0,999.0714910031445,59407.206212820325,59407.206212820325,60000.0,1
2021-11-15,0.0,999.0714910031445,59962.82691949439,59962.82691949439,60000.0,1
2021-11-16,0.0,999.0714910031445,60343.38220815687,60343.38220815687,60000.0,1
2021-11-17,0.0,999.0714910031445,59998.030560860956,59998.030560860956,60000.0,1
2021-11-18,0.0,999.0714910031445,60489.89445077404,60489.89445077404,60000.0,1
2021-11-19,0.0,999.0714910031445,61317.608777857786,61317.608777857786,60000.0,1
2021-11-22,0.0,999.0714910031445,61526.92504841472,61526.92504841472,60000.0,1
2021-11-23,0.0,999.0714910031445,62917.87858158705,62917.87858158705,60000.0,1
2021-11-24,0.0,999.0714910031445,62867.441752546765,62867.441752546765,60000.0,1
2021-11-26,0.0,999.0714910031445,61077.848998885136,61077.848998885136,60000.0,1
2021-11-29,0.0,999.0714910031445,64746.444209192,64746.444209192,60000.0,1
