date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,0.0,161.9733152540747,9985.017481269357,9985.017481269357,10000.0,1
2021-06-15,0.0,161.9733152540747,9901.006305140394,9901.006305140394,10000.0,1
2021-06-16,0.0,161.9733152540747,9828.075556037995,9828.075556037995,10000.0,1
2021-06-17,0.0,161.9733152540747,9844.076154837965,9844.076154837965,10000.0,1
2021-06-18,0.0,161.9733152540747,9426.790226480001,9426.790226480001,10000.0,1
2021-06-21,0.0,161.9733152540747,9518.494616065036,9518.494616065036,10000.0,1
2021-06-22,0.0,161.9733152540747,9567.271232935105,9567.271232935105,10000.0,1
2021-06-23,0.0,161.9733152540747,9604.660336834697,9604.660336834697,10000.0,1
2021-06-24,0.0,161.9733152540747,9770.834612516675,9770.834612516675,10000.0,1
2021-06-25,0.0,161.9733152540747,9700.363022482235,9700.363022482235,10000.0,1
2021-06-28,0.0,161.9733152540747,9954.554184905634,9954.554184905634,10000.0,1
2021-06-29,0.0,161.9733152540747,10028.870219091039,10028.870219091039,10000.0,1
2021-06-30,0.0,161.9733152540747,10012.100360733379,10012.100360733379,10000.0,1
2021-07-01,0.0,328.0070221002557,19725.849117398597,19725.849117398597,20000.0,1
2021-07-02,0.0,328.0070221002557,19675.062233014338,19675.062233014338,20000.0,1
2021-07-06,0.0,328.0070221002557,19377.803366741,19377.803366741,20000.0,1
2021-07-07,0.0,328.0070221002557,19118.8714623434,19118.8714623434,20000.0,1
2021-07-08,0.0,328.0070221002557,18883.307856074858,18883.307856074858,20000.0,1
2021-07-09,0.0,328.0070221002557,19095.813473591938,19095.813473591938,20000.0,1
2021-07-12,0.0,328.0070221002557,19487.482716751758,19487.482716751758,20000.0,1
2021-07-13,0.0,328.0070221002557,19464.118172365168,19464.118172365168,20000.0,1
2021-07-14,0.0,328.0070221002557,19252.544734228373,19252.544734228373,20000.0,1
2021-07-15,0.0,328.0070221002557,19030.067925461,19030.067925461,20000.0,1
2021-07-16,0.0,328.0070221002557,18336.47141164149,18336.47141164149,20000.0,1
2021-07-19,0.0,328.0070221002557,18431.19334915306,18431.19334915306,20000.0,1
2021-07-20,0.0,328.0070221002557,18916.339538571596,18916.339538571596,20000.0,1
2021-07-21,0.0,328.0070221002557,19856.096473655096,19856.096473655096,20000.0,1
2021-07-22,0.0,328.0070221002557,19814.964214906082,19814.964214906082,20000.0,1
2021-07-23,0.0,328.0070221002557,19950.197792411476,19950.197792411476,20000.0,1
2021-07-26,0.0,328.0070221002557,19953.935268665035,19953.935268665035,20000.0,1
2021-07-27,0.0,328.0070221002557,19399.302301119536,19399.302301119536,20000.0,1
2021-07-28,0.0,328.0070221002557,19785.986574277955,19785.986574277955,20000.0,1
2021-07-29,0.0,328.0070221002557,19307.072848608663,19307.072848608663,20000.0,1
2021-07-30,0.0,328.0070221002557,19861.081443656498,19861.081443656498,20000.0,1
2021-08-02,0.0,491.78225400988117,29982.88780306171,29982.88780306171,30000.0,1
2021-08-03,0.0,491.78225400988117,30156.667349935553,30156.667349935553,30000.0,1
2021-08-04,0.0,491.78225400988117,30355.67535045291,30355.67535045291,30000.0,1
2021-08-05,0.0,491.78225400988117,30163.20521139805,30163.20521139805,30000.0,1
2021-08-06,0.0,491.78225400988117,30270.656887434594,30270.656887434594,30000.0,1
2021-08-09,0.0,491.78225400988117,29922.152289475398,29922.152289475398,30000.0,1
2021-08-10,0.0,491.78225400988117,28832.252325668785,28832.252325668785,30000.0,1
