,date,action,price,shares,cash_after,technical_state,commission
0,2021-11-15,buy,344.8537902832031,173.72610241115913,0.0,1,59.940059940059946
1,2021-12-01,sell,308.1815490722656,173.72610241115913,53458.89735591472,-1,53.5124097656804
2,2021-12-15,buy,338.9997253417969,186.91407457691,0.0,1,63.39550185406067
3,2022-01-03,buy,335.9040222167969,29.725805053995142,0.0,1,9.990009990009991
4,2022-01-18,sell,315.6726989746094,216.63987963090514,68284.74875900715,-1,68.35310186086802
5,2022-03-24,buy,217.86033630371097,404.62838470021404,0.0,1,88.19655220680036
6,2022-04-01,buy,223.09927368164065,44.75593898847841,0.0,1,9.990009990009991
7,2022-04-14,sell,208.54345703125,449.38432368869246,93575.63301517385,-1,93.66930231749134
8,2022-04-28,buy,204.12811279296875,457.72937332987533,0.0,1,93.48215086430956
9,2022-05-02,buy,209.486083984375,47.66434739414056,0.0,1,9.990009990009991
10,2022-05-24,sell,179.8684844970703,505.3937207240159,90768.0914692342,-1,90.85895041965387
11,2022-07-20,buy,181.6643829345703,608.8267341240468,0.0,1,110.65743403519903
12,2022-07-26,sell,157.91078186035156,608.8267341240468,95996.1432147609,-1,96.09223545021112
13,2022-11-10,buy,110.99893188476562,1223.3666075222575,0.0,1,135.8602829318291
14,2022-12-01,buy,119.50220489501952,83.55508996709315,0.0,1,9.990009990009991
15,2023-01-03,buy,123.76872253417967,80.67480439989123,0.0,1,9.990009990009991
16,2023-02-01,buy,151.92774963378906,65.72214427803692,0.0,1,9.990009990009991
17,2023-03-01,buy,172.06971740722656,58.028906141796256,0.0,1,9.990009990009991
18,2023-04-03,buy,211.41098022460935,47.2303636767635,0.0,1,9.990009990009991
19,2023-05-01,buy,241.28648376464844,41.382415315931134,0.0,1,9.990009990009991
20,2023-06-01,buy,270.48736572265625,36.91491265994093,0.0,1,9.990009990009991
21,2023-07-03,buy,283.79290771484375,35.184168489870586,0.0,1,9.990009990009991
22,2023-08-01,buy,320.197265625,31.183956120860007,0.0,1,9.990009990009991
23,2023-08-17,sell,282.8701477050781,1703.2433685724416,481074.2490892644,-1,481.55580489415854
24,2023-09-14,buy,309.2928161621094,1585.3536537323005,0.0,1,490.58366542384067
25,2023-10-02,buy,304.4309387207031,32.79895769867859,0.0,1,9.990009990009991
26,2023-10-25,sell,297.1977233886719,1618.152611430979,480190.14576003817,-1,480.6708165766148
27,2023-11-07,buy,316.3375549316406,1547.2576993324903,0.0,1,489.7004453147235
28,2023-12-01,buy,322.29083251953125,30.981388465848628,0.0,1,9.990009990009991
29,2024-01-02,buy,343.5936584472656,29.06054065838309,0.0,1,9.990009990009991
30,2024-02-01,buy,391.7060546875,25.49109813795277,0.0,1,9.990009990009991
31,2024-03-01,buy,498.9176940917969,20.01335610965963,0.0,1,9.990009990009991
32,2024-04-01,buy,488.0414123535156,20.459365186076976,0.0,1,9.990009990009991
33,2024-04-19,sell,477.8306884765625,1673.2634478904113,798337.7201384924,-1,799.136856995488
34,2024-06-05,buy,491.7264404296875,1661.7199664969723,0.0,1,817.520199938554
35,2024-07-01,buy,501.7793884277344,19.899218085773136,0.0,1,9.990009990009991
36,2024-07-15,sell,493.308349609375,1681.6191845827454,828312.8642194426,-1,829.1420062256683
37,2024-08-08,buy,506.7009582519531,1651.9741018215952,0.0,1,837.4753888306121
38,2024-09-03,buy,508.8186645507813,19.62392140249963,0.0,1,9.990009990009991
39,2024-10-01,buy,573.70361328125,17.404487700819733,0.0,1,9.990009990009991
40,2024-11-01,buy,564.438232421875,17.690186290935568,0.0,1,9.990009990009991
41,2024-11-15,sell,551.4210205078125,1706.6926972158503,939695.0400019216,-1,940.6356756775991
42,2024-12-03,buy,610.7052001953125,1552.749440034451,0.0,1,948.7462937082136
43,2024-12-20,sell,582.9113159179688,1552.749440034451,903757.9991099086,-1,904.6626617716803
44,2025-01-23,buy,633.9066162109375,1439.3113057091202,0.0,1,912.8451539559527
45,2025-02-03,buy,694.6728515625,14.373697574060154,0.0,1,9.990009990009991
46,2025-02-24,sell,665.4600219726562,1453.6850032831803,965918.684029434,-1,966.885569599033
47,2025-04-09,buy,583.9483032226562,1685.83678397818,0.0,1,984.933750279155
48,2025-05-01,buy,570.430419921875,17.50435659205707,0.0,1,9.990009990009991
49,2025-06-02,buy,668.8134765625,14.929450184809882,0.0,1,9.990009990009991
50,2025-07-01,buy,717.5348510742188,13.915724743294104,0.0,1,9.990009990009991
51,2025-08-01,buy,748.2527465820312,13.34444481076782,0.0,1,9.990009990009991
52,2025-09-02,buy,733.3876342773438,13.61492478818281,0.0,1,9.990009990009991
53,2025-10-01,sell,716.142333984375,1759.1456850972916,1257909.628598349,-1,1259.1687973957446
54,2025-11-28,buy,646.8681640625,1972.573499505857,0.0,1,1276.6329956027462
55,2025-12-01,buy,639.7999877929688,15.60646713313221,0.0,1,9.990009990009991
56,2026-01-02,buy,649.8535766601562,15.36502658427479,0.0,1,9.990009990009991
57,2026-01-14,sell,614.9934692382812,2003.5449932232639,1230319.451611671,-1,1231.5510026142852
58,2026-01-23,buy,658.1964721679688,1866.4276931513614,0.0,1,1229.0903612504205
59,2026-02-02,buy,705.8056640625,14.146978396003876,0.0,1,9.990009990009991
60,2026-02-06,sell,660.8941650390625,1880.5746715473654,1240997.1575353,-1,1242.2393969322322
61,2026-04-08,buy,612.4199829101562,2055.954902384053,0.0,1,1259.7374201151847
62,2026-04-30,sell,611.9099731445312,2055.954902384053,1256172.8491701917,-1,1257.4302794496414
