symbol,framework,strategy,params_json,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,excess_profit_vs_plain_dca,excess_final_equity_vs_plain_dca,excess_irr_pct_vs_plain_dca
MSFT,A_100pct_monthly_dca,plain_dca,{},706538.3225611319,610000.0,96538.3225611319,15.825954518218346,5.840831343730025,-29.435202232143354,1.645910512062533,0.0,706538.3225611319,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0
MSFT,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 10}",648404.1712599029,610000.0,38404.17125990288,6.295765780311949,2.420485177057509,-28.513407624542474,1.627022973781541,50000.0,598404.1712599029,45.423131728956974,61.0,13.0,0.0,559.4405594405594,0.0,1.0,-58134.15130122902,-58134.15130122902,-3.4203461666725166
MSFT,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 10}",682729.4483911373,610000.0,72729.4483911373,11.92286039198972,4.472921435783417,-28.828838917788136,1.6554589114599418,28000.0,654729.4483911373,18.493109549667626,61.0,69.0,0.0,581.4185814185812,0.6,0.4,-23808.87416999461,-23808.87416999461,-1.3679099079466086
MSFT,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 60, ""rsi_window"": 10}",648327.1270355296,610000.0,38327.127035529586,6.283135579595014,2.41576532407606,-28.512682563941095,1.6267820090603171,50000.0,598327.1270355296,45.258437710805396,61.0,14.0,0.0,559.4405594405594,0.0,1.0,-58211.19552560232,-58211.19552560232,-3.4250660196539653
MSFT,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 60, ""rsi_window"": 10}",682729.4483911373,610000.0,72729.4483911373,11.92286039198972,4.472921435783417,-28.828838917788136,1.6554589114599418,28000.0,654729.4483911373,18.493109549667626,61.0,69.0,0.0,581.4185814185812,0.6,0.4,-23808.87416999461,-23808.87416999461,-1.3679099079466086
MSFT,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 65, ""rsi_window"": 10}",647636.1347513283,610000.0,37636.13475132827,6.1698581559554535,2.3734105540035575,-28.922026361816066,1.6256949887348322,20000.0,627636.1347513283,44.966547638194385,61.0,18.0,0.0,589.4105894105893,0.0,1.0,-58902.18780980364,-58902.18780980364,-3.467420789726468
MSFT,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 65, ""rsi_window"": 10}",682729.4483911373,610000.0,72729.4483911373,11.92286039198972,4.472921435783417,-28.828838917788136,1.6554589114599418,28000.0,654729.4483911373,18.493109549667626,61.0,69.0,0.0,581.4185814185812,0.6,0.4,-23808.87416999461,-23808.87416999461,-1.3679099079466086
MSFT,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 55, ""rsi_window"": 10}",696839.0452257185,610000.0,86839.04522571852,14.235909053396478,5.288819237778268,-28.96945842198719,1.6462249346116877,50000.0,646839.0452257185,39.05892655119647,61.0,18.0,0.0,559.4405594405594,0.0,1.0,-9699.277335413382,-9699.277335413382,-0.5520121059517571
MSFT,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 55, ""rsi_window"": 10}",703067.5373483998,610000.0,93067.53734839975,15.25697333580324,5.644112346914554,-29.129368430378165,1.661630318384367,24000.0,679067.5373483998,16.019935637658694,61.0,77.0,0.0,585.4145854145851,0.6,0.4,-3470.785212732153,-3470.785212732153,-0.19671899681547167
MSFT,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 60, ""rsi_window"": 10}",696718.8872517126,610000.0,86718.88725171261,14.21621102487092,5.281936089506104,-28.968504222517353,1.646097320094318,50000.0,646718.8872517126,38.999967870102104,61.0,19.0,0.0,559.4405594405594,0.0,1.0,-9819.435309419292,-9819.435309419292,-0.5588952542239216
MSFT,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 60, ""rsi_window"": 10}",703067.5373483998,610000.0,93067.53734839975,15.25697333580324,5.644112346914554,-29.129368430378165,1.661630318384367,24000.0,679067.5373483998,16.019935637658694,61.0,77.0,0.0,585.4145854145851,0.6,0.4,-3470.785212732153,-3470.785212732153,-0.19671899681547167
MSFT,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 65, ""rsi_window"": 10}",696184.565889051,610000.0,86184.56588905095,14.128617358860811,5.251314579085001,-29.328963032118782,1.6451638566134994,20000.0,676184.565889051,38.730107092040136,61.0,23.0,0.0,589.4105894105893,0.0,1.0,-10353.756672080955,-10353.756672080955,-0.5895167646450243
MSFT,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 65, ""rsi_window"": 10}",703067.5373483998,610000.0,93067.53734839975,15.25697333580324,5.644112346914554,-29.129368430378165,1.661630318384367,24000.0,679067.5373483998,16.019935637658694,61.0,77.0,0.0,585.4145854145851,0.6,0.4,-3470.785212732153,-3470.785212732153,-0.19671899681547167
MSFT,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 55, ""rsi_window"": 10}",725769.6829077019,610000.0,115769.68290770194,18.978636542246218,6.914866382083024,-29.257988638143285,1.6579876387878694,50000.0,675769.6829077019,35.26234362738421,61.0,25.0,0.0,559.4405594405592,0.0,1.0,19231.36034657003,19231.36034657003,1.0740350383529984
MSFT,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 55, ""rsi_window"": 10}",713580.2793514804,610000.0,103580.27935148042,16.98037366417712,6.237219935915259,-29.362840898533136,1.6648930067712073,20000.0,693580.2793514804,14.448987051702176,61.0,84.0,0.0,589.4105894105891,0.6,0.4,7041.956790348515,7041.956790348515,0.39638859218523326
MSFT,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 60, ""rsi_window"": 10}",725386.010784909,610000.0,115386.01078490901,18.915739472935904,6.893698026848721,-29.255248793843226,1.6577666164193603,50000.0,675386.010784909,35.2322319107007,61.0,25.0,0.0,559.4405594405592,0.0,1.0,18847.688223777106,18847.688223777106,1.0528666831186957
MSFT,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 60, ""rsi_window"": 10}",713580.2793514804,610000.0,103580.27935148042,16.98037366417712,6.237219935915259,-29.362840898533136,1.6648930067712073,20000.0,693580.2793514804,14.448987051702176,61.0,84.0,0.0,589.4105894105891,0.6,0.4,7041.956790348515,7041.956790348515,0.39638859218523326
MSFT,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 65, ""rsi_window"": 10}",724909.2635735614,610000.0,114909.26357356145,18.837584192387123,6.86737999545812,-29.54703517059778,1.6569078300074351,20000.0,704909.2635735614,34.990036686091294,61.0,28.0,0.0,589.4105894105892,0.0,1.0,18370.94101242954,18370.94101242954,1.0265486517280946
MSFT,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 65, ""rsi_window"": 10}",713580.2793514804,610000.0,103580.27935148042,16.98037366417712,6.237219935915259,-29.362840898533136,1.6648930067712073,20000.0,693580.2793514804,14.448987051702176,61.0,84.0,0.0,589.4105894105891,0.6,0.4,7041.956790348515,7041.956790348515,0.39638859218523326
