,date,action,price,shares,cash_after,technical_state,commission
0,2021-09-20,buy,282.9794616699219,141.14123226252036,0.0,1,39.960039960039964
1,2021-10-01,buy,277.97943115234375,35.919986741023195,0.0,1,9.990009990009991
2,2021-10-07,sell,283.5082702636719,177.06121900354356,50123.04754973608,-1,50.17322077050659
3,2021-12-01,buy,317.9637145996094,220.20747131655799,0.0,1,70.0529945551809
4,2021-12-07,sell,322.62615966796875,220.20747131655799,70938.1592871993,-1,71.00916845565496
5,2021-12-16,buy,312.97393798828125,226.31876798581135,0.0,1,70.86729199520411
6,2021-12-22,sell,320.9693298339844,226.31876798581135,72532.45753501663,-1,72.60506259761425
7,2022-01-05,buy,304.7666320800781,270.39969094868985,0.0,1,82.45000752748915
8,2022-01-31,sell,299.56494140625,270.39969094868985,80880.80467508321,-1,80.96176644152474
9,2022-02-18,buy,277.93450927734375,326.4964921959418,0.0,1,90.79001466042281
10,2022-03-01,buy,284.71087646484375,35.070727206666135,0.0,1,9.990009990009991
11,2022-03-02,sell,289.7689514160156,361.567219402608,104613.84998712614,-1,104.71856855568183
12,2022-03-07,buy,269.2275695800781,387.98817020619094,0.0,1,104.50934064647967
13,2022-03-16,sell,284.17022705078125,387.98817020619094,110089.3595182229,-1,110.19955907730021
14,2022-04-11,buy,275.357177734375,435.4687115730864,0.0,1,119.96939012809482
15,2022-05-02,buy,274.59454345703125,36.362767284309925,0.0,1,9.990009990009991
16,2022-05-04,sell,279.9133605957031,471.83147885739635,131873.89301545898,-1,132.00589891437338
17,2022-05-09,buy,255.39503479003903,515.5789845972994,0.0,1,131.74215086459438
18,2022-05-27,sell,264.36871337890625,515.5789845972994,136098.56652546258,-1,136.23480132678938
19,2022-06-10,buy,244.7761993408203,595.9716445772351,0.0,1,145.95261391155105
20,2022-06-24,sell,259.0086364746094,595.9716445772351,154130.3375158225,-1,154.28462213796047
21,2022-07-26,buy,243.7216033935547,672.4247118363851,0.0,1,163.96637114467782
22,2022-07-27,sell,260.0148010253906,672.4247118363851,174578.2045064031,-1,174.75295746386698
23,2022-08-26,buy,259.9365234375,709.025639908155,0.0,1,184.39381069570743
24,2022-09-01,buy,252.4804229736328,39.54768993044707,0.0,1,9.990009990009991
25,2022-10-03,buy,233.4183349609375,42.77734858720651,0.0,1,9.990009990009991
26,2022-10-04,sell,241.310791015625,791.3506784258085,190675.11147513989,-1,190.8659774525925
27,2022-10-10,buy,222.2777862548828,856.5382773513347,0.0,1,190.4846268482916
28,2022-10-17,sell,230.3059539794922,856.5382773513347,196970.06492065455,-1,197.16723215280734
29,2022-11-02,buy,213.40606689453125,968.3884560571264,0.0,1,206.76330161903556
30,2022-11-10,sell,235.5902099609375,968.3884560571264,227800.739498137,-1,228.0287682664034
31,2022-12-22,buy,231.59674072265625,1025.2495495138007,0.0,1,237.5631763218152
32,2023-01-03,buy,232.94827270507812,42.86366825269741,0.0,1,9.990009990009991
33,2023-01-12,sell,231.90789794921875,1068.113217766498,247332.45911929425,-1,247.5800391584527
34,2023-03-01,buy,240.0528564453125,1111.9714704269675,0.0,1,267.0653937255687
35,2023-03-14,sell,254.20626831054688,1111.9714704269675,282246.25412314245,-1,282.52878290604855
36,2023-04-25,buy,268.46697998046875,1086.9433389787296,0.0,1,291.9542998233192
37,2023-04-26,sell,287.91326904296875,1086.9433389787296,312476.14834756596,-1,312.7889372848508
38,2023-08-02,buy,319.9300537109375,1100.0781146246582,0.0,1,352.1240243232428
39,2023-08-23,sell,320.1178894042969,1100.0781146246582,351626.62828449556,-1,351.97860689138696
40,2023-09-20,buy,314.01904296875,1149.8819214835075,0.0,1,361.265362921574
41,2023-10-02,buy,315.0273132324219,31.695719900650577,0.0,1,9.990009990009991
42,2023-10-06,sell,320.37249755859375,1181.5776413841581,377977.3518320808,-1,378.3557075396204
43,2023-12-14,buy,358.95562744140625,1107.047922195139,0.0,1,397.57977206002084
44,2023-12-22,sell,367.4407958984375,1107.047922195139,406164.6111619346,-1,406.5711823442789
45,2024-01-04,buy,360.9273376464844,1151.3150942330838,0.0,1,415.74886229963505
46,2024-01-08,sell,367.5486450195313,1151.3150942330838,422529.76800374157,-1,422.952720724466
47,2024-04-15,buy,406.5067138671875,1111.548097527462,0.0,1,452.0776903134282
48,2024-05-01,buy,388.1292114257813,25.726013882309157,0.0,1,9.990009990009991
49,2024-05-06,sell,406.4083862304687,1137.2741114097712,461504.670814124,-1,461.96663745157554
50,2024-07-17,buy,436.6575927734375,1101.053235981734,0.0,1,481.0236471669571
51,2024-08-01,buy,410.65625,24.314782695428004,0.0,1,9.990009990009991
52,2024-08-15,sell,415.2626953125,1125.368018677162,466622.6052810629,-1,467.08969497603897
53,2024-09-06,buy,396.1974792480469,1201.1901374869785,0.0,1,476.14645882224073
54,2024-09-11,sell,417.2452087402344,1201.1901374869785,500439.29400340136,-1,500.940234237639
55,2024-10-07,buy,403.9300842285156,1261.788976051451,0.0,1,509.92936463876265
56,2024-10-22,sell,421.6539306640625,1261.788976051451,531240.4900176867,-1,531.7722622799668
57,2024-10-31,buy,400.7838134765625,1323.5179169467383,0.0,1,530.7097802374493
58,2024-11-01,buy,404.7487487792969,24.669668557058415,0.0,1,9.990009990009991
59,2024-11-06,sell,414.42431640625,1348.1875855037968,557883.9152928983,-1,558.4423576505488
60,2024-12-30,buy,419.8493347167969,1350.5632503517274,0.0,1,567.3165986942041
61,2025-01-02,buy,413.6726379394531,24.137485938170283,0.0,1,9.990009990009991
62,2025-01-17,sell,424.0000915527344,1374.7007362898978,581999.2196240802,-1,582.5818014255058
63,2025-02-27,buy,388.7058715820313,1520.7186175979316,0.0,1,591.407811812268
64,2025-03-03,buy,384.7052307128906,25.95498237122041,0.0,1,9.990009990009991
65,2025-03-21,sell,387.4482727050781,1546.673599969152,598357.4303524804,-1,598.9563867392196
66,2025-03-28,buy,375.1096496582031,1592.76345131642,0.0,1,597.7596706817986
67,2025-04-01,buy,378.4666137695313,26.38282246832417,0.0,1,9.990009990009991
68,2025-04-09,sell,386.6857299804687,1619.1462737847442,625161.9207357537,-1,625.787708444198
69,2025-04-21,buy,355.62139892578125,1755.308517998715,0.0,1,624.5373833524014
70,2025-04-24,sell,383.52685546875,1755.308517998715,672198.4809551088,-1,672.8713523074161
71,2025-08-20,buy,501.7125244140625,1417.408164321863,0.0,1,711.4869939611477
72,2025-09-02,buy,501.9410705566406,19.892808273680835,0.0,1,9.990009990009991
73,2025-09-12,sell,506.6910095214844,1437.300972595544,727175.443703202,-1,727.9033470502523
74,2025-11-06,buy,493.9715576171875,1510.3217486731007,0.0,1,746.4290146885135
75,2025-12-01,buy,484.5820007324219,20.60542378003618,0.0,1,9.990009990009991
76,2025-12-08,sell,488.8430480957031,1530.927172453137,747260.9049279887,-1,748.0089138418305
77,2026-01-02,buy,470.84320068359375,1605.8983888075686,0.0,1,756.5044005274614
78,2026-01-07,sell,481.3265075683594,1605.8983888075686,771802.4072806423,-1,772.5749822629052
79,2026-01-13,buy,468.5832824707031,1644.6298485402774,0.0,1,771.0313759047376
80,2026-01-27,sell,478.4493103027344,1644.6298485402774,785692.1021482885,-1,786.4785807290175
81,2026-01-29,buy,431.57806396484375,1817.7822345217696,0.0,1,784.9071949533352
82,2026-02-02,buy,421.4929809570313,23.689641185951967,0.0,1,9.990009990009991
83,2026-03-02,buy,397.6886291503906,25.107626291958688,0.0,1,9.990009990009991
84,2026-03-03,sell,403.0570068359375,1866.5795019996804,751209.8163456337,-1,751.9617781237574
85,2026-03-20,buy,381.0447082519531,1968.4942438178705,0.0,1,750.4593569886451
86,2026-04-01,buy,368.57171630859375,27.091111551569,0.0,1,9.990009990009991
87,2026-04-13,sell,383.539306640625,1995.5853553694394,764237.728097981,-1,765.0027308288098
88,2026-05-12,buy,406.8887023925781,1899.973433584728,0.0,1,773.4642638341469
89,2026-05-15,sell,421.0081481933594,1899.973433584728,798704.8403968982,-1,799.5043447416399
90,2026-06-10,buy,397.3599853515625,2032.1452250422028,0.0,1,807.8969434534449
