date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,0.0,40.033652007489216,9985.017481269355,9985.017481269355,10000.0,1
2021-06-15,0.0,40.033652007489216,9926.231493914487,9926.231493914487,10000.0,1
2021-06-16,0.0,40.033652007489216,9888.583269932651,9888.583269932651,10000.0,1
2021-06-17,0.0,40.033652007489216,10023.823294523563,10023.823294523563,10000.0,1
2021-06-18,0.0,40.033652007489216,9967.343933602719,9967.343933602719,10000.0,1
2021-06-21,0.0,40.033652007489216,10090.287855574326,10090.287855574326,10000.0,1
2021-06-22,0.0,40.033652007489216,10200.939340116938,10200.939340116938,10000.0,1
2021-06-23,0.0,40.033652007489216,10191.71405611094,10191.71405611094,10000.0,1
2021-06-24,0.0,40.033652007489216,10246.271635580131,10246.271635580131,10000.0,1
2021-06-25,0.0,40.033652007489216,10182.110646638135,10182.110646638135,10000.0,1
2021-06-28,0.0,40.033652007489216,10324.268107070919,10324.268107070919,10000.0,1
2021-06-29,0.0,40.033652007489216,10427.235520132173,10427.235520132173,10000.0,1
2021-06-30,0.0,40.033652007489216,10408.021370805947,10408.021370805947,10000.0,1
2021-07-01,0.0,78.34126220306761,20419.93401855763,20419.93401855763,20000.0,1
2021-07-02,0.0,78.34126220306761,20874.797712495892,20874.797712495892,20000.0,1
2021-07-06,0.0,78.34126220306761,20875.550809956647,20875.550809956647,20000.0,1
2021-07-07,0.0,78.34126220306761,21046.20986692013,21046.20986692013,20000.0,1
2021-07-08,0.0,78.34126220306761,20857.502769540053,20857.502769540053,20000.0,1
2021-07-09,0.0,78.34126220306761,20896.601677073897,20896.601677073897,20000.0,1
2021-07-12,0.0,78.34126220306761,20849.983748860468,20849.983748860468,20000.0,1
2021-07-13,0.0,78.34126220306761,21125.160779448568,21125.160779448568,20000.0,1
2021-07-14,0.0,78.34126220306761,21240.193428096656,21240.193428096656,20000.0,1
2021-07-15,0.0,78.34126220306761,21128.919094395565,21128.919094395565,20000.0,1
2021-07-16,0.0,78.34126220306761,21107.86344570714,21107.86344570714,20000.0,1
2021-07-19,0.0,78.34126220306761,20826.67598014655,20826.67598014655,20000.0,1
2021-07-20,0.0,78.34126220306761,21000.352208524222,21000.352208524222,20000.0,1
2021-07-21,0.0,78.34126220306761,21156.731103160466,21156.731103160466,20000.0,1
2021-07-22,0.0,78.34126220306761,21513.10399394573,21513.10399394573,20000.0,1
2021-07-23,0.0,78.34126220306761,21778.505102257575,21778.505102257575,20000.0,1
2021-07-26,0.0,78.34126220306761,21731.887174044146,21731.887174044146,20000.0,1
2021-07-27,0.0,78.34126220306761,21543.17768587848,21543.17768587848,20000.0,1
2021-07-28,0.0,78.34126220306761,21519.123992060577,21519.123992060577,20000.0,1
2021-07-29,0.0,78.34126220306761,21540.170077606646,21540.170077606646,20000.0,1
2021-07-30,0.0,78.34126220306761,21420.630798121983,21420.630798121983,20000.0,1
2021-08-02,0.0,114.87081336872912,31398.882356172508,31398.882356172508,30000.0,1
2021-08-03,0.0,114.87081336872912,31652.437381201402,31652.437381201402,30000.0,1
2021-08-04,0.0,114.87081336872912,31585.189858836526,31585.189858836526,30000.0,1
2021-08-05,0.0,114.87081336872912,31917.020957831188,31917.020957831188,30000.0,1
2021-08-06,0.0,114.87081336872912,31910.395413481,31910.395413481,30000.0,1
2021-08-09,0.0,114.87081336872912,31785.831674118483,31785.831674118483,30000.0,1
2021-08-10,0.0,114.87081336872912,31577.470573831706,31577.470573831706,30000.0,1
2021-08-11,0.0,114.87081336872912,31633.696555753733,31633.696555753733,30000.0,1
2021-08-12,0.0,114.87081336872912,31948.98833292608,31948.98833292608,30000.0,1
2021-08-13,0.0,114.87081336872912,32284.121687358776,32284.121687358776,30000.0,1
2021-08-16,0.0,114.87081336872912,32477.040712056893,32477.040712056893,30000.0,1
2021-08-17,0.0,114.87081336872912,32309.467023682504,32309.467023682504,30000.0,1
2021-08-18,0.0,114.87081336872912,32111.766389199383,32111.766389199383,30000.0,1
2021-08-19,0.0,114.87081336872912,32778.89911041976,32778.89911041976,30000.0,1
2021-08-20,0.0,114.87081336872912,33617.22327756447,33617.22327756447,30000.0,1
2021-08-23,0.0,114.87081336872912,33649.25375308175,33649.25375308175,30000.0,1
2021-08-24,0.0,114.87081336872912,33425.0369188818,33425.0369188818,30000.0,1
