symbol,framework,strategy,params_json,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,excess_profit_vs_plain_dca,excess_final_equity_vs_plain_dca,excess_irr_pct_vs_plain_dca
MU,A_100pct_monthly_dca,plain_dca,{},6960320.164216123,610000.0,6350320.164216123,1041.0360924944464,111.40501068826043,-49.279248211812664,2.0622163403459663,0.0,6960320.164216123,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0
MU,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 10}",6945042.122981513,610000.0,6335042.122981513,1038.53149557074,111.2842258494084,-46.4550299474893,2.1330529905211195,20000.0,6925042.122981513,43.354211426432734,61.0,14.0,0.0,589.4105894105893,0.0,1.0,-15278.041234609671,-15278.041234609671,-0.12078483885203184
MU,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 55, ""rsi_window"": 10}",6949411.055308786,610000.0,6339411.055308786,1039.2477139850469,111.31878788401535,-48.05873197110164,2.1176335054324817,12000.0,6937411.055308786,18.376773304907992,61.0,73.0,0.0,597.4025974025972,0.6,0.4,-10909.10890733637,-10909.10890733637,-0.08622280424508233
MU,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 60, ""rsi_window"": 10}",7001080.79642865,610000.0,6391080.79642865,1047.718163348959,111.72619547710462,-46.81976213417342,2.131570108870105,20000.0,6981080.79642865,42.88534268762893,61.0,17.0,0.0,589.4105894105893,0.0,1.0,40760.632212527096,40760.632212527096,0.3211847888441923
MU,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 60, ""rsi_window"": 10}",6949411.055308786,610000.0,6339411.055308786,1039.2477139850469,111.31878788401535,-48.05873197110164,2.1176335054324817,12000.0,6937411.055308786,18.376773304907992,61.0,73.0,0.0,597.4025974025972,0.6,0.4,-10909.10890733637,-10909.10890733637,-0.08622280424508233
MU,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 65, ""rsi_window"": 10}",7001080.79642865,610000.0,6391080.79642865,1047.718163348959,111.72619547710462,-46.81976213417342,2.131570108870105,20000.0,6981080.79642865,42.88534268762893,61.0,17.0,0.0,589.4105894105893,0.0,1.0,40760.632212527096,40760.632212527096,0.3211847888441923
MU,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 35, ""exit_threshold"": 65, ""rsi_window"": 10}",6949411.055308786,610000.0,6339411.055308786,1039.2477139850469,111.31878788401535,-48.05873197110164,2.1176335054324817,12000.0,6937411.055308786,18.376773304907992,61.0,73.0,0.0,597.4025974025972,0.6,0.4,-10909.10890733637,-10909.10890733637,-0.08622280424508233
MU,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 55, ""rsi_window"": 10}",7233713.150744869,610000.0,6623713.150744869,1085.854614876208,113.53050902704314,-47.104652154248846,2.136133773600675,20000.0,7213713.150744869,39.43582059407083,61.0,17.0,0.0,589.4105894105893,0.0,1.0,273392.9865287468,273392.9865287468,2.1254983387827053
MU,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 55, ""rsi_window"": 10}",7060312.631457404,610000.0,6450312.631457404,1057.4283002389186,112.1902088908743,-48.286151300974964,2.117182103623852,12000.0,7048312.631457404,16.81524269820582,61.0,76.0,0.0,597.402597402597,0.6,0.4,99992.46724128164,99992.46724128164,0.78519820261387
MU,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 40, ""exit_threshold"": 60, ""rsi_window"": 10}",7280617.242475065,610000.0,6670617.242475065,1093.5438102418138,113.88852958981576,-47.42064081111435,2.1347826447213682,20000.0,7260617.242475065,39.08761261126442,61.0,20.0,0.0,589.4105894105893,0.0,1.0,320297.0782589428,320297.0782589428,2.4835189015553283
