date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,4000.0,76.3177667970416,5991.0104887616135,9991.010488761614,10000.0,0
2021-06-15,4000.0,76.3177667970416,6116.800418748943,10116.800418748942,10000.0,0
2021-06-16,4000.0,76.3177667970416,5991.0104887616135,9991.010488761614,10000.0,-1
2021-06-17,4000.0,76.3177667970416,6002.174710415105,10002.174710415105,10000.0,-1
2021-06-18,4000.0,76.3177667970416,5727.52228095879,9727.52228095879,10000.0,-1
2021-06-21,4000.0,76.3177667970416,5736.453541829914,9736.453541829913,10000.0,-1
2021-06-22,4000.0,76.3177667970416,5780.368049044267,9780.368049044268,10000.0,-1
2021-06-23,4000.0,76.3177667970416,5881.595410425538,9881.595410425538,10000.0,-1
2021-06-24,4000.0,76.3177667970416,5997.7099533670735,9997.709953367073,10000.0,-1
2021-06-25,4000.0,76.3177667970416,6105.635032578746,10105.635032578746,10000.0,-1
2021-06-28,4000.0,76.3177667970416,6206.117685526993,10206.117685526993,10000.0,-1
2021-06-29,4000.0,76.3177667970416,6172.622691533107,10172.622691533106,10000.0,-1
2021-06-30,4000.0,76.3177667970416,6325.209315425569,10325.209315425569,10000.0,-1
2021-07-01,8000.0,152.99754164255856,11953.737195785458,19953.737195785456,20000.0,-1
2021-07-02,8000.0,152.99754164255856,11986.565739342856,19986.565739342856,20000.0,-1
2021-07-06,8000.0,152.99754164255856,12098.477408558543,20098.477408558545,20000.0,-1
2021-07-07,8000.0,152.99754164255856,11671.719182377046,19671.719182377048,20000.0,-1
2021-07-08,8000.0,152.99754164255856,11506.089351644097,19506.0893516441,20000.0,-1
2021-07-09,8000.0,152.99754164255856,11749.311693253556,19749.311693253556,20000.0,-1
2021-07-12,8000.0,152.99754164255856,11871.665836891962,19871.66583689196,20000.0,-1
2021-07-13,8000.0,152.99754164255856,11706.038340716226,19706.038340716226,20000.0,-1
2021-07-14,8000.0,152.99754164255856,11712.006636236385,19712.006636236387,20000.0,-1
2021-07-15,8000.0,152.99754164255856,11477.736154267863,19477.736154267863,20000.0,-1
2021-07-16,8000.0,152.99754164255856,11192.732242181462,19192.73224218146,20000.0,-1
2021-07-19,8000.0,152.99754164255856,11128.568104405662,19128.568104405662,20000.0,-1
2021-07-20,8000.0,152.99754164255856,11249.433967819501,19249.433967819503,20000.0,-1
2021-07-21,8000.0,152.99754164255856,11518.02477540581,19518.024775405807,20000.0,-1
2021-07-22,8000.0,152.99754164255856,11270.323585779364,19270.323585779362,20000.0,-1
2021-07-23,8000.0,152.99754164255856,11331.501824877174,19331.501824877174,20000.0,-1
2021-07-26,8000.0,152.99754164255856,11385.224655508866,19385.224655508864,20000.0,-1
2021-07-27,8000.0,152.99754164255856,11074.853444724222,19074.85344472422,20000.0,-1
2021-07-28,8000.0,152.99754164255856,11273.310651735963,19273.310651735963,20000.0,-1
2021-07-29,8000.0,152.99754164255856,11501.610503627111,19501.61050362711,20000.0,-1
2021-07-30,8000.0,152.99754164255856,11576.217115825628,19576.217115825628,20000.0,-1
2021-08-02,12000.0,232.11676740558693,17576.182966064,29576.182966064,30000.0,-1
2021-08-03,12000.0,232.11676740558693,18305.12864502688,30305.12864502688,30000.0,-1
2021-08-04,12000.0,232.11676740558693,18558.671657311923,30558.671657311923,30000.0,-1
2021-08-05,12000.0,232.11676740558693,18447.74891375711,30447.74891375711,30000.0,-1
2021-08-06,12000.0,232.11676740558693,18563.20341701492,30563.20341701492,30000.0,-1
2021-08-09,12000.0,232.11676740558693,18157.97838750405,30157.97838750405,30000.0,-1
2021-08-10,12000.0,232.11676740558693,17184.546132020532,29184.546132020532,30000.0,-1
2021-08-11,12000.0,232.11676740558693,16985.331108859547,28985.331108859547,30000.0,-1
2021-08-12,12000.0,232.11676740558693,15903.232249665536,27903.232249665536,30000.0,-1
2021-08-13,12000.0,232.11676740558693,16054.905412339382,28054.90541233938,30000.0,-1
2021-08-16,12000.0,232.11676740558693,16057.168635825286,28057.168635825285,30000.0,-1
2021-08-17,12000.0,232.11676740558693,16023.21319989515,28023.21319989515,30000.0,-1
2021-08-18,12000.0,232.11676740558693,15986.992769568717,27986.992769568715,30000.0,-1
2021-08-19,12000.0,232.11676740558693,15910.023691033643,27910.023691033643,30000.0,-1
2021-08-20,12000.0,232.11676740558693,15898.704031783334,27898.704031783334,30000.0,-1
2021-08-23,12000.0,232.11676740558693,16240.534010943364,28240.534010943364,30000.0,-1
2021-08-24,12000.0,232.11676740558693,16294.869083709005,28294.869083709003,30000.0,-1
2021-08-25,12000.0,232.11676740558693,16761.210001891246,28761.210001891246,30000.0,-1
2021-08-26,12000.0,232.11676740558693,16473.709782765673,28473.709782765673,30000.0,-1
2021-08-27,12000.0,232.11676740558693,16752.157107947634,28752.157107947634,30000.0,-1
2021-08-30,12000.0,232.11676740558693,16562.00029146145,28562.00029146145,30000.0,-1
2021-08-31,12000.0,232.11676740558693,16684.24623608736,28684.24623608736,30000.0,-1
2021-09-01,16000.0,315.4430859164699,22679.783171820785,38679.78317182079,40000.0,-1
2021-09-02,16000.0,315.4430859164699,22762.84834295121,38762.84834295121,40000.0,-1
2021-09-03,16000.0,315.4430859164699,22707.46434227833,38707.46434227833,40000.0,-1
2021-09-07,16000.0,315.4430859164699,22655.165653770862,38655.16565377086,40000.0,-1
2021-09-08,16000.0,315.4430859164699,22233.6860202662,38233.6860202662,40000.0,-1
2021-09-09,16000.0,315.4430859164699,22418.27528944492,38418.27528944492,40000.0,-1
2021-09-10,16000.0,315.4430859164699,22612.103648641594,38612.1036486416,40000.0,-1
2021-09-13,16000.0,315.4430859164699,22873.599497818686,38873.599497818686,40000.0,-1
2021-09-14,16000.0,315.4430859164699,22609.020743115936,38609.020743115936,40000.0,-1
2021-09-15,16000.0,315.4430859164699,22710.547247803985,38710.54724780399,40000.0,-1
2021-09-16,16000.0,315.4430859164699,22959.73794791575,38959.73794791575,40000.0,-1
2021-09-17,16000.0,315.4430859164699,22858.213849867454,38858.213849867454,40000.0,-1
2021-09-20,16000.0,315.4430859164699,22264.459722808417,38264.45972280842,40000.0,-1
2021-09-21,16000.0,315.4430859164699,22193.697294103567,38193.697294103564,40000.0,-1
2021-09-22,16000.0,315.4430859164699,22756.69215845891,38756.692158458914,40000.0,-1
2021-09-23,16000.0,315.4430859164699,22778.224364343423,38778.22436434342,40000.0,-1
2021-09-24,16000.0,315.4430859164699,22781.302456589572,38781.302456589576,40000.0,-1
2021-09-27,16000.0,315.4430859164699,23128.946382422746,39128.94638242274,40000.0,-1
