date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-18,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-21,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-22,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-23,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-24,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-25,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-28,10000.0,0.0,0.0,10000.0,10000.0,-1
2021-06-29,0.0,123.45388235784591,9985.017481269357,9985.017481269357,10000.0,1
2021-06-30,0.0,123.45388235784591,10231.846128201556,10231.846128201556,10000.0,1
2021-07-01,0.0,251.25350710037418,19630.50099467639,19630.50099467639,20000.0,1
2021-07-02,0.0,251.25350710037418,19684.412231505696,19684.412231505696,20000.0,1
2021-07-06,0.0,251.25350710037418,19868.194265347716,19868.194265347716,20000.0,1
2021-07-07,0.0,251.25350710037418,19167.36927260019,19167.36927260019,20000.0,1
2021-07-08,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-09,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-12,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-13,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-14,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-15,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-16,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-19,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-20,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-21,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-22,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-23,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-26,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-27,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-28,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-29,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-07-30,18867.037333668053,0.0,0.0,18867.037333668053,20000.0,-1
2021-08-02,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-03,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-04,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-05,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-06,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-09,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-10,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-11,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-12,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-13,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-16,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-17,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-18,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-19,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-20,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-23,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-24,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-25,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-26,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-27,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-30,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-08-31,28867.037333668053,0.0,0.0,28867.037333668053,30000.0,-1
2021-09-01,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-02,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-03,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-07,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-08,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-09,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-10,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-13,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-14,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-15,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-16,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-17,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-20,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-21,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-22,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-23,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-24,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-27,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-28,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-29,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-09-30,38867.03733366805,0.0,0.0,38867.03733366805,40000.0,-1
2021-10-01,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-04,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-05,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-06,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-07,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-08,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-11,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-12,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-13,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-14,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-15,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-18,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-19,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-20,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-21,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-22,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-25,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-26,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-27,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-28,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-10-29,48867.03733366805,0.0,0.0,48867.03733366805,50000.0,-1
2021-11-01,58867.03733366805,0.0,0.0,58867.03733366805,60000.0,-1
2021-11-02,58867.03733366805,0.0,0.0,58867.03733366805,60000.0,-1
2021-11-03,58867.03733366805,0.0,0.0,58867.03733366805,60000.0,-1
2021-11-04,58867.03733366805,0.0,0.0,58867.03733366805,60000.0,-1
2021-11-05,58867.03733366805,0.0,0.0,58867.03733366805,60000.0,-1
2021-11-08,58867.03733366805,0.0,0.0,58867.03733366805,60000.0,-1
2021-11-09,58867.03733366805,0.0,0.0,58867.03733366805,60000.0,-1
2021-11-10,58867.03733366805,0.0,0.0,58867.03733366805,60000.0,-1
2021-11-11,58867.03733366805,0.0,0.0,58867.03733366805,60000.0,-1
2021-11-12,58867.03733366805,0.0,0.0,58867.03733366805,60000.0,-1
2021-11-15,0.0,783.8515025099665,58778.83968472113,58778.83968472113,60000.0,1
2021-11-16,0.0,783.8515025099665,58801.810064521094,58801.810064521094,60000.0,1
2021-11-17,0.0,783.8515025099665,57768.328363206114,57768.328363206114,60000.0,1
2021-11-18,0.0,783.8515025099665,58962.572821559006,58962.572821559006,60000.0,1
2021-11-19,0.0,783.8515025099665,63563.53212108556,63563.53212108556,60000.0,1
2021-11-22,0.0,783.8515025099665,64198.928349408,64198.928349408,60000.0,1
2021-11-23,0.0,783.8515025099665,65385.5359488688,65385.5359488688,60000.0,1
