date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,0.0,127.19627799506932,9985.017481269355,9985.017481269355,10000.0,1
2021-06-15,0.0,127.19627799506932,10194.667364581572,10194.667364581572,10000.0,1
2021-06-16,0.0,127.19627799506932,9985.017481269355,9985.017481269355,10000.0,1
2021-06-17,0.0,127.19627799506932,10003.624517358508,10003.624517358508,10000.0,1
2021-06-18,0.0,127.19627799506932,9545.87046826465,9545.87046826465,10000.0,1
2021-06-21,0.0,127.19627799506932,9560.755903049854,9560.755903049854,10000.0,1
2021-06-22,0.0,127.19627799506932,9633.94674840711,9633.94674840711,10000.0,1
2021-06-23,0.0,127.19627799506932,9802.659017375896,9802.659017375896,10000.0,1
2021-06-24,0.0,127.19627799506932,9996.183255611788,9996.183255611788,10000.0,1
2021-06-25,0.0,127.19627799506932,10176.058387631243,10176.058387631243,10000.0,1
2021-06-28,0.0,127.19627799506932,10343.529475878322,10343.529475878322,10000.0,1
2021-06-29,0.0,127.19627799506932,10287.704485888511,10287.704485888511,10000.0,1
2021-06-30,0.0,127.19627799506932,10542.015525709281,10542.015525709281,10000.0,1
2021-07-01,0.0,254.9959027375976,19922.895326309095,19922.895326309095,20000.0,1
2021-07-02,0.0,254.9959027375976,19977.609565571423,19977.609565571423,20000.0,1
2021-07-06,0.0,254.9959027375976,20164.12901426424,20164.12901426424,20000.0,1
2021-07-07,0.0,254.9959027375976,19452.865303961746,19452.865303961746,20000.0,1
2021-07-08,0.0,254.9959027375976,19176.815586073495,19176.815586073495,20000.0,1
2021-07-09,0.0,254.9959027375976,19582.186155422594,19582.186155422594,20000.0,1
2021-07-12,0.0,254.9959027375976,19786.109728153267,19786.109728153267,20000.0,1
2021-07-13,0.0,254.9959027375976,19510.06390119371,19510.06390119371,20000.0,1
2021-07-14,0.0,254.9959027375976,19520.011060393976,19520.011060393976,20000.0,1
2021-07-15,0.0,254.9959027375976,19129.560257113106,19129.560257113106,20000.0,1
2021-07-16,0.0,254.9959027375976,18654.5537369691,18654.5537369691,20000.0,1
