date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,4000.0,119.84657982651856,5991.0104887616135,9991.010488761614,10000.0,0
2021-06-15,4000.0,119.84657982651856,5895.253097082217,9895.253097082217,10000.0,0
2021-06-16,4000.0,119.84657982651856,5901.365572562413,9901.365572562412,10000.0,0
2021-06-17,4000.0,119.84657982651856,5972.434415185598,9972.434415185598,10000.0,0
2021-06-18,4000.0,119.84657982651856,6001.557137740869,10001.557137740869,10000.0,0
2021-06-21,4000.0,119.84657982651856,5956.375108813657,9956.375108813656,10000.0,0
2021-06-22,4000.0,119.84657982651856,6098.03367107549,10098.03367107549,10000.0,0
2021-06-23,4000.0,119.84657982651856,6145.013325551553,10145.013325551554,10000.0,0
2021-06-24,4000.0,119.84657982651856,6208.771885233202,10208.771885233202,10000.0,0
2021-06-25,4000.0,119.84657982651856,6316.75377069457,10316.75377069457,10000.0,0
2021-06-28,4000.0,119.84657982651856,6388.182412734578,10388.182412734579,10000.0,0
2021-06-29,4000.0,119.84657982651856,6393.8148508733975,10393.814850873398,10000.0,0
2021-06-30,4000.0,119.84657982651856,6330.416090608571,10330.41609060857,10000.0,0
2021-07-01,8000.0,232.1345147232713,12385.304919797967,20385.304919797967,20000.0,0
2021-07-02,8000.0,232.1345147232713,12395.518540910098,20395.518540910096,20000.0,0
2021-07-06,8000.0,232.1345147232713,12573.33419551206,20573.33419551206,20000.0,0
2021-07-07,8000.0,232.1345147232713,12441.481606960479,20441.48160696048,20000.0,0
2021-07-08,8000.0,232.1345147232713,12320.77155304163,20320.77155304163,20000.0,0
2021-07-09,8000.0,232.1345147232713,12441.945620959332,20441.945620959334,20000.0,0
2021-07-12,8000.0,232.1345147232713,12472.819376818046,20472.819376818046,20000.0,0
2021-07-13,8000.0,232.1345147232713,12551.049126246597,20551.049126246595,20000.0,0
2021-07-14,8000.0,232.1345147232713,12719.81030921066,20719.81030921066,20000.0,0
2021-07-15,8000.0,232.1345147232713,12603.743051849024,20603.743051849022,20000.0,0
2021-07-16,8000.0,232.1345147232713,12310.325039407177,20310.325039407177,20000.0,0
2021-07-19,8000.0,232.1345147232713,12356.056098458132,20356.05609845813,20000.0,0
2021-07-20,8000.0,232.1345147232713,12327.503298116575,20327.503298116575,20000.0,0
2021-07-21,8000.0,232.1345147232713,11923.124838869157,19923.124838869157,20000.0,0
2021-07-22,8000.0,232.1345147232713,11879.947627857682,19879.947627857684,20000.0,0
2021-07-23,8000.0,232.1345147232713,11964.445108362324,19964.445108362324,20000.0,0
