date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-18,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-21,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-22,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-23,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-24,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-25,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-28,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-29,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-30,10000.0,0.0,0.0,10000.0,10000.0,0
2021-07-01,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-02,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-06,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-07,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-08,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-09,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-12,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-13,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-14,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-15,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-16,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-19,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-20,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-21,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-22,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-23,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-26,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-27,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-28,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-29,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-30,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-08-02,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-03,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-04,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-05,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-06,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-09,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-10,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-11,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-12,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-13,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-16,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-17,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-18,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-19,0.0,550.9380613730247,29955.052443808072,29955.052443808072,30000.0,1
2021-08-20,0.0,550.9380613730247,30129.700549048313,30129.700549048313,30000.0,1
2021-08-23,0.0,550.9380613730247,30485.055850833345,30485.055850833345,30000.0,1
2021-08-24,0.0,550.9380613730247,30489.463035871722,30489.463035871722,30000.0,1
2021-08-25,0.0,550.9380613730247,30168.266045211472,30168.266045211472,30000.0,1
2021-08-26,0.0,550.9380613730247,30308.205203904872,30308.205203904872,30000.0,1
2021-08-27,0.0,550.9380613730247,30793.029184716554,30793.029184716554,30000.0,1
2021-08-30,0.0,550.9380613730247,31193.011175631204,31193.011175631204,30000.0,1
2021-08-31,0.0,550.9380613730247,31358.842809132788,31358.842809132788,30000.0,1
2021-09-01,0.0,722.4813011144189,42053.46962312809,42053.46962312809,40000.0,1
2021-09-02,0.0,722.4813011144189,42521.63664636343,42521.63664636343,40000.0,1
2021-09-03,0.0,722.4813011144189,42664.68928893524,42664.68928893524,40000.0,1
2021-09-07,0.0,722.4813011144189,43833.664056186746,43833.664056186746,40000.0,1
2021-09-08,0.0,722.4813011144189,43785.97892331366,43785.97892331366,40000.0,1
2021-09-09,0.0,722.4813011144189,43171.1488353551,43171.1488353551,40000.0,1
2021-09-10,0.0,722.4813011144189,43256.40165093498,43256.40165093498,40000.0,1
2021-09-13,0.0,722.4813011144189,42575.10121072622,42575.10121072622,40000.0,1
2021-09-14,0.0,722.4813011144189,41742.08035873481,41742.08035873481,40000.0,1
2021-09-15,0.0,722.4813011144189,42111.266694072576,42111.266694072576,40000.0,1
2021-09-16,0.0,722.4813011144189,42373.529412779644,42373.529412779644,40000.0,1
2021-09-17,0.0,722.4813011144189,42579.43647335536,42579.43647335536,40000.0,1
2021-09-20,0.0,722.4813011144189,41573.7409808659,41573.7409808659,40000.0,1
2021-09-21,0.0,722.4813011144189,41408.29269676556,41408.29269676556,40000.0,1
2021-09-22,0.0,722.4813011144189,42673.35705814607,42673.35705814607,40000.0,1
2021-09-23,0.0,722.4813011144189,42861.92582425267,42861.92582425267,40000.0,1
2021-09-24,0.0,722.4813011144189,42799.06865020133,42799.06865020133,40000.0,1
2021-09-27,0.0,722.4813011144189,42817.131785148165,42817.131785148165,40000.0,1
2021-09-28,0.0,722.4813011144189,42182.069552904475,42182.069552904475,40000.0,1
2021-09-29,0.0,722.4813011144189,43280.96354575436,43280.96354575436,40000.0,1
2021-09-30,0.0,722.4813011144189,44095.924018846374,44095.924018846374,40000.0,1
2021-10-01,0.0,885.3291801800127,54283.95746692287,54283.95746692287,50000.0,1
2021-10-04,0.0,885.3291801800127,53416.335275617996,53416.335275617996,50000.0,1
2021-10-05,0.0,885.3291801800127,56201.58079541001,56201.58079541001,50000.0,1
2021-10-06,0.0,885.3291801800127,56581.3877702141,56581.3877702141,50000.0,1
2021-10-07,0.0,885.3291801800127,55939.52546548871,55939.52546548871,50000.0,1
2021-10-08,0.0,885.3291801800127,56011.234886580794,56011.234886580794,50000.0,1
2021-10-11,0.0,885.3291801800127,55513.679644156706,55513.679644156706,50000.0,1
2021-10-12,0.0,885.3291801800127,55327.761326861975,55327.761326861975,50000.0,1
2021-10-13,0.0,885.3291801800127,55754.49199104832,55754.49199104832,50000.0,1
2021-10-14,0.0,885.3291801800127,56112.16438544279,56112.16438544279,50000.0,1
2021-10-15,0.0,885.3291801800127,55624.3457916792,55624.3457916792,50000.0,1
2021-10-18,0.0,885.3291801800127,56481.346491469245,56481.346491469245,50000.0,1
2021-10-19,0.0,885.3291801800127,56572.535964407936,56572.535964407936,50000.0,1
2021-10-20,0.0,885.3291801800127,55345.46831573712,55345.46831573712,50000.0,1
2021-10-21,0.0,885.3291801800127,57826.16240776006,57826.16240776006,50000.0,1
2021-10-22,0.0,885.3291801800127,58854.91043012423,58854.91043012423,50000.0,1
2021-10-25,0.0,885.3291801800127,59464.02004018796,59464.02004018796,50000.0,1
2021-10-26,0.0,885.3291801800127,59186.024029837405,59186.024029837405,50000.0,1
2021-10-27,0.0,885.3291801800127,58690.24185038479,58690.24185038479,50000.0,1
2021-10-28,0.0,885.3291801800127,59675.61230930966,59675.61230930966,50000.0,1
2021-10-29,0.0,885.3291801800127,61115.15706995652,61115.15706995652,50000.0,1
2021-11-01,0.0,1031.915464888029,70290.98238367242,70290.98238367242,60000.0,1
2021-11-02,0.0,1031.915464888029,69934.97816151382,69934.97816151382,60000.0,1
2021-11-03,0.0,1031.915464888029,71025.7119891199,71025.7119891199,60000.0,1
2021-11-04,0.0,1031.915464888029,68973.22589412855,68973.22589412855,60000.0,1
2021-11-05,0.0,1031.915464888029,66632.843950138,66632.843950138,60000.0,1
2021-11-08,0.0,1031.915464888029,67224.12949605896,67224.12949605896,60000.0,1
2021-11-09,0.0,1031.915464888029,67692.62157345987,67692.62157345987,60000.0,1
2021-11-10,0.0,1031.915464888029,66755.64529154825,66755.64529154825,60000.0,1
2021-11-11,0.0,1031.915464888029,67856.70047821246,67856.70047821246,60000.0,1
2021-11-12,0.0,1031.915464888029,70439.5831862829,70439.5831862829,60000.0,1
2021-11-15,0.0,1031.915464888029,70101.1118906098,70101.1118906098,60000.0,1
2021-11-16,0.0,1031.915464888029,70933.86685199385,70933.86685199385,60000.0,1
2021-11-17,0.0,1031.915464888029,71376.55946819452,71376.55946819452,60000.0,1
2021-11-18,0.0,1031.915464888029,70378.70212633128,70378.70212633128,60000.0,1
2021-11-19,0.0,1031.915464888029,70046.41892235893,70046.41892235893,60000.0,1
2021-11-22,0.0,1031.915464888029,68023.86555592522,68023.86555592522,60000.0,1
2021-11-23,0.0,1031.915464888029,67493.4610699559,67493.4610699559,60000.0,1
2021-11-24,0.0,1031.915464888029,67929.9655944558,67929.9655944558,60000.0,1
