,date,action,price,shares,cash_after,technical_state,commission
0,2021-08-19,buy,54.37099838256836,550.9380613730247,0.0,1,29.970029970029973
1,2021-09-01,buy,58.207000732421875,171.54323974139425,0.0,1,9.990009990009991
2,2021-10-01,buy,61.314998626708984,162.84787906559384,0.0,1,9.990009990009991
3,2021-11-01,buy,68.11699676513672,146.5862847080163,0.0,1,9.990009990009991
4,2021-11-30,sell,64.19000244140625,1031.915464888029,66139.33134549983,-1,66.2055368823822
5,2022-02-01,buy,45.7130012512207,2099.9559815529037,0.0,1,96.0432880574424
6,2022-03-01,buy,38.624000549316406,258.5184688085366,0.0,1,9.990009990009991
7,2022-03-04,sell,36.17300033569336,2358.47445036144,85185.17009557017,-1,85.27044053610626
8,2022-03-22,buy,38.29199981689453,2221.287518584745,0.0,1,85.10007002554462
9,2022-04-01,buy,37.34700012207031,267.3579524093739,0.0,1,9.990009990009991
10,2022-04-11,sell,34.79999923706055,2488.645470994119,86474.99650360193,-1,86.56155806166359
11,2022-07-19,buy,20.163000106811523,5768.015027815046,0.0,1,116.35863786573621
12,2022-08-01,buy,22.621000289916992,441.40477226022773,0.0,1,9.990009990009991
13,2022-08-22,sell,22.65399932861328,6209.419800075274,140457.2600281063,-1,140.5978578859923
14,2022-10-19,buy,27.238000869750977,5882.107699601788,0.0,1,160.2969630650413
15,2022-11-01,buy,28.674999237060547,348.2133477571075,0.0,1,9.990009990009991
16,2022-11-04,sell,26.07900047302246,6230.321047358896,162236.90596311548,-1,162.39930526838387
17,2022-11-11,buy,29.01300048828125,5583.491244909593,0.0,1,162.07483113198353
18,2022-12-01,buy,31.69499969482422,315.0344716015222,0.0,1,9.990009990009991
19,2022-12-15,sell,29.041000366210938,5898.525716511115,171042.22451160772,-1,171.2134379495573
20,2023-01-04,buy,30.94099998474121,5842.441348010021,0.0,1,180.8613631484593
21,2023-02-01,buy,36.19900131225586,275.83682199234426,0.0,1,9.990009990009991
22,2023-02-21,sell,33.75,6118.278170002365,206182.2536511676,-1,206.38864229346106
23,2023-03-23,buy,32.0369987487793,6737.783394673831,0.0,1,215.96628736380381
24,2023-04-03,buy,34.827999114990234,286.69512274599003,0.0,1,9.990009990009991
25,2023-05-01,buy,32.4119987487793,308.0654654673345,0.0,1,9.990009990009991
26,2023-05-02,sell,31.7549991607666,7332.543982887156,232495.77705329555,-1,232.7285055588544
27,2023-05-11,buy,34.47600173950195,6733.595199754725,0.0,1,232.26351353975582
28,2023-06-01,buy,40.3129997253418,247.68728572169525,0.0,1,9.990009990009991
29,2023-07-03,buy,44.14400100708008,226.19194575652307,0.0,1,9.990009990009991
30,2023-07-20,sell,43.742000579833984,7207.474431232943,314796.6043586802,-1,315.11171607475495
31,2023-08-30,buy,43.46699905395508,7461.0620538876565,0.0,1,324.4721322264538
32,2023-09-01,buy,43.987998962402344,226.99412832586006,0.0,1,9.990009990009991
33,2023-09-13,sell,41.2239990234375,7688.056182213517,316457.18038309144,-1,316.77395433742885
34,2023-10-19,buy,40.176998138427734,8113.30065471794,0.0,1,326.13104933375774
35,2023-11-01,buy,42.01900100708008,237.63100602003627,0.0,1,9.990009990009991
36,2023-12-01,buy,46.57400131225586,214.39037230932138,0.0,1,9.990009990009991
37,2023-12-04,sell,45.38999938964844,8565.322033047298,388196.98629936186,-1,388.5855718712331
38,2023-12-13,buy,47.99800109863281,8075.656497465305,0.0,1,387.80917712223965
39,2024-01-02,buy,46.849998474121094,213.12738114142863,0.0,1,9.990009990009991
40,2024-02-01,buy,56.750999450683594,175.94434596603537,0.0,1,9.990009990009991
41,2024-03-01,buy,61.93399810791016,161.22029557775437,0.0,1,9.990009990009991
42,2024-04-01,buy,61.430999755859375,162.54037083804698,0.0,1,9.990009990009991
43,2024-04-19,sell,55.50400161743164,8788.48889098857,487064.85106593015,-1,487.55240346939956
44,2024-05-06,buy,59.696998596191406,8313.987878671187,0.0,1,496.5682827831471
45,2024-06-03,buy,63.37900161743164,157.54456880751962,0.0,1,9.990009990009991
46,2024-07-01,buy,67.36100006103516,148.23143172194634,0.0,1,9.990009990009991
47,2024-07-11,sell,65.2750015258789,8619.763879200653,561811.3990445375,-1,562.3737728173547
48,2024-08-13,buy,64.802001953125,8810.756833683681,0.0,1,571.2401588856519
49,2024-09-03,buy,67.53199768066406,147.85609524665807,0.0,1,9.990009990009991
50,2024-10-01,buy,70.61299896240234,141.4048068767883,0.0,1,9.990009990009991
51,2024-10-17,sell,68.76499938964844,9100.017735807127,624824.3828588512,-1,625.4498326915428
52,2024-10-18,buy,76.38899993896484,8167.252340721651,0.0,1,624.2001826761751
53,2024-11-01,buy,75.61000061035156,132.0594815588764,0.0,1,9.990009990009991
54,2024-12-02,buy,89.77400207519531,111.2239317670815,0.0,1,9.990009990009991
55,2025-01-02,buy,88.6729965209961,112.60494032030475,0.0,1,9.990009990009991
56,2025-01-07,sell,87.91899871826172,8523.140694367914,748222.3514630193,-1,748.9713227858051
57,2025-01-22,buy,95.39900207519533,7831.3327149333445,0.0,1,747.474876586433
58,2025-02-03,buy,97.8939971923828,101.99826105421609,0.0,1,9.990009990009991
