date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,4000.0,333.63753657613984,5991.010488761614,9991.010488761614,10000.0,0
2021-06-15,4000.0,333.63753657613984,5914.452826107134,9914.452826107134,10000.0,0
2021-06-16,4000.0,333.63753657613984,5921.683820003836,9921.683820003836,10000.0,0
2021-06-17,4000.0,333.63753657613984,6203.301855032323,10203.301855032323,10000.0,0
2021-06-18,4000.0,333.63753657613984,6197.149496588837,10197.149496588838,10000.0,0
2021-06-21,4000.0,333.63753657613984,6126.830737759338,10126.830737759337,10000.0,0
2021-06-22,4000.0,333.63753657613984,6279.608790625702,10279.608790625702,10000.0,0
2021-06-23,4000.0,333.63753657613984,6336.296651869406,10336.296651869405,10000.0,0
2021-06-24,4000.0,333.63753657613984,6385.589337536801,10385.589337536801,10000.0,0
2021-06-25,4000.0,333.63753657613984,6327.570204689481,10327.57020468948,10000.0,0
2021-06-28,4000.0,333.63753657613984,6644.7634824180695,10644.76348241807,10000.0,0
2021-06-29,4000.0,333.63753657613984,6658.643197975669,10658.643197975669,10000.0,0
2021-06-30,4000.0,333.63753657613984,6650.5817502344535,10650.581750234454,10000.0,0
2021-07-01,8000.0,631.0713987759837,12711.247271113054,20711.247271113054,20000.0,0
2021-07-02,8000.0,631.0713987759837,12884.193439476494,20884.193439476494,20000.0,0
2021-07-06,8000.0,631.0713987759837,13017.205343090041,21017.20534309004,20000.0,0
2021-07-07,8000.0,631.0713987759837,12811.71425956527,20811.71425956527,20000.0,0
2021-07-08,8000.0,631.0713987759837,12516.761371378505,20516.761371378503,20000.0,0
2021-07-09,8000.0,631.0713987759837,12609.522444198541,20609.52244419854,20000.0,0
2021-07-12,8000.0,631.0713987759837,12900.233588135416,20900.233588135416,20000.0,-1
2021-07-13,8000.0,631.0713987759837,12735.147405569873,20735.14740556987,20000.0,-1
2021-07-14,8000.0,631.0713987759837,12478.241422602969,20478.24142260297,20000.0,-1
2021-07-15,8000.0,631.0713987759837,11927.802885789502,19927.802885789504,20000.0,-1
2021-07-16,8000.0,631.0713987759837,11421.381473117423,19421.38147311742,20000.0,-1
2021-07-19,8000.0,631.0713987759837,11810.512157444913,19810.512157444915,20000.0,-1
2021-07-20,8000.0,631.0713987759837,11705.01261147034,19705.012611470338,20000.0,-1
2021-07-21,8000.0,631.0713987759837,12206.87451017574,20206.874510175738,20000.0,-1
2021-07-22,8000.0,631.0713987759837,12322.5872229949,20322.587222994902,20000.0,-1
2021-07-23,8000.0,631.0713987759837,12299.95094536623,20299.950945366232,20000.0,-1
2021-07-26,8000.0,631.0713987759837,12133.922286708837,20133.92228670884,20000.0,-1
2021-07-27,8000.0,631.0713987759837,12079.838843849562,20079.83884384956,20000.0,-1
2021-07-28,8000.0,631.0713987759837,12265.359785816469,20265.35978581647,20000.0,-1
2021-07-29,8000.0,631.0713987759837,12365.352527039837,20365.35252703984,20000.0,-1
2021-07-30,8000.0,631.0713987759837,12262.844108891875,20262.844108891877,20000.0,-1
2021-08-02,12000.0,935.4629806619553,18411.70670446936,30411.70670446936,30000.0,-1
2021-08-03,12000.0,935.4629806619553,18472.307108589237,30472.307108589237,30000.0,-1
2021-08-04,12000.0,935.4629806619553,18900.20155903138,30900.20155903138,30000.0,-1
2021-08-05,12000.0,935.4629806619553,19238.604963983096,31238.604963983096,30000.0,-1
2021-08-06,12000.0,935.4629806619553,18985.96886634614,30985.96886634614,30000.0,-1
2021-08-09,12000.0,935.4629806619553,18919.78553134382,30919.78553134382,30000.0,-1
2021-08-10,12000.0,935.4629806619553,18585.10943307584,30585.10943307584,30000.0,-1
2021-08-11,12000.0,935.4629806619553,18364.163471393804,30364.163471393804,30000.0,-1
2021-08-12,12000.0,935.4629806619553,18556.204517673,30556.204517673,30000.0,-1
2021-08-13,12000.0,935.4629806619553,18820.029672377317,30820.029672377317,30000.0,-1
2021-08-16,12000.0,935.4629806619553,18598.154114341898,30598.154114341898,30000.0,-1
2021-08-17,12000.0,935.4629806619553,18139.493771536105,30139.493771536105,30000.0,-1
2021-08-18,12000.0,935.4629806619553,17749.826963841242,29749.826963841242,30000.0,-1
2021-08-19,12000.0,935.4629806619553,18456.45936423072,30456.45936423072,30000.0,-1
2021-08-20,12000.0,935.4629806619553,19405.477322813378,31405.477322813378,30000.0,-1
