,date,action,price,shares,cash_after,technical_state,commission
0,2021-06-14,immediate_buy,17.95664405822754,333.63753657613984,0.0,0,5.994005994005994
1,2021-07-01,immediate_buy,20.1423282623291,297.4338621998439,0.0,0,5.994005994005994
2,2021-08-02,immediate_buy,19.68191909790039,304.39158188597156,0.0,-1,5.994005994005994
3,2021-09-01,immediate_buy,22.367589950561523,267.8433618464654,0.0,-1,5.994005994005994
4,2021-09-20,reserve_buy,21.04393196105957,759.1750438840788,0.0,1,15.984015984015985
5,2021-10-01,immediate_buy,20.674148559570312,289.78269511313454,0.0,1,5.994005994005994
6,2021-11-01,immediate_buy,25.742509841918945,232.72829749513735,0.0,-1,5.994005994005994
7,2021-12-01,immediate_buy,31.33600616455078,191.18615363112272,0.0,-1,5.994005994005994
8,2022-01-03,immediate_buy,30.02614402770996,199.5264687744368,0.0,-1,5.994005994005994
9,2022-02-01,immediate_buy,24.56040954589844,243.92958421827723,0.0,-1,5.994005994005994
10,2022-03-01,immediate_buy,23.403060913085938,255.99260331847066,0.0,-1,5.994005994005994
11,2022-04-01,immediate_buy,26.632417678833008,224.95180726769567,0.0,-1,5.994005994005994
12,2022-05-02,immediate_buy,19.474809646606445,307.6287058757244,0.0,-1,5.994005994005994
13,2022-06-01,immediate_buy,18.26542091369629,327.9973955743482,0.0,-1,5.994005994005994
14,2022-07-01,immediate_buy,14.482792854309082,413.66403213998206,0.0,-1,5.994005994005994
15,2022-08-01,immediate_buy,18.38994407653809,325.77643867905783,0.0,-1,5.994005994005994
16,2022-09-01,immediate_buy,13.89841365814209,431.0571433634016,0.0,-1,5.994005994005994
17,2022-10-03,immediate_buy,12.481069564819336,480.00777959355395,0.0,-1,5.994005994005994
18,2022-11-01,immediate_buy,13.509519577026367,443.4658430748075,0.0,-1,5.994005994005994
19,2022-12-01,immediate_buy,17.097009658813477,350.41276856700256,0.0,-1,5.994005994005994
20,2022-12-27,reserve_buy,14.089693069458008,4252.051807819878,0.0,1,59.940059940059946
21,2023-01-03,immediate_buy,14.283263206481934,419.4427003237478,0.0,1,5.994005994005994
22,2023-02-01,immediate_buy,20.896570205688477,286.6982681746853,0.0,-1,5.994005994005994
23,2023-03-01,immediate_buy,22.647674560546875,264.5309333081899,0.0,-1,5.994005994005994
24,2023-04-03,immediate_buy,27.907739639282227,214.67200734268064,0.0,-1,5.994005994005994
25,2023-05-01,immediate_buy,28.85080337524414,207.654893031585,0.0,-1,5.994005994005994
26,2023-06-01,immediate_buy,39.688568115234375,150.95053243964168,0.0,-1,5.994005994005994
27,2023-07-03,immediate_buy,42.330528259277344,141.52931076282042,0.0,-1,5.994005994005994
28,2023-08-01,immediate_buy,46.41657257080078,129.07050557477766,0.0,-1,5.994005994005994
29,2023-08-09,reserve_buy,42.47126388549805,752.321758688516,0.0,1,31.96803196803197
30,2023-09-01,immediate_buy,48.414676666259766,123.74368479335017,0.0,-1,5.994005994005994
31,2023-10-02,immediate_buy,44.6986083984375,134.03125294994726,0.0,-1,5.994005994005994
32,2023-11-01,immediate_buy,42.24618911743164,141.81185602583977,0.0,-1,5.994005994005994
33,2023-12-01,immediate_buy,46.67791748046875,128.3478529492754,0.0,-1,5.994005994005994
34,2024-01-02,immediate_buy,48.08253479003906,124.59847457964574,0.0,-1,5.994005994005994
35,2024-02-01,immediate_buy,62.91516876220703,95.22362582233743,0.0,-1,5.994005994005994
36,2024-03-01,immediate_buy,82.13300323486328,72.94279099511351,0.0,-1,5.994005994005994
37,2024-04-01,immediate_buy,90.20690155029295,66.41410342002992,0.0,-1,5.994005994005994
38,2024-04-19,reserve_buy,76.06837463378906,420.0438893809235,0.0,1,31.96803196803197
