date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,4000.0,29.09717074138618,5991.010488761614,9991.010488761614,10000.0,0
2021-06-15,4000.0,29.09717074138618,5813.226757772241,9813.226757772241,10000.0,0
2021-06-16,4000.0,29.09717074138618,5866.6686560846065,9866.668656084606,10000.0,0
2021-06-17,4000.0,29.09717074138618,5980.438700240448,9980.438700240447,10000.0,0
2021-06-18,4000.0,29.09717074138618,6045.519289254333,10045.519289254333,10000.0,0
2021-06-21,4000.0,29.09717074138618,6021.465373555234,10021.465373555235,10000.0,0
2021-06-22,4000.0,29.09717074138618,6049.398852821504,10049.398852821505,10000.0,0
2021-06-23,4000.0,29.09717074138618,6368.110016924518,10368.110016924518,10000.0,0
2021-06-24,4000.0,29.09717074138618,6593.613090170262,10593.613090170262,10000.0,0
2021-06-25,4000.0,29.09717074138618,6516.505321313034,10516.505321313034,10000.0,0
2021-06-28,4000.0,29.09717074138618,6679.934489508833,10679.934489508832,10000.0,0
2021-06-29,4000.0,29.09717074138618,6602.729931356841,10602.72993135684,10000.0,0
2021-06-30,4000.0,29.09717074138618,6592.448954707556,10592.448954707557,10000.0,0
2021-07-01,8000.0,55.609195640151825,12566.19498600642,20566.19498600642,20000.0,0
2021-07-02,8000.0,55.609195640151825,12584.361143072156,20584.361143072158,20000.0,-1
2021-07-06,8000.0,55.609195640151825,12226.23778738494,20226.23778738494,20000.0,-1
2021-07-07,8000.0,55.609195640151825,11949.489210004092,19949.489210004092,20000.0,-1
2021-07-08,8000.0,55.609195640151825,12100.746290027624,20100.746290027622,20000.0,-1
2021-07-09,8000.0,55.609195640151825,12177.48725154031,20177.48725154031,20000.0,-1
2021-07-12,8000.0,55.609195640151825,12710.408426915437,20710.408426915437,20000.0,-1
2021-07-13,8000.0,55.609195640151825,12392.32375997145,20392.32375997145,20000.0,-1
2021-07-14,8000.0,55.609195640151825,12111.312172963891,20111.31217296389,20000.0,-1
2021-07-15,8000.0,55.609195640151825,12059.781007631456,20059.781007631456,20000.0,-1
2021-07-16,8000.0,55.609195640151825,11941.51897723664,19941.51897723664,20000.0,-1
2021-07-19,8000.0,55.609195640151825,11978.591208644082,19978.59120864408,20000.0,-1
2021-07-20,8000.0,55.609195640151825,12243.291522949756,20243.291522949756,20000.0,-1
2021-07-21,8000.0,55.609195640151825,12146.71619638445,20146.71619638445,20000.0,-1
2021-07-22,8000.0,55.609195640151825,12034.94201861818,20034.94201861818,20000.0,-1
2021-07-23,8000.0,55.609195640151825,11925.948470339714,19925.948470339714,20000.0,-1
2021-07-26,8000.0,55.609195640151825,12189.906321782455,20189.906321782455,20000.0,-1
2021-07-27,8000.0,55.609195640151825,11951.899032324924,19951.899032324924,20000.0,-1
2021-07-28,8000.0,55.609195640151825,11992.679335402097,19992.6793354021,20000.0,-1
2021-07-29,8000.0,55.609195640151825,12555.62995159914,20555.62995159914,20000.0,-1
2021-07-30,8000.0,55.609195640151825,12738.213024735514,20738.213024735516,20000.0,-1
2021-08-02,12000.0,80.93509517967779,19145.736694312298,31145.736694312298,30000.0,-1
2021-08-03,12000.0,80.93509517967779,19147.624965804756,31147.624965804756,30000.0,-1
2021-08-04,12000.0,80.93509517967779,19179.4588273228,31179.4588273228,30000.0,-1
2021-08-05,12000.0,80.93509517967779,19279.549566138525,31279.549566138525,30000.0,-1
2021-08-06,12000.0,80.93509517967779,18860.57558969097,30860.57558969097,30000.0,-1
2021-08-09,12000.0,80.93509517967779,19256.077696952354,31256.077696952354,30000.0,-1
2021-08-10,12000.0,80.93509517967779,19154.369145412547,31154.369145412547,30000.0,-1
2021-08-11,12000.0,80.93509517967779,19095.826554288626,31095.826554288626,30000.0,-1
2021-08-12,12000.0,80.93509517967779,19485.124164507426,31485.124164507426,30000.0,-1
2021-08-13,12000.0,80.93509517967779,19348.074432261492,31348.074432261492,30000.0,-1
2021-08-16,12000.0,80.93509517967779,18511.744292090458,30511.744292090458,30000.0,-1
2021-08-17,12000.0,80.93509517967779,17959.767585150257,29959.767585150257,30000.0,-1
2021-08-18,12000.0,80.93509517967779,18587.823479154802,30587.823479154802,30000.0,-1
2021-08-19,12000.0,80.93509517967779,18169.119961475626,30169.119961475626,30000.0,-1
2021-08-20,12000.0,80.93509517967779,18352.30205578877,30352.30205578877,30000.0,-1
2021-08-23,12000.0,80.93509517967779,19054.819324133576,31054.819324133576,30000.0,-1
2021-08-24,12000.0,80.93509517967779,19113.90159782271,31113.90159782271,30000.0,-1
2021-08-25,12000.0,80.93509517967779,19187.01314826418,31187.01314826418,30000.0,-1
2021-08-26,12000.0,80.93509517967779,18916.150544192016,30916.150544192016,30000.0,-1
2021-08-27,12000.0,80.93509517967779,19206.43801569706,31206.43801569706,30000.0,-1
2021-08-30,12000.0,80.93509517967779,19718.757316381,31718.757316381,30000.0,-1
2021-08-31,12000.0,80.93509517967779,19848.52318645394,31848.52318645394,30000.0,-1
2021-09-01,16000.0,105.41851163046516,25795.55880843763,41795.55880843763,40000.0,-1
2021-09-02,16000.0,105.41851163046516,25735.821759084287,41735.82175908428,40000.0,-1
2021-09-03,16000.0,105.41851163046516,25777.285580103246,41777.28558010324,40000.0,-1
2021-09-07,16000.0,105.41851163046516,26457.23465840798,42457.23465840798,40000.0,-1
2021-09-08,16000.0,105.41851163046516,26490.617079853706,42490.617079853706,40000.0,-1
2021-09-09,16000.0,105.41851163046516,26525.405381718818,42525.40538171882,40000.0,-1
2021-09-10,16000.0,105.41851163046516,25872.16320570596,41872.16320570596,40000.0,-1
2021-09-13,16000.0,105.41851163046516,26108.651916664814,42108.651916664814,40000.0,-1
2021-09-14,16000.0,105.41851163046516,26161.008898095784,42161.00889809578,40000.0,-1
2021-09-15,16000.0,105.41851163046516,26559.490743374237,42559.490743374234,40000.0,-1
2021-09-16,16000.0,105.41851163046516,26600.253232742332,42600.25323274233,40000.0,-1
2021-09-17,16000.0,105.41851163046516,26688.10145624811,42688.101456248114,40000.0,-1
2021-09-20,16000.0,105.41851163046516,25657.811481396562,41657.811481396566,40000.0,-1
2021-09-21,16000.0,105.41851163046516,25981.44708421033,41981.44708421033,40000.0,-1
2021-09-22,16000.0,105.41851163046516,26422.79863092713,42422.79863092713,40000.0,-1
2021-09-23,16000.0,105.41851163046516,26482.53568028047,42482.535680280474,40000.0,-1
2021-09-24,16000.0,105.41851163046516,27211.6809219108,43211.680921910796,40000.0,-1
2021-09-27,16000.0,105.41851163046516,27807.99941796792,43807.99941796792,40000.0,-1
2021-09-28,16000.0,105.41851163046516,27323.07362104425,43323.07362104425,40000.0,-1
2021-09-29,16000.0,105.41851163046516,27454.846760582328,43454.846760582324,40000.0,-1
2021-09-30,16000.0,105.41851163046516,27249.98392482438,43249.98392482438,40000.0,-1
2021-10-01,20000.0,128.60293763914788,33231.85779941881,53231.85779941881,50000.0,-1
2021-10-04,20000.0,128.60293763914788,33502.35254026248,53502.35254026248,50000.0,-1
2021-10-05,20000.0,128.60293763914788,33462.05423204474,53462.05423204474,50000.0,-1
2021-10-06,20000.0,128.60293763914788,33554.648504130935,53554.648504130935,50000.0,-1
2021-10-07,20000.0,128.60293763914788,34020.194435090816,54020.194435090816,50000.0,-1
2021-10-08,20000.0,128.60293763914788,33672.105435212005,53672.105435212005,50000.0,-1
2021-10-11,20000.0,128.60293763914788,33948.60489085633,53948.60489085633,50000.0,-1
2021-10-12,20000.0,128.60293763914788,34539.31969053341,54539.31969053341,50000.0,-1
2021-10-13,20000.0,128.60293763914788,34769.088336287925,54769.088336287925,50000.0,-1
2021-10-14,20000.0,128.60293763914788,35079.453598477914,55079.453598477914,50000.0,-1
2021-10-15,20000.0,128.60293763914788,36138.71276186501,56138.71276186501,50000.0,-1
2021-10-18,20000.0,128.60293763914788,37299.56934488909,57299.56934488909,50000.0,-1
2021-10-19,20000.0,128.60293763914788,37049.21983350409,57049.21983350409,50000.0,-1
2021-10-20,20000.0,128.60293763914788,37114.808587588115,57114.808587588115,50000.0,-1
2021-10-21,20000.0,128.60293763914788,38323.67541646607,58323.67541646607,50000.0,-1
2021-10-22,20000.0,128.60293763914788,38995.838481671264,58995.838481671264,50000.0,-1
2021-10-25,20000.0,128.60293763914788,43933.33492834167,63933.33492834167,50000.0,-1
2021-10-26,20000.0,128.60293763914788,43657.69497109038,63657.69497109038,50000.0,-1
2021-10-27,20000.0,128.60293763914788,44490.615632994704,64490.615632994704,50000.0,-1
2021-10-28,20000.0,128.60293763914788,46170.169684589964,66170.16968458996,50000.0,-1
2021-10-29,20000.0,128.60293763914788,47754.558818220314,67754.5588182203,50000.0,-1
2021-11-01,24000.0,143.47401142505973,57800.41977375826,81800.41977375826,60000.0,-1
2021-11-02,24000.0,143.47401142505973,56050.51233723022,80050.51233723022,60000.0,-1
