date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-18,0.0,48.05803184263027,9985.017481269357,9985.017481269357,10000.0,1
2021-06-21,0.0,48.05803184263027,9945.289087849887,9945.289087849887,10000.0,1
2021-06-22,0.0,48.05803184263027,9991.425121074055,9991.425121074055,10000.0,1
2021-06-23,0.0,48.05803184263027,10517.821017403554,10517.821017403554,10000.0,1
2021-06-24,0.0,48.05803184263027,10890.270764183939,10890.270764183939,10000.0,1
2021-06-25,0.0,48.05803184263027,10762.916539816548,10762.916539816548,10000.0,1
2021-06-28,0.0,48.05803184263027,11032.84258310697,11032.84258310697,10000.0,1
2021-06-29,0.0,48.05803184263027,10905.328497732777,10905.328497732777,10000.0,1
2021-06-30,0.0,48.05803184263027,10888.348032258109,10888.348032258109,10000.0,1
2021-07-01,0.0,92.24474000723967,20844.850856419907,20844.850856419907,20000.0,1
2021-07-02,0.0,92.24474000723967,20874.98494514694,20874.98494514694,20000.0,1
2021-07-06,0.0,92.24474000723967,20280.928594293437,20280.928594293437,20000.0,1
2021-07-07,0.0,92.24474000723967,19821.857027549948,19821.857027549948,20000.0,1
2021-07-08,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-09,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-12,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-13,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-14,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-15,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-16,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-19,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-20,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-21,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-22,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-23,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-26,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-27,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-28,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-29,20042.663725105038,0.0,0.0,20042.663725105038,20000.0,-1
2021-07-30,0.0,87.36598452638667,20012.6347666377,20012.6347666377,20000.0,1
2021-08-02,0.0,129.57581709226326,30652.023951925374,30652.023951925374,30000.0,1
2021-08-03,0.0,129.57581709226326,30655.04704494805,30655.04704494805,30000.0,1
2021-08-04,0.0,129.57581709226326,30706.012557600443,30706.012557600443,30000.0,1
2021-08-05,0.0,129.57581709226326,30866.256259502858,30866.256259502858,30000.0,1
2021-08-06,0.0,129.57581709226326,30195.48549907978,30195.48549907978,30000.0,1
2021-08-09,0.0,129.57581709226326,30828.678165330868,30828.678165330868,30000.0,1
2021-08-10,0.0,129.57581709226326,30665.84437064905,30665.84437064905,30000.0,1
2021-08-11,0.0,129.57581709226326,30572.118601095804,30572.118601095804,30000.0,1
2021-08-12,0.0,129.57581709226326,31195.37796496238,31195.37796496238,30000.0,1
2021-08-13,0.0,129.57581709226326,30975.963494656033,30975.963494656033,30000.0,1
2021-08-16,29592.57136699542,0.0,0.0,29592.57136699542,30000.0,-1
2021-08-17,29592.57136699542,0.0,0.0,29592.57136699542,30000.0,-1
2021-08-18,29592.57136699542,0.0,0.0,29592.57136699542,30000.0,-1
2021-08-19,29592.57136699542,0.0,0.0,29592.57136699542,30000.0,-1
2021-08-20,29592.57136699542,0.0,0.0,29592.57136699542,30000.0,-1
2021-08-23,29592.57136699542,0.0,0.0,29592.57136699542,30000.0,-1
2021-08-24,29592.57136699542,0.0,0.0,29592.57136699542,30000.0,-1
2021-08-25,29592.57136699542,0.0,0.0,29592.57136699542,30000.0,-1
2021-08-26,29592.57136699542,0.0,0.0,29592.57136699542,30000.0,-1
2021-08-27,29592.57136699542,0.0,0.0,29592.57136699542,30000.0,-1
2021-08-30,0.0,121.27991193145968,29548.23424151603,29548.23424151603,30000.0,1
2021-08-31,0.0,121.27991193145968,29742.686268281628,29742.686268281628,30000.0,1
2021-09-01,0.0,162.08560601610532,39661.808133339204,39661.808133339204,40000.0,1
2021-09-02,0.0,162.08560601610532,39569.95978814542,39569.95978814542,40000.0,1
2021-09-03,0.0,162.08560601610532,39633.71223971825,39633.71223971825,40000.0,1
2021-09-07,0.0,162.08560601610532,40679.16390387611,40679.16390387611,40000.0,1
2021-09-08,0.0,162.08560601610532,40730.490847565874,40730.490847565874,40000.0,1
2021-09-09,0.0,162.08560601610532,40783.9793943388,40783.9793943388,40000.0,1
2021-09-10,0.0,162.08560601610532,39779.59076907078,39779.59076907078,40000.0,1
2021-09-13,0.0,162.08560601610532,40143.20258106544,40143.20258106544,40000.0,1
2021-09-14,0.0,162.08560601610532,40223.703746687665,40223.703746687665,40000.0,1
2021-09-15,0.0,162.08560601610532,40836.38713957014,40836.38713957014,40000.0,1
2021-09-16,0.0,162.08560601610532,40899.06126283146,40899.06126283146,40000.0,1
2021-09-17,0.0,162.08560601610532,41034.13177676819,41034.13177676819,40000.0,1
2021-09-20,39390.86025101445,0.0,0.0,39390.86025101445,40000.0,-1
2021-09-21,39390.86025101445,0.0,0.0,39390.86025101445,40000.0,-1
2021-09-22,39390.86025101445,0.0,0.0,39390.86025101445,40000.0,-1
2021-09-23,39390.86025101445,0.0,0.0,39390.86025101445,40000.0,-1
2021-09-24,39390.86025101445,0.0,0.0,39390.86025101445,40000.0,-1
2021-09-27,0.0,149.10473304956776,39331.842820861755,39331.842820861755,40000.0,1
2021-09-28,0.0,149.10473304956776,38645.96013877067,38645.96013877067,40000.0,1
2021-09-29,0.0,149.10473304956776,38832.34105508263,38832.34105508263,40000.0,1
2021-09-30,0.0,149.10473304956776,38542.58152456922,38542.58152456922,40000.0,1
2021-10-01,0.0,187.74544306403894,48514.676110273984,48514.676110273984,50000.0,1
2021-10-04,0.0,187.74544306403894,48909.56720606438,48909.56720606438,50000.0,1
2021-10-05,0.0,187.74544306403894,48850.73632809253,48850.73632809253,50000.0,1
2021-10-06,48912.4588993223,0.0,0.0,48912.4588993223,50000.0,-1
2021-10-07,0.0,184.62156296479645,48839.17571616021,48839.17571616021,50000.0,1
2021-10-08,48266.97632972599,0.0,0.0,48266.97632972599,50000.0,-1
2021-10-11,48266.97632972599,0.0,0.0,48266.97632972599,50000.0,-1
2021-10-12,0.0,179.44693008371033,48194.660242032835,48194.660242032835,50000.0,1
2021-10-13,0.0,179.44693008371033,48515.269388814784,48515.269388814784,50000.0,1
2021-10-14,0.0,179.44693008371033,48948.339538898705,48948.339538898705,50000.0,1
2021-10-15,0.0,179.44693008371033,50426.38357523487,50426.38357523487,50000.0,1
2021-10-18,0.0,179.44693008371033,52046.19221969716,52046.19221969716,50000.0,1
2021-10-19,0.0,179.44693008371033,51696.86543066183,51696.86543066183,50000.0,1
2021-10-20,0.0,179.44693008371033,51788.38511741594,51788.38511741594,50000.0,1
2021-10-21,0.0,179.44693008371033,53475.18516494568,53475.18516494568,50000.0,1
2021-10-22,0.0,179.44693008371033,54413.09218931844,54413.09218931844,50000.0,1
2021-10-25,0.0,179.44693008371033,61302.65937899141,61302.65937899141,50000.0,1
2021-10-26,0.0,179.44693008371033,60918.04340485294,60918.04340485294,50000.0,1
2021-10-27,0.0,179.44693008371033,62080.26456811606,62080.26456811606,50000.0,1
2021-10-28,0.0,179.44693008371033,64423.84103690646,64423.84103690646,50000.0,1
2021-10-29,0.0,179.44693008371033,66634.62852984633,66634.62852984633,50000.0,1
2021-11-01,0.0,204.23205306023004,82277.60749760365,82277.60749760365,60000.0,1
2021-11-02,0.0,204.23205306023004,79786.65331797399,79786.65331797399,60000.0,1
2021-11-03,0.0,204.23205306023004,82636.37231200346,82636.37231200346,60000.0,1
2021-11-04,0.0,204.23205306023004,83729.01504240921,83729.01504240921,60000.0,1
2021-11-05,0.0,204.23205306023004,83196.65173637468,83196.65173637468,60000.0,1
2021-11-08,0.0,204.23205306023004,79169.87476149244,79169.87476149244,60000.0,1
2021-11-09,0.0,204.23205306023004,69677.1666914926,69677.1666914926,60000.0,1
2021-11-10,72594.1893927378,0.0,0.0,72594.1893927378,60000.0,-1
2021-11-11,72594.1893927378,0.0,0.0,72594.1893927378,60000.0,-1
2021-11-12,72594.1893927378,0.0,0.0,72594.1893927378,60000.0,-1
2021-11-15,72594.1893927378,0.0,0.0,72594.1893927378,60000.0,-1
