date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-15,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-16,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-17,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-18,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-21,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-22,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-23,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-24,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-25,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-28,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-29,10000.0,0.0,0.0,10000.0,10000.0,0
2021-06-30,10000.0,0.0,0.0,10000.0,10000.0,0
2021-07-01,20000.0,0.0,0.0,20000.0,20000.0,0
2021-07-02,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-06,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-07,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-08,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-09,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-12,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-13,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-14,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-15,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-16,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-19,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-20,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-21,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-22,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-23,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-26,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-27,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-28,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-29,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-07-30,20000.0,0.0,0.0,20000.0,20000.0,-1
2021-08-02,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-03,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-04,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-05,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-06,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-09,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-10,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-11,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-12,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-13,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-16,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-17,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-18,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-19,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-20,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-23,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-24,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-25,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-26,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-27,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-30,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-08-31,30000.0,0.0,0.0,30000.0,30000.0,-1
2021-09-01,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-02,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-03,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-07,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-08,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-09,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-10,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-13,40000.0,0.0,0.0,40000.0,40000.0,-1
2021-09-14,0.0,881.8344639014729,39940.06992507743,39940.06992507743,40000.0,1
2021-09-15,0.0,881.8344639014729,40009.2727242694,40009.2727242694,40000.0,1
2021-09-16,0.0,881.8344639014729,40142.1177438538,40142.1177438538,40000.0,1
2021-09-17,0.0,881.8344639014729,40059.08918612211,40059.08918612211,40000.0,1
2021-09-20,0.0,881.8344639014729,39508.28576719854,39508.28576719854,40000.0,1
2021-09-21,0.0,881.8344639014729,39585.784021514344,39585.784021514344,40000.0,1
2021-09-22,0.0,881.8344639014729,39494.43982506972,39494.43982506972,40000.0,1
2021-09-23,0.0,881.8344639014729,39516.59131411693,39516.59131411693,40000.0,1
2021-09-24,0.0,881.8344639014729,39627.29493644868,39627.29493644868,40000.0,1
2021-09-27,0.0,881.8344639014729,39372.65541231709,39372.65541231709,40000.0,1
2021-09-28,0.0,881.8344639014729,38888.28627694604,38888.28627694604,40000.0,1
2021-09-29,0.0,881.8344639014729,38871.68191097231,38871.68191097231,40000.0,1
2021-09-30,0.0,881.8344639014729,38578.28653181979,38578.28653181979,40000.0,1
2021-10-01,0.0,1113.9554403116088,47918.394609944524,47918.394609944524,50000.0,1
2021-10-04,0.0,1113.9554403116088,47456.866974857534,47456.866974857534,50000.0,1
2021-10-05,0.0,1113.9554403116088,47768.042241059076,47768.042241059076,50000.0,1
2021-10-06,0.0,1113.9554403116088,48117.69584936276,48117.69584936276,50000.0,1
2021-10-07,0.0,1113.9554403116088,48684.11149307559,48684.11149307559,50000.0,1
2021-10-08,0.0,1113.9554403116088,48830.953855271204,48830.953855271204,50000.0,1
2021-10-11,0.0,1113.9554403116088,48785.50224321992,48785.50224321992,50000.0,1
2021-10-12,0.0,1113.9554403116088,48733.06036360838,48733.06036360838,50000.0,1
2021-10-13,0.0,1113.9554403116088,48379.92649443428,48379.92649443428,50000.0,1
2021-10-14,0.0,1113.9554403116088,48904.38778457733,48904.38778457733,50000.0,-1
2021-10-15,0.0,1113.9554403116088,49142.141869681065,49142.141869681065,50000.0,-1
2021-10-18,0.0,1113.9554403116088,49537.247090036035,49537.247090036035,50000.0,-1
2021-10-19,0.0,1113.9554403116088,50589.666928803636,50589.666928803636,50000.0,-1
2021-10-20,0.0,1113.9554403116088,51047.69305600635,51047.69305600635,50000.0,-1
2021-10-21,0.0,1113.9554403116088,51330.898753161375,51330.898753161375,50000.0,-1
2021-10-22,0.0,1113.9554403116088,51865.84756934617,51865.84756934617,50000.0,-1
2021-10-25,0.0,1113.9554403116088,52467.24004727685,52467.24004727685,50000.0,-1
2021-10-26,0.0,1113.9554403116088,52009.19692246305,52009.19692246305,50000.0,-1
2021-10-27,0.0,1113.9554403116088,51582.6333733856,51582.6333733856,50000.0,-1
2021-10-28,0.0,1113.9554403116088,51904.30466443444,51904.30466443444,50000.0,-1
2021-10-29,0.0,1113.9554403116088,52243.470746696374,52243.470746696374,50000.0,-1
2021-11-01,10000.0,1113.9554403116088,52372.835315289994,62372.835315289994,60000.0,-1
2021-11-02,10000.0,1113.9554403116088,52348.35450591944,62348.35450591944,60000.0,-1
2021-11-03,10000.0,1113.9554403116088,52509.19440084663,62509.19440084663,60000.0,-1
2021-11-04,10000.0,1113.9554403116088,52893.79084814599,62893.79084814599,60000.0,-1
2021-11-05,10000.0,1113.9554403116088,52526.6764438514,62526.6764438514,60000.0,-1
2021-11-08,10000.0,1113.9554403116088,52191.01611887653,62191.01611887653,60000.0,-1
2021-11-09,10000.0,1113.9554403116088,52372.835315289994,62372.835315289994,60000.0,-1
2021-11-10,10000.0,1113.9554403116088,51900.82015416124,61900.82015416124,60000.0,-1
2021-11-11,10000.0,1113.9554403116088,51921.790956841985,61921.790956841985,60000.0,-1
2021-11-12,10000.0,1113.9554403116088,51663.05757025197,61663.05757025197,60000.0,-1
2021-11-15,10000.0,1113.9554403116088,51365.86283917091,61365.86283917091,60000.0,-1
2021-11-16,0.0,1336.1541180604436,60043.21160535585,60043.21160535585,60000.0,1
2021-11-17,0.0,1336.1541180604436,59527.3826370943,59527.3826370943,60000.0,1
2021-11-18,0.0,1336.1541180604436,60039.03204611813,60039.03204611813,60000.0,1
2021-11-19,0.0,1336.1541180604436,59716.105027747166,59716.105027747166,60000.0,1
2021-11-22,0.0,1336.1541180604436,60718.42959425438,60718.42959425438,60000.0,1
2021-11-23,0.0,1336.1541180604436,61150.40742956529,61150.40742956529,60000.0,1
2021-11-24,0.0,1336.1541180604436,61456.54485265697,61456.54485265697,60000.0,1
2021-11-26,0.0,1336.1541180604436,60768.75250688107,60768.75250688107,60000.0,1
2021-11-29,0.0,1336.1541180604436,59816.75595002401,59816.75595002401,60000.0,1
