date,cash,shares,position_value,equity,total_contributed,technical_state
2021-06-14,4000.0,136.29444994502032,5991.010488761614,9991.010488761614,10000.0,0
2021-06-15,4000.0,136.29444994502032,5967.143466343683,9967.143466343683,10000.0,0
2021-06-16,4000.0,136.29444994502032,5845.66783511026,9845.66783511026,10000.0,0
2021-06-17,4000.0,136.29444994502032,5869.9627533881185,9869.962753388118,10000.0,0
2021-06-18,4000.0,136.29444994502032,5761.277724888678,9761.277724888678,10000.0,0
2021-06-21,4000.0,136.29444994502032,5813.7025065997095,9813.70250659971,10000.0,0
2021-06-22,4000.0,136.29444994502032,5840.553361751689,9840.553361751688,10000.0,0
2021-06-23,4000.0,136.29444994502032,5794.947357930021,9794.947357930021,10000.0,0
2021-06-24,4000.0,136.29444994502032,5835.438888393119,9835.438888393119,10000.0,0
2021-06-25,4000.0,136.29444994502032,5904.488178149315,9904.488178149315,10000.0,0
2021-06-28,4000.0,136.29444994502032,5886.160405417489,9886.16040541749,10000.0,0
2021-06-29,4000.0,136.29444994502032,5852.062356594153,9852.062356594153,10000.0,0
2021-06-30,4000.0,136.29444994502032,6010.6162299305015,10010.616229930502,10000.0,0
2021-07-01,8000.0,273.8019669489348,11929.1693397964,19929.1693397964,20000.0,0
2021-07-02,8000.0,273.8019669489348,11996.810366032287,19996.81036603229,20000.0,-1
2021-07-06,8000.0,273.8019669489348,11982.255654082239,19982.25565408224,20000.0,-1
2021-07-07,8000.0,273.8019669489348,11962.561097316533,19962.56109731653,20000.0,-1
2021-07-08,8000.0,273.8019669489348,11952.285585571677,19952.285585571677,20000.0,-1
2021-07-09,8000.0,273.8019669489348,12013.082189316809,20013.08218931681,20000.0,-1
2021-07-12,8000.0,273.8019669489348,11991.673654631473,19991.67365463147,20000.0,-1
2021-07-13,8000.0,273.8019669489348,12037.055946287705,20037.055946287706,20000.0,-1
2021-07-14,8000.0,273.8019669489348,12120.112329084104,20120.112329084106,20000.0,-1
2021-07-15,8000.0,273.8019669489348,12129.532418576568,20129.532418576568,20000.0,-1
2021-07-16,8000.0,273.8019669489348,12120.968795808114,20120.968795808112,20000.0,-1
2021-07-19,8000.0,273.8019669489348,12092.709571802336,20092.709571802334,20000.0,-1
2021-07-20,8000.0,273.8019669489348,12147.511952951032,20147.511952951034,20000.0,-1
2021-07-21,8000.0,273.8019669489348,12087.575993816365,20087.575993816365,20000.0,-1
2021-07-22,8000.0,273.8019669489348,12096.137527641593,20096.137527641593,20000.0,-1
2021-07-23,8000.0,273.8019669489348,12195.462600307668,20195.46260030767,20000.0,-1
2021-07-26,8000.0,273.8019669489348,12212.586712429738,20212.586712429737,20000.0,-1
2021-07-27,8000.0,273.8019669489348,12213.441090210516,20213.441090210516,20000.0,-1
2021-07-28,8000.0,273.8019669489348,12163.779598349092,20163.779598349094,20000.0,-1
2021-07-29,8000.0,273.8019669489348,12179.192865966377,20179.192865966375,20000.0,-1
2021-07-30,8000.0,273.8019669489348,12205.73706758091,20205.73706758091,20000.0,-1
2021-08-02,12000.0,408.50559580423857,18168.488332336747,30168.488332336747,30000.0,-1
2021-08-03,12000.0,408.50559580423857,18372.8891711309,30372.8891711309,30000.0,-1
2021-08-04,12000.0,408.50559580423857,18247.69800120092,30247.69800120092,30000.0,-1
2021-08-05,12000.0,408.50559580423857,18586.2332381291,30586.2332381291,30000.0,-1
2021-08-06,12000.0,408.50559580423857,18553.014420281812,30553.014420281812,30000.0,-1
2021-08-09,12000.0,408.50559580423857,18597.729002976845,30597.729002976845,30000.0,-1
2021-08-10,12000.0,408.50559580423857,18993.752414094834,30993.752414094834,30000.0,-1
2021-08-11,12000.0,408.50559580423857,19163.65972504503,31163.65972504503,30000.0,-1
2021-08-12,12000.0,408.50559580423857,19112.370568418497,31112.370568418497,30000.0,-1
2021-08-13,12000.0,408.50559580423857,19172.6310031023,31172.6310031023,30000.0,-1
2021-08-16,12000.0,408.50559580423857,19329.061917901847,31329.061917901847,30000.0,-1
2021-08-17,12000.0,408.50559580423857,19322.64629313864,31322.64629313864,30000.0,-1
2021-08-18,12000.0,408.50559580423857,19117.4990165836,31117.4990165836,30000.0,-1
2021-08-19,12000.0,408.50559580423857,19247.000513959545,31247.000513959545,30000.0,-1
2021-08-20,12000.0,408.50559580423857,19418.81521492921,31418.81521492921,30000.0,-1
2021-08-23,12000.0,408.50559580423857,19290.594660850657,31290.594660850657,30000.0,-1
2021-08-24,12000.0,408.50559580423857,19091.853659107746,31091.853659107746,30000.0,-1
2021-08-25,12000.0,408.50559580423857,19099.543993867625,31099.543993867625,30000.0,-1
2021-08-26,12000.0,408.50559580423857,18893.118890665555,30893.118890665555,30000.0,-1
2021-08-27,12000.0,408.50559580423857,18786.689955894424,30786.689955894424,30000.0,-1
2021-08-30,12000.0,408.50559580423857,18937.992422528874,30937.992422528874,30000.0,-1
2021-08-31,12000.0,408.50559580423857,18989.278462505044,30989.278462505044,30000.0,-1
2021-09-01,16000.0,537.6658928465044,24939.25824929551,40939.25824929551,40000.0,-1
2021-09-02,16000.0,537.6658928465044,25070.891471253653,41070.89147125365,40000.0,-1
2021-09-03,16000.0,537.6658928465044,25187.33679672541,41187.33679672541,40000.0,-1
2021-09-07,16000.0,537.6658928465044,24853.19281886176,40853.19281886176,40000.0,-1
2021-09-08,16000.0,537.6658928465044,24885.260713738833,40885.26071373883,40000.0,-1
2021-09-09,16000.0,537.6658928465044,24709.749751127973,40709.74975112797,40000.0,-1
2021-09-10,16000.0,537.6658928465044,24620.302167918257,40620.30216791826,40000.0,-1
2021-09-13,16000.0,537.6658928465044,24480.235099862603,40480.235099862606,40000.0,-1
2021-09-14,0.0,890.3996784070936,40328.00584761356,40328.00584761356,40000.0,1
2021-09-15,0.0,890.3996784070936,40397.88081016922,40397.88081016922,40000.0,1
2021-09-16,0.0,890.3996784070936,40532.0161468543,40532.0161468543,40000.0,1
2021-09-17,0.0,890.3996784070936,40448.18113685047,40448.18113685047,40000.0,1
2021-09-20,0.0,890.3996784070936,39892.02779157833,39892.02779157833,40000.0,1
2021-09-21,0.0,890.3996784070936,39970.278782602894,39970.278782602894,40000.0,1
2021-09-22,0.0,890.3996784070936,39878.04736449885,39878.04736449885,40000.0,1
2021-09-23,0.0,890.3996784070936,39900.41400986289,39900.41400986289,40000.0,1
2021-09-24,0.0,890.3996784070936,40012.1928909996,40012.1928909996,40000.0,1
2021-09-27,0.0,890.3996784070936,39755.0800657723,39755.0800657723,40000.0,1
2021-09-28,0.0,890.3996784070936,39266.006276960965,39266.006276960965,40000.0,1
2021-09-29,0.0,890.3996784070936,39249.24063360229,39249.24063360229,40000.0,1
2021-09-30,0.0,890.3996784070936,38952.995519652286,38952.995519652286,40000.0,1
2021-10-01,0.0,1122.5206548172296,48286.83962466104,48286.83962466104,50000.0,1
2021-10-04,0.0,1122.5206548172296,47821.76329897859,47821.76329897859,50000.0,1
2021-10-05,0.0,1122.5206548172296,48135.33119490967,48135.33119490967,50000.0,1
2021-10-06,0.0,1122.5206548172296,48487.67329329959,48487.67329329959,50000.0,1
2021-10-07,0.0,1122.5206548172296,49058.44411255371,49058.44411255371,50000.0,1
2021-10-08,0.0,1122.5206548172296,49206.415547138764,49206.415547138764,50000.0,1
2021-10-11,0.0,1122.5206548172296,49160.61445718849,49160.61445718849,50000.0,1
2021-10-12,0.0,1122.5206548172296,49107.76935144089,49107.76935144089,50000.0,1
2021-10-13,0.0,1122.5206548172296,48751.92023241996,48751.92023241996,50000.0,1
2021-10-14,0.0,1122.5206548172296,49280.414110660706,49280.414110660706,50000.0,-1
2021-10-15,0.0,1122.5206548172296,49519.996289299255,49519.996289299255,50000.0,-1
2021-10-18,0.0,1122.5206548172296,49918.13947763945,49918.13947763945,50000.0,-1
2021-10-19,0.0,1122.5206548172296,50978.65138305784,50978.65138305784,50000.0,-1
2021-10-20,0.0,1122.5206548172296,51440.19927772692,51440.19927772692,50000.0,-1
2021-10-21,0.0,1122.5206548172296,51725.582546315745,51725.582546315745,50000.0,-1
2021-10-22,0.0,1122.5206548172296,52264.644589290714,52264.644589290714,50000.0,-1
2021-10-25,0.0,1122.5206548172296,52870.66117999031,52870.66117999031,50000.0,-1
2021-10-26,0.0,1122.5206548172296,52409.096157015345,52409.096157015345,50000.0,-1
2021-10-27,0.0,1122.5206548172296,51979.25275654894,51979.25275654894,50000.0,-1
2021-10-28,0.0,1122.5206548172296,52303.39738136719,52303.39738136719,50000.0,-1
2021-10-29,0.0,1122.5206548172296,52645.17131502288,52645.17131502288,50000.0,-1
2021-11-01,4000.0,1249.9477587107542,58766.541057838,62766.541057838,60000.0,-1
2021-11-02,4000.0,1249.9477587107542,58739.071617233094,62739.071617233094,60000.0,-1
2021-11-03,4000.0,1249.9477587107542,58919.54693868696,62919.54693868696,60000.0,-1
2021-11-04,4000.0,1249.9477587107542,59351.09514062893,63351.09514062893,60000.0,-1
2021-11-05,4000.0,1249.9477587107542,58939.16319951817,62939.16319951817,60000.0,-1
2021-11-08,4000.0,1249.9477587107542,58562.52526975223,62562.52526975223,60000.0,-1
2021-11-09,4000.0,1249.9477587107542,58766.541057838,62766.541057838,60000.0,-1
2021-11-10,4000.0,1249.9477587107542,58236.90201539539,62236.90201539539,60000.0,-1
2021-11-11,4000.0,1249.9477587107542,58260.43294568272,62260.43294568272,60000.0,-1
2021-11-12,4000.0,1249.9477587107542,57970.11323901531,61970.11323901531,60000.0,-1
2021-11-15,4000.0,1249.9477587107542,57636.63680488478,61636.63680488478,60000.0,-1
2021-11-16,0.0,1338.8272298102881,60163.33413633578,60163.33413633578,60000.0,1
2021-11-17,0.0,1338.8272298102881,59646.47319993722,59646.47319993722,60000.0,1
2021-11-18,0.0,1338.8272298102881,60159.14621546616,60159.14621546616,60000.0,1
2021-11-19,0.0,1338.8272298102881,59835.57314886207,59835.57314886207,60000.0,1
2021-11-22,0.0,1338.8272298102881,60839.90296726327,60839.90296726327,60000.0,1
2021-11-23,0.0,1338.8272298102881,61272.7450180203,61272.7450180203,60000.0,1
2021-11-24,0.0,1338.8272298102881,61579.49490005791,61579.49490005791,60000.0,1
2021-11-26,0.0,1338.8272298102881,60890.326555977554,60890.326555977554,60000.0,1
2021-11-29,0.0,1338.8272298102881,59936.42543351121,59936.42543351121,60000.0,1
2021-11-30,0.0,1338.8272298102881,59095.98632328801,59095.98632328801,60000.0,1
2021-12-01,0.0,1570.7958986895346,67614.40923767979,67614.40923767979,70000.0,1
2021-12-02,0.0,1570.7958986895346,66791.05126629295,66791.05126629295,70000.0,1
2021-12-03,0.0,1570.7958986895346,67796.8390515821,67796.8390515821,70000.0,1
2021-12-06,0.0,1570.7958986895346,68531.46584595251,68531.46584595251,70000.0,1
2021-12-07,0.0,1570.7958986895346,68309.60794285734,68309.60794285734,70000.0,1
2021-12-08,0.0,1570.7958986895346,67619.34074488432,67619.34074488432,70000.0,1
2021-12-09,0.0,1570.7958986895346,68559.89841179144,68559.89841179144,70000.0,1
2021-12-10,0.0,1570.7958986895346,69812.25556519572,69812.25556519572,70000.0,-1
2021-12-13,0.0,1570.7958986895346,71069.628115356,71069.628115356,70000.0,-1
2021-12-14,0.0,1570.7958986895346,71747.79724158427,71747.79724158427,70000.0,-1
2021-12-15,0.0,1570.7958986895346,72158.66429626165,72158.66429626165,70000.0,-1
