,date,action,price,shares,cash_after,technical_state,commission
0,2022-05-06,buy,47.48630142211914,2523.2584174142476,0.0,1,119.88011988011989
1,2022-06-01,buy,39.83120346069336,250.68329886449135,0.0,1,9.990009990009991
2,2022-07-01,buy,38.93583679199219,256.4480001961315,0.0,1,9.990009990009991
3,2022-07-21,sell,42.08551406860352,3030.3897164748705,127344.26955024005,-1,127.47174129153159
4,2022-12-16,buy,45.69307327270508,3875.391836950212,0.0,1,177.16710244779227
5,2023-01-03,buy,45.96516418457031,217.230105850925,0.0,1,9.990009990009991
6,2023-02-01,buy,46.307655334472656,215.62347324970784,0.0,1,9.990009990009991
7,2023-03-01,buy,44.860836029052734,222.57760588328912,0.0,1,9.990009990009991
8,2023-03-30,sell,46.81885528564453,4530.823021934134,211809.86153169136,-1,212.0218834151065
9,2023-05-22,buy,47.93877029418945,4828.295564363106,0.0,1,231.57828324844294
10,2023-06-01,buy,47.558067321777344,209.95423160724428,0.0,1,9.990009990009991
11,2023-06-09,sell,49.390586853027344,5038.24979597035,248468.97538497526,-1,248.71769307805332
12,2023-08-17,buy,50.40796661376953,5317.943953059981,0.0,1,268.20077461036493
13,2023-08-31,sell,52.648460388183594,5317.943953059981,279561.7292077008,-1,279.8415707784793
14,2023-09-29,buy,51.780757904052734,5583.693721522729,0.0,1,289.2724567509499
15,2023-10-02,buy,51.83579635620117,192.62783989378872,0.0,1,9.990009990009991
16,2023-11-01,buy,53.38019180297851,187.0547321771184,0.0,1,9.990009990009991
17,2023-11-13,sell,54.28997802734375,5963.376293593636,323266.1024718431,-1,323.5896921640071
18,2023-11-16,buy,50.52128982543945,6389.024697183863,0.0,1,322.94315931253067
19,2023-12-01,buy,49.97087097167969,199.81675898601466,0.0,1,9.990009990009991
20,2024-01-02,buy,51.76509094238281,192.89094831076775,0.0,1,9.990009990009991
21,2024-01-18,sell,53.04873275756836,6781.732404480646,359222.84637485235,-1,359.582428803656
22,2024-04-02,buy,57.872798919677734,6715.41207218315,0.0,1,388.8340123624899
23,2024-05-01,buy,57.569541931152344,173.4427120023029,0.0,1,9.990009990009991
24,2024-05-16,sell,62.834014892578125,6888.854784185452,432205.3389233654,-1,432.6379769002657
25,2024-08-05,buy,66.34823608398438,6955.91723530366,0.0,1,461.74359532803743
26,2024-08-15,sell,71.83555603027344,6955.91723530366,498932.9088662441,-1,499.43234120745154
27,2025-01-02,buy,88.79464721679688,6172.7872826512585,0.0,1,548.3845243419023
28,2025-01-27,sell,96.09553527832033,6172.7872826512585,592287.8287271018,-1,592.8807094365383
29,2025-02-20,buy,95.90808868408205,6270.435143802424,0.0,1,601.6861425845174
30,2025-03-03,buy,96.28298950195312,103.70489671040811,0.0,1,9.990009990009991
31,2025-04-01,buy,87.88098907470703,113.61976675957938,0.0,1,9.990009990009991
32,2025-05-01,buy,96.36933135986328,103.61198257133495,0.0,1,9.990009990009991
33,2025-05-02,sell,97.69501495361328,6591.371789843747,642978.571297332,-1,643.6221934908228
34,2025-06-11,buy,95.00567626953124,6862.750422196767,0.0,1,652.3262450522798
35,2025-07-01,buy,97.4254379272461,102.48881291891978,0.0,1,9.990009990009991
36,2025-08-01,buy,97.67337036132812,102.2286570467597,0.0,1,9.990009990009991
37,2025-08-06,sell,102.50299072265624,7067.467892162446,723350.3031076215,-1,724.0743774851067
38,2025-08-21,buy,97.37466430664062,7417.396992369941,0.0,1,722.6276754321893
39,2025-09-02,buy,97.26531982421876,102.65752993271008,0.0,1,9.990009990009991
40,2025-10-01,buy,101.35076141357422,98.51941260238063,0.0,1,9.990009990009991
41,2025-10-14,sell,106.56939697265624,7618.573934905032,810689.3757427895,-1,811.5008766194088
42,2025-10-29,buy,101.84777069091795,7947.888828354026,0.0,1,809.879496246543
43,2025-11-03,buy,100.98297882080078,98.87822282394994,0.0,1,9.990009990009991
44,2025-11-28,sell,109.84968566894533,8046.767051177976,882609.3709437078,-1,883.4928638075153
45,2026-03-18,buy,121.49830627441406,7582.22149735089,0.0,1,921.6876832604474
46,2026-04-01,buy,124.5023956298828,80.19940042722178,0.0,1,9.990009990009991
47,2026-04-23,sell,131.77850341796875,7662.420897778112,1008228.2498012458,-1,1009.2374872885343
48,2026-05-21,buy,121.33999633789062,8378.957624059942,0.0,1,1017.2110387624834
49,2026-06-01,buy,114.5999984741211,87.12929855338669,0.0,1,9.990009990009991
