strategy,params,total_return,cagr,max_drawdown,sharpe,sortino,calmar,number_of_trades,win_rate,average_trade_return,profit_factor
ema_cross,"{'fast_window': 15, 'slow_window': 60}",1.2595297681733575,0.17783837409491277,-0.3171753633873281,0.8315117496817694,0.9966949657592451,0.5606941604658624,10.0,0.6,0.0971566017797791,4.4461278772572985
ema_cross,"{'fast_window': 15, 'slow_window': 50}",1.2569510776788801,0.1775683380022961,-0.32406394959738727,0.8311571630097971,0.9901823211466729,0.5479422756616545,12.0,0.5,0.08323909332299595,4.239025881806439
ema_cross,"{'fast_window': 5, 'slow_window': 60}",1.1861933271317224,0.1700606691441109,-0.3385133649288471,0.8075678367808622,0.9717033548755071,0.5023750515134205,23.0,0.30434782608695654,0.04054272985916846,2.9899824422784107
ema_cross,"{'fast_window': 10, 'slow_window': 60}",1.1622650305104019,0.16747783651904768,-0.320876194045988,0.7924451978331457,0.9472366015291898,0.5219391142960413,17.0,0.35294117647058826,0.052930161707565655,3.3413900311066667
supertrend,"{'atr_window': 10, 'multiplier': 2.0}",1.133609184773071,0.16435447692897598,-0.34397651791084105,0.7878287367929225,0.8962894942194611,0.47780725826050946,31.0,0.4838709677419355,0.030978988493088756,2.245822292396263
ema_cross,"{'fast_window': 20, 'slow_window': 50}",1.1325256101013128,0.16423571584321972,-0.31344373786249835,0.7793994951059374,0.9360236239376781,0.5239719158634674,10.0,0.5,0.09304139969532668,3.982103218874675
ema_cross,"{'fast_window': 10, 'slow_window': 50}",1.0913383322356558,0.15968536827310253,-0.34116135998044905,0.7672903708386134,0.9057125038861741,0.4680640512227224,15.0,0.4,0.058517599543516756,3.0590981682044456
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 50, 'long_window': 150, 'atr_stop_multiplier': 2.0}",0.9916966384713657,0.1483732377404381,-0.1595776980891307,0.8840008254389712,0.8229254834442349,0.9297868030253548,18.0,0.4444444444444444,0.05104416736749132,4.331725359584882
ema_cross,"{'fast_window': 20, 'slow_window': 60}",0.9819803959304243,0.14724613551388765,-0.3149282299427296,0.7134959906214846,0.8559429865474406,0.4675545775641157,10.0,0.5,0.0840445089872811,3.849285027258141
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 50, 'long_window': 150, 'atr_stop_multiplier': 2.5}",0.9296288796199139,0.14109611620802065,-0.16617907896305695,0.8415037818818559,0.7679619507186941,0.8490606464330419,18.0,0.4444444444444444,0.049372618138464455,3.9056065257563546
ema_cross,"{'fast_window': 20, 'slow_window': 30}",0.9118465232320754,0.13897678039340455,-0.4013501459689969,0.6848877669596724,0.8201680617063397,0.34627315273018516,13.0,0.38461538461538464,0.06394031782280195,2.9038606292495728
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 50, 'long_window': 150, 'atr_stop_multiplier': 3.0}",0.8688419871245787,0.13378552758095608,-0.1727804598369832,0.7981938991332836,0.7106027048641718,0.7743093617598975,18.0,0.4444444444444444,0.04770106890943759,3.5558152273249504
supertrend,"{'atr_window': 14, 'multiplier': 3.5}",0.8667444386810408,0.1335298915821168,-0.3988312256125066,0.6700462523504581,0.7587623459194482,0.3348030018889513,15.0,0.4666666666666667,0.06164027461456934,2.7405290241947946
ema_cross,"{'fast_window': 10, 'slow_window': 20}",0.8664551119274553,0.13349461224475867,-0.4863401019323528,0.6507091699264519,0.729891345075126,0.27448818576619666,27.0,0.37037037037037035,0.03567737460210093,2.223093063632213
supertrend,"{'atr_window': 10, 'multiplier': 2.5}",0.8501114682558535,0.13149460021772263,-0.3258530432877157,0.6536581009810231,0.7168267512810851,0.4035395799621793,23.0,0.4782608695652174,0.03364380025599845,2.291340921113369
supertrend,"{'atr_window': 7, 'multiplier': 2.5}",0.8471020244066798,0.13112478896085267,-0.3579597580495263,0.6552021423512411,0.705722121628572,0.3663115364568735,22.0,0.5,0.035203661641084086,2.278912729325488
ema_cross,"{'fast_window': 5, 'slow_window': 20}",0.8059411841565685,0.1260178240191956,-0.4530352107048353,0.6247554265781937,0.7074440565222707,0.2781634209472067,32.0,0.40625,0.023442858333658417,1.9613685218856671
ema_cross,"{'fast_window': 5, 'slow_window': 50}",0.8029217868041241,0.12563954775109898,-0.4411802803855811,0.6336061411122126,0.7497867429951857,0.2847805156687715,23.0,0.30434782608695654,0.03256943675878676,2.2471452720521734
supertrend,"{'atr_window': 14, 'multiplier': 3.0}",0.778702218448079,0.12258680921202059,-0.4086592634449778,0.6153505564845394,0.6904734458424319,0.29997315655742074,18.0,0.5,0.04150721675867955,2.3114993587531547
supertrend,"{'atr_window': 14, 'multiplier': 2.0}",0.7621474588575601,0.1204810066755524,-0.3731092542328175,0.6196241203190618,0.6905626981567691,0.3229107970620667,34.0,0.47058823529411764,0.02186436888002142,1.846754885014832
supertrend,"{'atr_window': 14, 'multiplier': 2.5}",0.7532571232005514,0.11934360317814652,-0.35235910892911626,0.60342258807311,0.659622805989518,0.3386987881223038,23.0,0.4782608695652174,0.03137019892891236,2.107431627922781
ema_cross,"{'fast_window': 15, 'slow_window': 30}",0.74343011011006,0.11808098782507326,-0.42839879323712693,0.6069051370279241,0.726931395699747,0.2756333343817642,18.0,0.3333333333333333,0.03958589901193588,2.25136114133637
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.0, 'trend_window': 75}",0.7417694871790463,0.11786706263279267,-0.24651118417540874,0.6393841028959054,0.6495030817005333,0.47814083173168564,15.0,0.26666666666666666,0.0374962470393378,2.586540295774296
rsi_pullback,"{'rsi_window': 21, 'entry_threshold': 40, 'exit_threshold': 65}",0.737111096716744,0.11726608704585173,-0.17388995108548144,0.869263584937675,0.6283749789888929,0.6743695441504015,5.0,1.0,0.11752588934756847,inf
supertrend,"{'atr_window': 10, 'multiplier': 3.5}",0.6683776296789388,0.10824555625639709,-0.4160381173306451,0.5853562161397049,0.638012296424484,0.260181824086011,16.0,0.3125,0.05075649485199174,2.385221846129656
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 50, 'long_window': 200, 'atr_stop_multiplier': 2.0}",0.6482794016202766,0.10555180811233433,-0.261890372668955,0.685164093420127,0.6066646640898424,0.40303813781561987,19.0,0.3684210526315789,0.03832491918954824,2.94087385807611
ema_cross,"{'fast_window': 5, 'slow_window': 30}",0.6376721742368427,0.1041195322755104,-0.46858543219335014,0.5405009058125537,0.6071907185215338,0.22219967827029685,31.0,0.3870967741935484,0.025810250630004004,1.9338681835027218
volume_breakout,"{'breakout_window': 20, 'volume_multiplier': 1.0, 'trend_window': 75}",0.6261816909704294,0.102559601542908,-0.24245871418163734,0.5768580665760019,0.5782861755547086,0.4229982077116673,14.0,0.2857142857142857,0.034048582377495355,2.365219594554869
supertrend,"{'atr_window': 7, 'multiplier': 3.5}",0.624052086217928,0.1022695225896526,-0.4303852929436892,0.569822023614483,0.6147380701635645,0.2376231815222212,16.0,0.375,0.04928890570346184,2.274080947387262
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.2, 'trend_window': 75}",0.6076818450924797,0.10002948069794582,-0.20632084086426383,0.581341837210989,0.5489717685778646,0.48482489834245146,13.0,0.3076923076923077,0.0467319441830798,3.014166307436805
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 50, 'long_window': 200, 'atr_stop_multiplier': 3.0}",0.6047842597191906,0.09963108899551121,-0.2630017352184335,0.6418622040319311,0.544517873310626,0.37882293404932704,18.0,0.3888888888888889,0.03913534458404119,2.7658786302153064
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 75, 'long_window': 200, 'atr_stop_multiplier': 3.0}",0.5880429161912946,0.09731798307089812,-0.2656807996930195,0.6003742045052488,0.5509560863332124,0.36629663559935094,17.0,0.4117647058823529,0.038582676054539154,3.110356332940978
ema_cross,"{'fast_window': 15, 'slow_window': 20}",0.5876112926337265,0.09725808961257121,-0.4694086234385648,0.5183344116201577,0.6026900539795449,0.20719280549242006,25.0,0.36,0.031036670076155484,1.949994652782389
supertrend,"{'atr_window': 7, 'multiplier': 2.0}",0.5838492729227545,0.09673550800879815,-0.4477262729127377,0.5339013176686475,0.5772494548906802,0.21605948513915332,31.0,0.41935483870967744,0.02048579339744974,1.7807970421971693
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 50, 'long_window': 200, 'atr_stop_multiplier': 2.5}",0.5749622996142911,0.09549706878901687,-0.28582356681900245,0.6253618693559561,0.5425789354112207,0.3341119483317144,19.0,0.3684210526315789,0.03605368274266135,2.637504557546031
volume_breakout,"{'breakout_window': 20, 'volume_multiplier': 1.0, 'trend_window': 50}",0.549630150410489,0.09193600806008373,-0.2852477449600259,0.5437001334478345,0.5295943369915925,0.32230231328548264,17.0,0.47058823529411764,0.033811090697360956,2.4205840011577884
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 75, 'long_window': 200, 'atr_stop_multiplier': 2.5}",0.5419012579411147,0.09084026050894978,-0.2960128126572139,0.570059235404789,0.5262732991593461,0.30687948840290163,18.0,0.3888888888888889,0.0348548289768529,2.774451838037244
donchian_breakout,"{'entry_window': 10, 'exit_window': 20}",0.5166864621526464,0.08723469332139078,-0.4664195148599537,0.4598832784911678,0.554939455641903,0.18703053912224002,21.0,0.47619047619047616,0.027965604705010215,1.7064710285791214
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.0, 'trend_window': 50}",0.5132298430036208,0.0867366905974638,-0.2810899502883144,0.5100351772562605,0.5071994913749349,0.30857272025733345,20.0,0.4,0.028355566979432773,2.134487311723216
rsi_pullback,"{'rsi_window': 10, 'entry_threshold': 40, 'exit_threshold': 65}",0.5089866861208105,0.08612412513091217,-0.22026042028320758,0.634681764125946,0.4645972876108837,0.3910104458176146,11.0,0.7272727272727273,0.040312817561209434,3.4701396465159866
volume_breakout,"{'breakout_window': 20, 'volume_multiplier': 1.5, 'trend_window': 50}",0.5077903861524349,0.08595117193730584,-0.15255707065600033,0.5653781233937699,0.5047392054720148,0.5634033976118775,10.0,0.5,0.049754481994532404,3.3185639027794847
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.5, 'trend_window': 50}",0.5073891143270561,0.08589313412925992,-0.15278260264923038,0.5604043627416682,0.5091859640806561,0.5621918506419199,11.0,0.45454545454545453,0.045207153416152675,3.3144533855374148
volume_breakout,"{'breakout_window': 20, 'volume_multiplier': 1.2, 'trend_window': 75}",0.5009924106715058,0.08496627771399545,-0.20205221615540303,0.5151564577577273,0.4793610209221244,0.42051643545768347,12.0,0.3333333333333333,0.043479310172908785,2.7610582280650657
supertrend,"{'atr_window': 10, 'multiplier': 3.0}",0.49891453728565716,0.0846645230329719,-0.41555006907480097,0.4756225473104015,0.4969664445632229,0.2037408469729598,19.0,0.47368421052631576,0.029244193063262657,1.8164558825944934
volume_breakout,"{'breakout_window': 20, 'volume_multiplier': 1.5, 'trend_window': 75}",0.4949220935911953,0.08408378948076134,-0.17363286841292835,0.5294795756564399,0.473372415102967,0.4842619387061893,9.0,0.4444444444444444,0.05406023906803009,3.1849318458652474
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.5, 'trend_window': 75}",0.4869250021577438,0.08291680914709088,-0.17363286841292824,0.5236254421896139,0.4689169341172192,0.47754097426934583,10.0,0.4,0.04811926478035202,3.1102145286012775
rsi_pullback,"{'rsi_window': 21, 'entry_threshold': 45, 'exit_threshold': 65}",0.4839135675125601,0.08247606348201342,-0.2189322881885335,0.6015035614102298,0.4269910953817245,0.3767195061287131,5.0,1.0,0.08305879699343306,inf
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 75, 'long_window': 150, 'atr_stop_multiplier': 3.0}",0.4827535213762397,0.08230609144326428,-0.2445535077240445,0.5299687491771106,0.4769143669882601,0.3365565769604046,16.0,0.4375,0.032807527219694765,2.8559143239281886
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.2, 'trend_window': 50}",0.47625456848517556,0.08135188283276085,-0.25095030026413256,0.5023270203460284,0.4738670517041062,0.3241752759296785,17.0,0.4117647058823529,0.031160088151919004,2.3162618692964068
supertrend,"{'atr_window': 7, 'multiplier': 3.0}",0.4667240059208815,0.07994646833123142,-0.4137227782824041,0.46253350428959517,0.48384763879765136,0.19323680620906145,19.0,0.47368421052631576,0.027793436564878888,1.7855440470260329
volume_breakout,"{'breakout_window': 20, 'volume_multiplier': 1.2, 'trend_window': 50}",0.4643631685074485,0.07959720238797541,-0.23615655290989912,0.5018844816077135,0.45451994757503617,0.337052694101375,14.0,0.5,0.03620201680363309,2.500623023781736
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.0, 'trend_window': 100}",0.46249555917063834,0.07932058641648254,-0.2885374308946379,0.47363091322308287,0.49876008927220006,0.27490570693216987,13.0,0.23076923076923078,0.02833438792057049,1.8121502627314352
