strategy,params,total_return,cagr,max_drawdown,sharpe,sortino,calmar,number_of_trades,win_rate,average_trade_return,profit_factor
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.0, 'trend_window': 100}",5.132950109011068,0.4393337579399992,-0.30860316874986404,1.1723679062562617,1.667237683330779,1.4236203721423801,11.0,0.45454545454545453,0.2598144605929439,8.081784448960628
ema_cross,"{'fast_window': 5, 'slow_window': 50}",4.648940038958342,0.4157695579728369,-0.46649820237987727,1.0694613202765038,1.4791376224076274,0.8912565061381925,22.0,0.36363636363636365,0.1298704019662239,4.078047949027416
ema_cross,"{'fast_window': 5, 'slow_window': 60}",4.5850026011724285,0.41253726392322276,-0.4634696267403473,1.0540897260907718,1.4746338963848797,0.8901063632252676,18.0,0.3333333333333333,0.16256959546552682,4.239556593026247
supertrend,"{'atr_window': 10, 'multiplier': 3.0}",4.513030379941735,0.4088632035621622,-0.37309764113643973,1.1109531073149963,1.4818936890558645,1.0958611325356604,19.0,0.5263157894736842,0.13844098952704953,4.42798061463852
supertrend,"{'atr_window': 10, 'multiplier': 2.0}",4.314987945992939,0.39855176686666094,-0.46427714808493836,1.0883395077622406,1.501245357119159,0.8584350285397783,33.0,0.45454545454545453,0.08246038248093897,3.2621642274840172
volume_breakout,"{'breakout_window': 20, 'volume_multiplier': 1.0, 'trend_window': 100}",4.230520315464822,0.39406018710297563,-0.3452001103605302,1.1000833494883355,1.506603078984793,1.1415413126357796,10.0,0.5,0.2479083599079869,8.435079187683291
ema_cross,"{'fast_window': 20, 'slow_window': 60}",4.179104999598445,0.39129771041759365,-0.575391166241749,1.0067942258877869,1.435566150915316,0.6800551231493724,10.0,0.5,0.2703606650504896,5.674135999626556
donchian_breakout,"{'entry_window': 10, 'exit_window': 5}",4.103781713278195,0.38721084612549794,-0.1986438190124291,1.1880898944103526,1.5461315733636183,1.9492720591586603,38.0,0.4473684210526316,0.05215388113757752,3.486488052506108
supertrend,"{'atr_window': 7, 'multiplier': 3.0}",4.08840956629965,0.3863708736407854,-0.33535347923798164,1.0663775674366143,1.4287433178035902,1.1521302075610778,19.0,0.5263157894736842,0.1337630895140109,4.194231136302915
supertrend,"{'atr_window': 14, 'multiplier': 3.0}",3.9845266356216413,0.38064066188241275,-0.3724897962320438,1.0645759429442532,1.4146920351615684,1.0218821179340207,20.0,0.55,0.1270238464109136,3.8572889521709977
volume_breakout,"{'breakout_window': 10, 'volume_multiplier': 1.2, 'trend_window': 100}",3.892253900726833,0.3754702680643729,-0.30860316874986393,1.0811015471216308,1.4200946437066824,1.2166766452379094,9.0,0.4444444444444444,0.2832638237704159,8.645890059409968
ema_cross,"{'fast_window': 20, 'slow_window': 50}",3.8239352696797155,0.37159166507051444,-0.5725059057364258,0.9751365605595181,1.3448526443763738,0.6490617150796526,12.0,0.4166666666666667,0.23909355253171982,4.340542958958616
ema_cross,"{'fast_window': 10, 'slow_window': 60}",3.7502518895403396,0.367358971034343,-0.5007214530288588,0.9720936055348134,1.3610348369682517,0.7336593405618881,17.0,0.35294117647058826,0.16079322390994732,3.7766693805381752
ema_cross,"{'fast_window': 15, 'slow_window': 60}",3.7407276067638424,0.3668080323866645,-0.5955202507644437,0.9649176951387304,1.342978958521559,0.6159455231216886,15.0,0.3333333333333333,0.18502185008468022,4.109857524070784
