asof,symbol,company_name,market_cap,last_sale_price
"Jun 11, 2026",NVDA,NVIDIA Corporation Common Stock,4965598000000,205.19
"Jun 11, 2026",GOOGL,Alphabet Inc. Class A Common Stock,4357882880000,359.68
"Jun 11, 2026",GOOG,Alphabet Inc. Class C Capital Stock,4339466560000,358.16
"Jun 11, 2026",AAPL,Apple Inc. Common Stock,4275929952280,291.13
"Jun 11, 2026",MSFT,Microsoft Corporation Common Stock,2902586576241,390.74
"Jun 11, 2026",AMZN,"Amazon.com, Inc. Common Stock",2566108455958,238.55
"Jun 11, 2026",AVGO,Broadcom Inc. Common Stock,1817728666250,382.07
"Jun 11, 2026",TSLA,"Tesla, Inc. Common Stock",1526438852891,406.43
"Jun 11, 2026",META,"Meta Platforms, Inc. Class A Common Stock",1439235244902,566.98
"Jun 11, 2026",MU,"Micron Technology, Inc. Common Stock",1106995021802,981.61
"Jun 11, 2026",WMT,Walmart Inc. Common Stock,963245900921,121.04
"Jun 11, 2026",AMD,"Advanced Micro Devices, Inc. Common Stock",834166368893,511.57
"Jun 11, 2026",ASML,ASML Holding N.V. New York Registry Shares,718245089611,1863.55
"Jun 11, 2026",INTC,Intel Corporation Common Stock,626088820000,124.57
"Jun 11, 2026",CSCO,"Cisco Systems, Inc. Common Stock (DE)",477307737932,121.1
"Jun 11, 2026",LRCX,Lam Research Corporation Common Stock,458721948510,366.81
"Jun 11, 2026",AMAT,"Applied Materials, Inc. Common Stock",450373486668,567.25
"Jun 11, 2026",COST,Costco Wholesale Corporation Common Stock,435651403109,982.35
"Jun 11, 2026",ARM,Arm Holdings plc American Depositary Shares,405202880514,380.81
"Jun 11, 2026",NFLX,"Netflix, Inc. Common Stock",338295553740,80.34
