window,train_start,train_end,test_start,test_end,params,train_objective,train_trades,test_total_return,test_cagr,test_max_drawdown,test_sharpe,test_number_of_trades,test_win_rate,test_average_trade_return,test_profit_factor
1,2010-01-04,2014-01-03,2014-01-04,2015-01-03,"{'fast_window': 15, 'slow_window': 20}",0.9173494914072691,13.0,-0.0343056853148741,-0.03457533084999642,-0.10309048440156232,-0.3093875860646124,3.0,0.3333333333333333,-0.01129612750629507,0.3900491202098821
2,2011-01-04,2015-01-03,2015-01-04,2016-01-03,"{'fast_window': 15, 'slow_window': 20}",0.8070328332839872,14.0,0.11178896817281347,0.11273190159070601,-0.18206286339268962,0.5260312176419125,5.0,0.2,-0.009932991497932,0.5560204670064689
3,2012-01-04,2016-01-03,2016-01-04,2017-01-03,"{'fast_window': 15, 'slow_window': 60}",0.9824940039311808,8.0,-0.1184129541697122,-0.1184129541697122,-0.1657718410400837,-0.9968257216479797,4.0,0.0,-0.027313075521465485,0.0
4,2013-01-04,2017-01-03,2017-01-04,2018-01-03,"{'fast_window': 10, 'slow_window': 50}",0.46426002002648786,15.0,0.10427499180383326,0.10471146025469236,-0.07098437866233742,1.0786616904462096,2.0,0.0,-0.01767790512419315,0.0
5,2014-01-04,2018-01-03,2018-01-04,2019-01-03,"{'fast_window': 20, 'slow_window': 30}",0.536156398186128,10.0,-0.07172641932629442,-0.07227897698752428,-0.1555818831440171,-0.5240828755062283,2.0,0.5,-0.03236992998786074,0.4693653605498517
6,2015-01-04,2019-01-03,2019-01-04,2020-01-03,"{'fast_window': 20, 'slow_window': 60}",0.5008656157579076,11.0,0.22075279075519538,0.22172329889628895,-0.12980947179855518,1.0403057305466934,2.0,0.5,0.015482128158910239,2.4973567518067714
7,2016-01-04,2020-01-03,2020-01-04,2021-01-03,"{'fast_window': 20, 'slow_window': 50}",0.7160205316944793,8.0,0.15548877677053663,0.1568255110623089,-0.20585782385932327,0.720755017562161,2.0,0.5,0.015255285433817302,3.2118336818087174
8,2017-01-04,2021-01-03,2021-01-04,2022-01-03,"{'fast_window': 5, 'slow_window': 50}",0.8057903425791058,14.0,-0.07335309924069044,-0.07335309924069044,-0.11537400158478262,-0.717204924848904,3.0,0.0,-0.020270648128527396,0.0
9,2018-01-04,2022-01-03,2022-01-04,2023-01-03,"{'fast_window': 20, 'slow_window': 30}",1.067052629924506,6.0,-0.2237669396275377,-0.22533832095245487,-0.23521504003487137,-2.316442623359285,3.0,0.0,-0.08091536999113168,0.0
10,2019-01-04,2023-01-03,2023-01-04,2024-01-03,"{'fast_window': 10, 'slow_window': 60}",0.9098396887543809,7.0,0.2732549007831526,0.2757179881780707,-0.18122845426345457,0.9763068089057924,2.0,0.5,0.1199115340634283,7.9629863223454525
11,2020-01-04,2024-01-03,2024-01-04,2025-01-03,"{'fast_window': 20, 'slow_window': 60}",0.7141679409086359,7.0,0.14982164245247498,0.15046135405540584,-0.19139945767461886,0.6864296352780316,2.0,0.5,0.011327100171182346,1.472903145558425
12,2021-01-04,2025-01-03,2025-01-04,2026-01-03,"{'fast_window': 15, 'slow_window': 50}",0.3781368814197842,7.0,0.6402137548867244,0.6533567998493619,-0.1377922891374037,2.2532108064162726,2.0,0.0,-0.061176801936518976,0.0
13,2022-01-04,2026-01-03,2026-01-04,2026-06-12,"{'fast_window': 15, 'slow_window': 50}",0.9511220012515813,8.0,0.012375262067460424,0.028577326747136755,-0.12596541506883818,0.23452190688852484,1.0,0.0,-0.05373780520483764,0.0
