date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,81.19041559400313,9985.017481269357,9985.017481269357,10000.0,1
2023-01-04,0.0,81.19041559400313,10088.005769214073,10088.005769214073,10000.0,1
2023-01-05,0.0,81.19041559400313,9981.027089291994,9981.027089291994,10000.0,1
2023-01-06,0.0,81.19041559400313,10348.269515686537,10348.269515686537,10000.0,1
2023-01-09,0.0,81.19041559400313,10390.581174301493,10390.581174301493,10000.0,1
2023-01-10,0.0,81.19041559400313,10436.884463761235,10436.884463761235,10000.0,1
2023-01-11,0.0,81.19041559400313,10657.233140653267,10657.233140653267,10000.0,1
2023-01-12,0.0,81.19041559400313,10650.845540207669,10650.845540207669,10000.0,1
2023-01-13,0.0,81.19041559400313,10758.62081188431,10758.62081188431,10000.0,1
2023-01-17,0.0,81.19041559400313,10852.830485252322,10852.830485252322,10000.0,1
2023-01-18,0.0,81.19041559400313,10794.550444957084,10794.550444957084,10000.0,1
2023-01-19,0.0,81.19041559400313,10799.339906423857,10799.339906423857,10000.0,1
2023-01-20,0.0,81.19041559400313,11006.910904689841,11006.910904689841,10000.0,1
2023-01-23,0.0,81.19041559400313,11265.577751050905,11265.577751050905,10000.0,1
2023-01-24,0.0,81.19041559400313,11378.945270286007,11378.945270286007,10000.0,1
2023-01-25,0.0,81.19041559400313,11325.454691457542,11325.454691457542,10000.0,1
2023-01-26,0.0,81.19041559400313,11493.10938127567,11493.10938127567,10000.0,1
2023-01-27,0.0,81.19041559400313,11650.384839803415,11650.384839803415,10000.0,1
2023-01-30,0.0,81.19041559400313,11416.464370265627,11416.464370265627,10000.0,1
2023-01-31,0.0,81.19041559400313,11519.455135945196,11519.455135945196,10000.0,1
2023-02-01,0.0,151.01428961194864,21595.483534890063,21595.483534890063,20000.0,1
2023-02-02,0.0,151.01428961194864,22395.87125216838,22395.87125216838,20000.0,1
2023-02-03,0.0,151.01428961194864,22942.325639441256,22942.325639441256,20000.0,1
2023-02-06,0.0,151.01428961194864,22530.99512214587,22530.99512214587,20000.0,1
2023-02-07,0.0,151.01428961194864,22964.603565344092,22964.603565344092,20000.0,1
2023-02-08,0.0,151.01428961194864,22559.211216754913,22559.211216754913,20000.0,1
2023-02-09,0.0,151.01428961194864,22403.288778386963,22403.288778386963,20000.0,1
2023-02-10,0.0,151.01428961194864,22458.31995612916,22458.31995612916,20000.0,1
2023-02-13,0.0,151.01428961194864,22880.690351682766,22880.690351682766,20000.0,1
2023-02-14,0.0,151.01428961194864,22784.018255551022,22784.018255551022,20000.0,1
2023-02-15,0.0,151.01428961194864,23100.794323994836,23100.794323994836,20000.0,1
2023-02-16,0.0,151.01428961194864,22859.868740340396,22859.868740340396,20000.0,1
2023-02-17,0.0,151.01428961194864,22687.357680895228,22687.357680895228,20000.0,1
2023-02-21,0.0,151.01428961194864,22082.053898749313,22082.053898749313,20000.0,1
2023-02-22,0.0,151.01428961194864,22146.005003174367,22146.005003174367,20000.0,1
2023-02-23,0.0,151.01428961194864,22218.882947167855,22218.882947167855,20000.0,1
2023-02-24,0.0,151.01428961194864,21818.818129059367,21818.818129059367,20000.0,1
2023-02-27,0.0,151.01428961194864,21998.774366265403,21998.774366265403,20000.0,1
2023-02-28,0.0,151.01428961194864,21922.92849006641,21922.92849006641,20000.0,1
2023-03-01,0.0,220.7892860455069,31595.62871408579,31595.62871408579,30000.0,1
2023-03-02,0.0,220.7892860455069,31726.09235394956,31726.09235394956,30000.0,1
2023-03-03,0.0,220.7892860455069,32839.36074393186,32839.36074393186,30000.0,1
2023-03-06,0.0,220.7892860455069,33448.18207935708,33448.18207935708,30000.0,1
2023-03-07,0.0,220.7892860455069,32963.30204404672,32963.30204404672,30000.0,1
2023-03-08,0.0,220.7892860455069,33239.44699352933,33239.44699352933,30000.0,1
2023-03-09,0.0,220.7892860455069,32743.69190000128,32743.69190000128,30000.0,1
2023-03-10,0.0,220.7892860455069,32289.257311132467,32289.257311132467,30000.0,1
2023-03-13,0.0,220.7892860455069,32717.602541005668,32717.602541005668,30000.0,1
2023-03-14,0.0,220.7892860455069,33178.55946962338,33178.55946962338,30000.0,1
2023-03-15,0.0,220.7892860455069,33265.539721502086,33265.539721502086,30000.0,1
2023-03-16,0.0,220.7892860455069,33887.40573642512,33887.40573642512,30000.0,1
2023-03-17,0.0,220.7892860455069,33702.587019335726,33702.587019335726,30000.0,1
2023-03-20,0.0,220.7892860455069,34224.42810288225,34224.42810288225,30000.0,1
2023-03-21,0.0,220.7892860455069,34633.20968248588,34633.20968248588,30000.0,1
2023-03-22,0.0,220.7892860455069,34317.92732553271,34317.92732553271,30000.0,1
2023-03-23,0.0,220.7892860455069,34557.10111984773,34557.10111984773,30000.0,1
2023-03-24,0.0,220.7892860455069,34844.11438959374,34844.11438959374,30000.0,1
2023-03-27,0.0,220.7892860455069,34415.77589767483,34415.77589767483,30000.0,1
2023-03-28,0.0,220.7892860455069,34278.78654908501,34278.78654908501,30000.0,1
2023-03-29,0.0,220.7892860455069,34957.19410739949,34957.19410739949,30000.0,1
2023-03-30,0.0,220.7892860455069,35302.91180386278,35302.91180386278,30000.0,1
2023-03-31,0.0,220.7892860455069,35855.19833385084,35855.19833385084,30000.0,1
2023-04-03,0.0,281.80513751807814,46116.36413357995,46116.36413357995,40000.0,1
2023-04-04,0.0,281.80513751807814,45966.504654093216,45966.504654093216,40000.0,1
2023-04-05,0.0,281.80513751807814,45447.51983250498,45447.51983250498,40000.0,1
2023-04-06,0.0,281.80513751807814,45697.30283167013,45697.30283167013,40000.0,1
2023-04-10,0.0,281.80513751807814,44967.40705747379,44967.40705747379,40000.0,1
2023-04-11,0.0,281.80513751807814,44626.046848626596,44626.046848626596,40000.0,1
2023-04-12,0.0,281.80513751807814,44431.78551595975,44431.78551595975,40000.0,1
2023-04-13,0.0,281.80513751807814,45947.072930819835,45947.072930819835,40000.0,1
2023-04-14,0.0,281.80513751807814,45849.94011448384,45849.94011448384,40000.0,1
2023-04-17,0.0,281.80513751807814,45855.48282112234,45855.48282112234,40000.0,1
2023-04-18,0.0,281.80513751807814,46199.62083329652,46199.62083329652,40000.0,1
2023-04-19,0.0,281.80513751807814,46521.54931887034,46521.54931887034,40000.0,1
2023-04-20,0.0,281.80513751807814,46249.57399312543,46249.57399312543,40000.0,1
2023-04-21,0.0,281.80513751807814,45797.213451333104,45797.213451333104,40000.0,1
2023-04-24,0.0,281.80513751807814,45883.23935436635,45883.23935436635,40000.0,1
2023-04-25,0.0,281.80513751807814,45450.306235842254,45450.306235842254,40000.0,1
2023-04-26,0.0,281.80513751807814,45447.51983250498,45447.51983250498,40000.0,1
2023-04-27,0.0,281.80513751807814,46738.02447814269,46738.02447814269,40000.0,1
2023-04-28,0.0,281.80513751807814,47090.47010026689,47090.47010026689,40000.0,1
2023-05-01,0.0,341.59052652279615,57050.51745162952,57050.51745162952,50000.0,1
2023-05-02,0.0,341.59052652279615,56697.29837797732,56697.29837797732,50000.0,1
2023-05-03,0.0,341.59052652279615,56330.62125471145,56330.62125471145,50000.0,1
2023-05-04,0.0,341.59052652279615,55772.17995509518,55772.17995509518,50000.0,1
2023-05-05,0.0,341.59052652279615,58389.400534652035,58389.400534652035,50000.0,1
2023-05-08,0.0,341.59052652279615,58365.851553957,58365.851553957,50000.0,1
2023-05-09,0.0,341.59052652279615,57783.87169816127,57783.87169816127,50000.0,1
2023-05-10,0.0,341.59052652279615,58386.033416119724,58386.033416119724,50000.0,1
2023-05-11,0.0,341.59052652279615,58449.94612114021,58449.94612114021,50000.0,1
2023-05-12,0.0,341.59052652279615,58133.29624814237,58133.29624814237,50000.0,1
2023-05-15,0.0,341.59052652279615,57964.872562175406,57964.872562175406,50000.0,1
2023-05-16,0.0,341.59052652279615,57964.872562175406,57964.872562175406,50000.0,1
2023-05-17,0.0,341.59052652279615,58173.72773181908,58173.72773181908,50000.0,1
2023-05-18,0.0,341.59052652279615,58968.722138974896,58968.722138974896,50000.0,1
2023-05-19,0.0,341.59052652279615,59005.78129186151,59005.78129186151,50000.0,1
2023-05-22,0.0,341.59052652279615,58682.38675728346,58682.38675728346,50000.0,1
2023-05-23,0.0,341.59052652279615,57793.05569638717,57793.05569638717,50000.0,1
2023-05-24,0.0,341.59052652279615,57887.38192561207,57887.38192561207,50000.0,1
2023-05-25,0.0,341.59052652279615,58274.78298585083,58274.78298585083,50000.0,1
2023-05-26,0.0,341.59052652279615,59096.74040255409,59096.74040255409,50000.0,1
2023-05-30,0.0,341.59052652279615,59726.683454533035,59726.683454533035,50000.0,1
2023-05-31,0.0,341.59052652279615,59709.83743735588,59709.83743735588,50000.0,1
2023-06-01,0.0,397.8124167337228,70651.55441145676,70651.55441145676,60000.0,1
2023-06-02,0.0,397.8124167337228,70988.96290730857,70988.96290730857,60000.0,1
2023-06-05,0.0,397.8124167337228,70451.47666688949,70451.47666688949,60000.0,1
2023-06-06,0.0,397.8124167337228,70306.32758075459,70306.32758075459,60000.0,1
