date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,0.0,106.31123976025047,9985.017481269357,9985.017481269357,10000.0,1
2023-01-04,0.0,106.31123976025047,10251.340633412894,10251.340633412894,10000.0,1
2023-01-05,0.0,106.31123976025047,10107.855498841458,10107.855498841458,10000.0,1
2023-01-06,0.0,106.31123976025047,10763.339820700634,10763.339820700634,10000.0,1
2023-01-09,0.0,106.31123976025047,10992.50043329846,10992.50043329846,10000.0,1
2023-01-10,0.0,106.31123976025047,11152.500179325882,11152.500179325882,10000.0,1
2023-01-11,0.0,106.31123976025047,11361.016108195547,11361.016108195547,10000.0,1
2023-01-12,0.0,106.31123976025047,11375.468116786613,11375.468116786613,10000.0,1
2023-01-13,0.0,106.31123976025047,11351.725067763924,11351.725067763924,10000.0,1
2023-01-17,0.0,106.31123976025047,11293.921899942012,11293.921899942012,10000.0,1
2023-01-18,0.0,106.31123976025047,11323.85356864984,11323.85356864984,10000.0,1
2023-01-19,0.0,106.31123976025047,10958.435447956888,10958.435447956888,10000.0,1
2023-01-20,0.0,106.31123976025047,11318.69422267118,11318.69422267118,10000.0,1
2023-01-23,0.0,106.31123976025047,11784.24145216237,11784.24145216237,10000.0,1
2023-01-24,0.0,106.31123976025047,11663.466848545575,11663.466848545575,10000.0,1
2023-01-25,0.0,106.31123976025047,11762.564250366162,11762.564250366162,10000.0,1
2023-01-26,0.0,106.31123976025047,11930.821707666764,11930.821707666764,10000.0,1
2023-01-27,0.0,106.31123976025047,11612.887251748021,11612.887251748021,10000.0,1
2023-01-30,0.0,106.31123976025047,11169.018035143428,11169.018035143428,10000.0,1
2023-01-31,0.0,106.31123976025047,11508.62888176799,11508.62888176799,10000.0,1
2023-02-01,0.0,192.71981541860887,22269.904477422922,22269.904477422922,20000.0,1
2023-02-02,0.0,192.71981541860887,23252.317967648418,23252.317967648418,20000.0,1
2023-02-03,0.0,192.71981541860887,22451.414454945178,22451.414454945178,20000.0,1
2023-02-06,0.0,192.71981541860887,22022.893993787486,22022.893993787486,20000.0,1
2023-02-07,0.0,192.71981541860887,22552.464732918037,22552.464732918037,20000.0,1
2023-02-08,0.0,192.71981541860887,21697.295547701564,21697.295547701564,20000.0,1
